	Great value very convenient helpful staff hearty breakfast	We were there for 2 days and returned for another 7. Location couldn't be more convenient as it's a 5 minute walk to the Gloucester Street tube station with Picadilly, Circle, and District lines. Good, reasonable restaurants nearby and a grocery store at Gloucester and Cromwell. Staff was very nice and helpful. Breakfast is great. They call it continental, but it includes eggs, bacon or sausage, baked beans, toast, sweet rolls, cheese, meats, juice, etc. Only thing missing was fresh fruit. We stayed in two different rooms, both of which were quite nice. Really liked having the refrigerator. They have two non-smoking floors if you request ahead. Didn't try wifi but there are computers with internet access in the lobby, 1 GBP for 20 minutes. I guess we like crisp sheets and firm beds because we found everything very comfortable and clean.	
Nov 26 2009 	Nice and easy	What do you need for a week-end in London? A decent hotel with clean rooms, good breakfast and nice frontdesk service. If it can be in a great location like South Kensington, what else do you need? The tube is 100m away, you got a 5-minute walk to Hyde Park, in summary this is a good and cheap hotel, perfect for a short stay.	
Nov 24 2009 	Clean roombed too hard unable to use internet inside the room	I've been staying at the hotel for 5 nights.The room is clean and quiet,Of course the location is the best part of the choice.The price booked via theie hotel web site is the cheapest.The staff is nice.The breakfast is good,However, the downside is that:1) uncomforable bed which is too hard for me2) Unable to use the wifi inside the room, but u can use the computer in the lobby which costs u 1 lb for 20 min.3) U can have early check in , but with extra 20 pounds and every baggage u store in the hotel after checking out csodt u 1 lb per bag.Overall, I may choose again this hotel only when I need to saty nearby the gloucester road or really attarctive price.	
Nov 20 2009 	It was not what I expected	I stayed in this hotel in May 2009. My room was extremelly small (solo traveler) and there was no opening windows (or I could not open the specific windows!!!). Most of the times, I wanted to be out of the room, because I could not stay there for a lot of time. When I arrived, the woman in the reception was rude. Other members of the staff were more polite. The breakfast was average to poor. The price was reasonable. The location is great and really close to the tube. Rooms were clean, but the hotel surely needs a renovation.	
Nov 20 2009 	great location pleasant staff ok breakfast room a bit small	We stayed here Nov 2009. Its a really good location for Natural history and science museum etc and its a nicer area to walk around then many areas we have previously stayed in. Its 2-3 mins walk to goucester road tube station.and restaurants, bars and shops. Downside our room was a bit small and you get a fair bit of road noise but we didnt find it too much of a problem and it was very clean.Staff were helpful and breakfast was ok - not wonderful but certainly sufficient. We would recommend to freinds.	
Nov 4 2009 	Excellent price-quality ratio	Excellent location, near by tube station (200 m). Our room was in 1st floor, still it was quiet. As a central London hotel the room was huge... good bed, air conditioning, warm, clean, good breakfast! Well equipped room: hair dryer, safe and good light in toalet to do the make-up!! The breakfast room was small but if you are in business trip and early up, no queue, if you are on vacation you are not in a hurry! Very friendly and helpful personel.	
Oct 31 2009 	Good if you are looking for something value and central	It could look as an average hotel in a Victorian building. I think it was a bit better than that, it is very close to tube. The area is good. Rooms are ok. Rate is reasonable. Surely not a 5 star hotel but a very good base for an intensive visit of London.	
Oct 23 2009 	central	The position is perfect 250m from the underground, near all the places of attraction, the price has been optimal and the abundant breakfast, also the service is optimal if you had to return to London I would return sure here! …	
Oct 15 2009 	Good location no-frills.	The Park International is conveniently located near the circle line trains in Kensington, making the location perfect for anyone wanting to see the sights.The rooms themselves are incredibly small, and are relatively no-frills, though they do have a mini-fridge. The beds are a little too firm and the linens a little starchy, but the hotel is very quiet at night.The upkeep leaves a little to be desired. Most of the equipment in my room was run-down... the outlets were loose, the alarm clock couldn't be set (it was stuck an hour ahead), and the air conditioning unit was either too cold or not cold enough... there was no sweet spot.The staff were a little impersonal. Not exactly what I would call rude, but certainly not warm and inviting.All in all, the Park International is a decent value if you're not expecting too much from a hotel in London.	
Sep 9 2009 	Good location staff and value	Booked at the last minute or lastminute.com or laterooms.com , after deciding at the last day to spend a long weekend in London . The reviews were not very good , but my stay proved to be good and not many problems. My room was on the top floor and on the front . The street noise is a bit of a problem with the window ajar , but ok with it closed . The room had a clean bed and bathroom , with a large tv , tea making facility and safe.The reception staff were very helpful and the foyer very welcoming . As with many of the hotels in London , the bathrooms are on the smallest size but hot water was always available and fresh towels changed daily . Transport , tube and bus , are very close by and directions and locations provided by the staff were very good .  At the price , consider this to be very good value for money . Management could consider , increasing staff for morning breakfast , as sometimes the food service may be slow due to a large quantity of guests in the breakfast room .Staff attempt to do their best but sometimes are overwhelmed .Good english breakfast and additional cereals,toast and fruit were available .	
Jul 20 2009 	Don't Let the Front Door Fool You	It looks nice from the outside. Getting inside wasn't easy as we struggled with our luggage and the &quot;concierge&quot; stood by watching us. We reserved 2 rooms. One of the reasons we chose the Park was because they had AC--apparently not in all the rooms because it didn't work in one of ours. They did put a fan in to help with circulating the air. The drain for the tub in the other room didn't work so we had to switch rooms--they had only smoking left (in the bowels of the building). Rooms were not very clean. Safes in both rooms and clock in one didn't work. The &quot;restaurant&quot; is a misnomer--they only serve breakfast; it was adequate. They quoted a taxi ride to Heathrow is 45 pounds when actually it was 95 and they would not tell us whom they use for this service. We requested an adjustment for our fees due to the inconviences. They took 10% off which still was too much to pay for this hotel.	
Jul 11 2009 	Hard to beat location	I was reviewing another hotel and wanted to offer my comments from a stay two years ago. I would agree with most others that this is a great location. It's a very central spot with a tube station -- with links to virtually all of London's major attractions -- within a very short walk. The staff was friendly and helpful. I would say here again.	
Jul 2 2009 	Great location but very small rooms for a single traveller	Upon arrival, I found out that the air conditioning in my room was not working (it was not working actually on the entire 3 &amp; 4 floor). They promised to change the room in the morning next day to a bigger one with a balcony, which they did but gave me instead a ridiculously small room, where the air conditioning was working but the water was dripping from it onto the carpet. As it was totally impossible to open my suitcase unless it was sitting on the bed, I had to go back to the reception and ask them to change the room one more time. Luckily, there was a room 214 of an acceptable size. There only problem was the shower, which was of a very tiny size and the showering was a torture.Plus, the water was somehow leaking onto the floor, and I had to do some cleaning after every shower.The tube TV was tiny as well and the choice of channels was not great.The decor of the room was acceptable considering everything.Overall, if you are lucky enough to get a bigger and nicer room, the location is great, only 5-7 min. walk from the Gloucester Rd. Underground station (which is only 3 stops away from the Victoria Station - convenient if you are traveling back home from the Gatwick Airport). Plus the breakfast was substantial, even though a conventional English breakfast. It did not strike me as 3 star hotel, more like a 2+.	
