	ok hotel	Clean, comfortable. We chose the area for the O2 arena, although it is about 7 minutes walk from Waterloo. For sightseeing, it is a good area. Rooms very comfortable, although we were woken on Saturday morning at 08:40 by house cleaners to see if our room was ready to be cleaned! (it was a bit early)!. Check in/out fairly fast, although loads of people. Breakfast good. Major problems with elevators. Only 3 for the whole hotel. Luckily we were on the 3rd floor and did the staircase, otherwise you could be 1/2 hour waiting for lift. Staff very professional. As in many London hotels,didn't like the fact that you had to pay for internet access.	
Nov 23 2009 	great service average hotel	We stayed for 2 nights in a room which I think was described as a suite, containing a double bed, a sofa bed and a small kitchen area. We needed the sofa bed as we travelled with our young daughter. It was set up as a bed when we arrived and remained so throughout our stay, meaning that there was very little room to move about. If you only needed the 1 bed it would be a really good size room for London.The decor and furnishings were bland and the room was far too hot. The interal air con didn't work and when we complained about the heat after a poor nights sleep we were told it was regulated externally. They did turn it down but it was still too hot ( and I feel the cold) as was the entire hotel.Our room overlooked Waterloo station but you couldn't hear a thing. We were surprised to see rooms directly opposite the lifts, and doubt they would be quiet as there were frequent waits for the lifts.The sofa bed was very uncomfortable and the normal bed was not much better - both were extremely hard. The breakfast was very ordinary and crowded. We had an early dinner in the hotel one evening and found the food bland, lukewarm and over priced ( almost £70 for a kids meal, a bowl of pasta, a 2 course adult meal and 1 glass of wine) Room service was similarly lukewarm and of mediocre quality.The staff were superb - very friendly and attentive, especially to our daughter, which made a nice change. Its just a shame the hotel lets the staff down, when it is so often the other way around.The hotel does offer good value compared to other 4 star hotels in London but the heat and uncomfortable beds, combined with the poor food would mean that I would not stay again	
Nov 23 2009 	WOW what view!	On a recent business trip I was booked into the Park, arrived early and was greeted by the most welcoming staff possible.I was overwhelmed to be offered a free upgrade to a 'Penthouse Suite' which overlooked the London Eye and Westminister! Unrestricted views, with a walk around balcony.Sumptious living area with kitchenette and dining area. Two TV's, choice of pillows and decent toiletries.Well stocked bar, plenty of towels and spotless throughout!Breakfast and service at this accommodation is top rate. I enjoyed a peaceful evening and would go again!!	
Nov 22 2009 	Surprisingly good ......	I stayed one night at the Park Plaza on Thursday 19th November with my two sisters and would rate the hotel pretty highly. Excellent location if you are using Waterloo (it's not the most attractive area of London but easy to get to South Bank and over the bridge to Covent Garden etc) and we had a suite with a sitting room and sofa bed that one sister slept on and a double bed with a kichenette inbetween. Good space, nice decor and very quite. Unfortunately we were looking over Waterloo Station but I would imagine the view from the other side is pretty amazing. Lovely staff especially the very friendly Italian girl on Reception who was so, so charming! We didn't have breakfast but you are close to lots of cafe's near County Hall and on South Bank. Very, very good value for money.	
Nov 17 2009 	Great value for the maney	Perfect location for business or leisure. room and toilets were very clean and the decoration was very nice! The best hotel i've stayed in London.	
Nov 17 2009 	Close to everything...good with kids	Stayed there with spouse and two kids. Location was superb; within walking distance of Eye, Westminster, and Waterloo Station. Room was large and clean. Definitely would stay there again.	
Nov 16 2009 	Fine	Stayed here on Saturday night and all was fine, nothing spectaclar about the hotel. The room was clean and spacious, though the sofa bed had been put out and there was only the two of us and we had request one king bed. It wasn't a problem but the room may have had more impact if we had walked into a spacious living area instead of another bedroom.Bathroom was a good size, but a couple of things did let it down, a cracked tile on the floor and a rain forest shower head with blocked jets and I have to agree the glass door isn't the nicest of design features.Overall the hotel was fine, nothing to complain about but also nothing to write home about.	
Nov 14 2009 	The best value for money in London	I`ve stayed here many times, business and sometimes just for a weekend break, the location is fantastic, £8 will get you anywhere worth going in a London cab or the tube is 5 minutes walk. Big Ben view is nice to wake up to in the morning, Leceister Square is only 20 minutes leisurely walk and the London Eye is 10 minutes.Rooms are spacious, clean, staff are very friendly and the concierge and doorman can`t do enough for you.Breakfast is OK, the executive suite is a bit small and the food is no better than the main breakfast area but get down early for either and your safe enough.Only one moan is the lifts, on my last stay one was out of order and was still not fixed after 3 days when we had to leave. Since we were on the 13th floor we had to wait up to 20 minutes for one not completely full but every other time I`ve stayed no problem.Do yourself a favour if you want to spend your money on more important things than £1000 night rooms in the other central hotels and stay here.	
Nov 9 2009 	very sleek new hotel	Booked a double room 'studio' in this new hotel just round the back of Waterloo station - location cannot be beaten - minutes from the Thames and the main cultural attractions of the South Bank. Our room was on the 13th floor and looked over Waterloo station and beyond to Canary Wharf and the oxo tower. The glass lifts had an interesting view into the main open interior of the hotel. The suite was brand new and very sleek - neutral decor, with a large and comfy bed, big wardrobes and lots of storage space. There was a mini kitchen consisting of microwave, espresso machine, kettle, and crockery/cutlery. Only thing that let the kitchen down was the UHT milk sachets in the fridge.The other part of the suite was the living room with its panoramic views - nice modern furniture, and a widescreen tv. Really stylish. Only complaint was that we couldn't get the radio to work properly on the tv - only had radios 1 to 4. The ensuite bathroom had both a large bath and a big shower, with small packs of toiletries and bathrobes. The opaque glass door next to the toilet was a little unnerving - make sure you know your partner well before you book!Reasonable-ish price for the room beign in such a central part of London - £140 for bnb. The breakfast was served from 6.30 to 11 in the 'mezzanine' level - plenty of choice buffet style - including eggs made to order, usual choice of cereals, cooked breakfast, mini croissants were a little stale, but there were pancakes and lots of fresh fruit and continental ham and cheese. Staff very attentive, always coming round to check if you wanted more tea or coffee. Service at check in and out was efficient. The rate also included use of the sauna but we were only there for a night out so didn't take advantage.	
Nov 2 2009 	Outstanding Hotel!!!	The best hotel in the entire history of hotels!The food is beautiful, it's in a nice location, the staff are lovely, the rooms are top class and an AMAZING view when you go down in the lift!This is an OUTSTANDING hotel!I have stayed here twice and cannot WAIT to go back again!	
Nov 1 2009 	Excellent hotel	stayed here for two nights on business - the first night I was kept awake by a dripping shower head all night, so complained when leaving in the morning. On my return in the evening, I had been upgraded to a suite, which was lovely.	
