	FAB-U-LOUS	Excellent value hotel in great location. Called myself and negotiated great rate for bed and breakfast. Good size room (studio) with large bathroom. Clean and comfortable. Very good food especially the room service curry!! All the staff we came into contact with were helpful, efficient and friendly. It only took 15 minutes to walk to the Eye along the river passed the Houses of Parliament so great location. Was very pleased with this hotel and would stay again.	
Nov 19 2009 	Great location	I attended a conference here and the event organisers also book us in the hotel. The layout of the hotel was a little different than you would expect with the reception being tucked away from the main entrance. My room was spacious, the bed comfy and bathroom was great.The only downside was the dirty looking carpets and the absence of an iron and ironing board in the my room.	
Nov 13 2009 	Let down by detail	I only spent a night here on business and so am unable to give any real detailed observations but here are some of my thoughts on the Park Plaza Riverbank.First impressions and the hotel itself looks great, from the lit-up exterior to the ultra modern reception and bar area. It is, like most Park Plazas I've been to, prone to extreme darkness inside and the windowless atmosphere could get to some but I don't really find this to be a problem.Check in was fine and the staff that I met were very friendly and more than happy to help - I'd left my scarf in the bar area on the previous evening and the chap at reception actually left his post to go and didg it out for me, so top marks there!Dig a bit deeper though and there are problems. The room, whilst being very nice, had simply not been cleaned properly. I had a massive stain on the carpet by my window and this is pretty much unacceptable for a four star so-called &quot;luxury&quot; hotel. I could not get either the lights or the tv to work poperly (lights wouldn't go off and tv wouldn't come on) - I would normally put this down to my own inability to work the simplest of technology until I learnt that a number of my colleagues (some who had stayed there on the same evening as me and others who had stayed there earlier) had exactly the same problem. I was also unlucky enough to have a window facing a main line railway and was woken a number of times early the next morning by the first trains running by, be aware of this when checking in and try and get a room away from the line.All in all, not a bad hotel but disappointing in that it really could be much better if it were to eliminate such minor details.	
Nov 4 2009 	Dirty rooms conflicting service	When we first checked in, I was excited....looked like a great hotel and check in was friendly. Then, I saw my room (and apparently I wasn't the only ones with the same concerns). The room was tidy, but not all together clean....specifically the carpet. I don't know when they last vacuumed or steam cleaned those carpets. Wearing my socks, within one minute, they were black. Noted that over the three nights I was there, carpet cleaning was not a priority (there were pieces of paper and hair left over from the vaccuum. Day staff were fine and actually quite good. Night staff was horrible. Rude, no smiles and one had the gall to ask for a tip after being rude. The night concierge had attitude and didn't send up a bell hop when we requested his assistance. Won't be going back.....a shame.	
Nov 2 2009 	Lovely hotel	Just returned from a weekend break at this hotel. The accommodation was excellent even although we did not have a river view ........ how long do you stay in your room on a break in London anyway. The bathroom with walk in shower wa particularly nice. My only complaint concerned the service in the hotel bar. Having been out on the Saturday evening we returned to have a night cap and waere confronted by an agressive demand to know if we were residents. When I said we were the barman demanded to see our room key - again agressively. Apart from this incident the rhe service was exemplary. I would return again	
Nov 2 2009 	Looks can be deceiving	From the website, the Park Plaza gives off the aura of a comfy, contemporary hotel with fab view over the Thames. Be afraid, be very afraid. I checked in, looking for a relaxing weekend full of sleep and shopping, but the minute I got to my room I knew it was not to be. The room was little more than 10ft from the tube lines and you could wave to the passing passengers - NICEI turned on my heels and headed straight back to reception to ask for a different room. The only one they could offer was on the 11th floor which the receptionist said was much quieter. Thus off I marched, and yes it was quiet but at the expense of roasting me half to death. The a/c was useless and the window was locked. I also discovered a vent to the right of my window that was constantly on the go giving off a low annoying hum. With no alternative I headed off to find some earplugs, but even with them stuffed in my ears I could still hear a drone from the vent at night. As for the bathroom, a light remained on even at night and if you didn’t close the wardrobe properly the light from that shone like the Blackpool illuminations. The bath itself was half under the bathroom shelf and the shower cubicle was like washing in a goldfish bowel. I found the staff very standoffish and unfriendly and the maids woke you up at stupid o clock with loud crashing &amp; banging. Relaxing this was not!	
Oct 29 2009 	Aims high falls short but still not bad	If I'd paid the walk in price of over £200 a night I would have been disappointed. The hotel is obviously trying to give the impression of a high class establishment but the devil is in the details:- Stuck on the side of the desk next to the bed is a sticker &quot;Embankment Stores 99p&quot;- the bathroom mirror has strange paint markings, - the window downlight makes noisy creaking noises as it cools down long after it is switched off (i.e. when you are trying to get to sleep)- the meal ordered up was missing one of the components listed in the menu- I had to drap the iron and the whole ironing board it is permanently attached to into the batthroom to fill it up with water - etc...Such details give the impression of a management culture whose heart into the job of living up to the standards the hotel superficially boasts.However I (my company) paid a negotiated rate of £125 - and at this price this hotel is the best I've stayed at in London.	
Oct 25 2009 	nice rooms - but disorganised	when I travel on business I look for a hotel with decent rooms, edible breakfast, and an efficient front desk. In this hotel the rooms are fine, bathrooms particularly good, the breakfast is also good. What let it down for me was the front desk - they couldn't find my booking - even when I showed them the confirmation - and I had to hang about while they phoned the booking agent. The best bit was when I said - just give me a room and I will pay for it myselfcan't do that sir we are fully bookedwell what is the point of phoning the agent?well if they did make a booking then we won't be fully booked any more!Nice view of Westminster from the room but if I were a tourist this is not a part of London I would select - well away from the West end, museums etc - apart from the Tate across the river	
Oct 20 2009 	Well presented contemporary hotel	I stayed here for one night, and it is certainly a city hotel that I would return to.The room and bathroom were very spacious, with a separate bath and shower cubicle (wet room style). The only downside to the room was that you needed earplugs if you didnt want to hear the train coming past your window! The lighting in the bedroom was quite subdued, so ladies if you need to put on your makeup you definitely need to use the bathroom!The reception area and bar areas are well designed with clever use of lighting.Breakfast the following morning was great, loads of choice of hot and cold food.Overall a nice hotel that is well situated for westminster/waterloo areas.	
Oct 19 2009 	I Did not need an Alarm Clock!!!	I stayed for two nights at the Park Plaza in October 2009 and I have to say that this was the worst stay I have ever had in London. As a regular traveller to London for both Business and pleasure I have stayed at a variety of Hotels but none as bad as this.The web site shows magnificent views over the River Thames. What it does not show you is that a lot of the rooms look out onto the Main Railway line south from London !!!. Trains run from 0500hrs in the morning until 0100hrs the next day. Added to this the toilet in my room broke down. The breakfast in the hotel was also very poor with queues for up to 10 minutes waiting to be seated. When I complained, I was not moved to a different room. This is not a Hotel for business people who need a good nights sleep	
Oct 16 2009 	Not designed for sleeping or washing	This is a very clean and smart hotel in a good location and the staff are pleasant. But I couldn't sleep, and that was really all I wanted. This was because strange random lights are stashed all over the room. An orange one, a green one, a flashing lilac one. The bathroom light doesn't go off at all. And there are no bedside lights, just horribly bright ceiling lights above the bed. So much of my night was spent wandering around in the dark with folded bits of cardboard trying to isolate and cover them. (They disappeared when I switched the main floodlights on although admittedly by this point I was disorientated due to sleep deprivation.) These desperate little expeditions were punctuated by howls and screams each time my feet or ankles collided with the vicious divan base of the bed. At one point rolling on bed, drumming fists, sobbing in agony and frustration.... Why would a room be designed in this way? A BEDROOM? I'm willing to overlook half of the bath being under the bathroom shelf. I could live with the extortionate £5 tray charge I had to hand over before the breakfast tray was mine (though sadly not the deep fried vegetarian breakfast - inedible), the fact it took 25 minutes to fill a lukewarm bath, the fact that I requested a smoking room and the hotel is entirely non smoking (had they warned me when the booking was made it would have been OK but they didn't). So yes, its fabulous so long as sleeping and hot water are not top of your list for creature comforts. Had the stay been longer than a night I'd have had to stay somewhere else. Never again.	
