	ubiquitous large hotel but excellent value for money	Rooms were a decent size, very clean and very quiet. Excellent location and good value for money.	
Nov 24 2009 	rooms not up to standard but not really the staff's fault	Having chosen the park Plaza for its location and we had stayed at the park Plaza Westminster before and having a fab stay. In a excutive suite. We were looking forward to re- living the experiance.Although centrally located for great shopping walking and restaurants, the park Plaza seemed dingy to say the least. The rooms were tired, marks and stains to furniture and carpets, curtains thin and ill fitting, rooms felt cold and un loved. The sliding door to the open terrace could not be locked and i found the place a little depressing. The staff on reception were friendly enough and we were invited to enjoy an excutive lounge were there were free drinks, canapes &amp; papers - yet another dull room, with hard chairs, bright lights very poor drinks selection and canapes? some sort of chicken mousse sausage thing sliced and served on a cracker (tasted of nothing) and a bowl of chinese rice crackers! if you are giving away anything give good or not at all.The location is great for station and many eating houses! but the Westiminter park plaza is leagues ahead far nicer, cosy, contempory styling and a much warmer feeling.	
Nov 24 2009 	Bed needed to be upgrade	Very good well designed hotel ,The location and breakfast is good.However, the downsides are :1) No air condition at winter tiimes, only warm air will blow out from the machine.So stuffy room foe some days and need to open the window.2) The beds become too soft or due to overused and you can't feel the support of the mattress at all.So very uncomforably bed and pillows.So I think they should put more money in maintaining or upgrading the bed mattress and blankets.I prefer a hotel with provision of all the basic stuffs such as good sleep bed and pillows rather than having a good looking hotel. 3) also early check in is usually not entertained although I've seen empty rooms upstairs.4) The internet rate is expensive : 15 pounds per day or 60 pounds a week .Most likely I would not come back again, I think I can find better one with similar price nearby	
Nov 19 2009 	ParK Plaza Victoria	The good points were : complimentary morning paper, excellent buffet breakfast, freedrink from 6 to 8 PM. The hotel is located in a good location (near Victoria Station) withgood restaurants near by. The only neagative was our room had a faulty toilet that would not flush. We had to complain three times before we were moved to another room.Inspite of this, I would still recommend the hotel.	
Nov 15 2009 	Excellent well located hotel	We stayed at this hotel for one Saturday evening in November. We arrived at the hotel at 0945 not expecting to check in but just drop our bags, we were greeted by an excellent receptionist who welcomed us to the hotel and offered to check us in, there was four in the party and we had requested rooms close to each other. The receptionist offered to up grade us to a two bedroomed family apartment at no extra cost so we could all stay together, the apartment was excellent on the 8th floor with a large lounge area with wide screen TV, table and chairs for 4 people, fully equipped kitchen facilities - hob, microwave, fridge, dishwasher, kettle.This was excellent as you could bring things back to your room to cook, especially handy if your staying for longer than one night. The apartment had a huge outside balcony from which you could view many of the city's sights as well as watching the many planes go past every couple of minutes. The bathroom was well equipped with hair dryer, toiletries, large walk in shower as well as a huge bath with shower head. The bedrooms were ok in size but also had large screen tv's. The hotel is in an excellent location right behind Victoria station, easy to get to from most areas of London. We used the tube and buses to travel around and did not have any worries about coming back to the hotel late on the evening. We did not have anything to eat or drink in the hotel so cannot comment on prices or quality but the services we did use were all excellent, it seems the hotel is fairly new and the decor was very modern. The staff we came into contact with were all very friendly and helpful. When we checked out we used the free luggage storage service which seemed very secure as this was only accessed by the conceirge	
Nov 13 2009 	OK hotel but overpriced	I have stayed at this hotel many times since we have a corporate rate and it is close to the office. The location is very close to Victoria station. The staff is usually helpful and friendly and the rooms are usually clean, although a bit small (even for London). However, I have found there is always something wrong with the room. My last stay it was the heating in the room. Other times there has been dripping water in the bathroom, keycards that get de-magnetized on your way from the reception to the room, noisy air-conditioning, etc.The breakfast buffet is very good.	
Nov 13 2009 	disappointed..wont stay any more.	have stayed in park plaza london earlier also.last 2 times had some issues..one or the other.this time was terrible.No internet connection in the room.very poor support.promises to set right never kept.had to meet the GM.nice person&gt;&gt;.helped with wireless internet connection.from the day till i came until i left Mini Bar never worked.....many reminders ..many promises..no action.to check in..to checkout..and to address a concern..long waiting at the Reception Desk.the main prtoblem with the hotel seems to be no action being taklen or...very delayed action.all staff coulkd be more friendly(except very few).Dop Not Disturb Sign is not respected.House keeping staff who do not speak english just walk into the room even without knocking at the door.remember to always request for the Body Soap...if not you dont get it in the Toilet...it seems the Hotel does not want any one to have a shower with Soap!!!:)in the room during winter the Air conditioning only heats up.too warm if AC switched on.have to keep windows open...again...makes it noisy in the night.Heard that whoever made this Hotel this is how it was made!!!!unbelievable!!!time to call someone to set it right.good things are that the hotel is close to Victoria station.good location.	
Nov 11 2009 	Nice hotel great location	I really enjoyed staying at this hotel. Booked it because of the conference, I was not disappointed. The hotel is modern and clean and has an efficient professional staff, all very friendly and welcoming. Concierges are very helpful, especially Danny. The room was very spacious the bed was comfortable, the room had US adapter. The breakfast at the hotel was very good.Hotel has a great location for vacation or business, very central for a lot of the touristy sights. 2 minutes walk to Victoria train station and Tube, shopping close by, lots of great restaurants and bars .Walking distance to Parliament and Buckingham Palace.	
Nov 3 2009 	A real find	We use this hotel at least twice a year and love it. Decided to post as I am amazed at the negative reports. Firstly, always book an exec. room the difference in price is well worth it. To find an hotel in the centre of London at such a good rate is in itself a huge plus. Love the early evening freebie as we then meet other guests and a party atmosphere soon develops before we all go our own ways. The staff have always been polite and accommodating. Only gripe - rooms need more light.	
Oct 29 2009 	Excellent location for famlies	We stayed for 3 nights with a package that included breakfast and free drinks and nibbles from 6-8 PM. First time at the Victoria, we usually stay at the County Hall site Excellent location for the tube or just walking into the City centre. No distance from Buckingham Palace. There’s plenty of good restaurants around the hotel, we used Giraffe, Wagamama and a great little Mexican restaurantLocation is clean and safe. The only problem was that our room was next to the lift shaft, we got used to the constant droning after the first 8 hours!Breakfast was very good, no waiting and pleasant staff. Very similar to the County Hall Park Plaza in decor and facilities, will be interesting to see what happens when the new Westminster Park Plaza hotel opens.Would stay again, excellent for families. There are cheaper hotels in London but at the end of the day you get what you pay for	
Oct 22 2009 	Great Location	We stayed at the hotel for 2 nights (Oct 16/17) whilst visiting London for a family wedding.Personally I found the hotel's location perfect, close to Victoria Station/Tube, and therefore the rest of London. The hotel itself is perfectly fine, the rooms being large &amp; clean &amp; the reception/bar area quite nice. We did not eat at the hotel but did take breakfast across the road both mornings in the 'Giraffe' restaurant which was very tasty. There are also a lot of restaurants close by. When I return to visit London in the future I would definitely consider staying here again because of the location and the room rate we got through prepaying for our rooms thru the hotel's website.	
