	Almost Perfect...	I was in London on 21-24.11.2009. We stayed in Premier inn which is situated in center of London (50m from London Eye and Big Ben). They have unconventional reception which is very good (you can check-in on check-in machine if you want to, so there is no waiting). We have reserved twin bedroom but we have got a extra large bedroom with one double bed and one bed extra!!! Great!!! Room was perfect. Extra clean with nice and clean bathroom, flat TV, hairdrayer, cofee machine...Breakfast is so good that I can't describe... Full english buffet breakfast... planty of everthing... no more words... One and one only thing which has not been OK is that shampoo in our bedroom stayed empty for all three days. Definetly I'm going again in Premier inn...	
Nov 25 2009 	Excellent location would highly recommend.	This hotel is excellently located, right beside the London eye and Waterloo Station. It feels a little bit soul-less, but I guess this is the very selling feature of these type of branded hotels. The electronic check in makes for a hassle free beginning to your stay, which carries on through the remainder of your stay. The rooms are spacious, clean, comfortable and minimal. For us, who just wanted a base from which to visit the city it was a perfect crash pad. We decided not to bother getting breakfast in the hotel due to some other reviews here, however there is an Italian cafe bar right across the street which did a delicious full breakfast.	
Nov 19 2009 	Pleasantly surprised!	Went to London for long weekend towards end of summer holidays. Booked this hotel after searching for ages for suitable place and availability. This hotel hasn't been open long. Arrived at hotel and left our bags in the secure baggage area and went out for the day. We had a family room which was massive. There was a very big double (which was also quite high and our 4 year old fell out of it one night), a sort of mattress single on the floor, and a sofa bed. The view was sadly not of the Thames (the hotel takes up the back of County Hall) but we had a view of the restaurants and shops adjacent. The staff were all very friendly and happy. Breakfast was lovely. It was self-service and had everything you could want for breakfast. There is a restaurant there but we didn't use it as there are so many other restaurants in that area (like Pizza Express).Obviously the major selling point of this hotel is its location it is in the same building as the ticket hall for the London Eye, and next to the Thames. The only drawback was that the lifts were quite difficult to get into in the morning. They were full with people from the floors above. Tried to find stairs, but no joy.Really recommend this one.	
Nov 18 2009 	A great base for visiting London	At the end of the day it is a Premier Inn, you know what to expect. If you are visiting London as a tourist and you need a base then this is ideal. Perfect for the London Eye, even if you haven't booked as you are so close you can turn up when it opens and have a good chance of getting on without a long wait. Breakfast at McDonalds if you are on a budget (yes i know!!- but i had kids with me) Great for the Aquarim, the 3d cinema, the Thames, Parliament , horseguards, the list goes on. And they have family rooms, have stayed here before - will stay here again.	
Nov 17 2009 	What more do you need!	Reception was in upheavel due to refurb, however I did receive a very pleasant warning phone call the day before check in and received a warm welcome on arrival. Check in was efficient and I was soon in my room. Rear view overlooking a drab courtyard and the 'eye', but for the convenience of this location the view was not on my list of priorities. The room was spotless, really comfortable bed &amp; pillows(which are often neglected) and excellent blackout curtains. My only slight moan was that the water could have been hotter for a bath, however the shower was good. There really isn't much more you could ask of a hotel room.Breakfast was excellent value at £7.50. I agree with the previous reviewer about the location of the toast - lots of children about and a possible accident blackspot. All in all great value and an excellent base for visiting London with many attractions being in walking distance.Customer service was good and every member of staff introduced themselves and seemed genuinely keen to help, offer further information and generally ensure we had a good stay.Use the Tripper boat from the pier (200yrds) - it stops by St Pauls, the Tate, O2 and is a comfortable &amp; clean or it's only a short walk to the tube.	
Nov 17 2009 	Dissapointlingly flawed	We had a standard double room but it was large with a good sized shower/bath. It was spotlessly clean and seemed newly decorated. The bathroom fittings were also new. the bed was comfortable and initial impressions were good. HOWEVER: the windows are old with cheap internal secondary double glazing. Neither the original or the new set fitted very well and there was a howling banshee noise for most of our three night stay (it was a particularly windy period). There was no suitcase rest so they had to go on the floor (but there was at least ample room). We couldn't hear any outside noise above the howling wind but the walls between the bedrooms have very poorly sound insulation so we could hear every word of a loudish discussion between our neighbours.There was no shaver socket and reception ran out of adaptors. Breakfast is good value if you want English but there is a poor choice of continental alternatives - no cheese or cold meats. Breakfast was a bit chaotic - I think they were undrstaffed and they kept running out of items - such as mugs, milk, tea bags etc. However, the staff were friendly and helpful and certainly worked hard.Generally, we are happy if a hotel produces a good nights sleep and is clean but for the money we had hoped for a bit more.	
Nov 14 2009 	Listen to what others are saying	Ok to start off we decided to spend a weekend in London, I have stayed at this hotel before on business so knew the location pretty well. We arrived early at the hotel, 1200, and were advised that a room was available immediately, I had requested a room overlooking the gardens however the room we were allocated overlooked a pretty dismal courtyard and the upper half of the London Eye. I was happy to accept this room however as it was available immediately and allowed us to commence our London experience straight away.We were advised beforehand that work was being undertaken but were assured that this would not affect our stay..this was slightly incorrect as the painters on our floor woke us quite early, the store they were using was located right beside our room and they seem to use it noisily and regularly, suffice to say the room did not feel intimate.We ate at the hotel on our first night and can honestly say that the food was good and value for money, my only niggle here was that I ordered a Coffee and Brandy, hey we're on holiday, the Brandy came in a Coke type glass, the Coffee in a Breakfast Mug not the most classy way of serving but to be fair the Barman did have trainee written on his badge...bit more mentoring maybe. Had Breakfast on one morning...worth every penny..but again a small niggle, not enough toast making facilities and the location of the toast maker is an accident waiting to happen as the staff have to squeeze through the queue with hot food being replenished.Anyway will cut a long story short, Management if you're listening, more toast facilities, a bit more attention to small details, glasses etc, and please for the love of God change that Loo Roll you're using.	
Nov 13 2009 	Exceptional customer service highly recommended	Stayed here for 2 nights sightseeing in London. Hotel is in a great location, 2 minutes walk from Waterloo Station and close enough to be able to walk to Covent Garden, Trafalgar Square, National Gallery, Tate Modern and Shakespeare's Globe (to name just a few). My initial fears about staying in a Premier Inn were soon put to rest - the room was spotless, the bed comfortable enough and the bedding was cool, crisp white cotton sheets. In the bedroom the only downside was the ferocity of the door closing mechanism on the bathroom which meant the door slammed whenever you went in or out, and no way of dispersing the steam after having a shower. Weird.All the staff - from reception to restaurant workers were friendly, helpful and smiling. The breakfast was plentiful, I have no complaints about the quantity or quality of food, even at peak times. Our only problem was late night revelry from our next door neighbours. The downside of a 'budget' hotel like this is that it attracts school groups and we had such a group on our corridor. After putting up with a fair amount of squealing, door banging and people running up and down outside our room we called reception (it was about 1 a.m.), they apologised and I don't know how they did it but they calmed it all down and we had an excellent night's sleep. I get the impression that they spend a lot of time and money on getting it right for the customer - they have a very smooth operation here and it shows.	
Nov 10 2009 	Great hotel but need better receptionist!!!	Lovely hotel very bad receptionist. Major attitude problem and couldn't cope with problems. was unable to give us a key for our room due to problems with key cutting machine but did give us the helpful suggestion of leaving our room open when we left it so that we could get back in again!!! what a great security system that was!!! It was 11pm that night before key was available, terribly inconvenient and no apology not even a key for the lights but was still able to take our money from us. and when we did get our key it worked for a few hours but locked us out again the following day. Clean and spacious bedrooms with fabulous breakfast that kept us going all day, lovely bar staff especially the young man with his name badge saying &quot;in training&quot; aka fernandez......great location with everything nearby.would stay again but could do without the friendly receptionist.	
Oct 30 2009 	Great hotel - perfect location - but needs to sort breakfast out	Booked this hotel as the reviews were excellent. Was delighted with everything except the breakfast. We booked an alloted time slot, but still the breakfast was a shambles. Both mornings they ran out of plates, or main items from the cooked breakfast. Because of this queues were ridiculous, and what should have been an enjoyable breakfast was in fact a stressful one. Would think twice about having the breakfast there again. The price covered &quot;as much as you could eat&quot; but we only managed a small plate, and then could not be bothered to join the cattle market for fruit or top ups.The hotel was excellent in every other way.	
Oct 30 2009 	Thoroughly enjoyable	Stayed at the premier inn during a city break to London. We wanted a good base to explore the city from without spending too much money. The premier inn was extremely reasonably priced. The room was very large and modern. There was no view as it faced an inner courtyard, but also no noise from traffic. The decor was modern and in excellent condition. The room really was spotlessly clean. Opposite the hotel there were a few noodle bars / pubs and small shop ideal for late night snacks! Overall had a very comfortable and enjoyable stay. Would absolutely stay here again on next trip to london.	
Oct 29 2009 	Good hotel great staff	I arrived at the hotel the 21th of september arround 10h30 or 11.The room was allready free so i could go and put my stuff in the room.The check in at the frontdesk went quickly. A friendly member of staff even helped me to solve a problem with my cellphone (i had to unlock my sim). So thanks to the friendly lady, my stay began great. The room was on the 2nd floor. The rooms was large (not like most of the 1 person room in london) the room had a larger bed, a desk, a TV-set and some seats. you could also make your own coffee. The bathroom was great (bathtub,...).A downside was that it was a little hot in the room. The hotel has also a great restaurant and bar. You can eat well for a good price. I would love to come back to this hotel, this was one of the better ones i has stayed in London.	
Oct 28 2009 	Good Hotel Good Location	I stayed here for 2 nights on business. The location is very good, right next to the London eye and there's plenty of bars and restaurants in the area. I would imagine it would be a very good spot to stay if you were sightseeing. The room was actually a very decent size and perfectly clean, as was the bathroom.The staff were perfectly professional and breakfast was tasty enough. The only downsides were the lack of free wifi (although this seems to be becoming more and more common now) and the lifts! You may think I'm being trivial, but on Saturday morning I must have waited 10 minutes for a free lift to finally arrive, which considering I was only on the 2nd floor was a bit annoying. I would have happily taken the stairs, but there aren't any (bar an alarmed fire escape).But overall, no major complaints and I would be happy to stay again for business or pleasure.	
Oct 22 2009 	October Break	The hotel was great. The staff were very friendly which made the trip even better. This hotel is very central which made travelling around very easy. I recommend highly.	
Oct 22 2009 	Great Location	Great location within walking distance of many sites and attractions. Room was clean and staff friendly and helpful.Buffet breakfast was good with plenty of choice of hot and cold items and filled us up until dinner. Dinners were good value and very tasty. Server in the restuarant for breakfast and dinner was friendly and efficient.	
Oct 20 2009 	great location for tourists average hotel	If you are a tourist you'll love the location within walking distance of many attractions. The hotel itself is nothing special. Single rooms are small but seemed clean enough and the bed comfortable enough. Hotel food looked expensive, but there are a lot of cheaper options within walking distance. The hotel subcontracts to a company which charged 9 pounds per day for in-room internet. This hotel is not the most quiet place. One night the room was noisy (mechanical noise or pipes). One morning there was a fire drill and everyone had to leave their rooms. Also worth mentioning this property is under construction. Cleaning staff is courteous.Overall a good stay.	
Oct 20 2009 	Clean comfortable efficient and in a good location	Stayed with colleagues during a business trip to London. Check-in was very efficient and the staff were smiling and joking with us. My room on second floor looked out onto a courtyard and had been very recently renovated. The decorators were still in the lift lobby and were using one of the three lift which meant we had to wait a while for the lift in the morning. The room was clean, bright and comfortable and the bed was a good sized comfortable double. You could even open the window, although I regretted that at 6am when a skip lorry reversed into the courtyard below my window - beep, beep, beep!!!Breakfast was excellent as it always is at Premier Inns.Overall this is a good place to stay for the money and is well located.	
Oct 20 2009 	Good value clean friendly	Great location, very clean room, friendly staff. We (2 adults + 2 teenagers) had a spacious family room in 4th floor facing the inner court. Quiet but not much to look at! Only minuses: the mattresses were a bit hard and the breakfast room was a bit too crowded and busy. All in all, excellent value for money &amp; we will certainly stay here again.	
Oct 12 2009 	A Location That Can't Be Beat ... and the rooms are great too!	On a recent trip to London, my family (husband and 10 year old son) stayed at the Premier Inn County Hall. With a location that's practically next door to the London Eye, we found the hotel to be within walking distance to many of the attractions we wanted to see. From our hotel, we were able to make our way on foot to the Tower of London on one day and to the British Museum the next. I had low expectations for &quot;family&quot; rooms, and thought we would be cramped. I was wrong! Our room was very generously sized, with two double beds and plenty of space for my energetic youngster. The room had been so recently renovated that we could still smell the fresh paint and fixtures in the bathroom!	
Oct 11 2009 	Good Location service and price	We stayed here for 6 nights. Wonderful location - just below the London Eye, 5 minutes walk from the Parliament buildings and Big Ben. Easy access from the Waterloo station as well as the Westminister station.The breakfast was economical with their free for kids offer. Rooms were neat and they changed the linens every day. We took the family room, i would not say it was big, but spacious enough for travellers who are there for sight seeing, as most of the day we were out and would go the room after dinner.We did not have lunch in the hotel so cannot comment on that. For two nights we ordered Pizza from the hotel for dinner - It was very good.Staff were friendly.I would recommend this hotel for all type of travellers.	
Oct 9 2009 	Good price for location cleanliness and purpose.	London can get very expensive, so its nice that a budget hotel has almost all the amenities of one of the pricier chains. We weren't planning to stay in our hotel all day, so we were just looking for a clean place to sleep, have a hot shower, feel safe, and convenient. Walking distance to Underground and the Eye. There's the park nearby where locals like to hangout. There is also the Royal Festival Hall with lots of food options. The only reason why I give it 4 stars, is because one night, we came back after a long day of sightseeing only to find that our key to our room no longer worked. We were on the 6th floor, a several rooms away from the elevator, so it was a little annoying to have to go all the way back down to the lobby to get our key fixed. Also, some of the buttons on our room phone didn't work. The staff were kind enough to let me use their phone, but again, that meant walking all the way down to the lobby to make a call.Nonetheless, I would stay here again. One other item to note, there is a nightly charge to use the safe, so make sure you let them know you plan to use it when you check in.	
Oct 9 2009 	Very good value terrific location	We stayed at the Premier Inn London for three days in September. The locaiton is terrific, right by the London Eye and Big Ben. One of the other reviewers mentioned there is no airconditioning, which would have been problematic if it wasn't so cool outside. But, the kids ate free and we had a very nice family room at a good price. And it was really clean. This hotel is conveniently located between two tube stations and has a lot of restaurants and attractions within walking distance. I would defintely stay here again with my family.	
Oct 9 2009 	WOW location economy quality	I have stayed in several inner city London hotels/budget accoms and this tops them all. Right in the middle of things you have this budget hotel that continues the premiere Inn great quality...sure it costs a little more but nothing in relation to other london accom.How great to wander out from your great night sleep accom directly on to London eye and any of the wondrous things just in the same County Hall building, let alone going any where...but just down the way is parliament buildings, big ben and westminster abbey...or the festival hall...all tours pass by and yet it retains a quietness in the streets outside because you have dropped down beneath the main roads...I would highly recommend this for those dipping into London for a few days before departing on international flights...one of the highlights was in fact the ease of getting out of London to Heathrow....Booked Dot to Dot as a transfer provider and was very impressed at everything about thie operation. I had booked online 3 months before but they had everything right there when I rang to confirm...more from my anxiety thatn a real need to do that. We were amazed by the large roomy vehicle that arrived that was much more luxurious that our international flight turned out to be...they were efficient, on time and no hassle from a very central location...	
Oct 6 2009 	Highly Recommended	I Stayed with the family for 3 days from September 23 - 26. Earlier I had requested for a room on the higher floors. I was given family room 517. Fifth floor very quite indeed. I believe there is renovation happening on the second floor. The room was kinda stuffy. But there was a small table fan provided and that served the purpose. The positive points are location, friendly staff, clean for the that price($214, w/breakfast). No other hotel can beat that price. Breakfast was okay too. The negative point is that there is no free internet.	
Oct 4 2009 	Doesn't get any better	I have been using the County Hall Premier Inn for 5 years and it always gets me just how consistent they are. I have met more employees than I care to remmeber but the experience is always first class.	
Sep 30 2009 	Best value in London	Stayed over in London for a long weekend. This is my 3rd time at County Hall but this is my first review attempt. I just had to say that this hotel is brilliant. The staff are very attentive, smiling and polite, but not &quot;in your face&quot;. The room we had was LARGE, quiet and very clean.The breakfast is good and there's plenty of it - the coffee is exceptional.Bottomline: I wouldn't stay anywhere else when I'm down in the Smoke, either on business or leisure.	
Sep 21 2009 	Clean simple great location service and value	Fourth time I'd stayed here. Half the price of other London hotels we looked at. Clean, quiet room. Wonderful customer service (inluding free printing from internet). We arrived early, and they allowed us to check in early as they had a room available. No frills, but everything you'd want in a hotel. And the location can't be faulted - slap bang by the Houses of Parliament, London Eye, and several underground lines (District and Circle, Jubilee and Bakerloo).	
Sep 19 2009	Recommended	My second trip to London, first time on business this time for vacation (took my mother). First time I stayed at the Brown's hotel which was nice, but wouldn't pay that much myselft (company picked up the tab).I don't normally do these kinds of reviews, but since I was paying this trip myself I did alot of research on this website so I felt like I needed to give back. I travel every couple of months (business) and normlly stay at high-dollar resorts/hotels (Four Seasons, etc.). So keep that in mind with these reviews.This is what I didnt' like about this hotel:No AC. The weather was cool enough that we could keep the window open, however there allowed some outside noise in. Not enough to keep us awake, but somewhat irritating.No small shower gel/shampoo bottles, instead we get a push dispenser like you might find in a public restroom. I didn't like it and ran out of soap during one shower.No small bar of hand soap for the bathroom sink, instead we got a push dispenser like you'd find in a public restroom. I found it a little cheesy.No kleenex, instead we had to use the toilet paper. I personally don't like to use toilet paper for that purpose (to close to the toilet).The bath/hand towels were scratchy.There were feminine hygenie bags on the counter above the toilet. I found that a little un-classy.The toilet paper was rough and broke apart easy.I did not like the toilet seat (uncomfortable).The bathroom counter was small (18&quot; x 24&quot;).The bathroom door was spring loaded (because steam could set off the fire alarms). I'd have to jam it open after a shower.Had a duvet instead of sheets. I personally don't like them.The bed matress was hard, not to my liking.The hangers are permanently mounted to the open closet/TV shelf contraption. My mother asked for extra hangers and they had none. Also, I like to hang my clothes in the bathroom when I shower to steam out wrinkles but couldn't due to this setup.The area was a little noiser that I would have cared for (especially with needing to keep windows open.I had to pay extra for Internet ($15/night).What I liked about the hotel:It was clean.The hotel staff were polite and helpful.Price ($194/night)! Would have been a little cheaper had I remembered to get my VAT back. For central London, hard to beat that price. Check out the prices of Mariott County Hall which is in the same building.Location, right next to the London Eye, close to bust stops, train station, tube station and lot's of sights.Overall, I can highly recommend this hotel and will seriously consider using it for any future personal travel to London.	
Sep 15 2009 	Great hotel but........	This hotel is all that you expect from the Premier Inn chain, clean and efficient with good friendly staff. There is a lot of refurbishment going on at the moment and the room we had was brand new, comfortable and with a good bathroom. The breakfast room looked chaotic and overcrowded but was really smooth running with a great choice of hot and cold food. Our only gripe was that when we turned up in the evening for a pre booked table we were told that we would have to wait as they were very busy, which was strange as the restaurant was barely half full,but the head waiter took an order for drinks and said he would be back to take our order. Twenty minutes later he returned to say that he was just going to get our drinks except he'd forgotten what we had ordered, &quot;sorry but we are so busy,&quot; although in all that time we had seen no meals served and there were still more empty tables than occupied ones. It looked a classic case of short staff in the kitchens. We left and went to what was areally good Italian restaurant just up the road.Would recommend this hotel for comfort, cleanliness and location but steer clear of the restaurant in the evening.	
Sep 10 2009 	it made me proud to be british	we stayed in room 525 for 2 nights, clean, fresh, spacious, quiet, tea and coffee facilities, t v and comfortable beds. ALL staff we came into contact with were friendly and welcoming, with smiles and offers of assitance. A fantastic location to discover all thats good in london. Bar prices are not inflated and the bar staff smile a welcome before you even get to the bar. 2 minutes from waterloo station. An absolute english gem. Lenny Henry told it just like it is - pity we missed him!!!	
Sep 10 2009 	great location	Excellent value hotel. Great location. Comfortable room. Helpful/friendly staff.Downside: steps up to reception when carrying suitcases not easy. No laundry facilities (problem if you are staying long time). No safe for valuables in room.	
Sep 8 2009 	You won't find better for the money!	We recently stayed at the hotel in late August with my two children who are 5 and 7,for two nights.Its position is perfect,right alongside the South Bank ,in touching distance of the London Eye and a five walk from Victoria station.The room we had,although basic ,had been newly re-furbished.It was exceptionally clean as you would expect .The staff were extremely friendly and helpful,and without meaning to sound like a biggot all of them seemed to be English.They even smiled at us on our arrival,a real rarity now in the UK.Customer service was first class.The breakfast was good and the children eat free.The evening meal was not much to write home about,but hey,this is a budget hotel and a real rarity in London to have one with such quality.The beer that I had with my dinner appeared watered down.I'm not a drinker though,so this didn't matter.My only gripe was that my Children didn't have proper beds.One had a bed settee made up and the other had a mattress on the floor.Had it been older carpet I would have complained.The rooms were a little warm ,but it was explained that its a listed building and the planners wouldn't allow air conditioning.Reception brought a fan up without hesitation when I mentioned that the room was warm.I would have no hesitation in staying here again.You only have to check the other reviews on here.Don't bother looking around for other alternatives, book it ! You won't find better for the money.	
Sep 5 2009 	GREAT LOCATION. WILL GET BETTER WITH MAKEOVER.	My family and i stayed for just 1 night in the premier inn in county hall london in glorious august weather. The location is amazing. County hall contains the london aqurium and is right next to the london eye. The nightlife around there is incredible with street performers, park for the kids all with lit up by the houses of lords. BUT!!!!. We went in august in blistering heat and this hotel has no air conditioning. The temp in the rooms was in the 30's and out of all the premier we've been in this was pretty basic. It is due to have a multi million pound facelift so i'd leave it till next year to go there again. Oh and by the way breakfast GREAT, dinner was rubbish. Staff were friendly though.	
Aug 30 2009 	Highly recommended	Everything about this hotel is exceptional. The location (50 yards from London Eye and Westminster Bridge) is second to none. From the moment we arrived to the time we left the staff were extremely welcoming and nothing was ever too much trouble. We stayed here for breakfast and at £7.95 for adults and kids eat free you dont expect too much, how wrong I was. I have stayed at many hotels over the years and the quality of the food was truly exceptional. Even the prices in the bar are very reasonable.We were able to check in early as our room was ready and we left our luggage at the hotel whilst we spent our last day seing the sights. Premier Inn is now my number one choice for a hotel for my family.Well done	
