	Great location for traveling out of the capital	Recently spent the night at Premier Inn Euston, i must say that the location of this hotel for both Euston Station and Kings Cross was great, i go to visit my Parents in Berwick upon Tweed quiet regularly so having a good hotel close to the station has been great . If you need to get an early morning train ,then i would recomend this Hotel, the staff are were very polite and rooms very clean, breakfast was reasonable as it was a buffet and you could eat whatever you liked and even started at 6.30am.I hope this helps anyone planning to stay in London.	
Nov 25 2009 	Good no frills hotel at a good location	The hotel was as expected, a no frills hotel focusing on the basic needs of a traveler. Friendly staff. The room was clean, the heating worked fine and hot water plentiful. Our only complaint is that the humidity in the room was excessive. Water condensed between the windows and formed puddles between the inner and outer set of windows. Running the AC at least part time would probably have helped. Anyway, due to the humidity the air in the room had a whiff of mold to it. We only had breakfast in the hotel restaurant. The breakfast had a nice selection of items ranging from healthy to anything but.	
Nov 20 2009 	Nothing to complain about	I stayed here overnight a few days ago whilst in London for work. The reception staff were welcoming considerate and I couldnt have asked for more. The room was wonderfully clean.As a woman travelling alone I am always aware of my safety and felt as safe as possible in this hotel. I met a member of the staff in the corridor and he said &quot;hello&quot;, a simple thing but not something you get everywhere!!!Reception offered me a meal deal..£20 for breakfast and a two course dinner plus drink. This was excellent value and well worth the money. I would recommend it. The dining room is too small for the number of people who choose to use it but then again this is a good sign that so many people choose to eat in house. Do not leave going for dinner or breakfast until the last minute. Reception booked me a table and I still had to wait in line but the staff were wonderful.I was facing the Euston Road in room 207, a good nights sleep is guaranteed and there is double glazing which is good but the road never sleeps and I did hear sirens in the night. Not the hotel or staffs fault this is central London after all.A very positive experience and I do look for faults!!! Travelling alone for work can be quite lonely but the attitude of the staff made me feel valued and this appeared to be the case with their other customers too. There will always be someone who can find something to complain about but not me. Room was about £120 for the night but again it is central London.	
Nov 17 2009 	Good enough for us!	Good sized rooms, spotlessly clean, newish hotel, OK location (good for St Pancras &amp; British Museum), friendly staff.Breakfast room not big enough so be prepared to queue at peak times. Good value breakfast if you want the full English but the lack of cheese and cold meats limits the continental choice. We experienced no road or guest noise.No shaver sockets in room and they ran out of adaptors so be prepared.Overall goodish value for money for London	
Nov 17 2009 	Service beyond my expectations	When choosing our hotel we checked out reviews here and were a bit concerned to be honest, but felt that when it comes to Premier Inn you pretty much know what you're going to get... how wrong I was, I got so much more and then some!We had informed Premier Inn Euston that we would arrive after 8pm and were driving from Glasgow. At 11pm reception called to make sure we were okay. The reception was warm and welcoming and they guy on reception acknowledged the kids and gave them a couple of kids packs containing crayons, some colouring in and a little book. He told us about the 'good night sleep guarantee' and made sure we knew when and were to get breakfast. The room was fine for our needs, not smelly, not damp. Carpeting was a bit worn and had a couple of cigarette burns from the days before the smoking ban, but nothing more than you would expect from a busy city hotel and nothing alarming or unsanitary, just regular minimal wear &amp; tear). Our room was on a corner and overlooked busy Dukes Road, but we were not disturbed at all by the traffic noise (windows are soundproofed).I did ask for an extra pillow on my way out to sightsee and when I got back found they'd given me 2.The room had a safe, which could be activated by reception at a cost of £1.50 per day, this I was the only thing I wasn't happy about, I felt that it should be free as essentially we would be protecting our valuables from people with access to the room (ie staff).Breakfast was £7.95 per adult, with up to 2 kids per adult dining free. It was 'all you can eat' and if Premier Inn withdraw this offer due to my kids eating them out of house and home I can only appologise! Breakfast was exceptional, self service with cooked and continental available. There was plenty of it despite it being busy and it was all really good quality (Lincolnshire sausages, extras like poached/boiled egg or porridge available on request). There were plenty of staff on hand making it run smoothly, topping up and clearing away. The kitchen was visible to the public from the dining area (always a good sign in my book) and was immaculate.They have a dinner offer too which we didn't take advantage of, but we did order some nibbles and drinks and took some up to our room (which Premier Inn is happy for us to do, so no sneaking around!) All staff were friendly, well presented, polite and smiling. Even in passing they would say hello and if approached for any reason they would end all contact by asking if we were happy with our stay and if they could do anything else for us. There was internet access available in reception (20p per minute, or you can have wifi in the room), but printing was not available. I advised the reception that I wanted to book something online and print tickets off, she gave me their email address and asked me to email the tickets to the hotel and she would be happy to print them off.They also have a mobile phone charging facility in the reception area which we never used.We had planned to check out on Saturday morning and go to friends 45 min drive away, but decided just to leave on the Friday night instead. The receptionist asked if we were unhappy with them for any reason and seemed genuinely concerned we were leaving early, I reassured him that we had really only needed a base for Friday and had no reason to stay over so were just heading off to our next destination early.There is parking available, but only something like 16 spaces so it was disappointing that we couldn't book a parking space at the hotel as we drove for 7 hrs, but there was ample parking nearby at Euston Station less than 5 minutes walk away and (stopping outside the hotel to drop me and kids and luggage off while him indoors parked) was not an issue as the entrance is on a side street off busy Dukes Road.To be honest I had hoped to get a cheaper deal on the room, but on reflection it was good value for money as we had no hassles whatsoever and I'd happily pay the same again.To anyone considering staying here I would say GO FOR IT... there are some negative reviews on here about this hotel, but I'd urge you to bear in mind that people tend to only want to share if they have something negative to complain about, which is why I've come on here to let you know about our stay. I honestly couldn't be happier with Premier Inn Euston, whatever they're doing, they're doing it right and other hotels could learn a lot from their service.	
Nov 4 2009 	Great hotel and service	I stayed with my wife for eight nights and I would recommend everyone to stay here. Superbly clean rooms, extremely quiet and great service team. Best buffet breakfast for 8 pounds and to top it all, only five minute walk to Euston Station. I will definitely stay there any time I go to London for leisure.	
Nov 1 2009 	Damp and Smelly	The location is good as it is situated near Euston Station although it faces a very busy road , therefore, you have to get used to hearing the police and fire sirens throughout the night. Our family room was small, well equipped but very smelly and damp. There was water running down the windows and black mould surrounding the frames. The bed was damp and when we got home and opened our luggage the smell from our clothes was awful. You also have to be up early for breakfast as there was large queues on both mornings when we went down at 10.00am.	
Oct 31 2009 	Avoid smelly fifth floor	Stayed for one night for work. Everything great, but for the smell of damp and mould on the fifth floor. It got in my hair, my clothes and I felt quiet ill the next morning. The windows in the room were covered in water. The plaster around the frames had gone soft with the moisture. Just by touching the plaster it came away to reveal black mould. Staff, breakfast and location are all good. They just need to sort out the horrible damp.	
Oct 29 2009 	just perfect	we had stayed in the euston area before and decided to try the premier inn this time. we were not disapointed. it is only a short walk from euston station(max 5mins). the room was more than adequate for what we needed. bed was lovely and comfy. the room was clean and even though we were facing euston road the noise from this did not disturb our sleep as they have extra soundproofing in place.we ate in the restaurant one night it was lovely we couldnt fault it and all the staff were so friendly and pleasant, we also drank in the bar on a few occasions no problems there either.breakfast which is buffet has something for everyone and was lovely. it was busy we had to queue two mornings but the queue moved very quickly . the staff cant do anything about this unfortunately everyone just headed down at the same time. this wasn't a big issue.overall we had a great stay and would definitely stay here again when back in london.if travelling to/from heathrow to this hotel we found it easier to get the tube from kings cross as it is on the picadilly line so there is no changing lines with big suitcases, it is not far from the hotel.	
Oct 23 2009 	Great base for London trip	Second time staying at this Premier Inn for me.It does what it says on the tin; accomodation that's well-priced, clean, comfortable and conveniently located.The hotel is 5 mins walk from Euston station, which provides access to the tube network, something that's vital to getting anywhere in London. It's also only a 10 min (max) walk from King's Cross St Pancras so again is well located for that. My trip this time was dual purpose - (i) an exhibition at the British Museum, which is withing walking distance and (ii) a play at the Old Vic, which is easily reached from Euston via the Northern Line on the tube.Inside, the rooms are spotless, comfortable beds, power showers, TV, air-con, etc. Basically you can expect a certain level/standard from Premier Inn and this hotel delivers that.Breakfasts are excellent and will set you up for the day.In short, thoroughly recommended.	
Oct 22 2009 	great as always	Staff as friendly,helpful and curteous as ever . The reception staff were all friendly and so were the staff who looked after the rooms. The breakfast was fantastic . Rooms spotlesly clean .Only downside was an ignorant barman working on the night of 20/10 (male aged about 35-40) who kept disapearing to a closed area of Costas Cafe eating food leaving bar unattended with several people waiting to buy drinks	
Oct 21 2009 	Over all very good indeed.	I stayed here with my partner over 4 nights in October. I found the rooms to be clean &amp; tidy with a comfortable bed &amp; most importantly Freeview. ITV &amp; CH4 did have the annoying habit of breaking up which I am assuming is the result of a poor signal. Ch5 had not been retuned so a few stations were missing, though the reception for other channels were spot on.Staff were friendly and always greeted you with a smile &amp; were also very helpful. Breakfast was decent with a good selection of items. You could have a fry or cereal, croissants, muffins, fresh fruit, yoghurt coffee , tea orange juice - or you could have it all! Breakfast id all you can eat/drink for £7.95 although we booked bed/breakfast so it was free.Almost forgot, we arrived early so staff kept our bags in a locked room &amp; watched us carefully as we left them in (always good) &amp; also our flight home wasn't until 8pm &amp; although we had to check out at 12 noon they kept our bags giving us a few more hours to walk about London luggage free!The only 1 small niggle I had was that you could smell the restaurant in our bathroom in the evenings &amp; you could smell breakfast in there in the mornings. I'm assuming the smell came through the plug holes etc.Overall I was very impressed by this hotel &amp; the lovely staff &amp; would not hesitate to stay here again! 5/5	
Oct 19 2009 	huge space super friendly staff fast respond and worth every pound!	the hotel room was great. the bed was large enough and both the room and toilets were big. the staff were very efficient and friendly and willing to help. not only did they help us to book taxis but also could deliver bathing soap in the middle of the night as well as a heater. they also cleaned the room and will not miss out yours if u go out late...which i did on one of the days at 430pm. security is tight as one requires a room card to access the lifts and floors and needed ones particulars to get access to more keys. 9/10!	
Oct 8 2009 	Good hotel right by Euston station and good price for London	This hotel was clean and new. The room was large. The only drawback was the noise outside the hotel. There is a fire station across the street, and sirens were heard several times a night. A bar is also across the street, and I heard loud patrons. The road it is on is busy anyway.	
Oct 8 2009 	Comfortable hotel with good access from Euston Rail Station	When you travel by train its great to have a hotel near the train station so that you are not lugging bags through the Underground network.This hotel fits the bill and has well appointed rooms with good wireless connections. The food was good but did not have enough staff working so it took 2 hours for an evening meal.	
Oct 6 2009 	Good location but smelly rooms	The location near Euston station and King's Cross is very good for traveling around on the Tube. Also walkable to the British Museum and British Library. The room was small, but clean. Prices were reasonable. The issue we had was that the room seemed fine at first, but over the 3 nights we stayed there it started to smell very musty and moldy. I thought it was the fan in the shower so we left the windows open for some air. It seemed to get better, but then we also noticed the whole hallway smelled weird and musty. And once again the room started to smell. We were leaving the next day so we just dealt with it. But if you are sensitive to smells, I would stay elsewhere. From these other reviews, I'm assuming that there may be some floors that have this musty smell problem and others that don't. The front desk was good about answering questions, but they didn't seem very enthused to help you. Next time, I'll stay elsewhere.	
Oct 5 2009 	does what it says on the tin	if you want a cheapish stay within easy distance of Euston station, this is your best bet. It is just acros the road with the main entrance on the side street. It is pretty basic decor with an awful lot of purple but it is all very functional. Very helpful staff on reception and in the restaurant. Secure left luggage facility. Had a room on the first floor which I requested was quiet. Although the view was limited, I got my quiet - no outside noise at all. Bathroom just had shower gel/shampoo dispenser fixed to the wall over the bath - not my favourite arrangement. Shower was very good with excellent presuure. TV had freeview stations but reception was poor, maybe because TVs had had to be retuned the previous day in the UK and maybe this one had not been done. Breakfast was good value and is much better than at the nearby Ibis (which is comparable in many ways). Would recommend the vegetarian sausages which they will cook specially for you. So if you can cope with no frills purple decor this is the best budget hotel bet in the area.	
Sep 28 2009 	No Problems	A very good experience at the Hotel. Good food good service. The beds were very good and the bathroom was spotlessly clean. I have no negative comments.	
Sep 28 2009 	Great hotel great location great staff	We stayed for one night for short weekend for ym bf's birthday. It is a 5 minute walk from Euston Train/Tube station and 10 min walk from Kings Cross. If you get there early enough you can park at the back, however it will cost you £20 a day until checkout! We checked out at 12pm on the Sunday and just parked up the road on a residential street for the rest of the day for free! There are plenty of places to park, some places you can validate your ticket if you see a west end show. Just type in 'parking london' and look out for theatre deals. We drove instead of train so we weren't constrained to a time. Anyway the hotel is great, quick check in. The room is nice and clean with comfortable bed. At the hotel there is restaurant, bar, and cheeky little unit ti charge all your electrical items in the reception! Breakfast the next day is amazing, all you can eat buffet. We ate a lot! Definitely recommend, we always use Premier Inn's, never dissapointed.	
Sep 27 2009 	Perfect for Value	overall excellent service - friendly staff (makes a change for London) - quiet room, and clean, simple bathroom. TV worked fine, breakfast very nice indeed although at London prices! Would happily stay here again, no problems at all.	
Sep 23 2009 	Beware the Breakfast Toaster!	Stayed here before - very convenient for St Pancras/Kings Cross/Euston -this time was before/after a Eurostar triip.We were given a front-facing room, but the only traffic noise was the (frequent) emegency services' sirens!Didn't have dinner, but a very impressive touch - a phone message the afternoon of our arrival asked if we wished to book a table/require directions - that's service!Breakfast on Saturday/Sunday is ultra-flexible (07.00 - 12 Noon) so after a long day in Paris, chose to eat at 10.30 am - so did about another 100 people!! It's all self-service, and the three over-worked staff attempting to clear tables looked as though they'd been on duty since 5.00 am. The toaster is a work of art. It works on a conveyor belt system,; with a dial for how well you want your toast done. 1 = Light brown (even brown bread); 6 = just right; 9 = Flames coming out of the top - The staff's reaction? - 'Don't worry - it happens all the time!'That drama apart, a delightful, no frills , in-expensive London Hotel with the added bonus of a Costa Coffe concession attached to the bar with great outdoor decking.	
Sep 2 2009 	Perfect for overnight stop	We stayed here for a one night stay in London as we were leaving from Euston early the following day. Cant really fault it in anyway. Service excellent, staff friendly, room very big for family of four and no probs in room. The only slight downside is the noise from the traffic if you are staying on the side that faces Euston Road. I would suggest ear plugs if you are a light sleeper but if you stay on a main road in one of the busiest capitals of the world you have to expect it.	
Aug 23 2009 	Good staff good breakfast some issues with rooms	We checked in and were given a room on the 5th floor..The corridor smelt musty and stale. Once we were inside our room the smell was worse although the room looked fine we found that the bedding was very damp; seems it had been put on wet and they hoped it would dry??Staff were very helpful and immediately gave us a new room and apologised.Fire alarm went off at 3 a.m and we were impressed how efficient the staff were and how well it was managed.Breakfast was great...lovely bacon and sausages and again well organised and friendly staff (czech? Polish?) even though there were lots of people waiting they managed it very well. Would definitely recommend even though it wasn't very cheap.	
Aug 20 2009 	Could not fault any part of our stay	Clean, comfortable, convenient.Would recommend this hotel without question.We will stay here again.	
