	Warning this hotel overbooks rooms	This hotel over books rooms and tries to relocate you to hotels several miles away, in my case 13 miles away in the middle of nowhere.	
Nov 25 2009 	Perfectly and descreetly situated just off the hustle an bustle of Oxford Street.	I visited The Berkshire last week and would concur it is a cut above. Price wise its what you expect from a 4 star hotel and it ticks all the boxes in terms of location, room size, bar and restaurant. It doesn't have leisure facilities, but why would you want any when you have hyde park a stones throw away. Good hotel and will definately go back	
Nov 23 2009 	Better than most London Hotels at a decent rate	I travel to London a few times a year and rarely stay at the same hotel as I am frequently dissapointed. Generally London hotels have one star too much when compared to same star level in most other countries unless your budget allows you to stay at the absolute best, which again are completely overpriced compared to the best hotels in most other countries. Recently I stayed at the Radisson Edwardian Berkshire Hotel and I will most likely stay here again next time I am in London. It is centrally situated and has a fairly decent standard. I made sure to book a room with a King Size bed to make sure I did not get too small a room. The staff was also very helpfull.	
Nov 15 2009 	My no. 1 choice everythime I'll travel to London	Excellent location, friendly yet professional service from all staff.	
Nov 1 2009 	Great Location Nice Hotel	Clean well appointed hotel, room on small side but nicely furnished. Free wifi was a bonus. Only one elevator in working order over 3 day stay was disappointing but otherwise would certainly stay here again.	
Oct 22 2009 	The room may be a little small but as the location is convenient and service is superb it is recommended.	Located right off Oxford street, this is a convenient stay if you are doing business in the centre of London. Rooms are a little small, but appart from a lift that was not working, service was superb and staff were friendly.	
Oct 20 2009 	Go if under 120 pounds shop around if at 150.	It is a Radisson, so I will not spend too much time describing how good it is. It delivers on the quality you can expect from this chain. Also necessary to consider that standard room does not give you any serious thrills. Serious minus that my room had was the noise from the Oxford street which start early and finishes late. A shut window doesn't help and the horns of cars can be heard very clearly. Our windows were on the same side as the entrabce (not towards Oxford street, but on the side street) and we were on first floor, so you probably can ask for something quiter. My experince with the area is that at 150 you can find a better option (check out my Mandeville hotel review). At 120 Radisson becomes a very good choice.	
Oct 6 2009 	Fantastic location great service	I flew all night from Bahrain to London and showered at the BA arrivals lounge because I didn't think I would be allowed to occupy my room. Imagine my surprise when I checked in at 9 a.m. and was told I could go right to my room if I wanted! the room was big, had windows that opened, and was more than ample for my needs. I did have difficulty locating an electrical outlet so I could charge my laptop and cell phone, but only a minor inconvenience. The hotel is right across the street from the Bond Street Station on the Central line of the Underground. Despite the busy neighborhood, I still had a peaceful night's sleep. I have stayed here before on business and consider this a fantastic location and appreciate the amenities it affords me. Will definitely stay here again.	
Oct 5 2009 	Just Perfect	Though we arrived early, we were immediately allowed to occupy the room. The receptionist and the staff were very friendly and helpful. Even a welcoming phone message was left should we needed any help. The free wireless internet was available for immediate use. As for the location, it can't be any better, right on Oxford Street , next to Debenhams, yet, not noisy at all. Unlike similar star-rated hotels in London, the room was spacious and comfortable. The hotel lounge was bright and comfortable, too. We simply loved this Hotel, it is just perfect.	
Sep 23 2009 	Fantastic customer service	The service was so amazing during my recent stay at the hotel - the staff were so friendly and accomodating and it was a refreshing change for a hotel in London! The location was perfect - right opposite bond street tube and 5 mins walk to oxford circus.Rooms were very pleasant, good quality furnishings, good shower, comfy beds - the only thing I would add is that freeview channels would be a good thing to add to the tv facility. Food was a really good standard - i had the steak sandwich (would highly recommend) as room service and the breakfast the following mornig was fantastic. The waitres with the red curly hair was in particular so nice and helpful and was constantly scanning the room to see the next guest she could help.All in all - a great hotel!	
Sep 23 2009 	I really enjoyed the quality of service I did receive during my stay	High quality of serviceFlexibility Availiability to all my requirements	
Sep 11 2009 	Excellent location Friendly 	I was very impressed by the Berkshire - amazing location on Oxford Street, close to Bond Street station - very easy place to be based to get around London. Staff were exceptionally helpful, friendly and professional and made my stay at this hotel very enjoyable. The staff were very knowledgeable and made great recommendations for my leisure time. Hotel nicely furnished, very clean &amp; accommodating.Highly recommend this hotel because of it's great location and staff.	
Sep 10 2009 	Yet another great stay at this hotel	This is one of my favourit hotels. Great service, good food, nice rooms and the location could not be better. I have stayd here several timeas and will do it again.	
