	excellent	very attentive staff and lovely hotel. upgraded to a suite which was very luxurious. breakfast great with a good choice of hot &amp; cold.	
Nov 22 2009 	Feels like a boutique hotel not a chain	This is the 3rd time I've stayed at the Radisson Bloomsbury Street and every time I'm made to feel very well-taken care of. From the front-of-house staff to the personalized welcome in my room, it definitely doesn't feel like a chain hotel. The level of service is most assuredly top-notch and I don't hesitate to recommend them to anyone wishing to stay in London. The added bonus - they're just around the corner from the British Museum. Well done once again!	
Nov 22 2009 	Brilliant hotel friendly staff superb location!	We booked a standard Queen Bedded room as we were seeing a show at the Leicester Square Theatre. The room was not ready when we arrived, however we were offered complimentary drinks while we waited for the room. When our room was ready we were asked if we needed help with our bags, and the staff were very warm, welcoming and very polite. We went out for the evening, and when we returned at 10pm, we sat in the bar with a lovely bottle of red wine, the ambience was perfect, never have I had such a nice time in London. We could not fault this hotel, the room was clean and beautifully decorated, the security was brilliant - you could not enter where the bedrooms are located without having a key card. The location was second to none - we will be back and we will recommend this hotel to anyone who wants to listen!! We did not try the food at this hotel, but when we return, we will ensure that we fit in a meal as the restaurant looked lovely, relaxed and friendly.	
Nov 21 2009 	Perfect fantastic everything you would wish for	Perfect, fantastic everything we could have wished for and all down to superb customer care and attention. Kris the manager looked after us after we expressed our disappointment with the room we were staying in the sister hotel the Kenilworth, it was small with the double bed against the wall, hardly a romantic setting for a romantic weekend in London. To make amends for our disappointment, Kris arranged for us to have a complimentary breakfast and moved us to the Bloomsbury, and our disappointment soon turned to delight as he showed us to a beautiful suite as a way to make up for our previous night, it was a beautiful room and the hotel staff were friendly and attentive. The food in the hotel was excellent. Thank-you Kris for your excellent care and lovely manner. Patricia and Sam Belfast	
Nov 20 2009 	Fantastic Location	This hotel is in a great location, however, the 'Background' music is too loud in the Reception area and it is difficult to hear the Receptionist whilst checking in.We were given a room that had an off-putting smell of drains and the hotel was reluctant to give us another room immediately. They fobbed us off with a Maintenance Man with a bottle of bleach. This didn't solve the problem. It wasn't until one of the Housekeeping staff told us that there is always a problem smell in that particular room that the hotel relented and agreed to change our room. They clearly knew there was a drainage problem when they allocated us this room.Drinks in the bar are expensive and there is a service charge on top.Breakfast was lovely but the dining room is too cramped.This hotel is not good value for money.	
Nov 19 2009 	A luxurious Hotel	This is a beautfiul hotel, from the moment you walk in the surroundings are luxurious and the staff are eager to help. The rooms are beautiful and the tshort walk from the escalator to the room was a treat with the softest carpets ever !!!!! We requested bath robes and they came very quickly and were lovely and soft........oh and the shower was fabulous too !!!We also ate in the restaurant and the staff were very friendly and helpful and the steak was amazing. We also had an even and the conference facilities are exceptional. Again the staff were friendly and the warm buffet lunch was enjoyed by everyone (60 delegates).I would definitely come back for business or pleasure.	
Nov 18 2009	The best babyshower ever!	We held my baby shower at the hotel and had lunch. I had about 20 guests and a set menu lunch. It was a fantastic afternoon. From the planning stags to the end of the afternoon it was a pleasant experience. The staff were all professional and friendly. We were looked after and given 5 star service.The food was fabulous! All my guests were extremely impressed!I would recommend the hotel for any function.	
Nov 11 2009 	Excellent stay - top hotel - great location	I have stayed at this hotel three times this year. This is my hotel of choice in London. I happened to be travelling with colleagues this trip but often travel on my own. And as a woman traveller, it is important to me that I feel safe. And yes, at this hotel I feel very safe indeed. The Raddison Edwardian Bloomsbury (apart from the tragically long name) is a great hotel. The staff are friendly yet professional. I have always experienced the best service from all the staff. The rooms are pleasant and well appointed, some are very small but you have a choice!! Want something bigger?? Upgrade! I love the free internet!! And the location is perfect - walking, underground or by cab, you are in the heart of the city!! Enjoy your stay - I always do!!	
Nov 11 2009 	Nice hotel with excellent service	We stayed at this hotel for 4 nights in September. We came to hotel early morning and they gave us a room. Check in was very easy. The hotel is located in an area with good access to public transport and is within easy walking distance to a number of shopping districts and restaurants. Very close to British Museum. The hotel is very nice with beautiful rooms and bathrooms. All staff members were very friendly, polite and efficient. Our special thanks to Mr. Kumar, the Guest Relations Manager, for helping us in reservation and for his outstanding customer service and very professional too.Overall, very nice stay and a good price for central London hotel. I would definitely recommend it.	
Nov 8 2009 	Comfortable and Just right for the Theatres etc	The room was very comfortable and clean, the staff where very pleasant and helpful. The breakfast was very good with a good selection of food and drinks. The decor through out the hotel has a lot of black marble with darkish wall covering, very smart but not every one`s choice if a bright and airy is colour scheme is prefered.	
Nov 7 2009 	There are better hotels out there.....	Have stayed in 4 and 5 star hotels all over the world and this one was less than impressive. I was there for a 2 day Medical Conference arranged by a drug company which paid the bill.... ( I would have been much more annoyed if I had to pay for this myself)The lobby was attractive but thats about all that was good. The room was TINY and I had a wonderful view of a wall from my equally tiny window.The TV had about 5-6 channels (they could at least invest in a freeview box which would triple their channel choice). I mentioned to the receptionist that my TV remote was dead and she said someone would sort it ....but of course no one did.The small bathroom was clean but the shower had low pressure.The room was also a bit dusty which a colleague of mine in another room also mentioned the next morning.To top it off, I received a wake up call the next morning at 730am which I hadn't requested...later found out that the lady in the queue behind me (while I was telling the receptionist about the remote control) had asked for a 730am wake up call which she never got.  Overall I wasn't at all impressed. Am just glad that I didn't have to pay for it. Maybe we were put in 'second class' rooms because it was a mass booking by a company. The food in the restaurant was quite tasty.  But seriously....london has far better hotels to offer in the same price range. Don't be fooled by the lobby.....	
