	Excellent location disappointing hotel service	I stayed in this hotel as a solo traveller, I was visiting various friends in London, The location of this hotel was excellent, right next door to warren street station, &amp; within a 5 min walk of Euston &amp; Euston Square. Unfortunately warren street was closed for maintenance for the weekend, but Euston square is a 2 min walk. On first impressions I thought the hotel was reasonable value for money. But that night my single room which was small &amp; perfectly adequate for me was Freezing! I turned the thermostat up in the room, did not work, there was a huge window which had a blind but the cold draught could be felt. I was so cold that I could not sleep properly, in the morning I reported it to reception who seemed very flustered with the people coming &amp; going. I went for breakfast &amp; had to wait 20mins to get a table, with the lady seating me saying it's busy this morning, but do they not realise how many guests are coming for breakfast. The breakfast was lovely great &amp; prompt tea&amp; toast. I presumed that the heating had been fixed due to the card in my room that night saying the problem I reported had been sorted, but again that night was freezing, but after getting kitted up in my jumper &amp; leggings as well as PJs things where warmer &amp; a better nights sleep. I also had a note in my room asking me to go to breakfast later as it was too busy, between 9-10am.The hotel was very clean &amp; staff where friendly enough, I just expected a better service from a 4 star hotel. I will admit I didn't complain again about the cold room or about the breakfast queue, I just got on with it, but just found it disappointing as I've stayed in hostels, tents etc &amp; payed for a better hotel as a treat, it didn't help as it rained very hard the 2nd night I was there, with the streets flooded &amp; it was soooo cold, so it made the hotel room more noticable.Location wise this hotel cannot be faulted, I would stay again if it was cheaper, &amp; with thermals of course!	
Nov 20 2009 	Deluxe room was costly but terrific!	My wife and I went back to the Grafton this week, just for a night. We thought we would upgrade to a Deluxe room for a change and to make our stay more comfortable. The room was pricey, but absolutely excellent. You need to specify that you don't want to be at the front over the noisiest road in London. Our room was really spacey - well appointed and all that you would expect from a 4-star hotel's Deluxe. Well done the Grafton - we'll definitely be back!	
Nov 20 2009 	Beware with bookings	Although my colleague and I had booked several weeks before, on arrival (after travelling from New York) we were advised that the hotel was overbooked and we were unable to be accommodated, However, a fifty pound room had been found in a hotel 20 minutes away. After a protracted discussion involving our travel agent, airline and staff from my office in Australia, a room was eventually found for us.My colleague and I observed a number of other people - with bookings - being turned away.Aside from this, the hotel was excellent. However, I would never choose to stay at a Radisson again.	
Nov 17 2009 	Fantastic stay would recommend	I booked a deluxe room for a one night stay, on arrival we were informed that we had been upgraded to a suite. This was a lovely surprise, and the room was fantastic! The bathroom was extremely spacious and the bedroom had all of the amenities one could want, I just wish we had been staying for longer!The staff were very helpful and friendly, they parked our car for us at a rate of £36 for 24 hours. The tube station Warren Street is situated next to the hotel which allows easy access to all of London.I would definately recommend this hotel and would definately stay there again.	
Nov 16 2009 	Well worth it	Just a weekend away for a friends birthday. I'd stayed here before and suggested to friends that we stay here too. Ideally positioned, on Tottenham Court Road, right near Warren Street tube station. Staff are courteous and efficient. Rooms were compact, but enough room for a table, coffee making equipment, a safe and plenty of wardrobe space. Shower was great. Breakfast was a bit noisy and hectic. Sooo many people, but no problem getting served. I wanted hot milk for my coffee and expected to wait a while, but it came really quickly. Even check out was super efficient. Would have no hesitation staying again or recommending it.	
Nov 13 2009 	Comfortable room close to Warren Street tube station	I stayed here for a one night stay whilst on business and it was a very pleasant stay, very comfortable room. I didn't get a view at all and got quite a small room (but as a solo traveller that was OK but if I was part of a couple I would think it's a little bit small), so that wasn't the best but was still very comfortable and OK for me. Nice flat screen TV and lovely bathroom, shower, etc although again a bit on the small side. Breakfast was very tasty and if I stayed here for a trip to London, I would count myself lucky as it would be a great place to set as your base. It's right next to Warren Street tube and so you would be able to explore London very easily, as even Euston Square and Great Portland Street tube stations aren't that far away either.	
Nov 11 2009 	Excellent service and good location	My first night at the hotel was not great - I had a very small room on the 2nd floor, front of building, and it was very noisy. So next day I asked if I could be moved to somewhere quieter. They found me a lovely room at the back of the hotel, moved my bags over there during the day, and I slept wonderfully well that night. Service at the hotel is excellent and I found everyone to be really helpful. The breakfast buffet is wonderful - plenty of selection - and I really enjoyed the rare treat of a full English breakfast! The only thing I didn't like was the lighting in the dining room at night - really weird, fluorescent lighting which isn't very welcoming. Dinner was ok but I probably wouldn't eat there again. That apart, it was a good experience. Location is terrific - next to Warren St tube station, within walking distance of Euston, and with plenty of buses to all the main attractions of London. All in all, a very nice place and I would go there again.,	
Nov 10 2009 	5 star service	I stayed in this hotel in mid October. The room was a single but the bed was very spacious and easy to sleep in. My room was located in a &quot;back building&quot; reachable over a glass bridge, very quiet and away from the main road. Like a fool I left two books in my room. Room service quickly found the books and have sinced returned them to me AT NO ADDITIONAL COST. That is good service!	
Nov 5 2009 	Quiet hotel in a big city	The hotel is situated about 10mins from one of the biggest shopping area's in London and very close to theatre land. Only a 5min walk to an underground station. The hotel was very quiet with the rooms well furnished. If you don't want to eat in the hotel there is a varied choice within walking distant. From the price it was good value - would certainly use it again	
Nov 5 2009 	Top hotel in a top location	From the first moment you stepped through the front doors right up until the time of your departure, the staff could not do enough for you.This is a top quality hotel, in the perfect location for getting to all the top sites in and around London.	
Nov 4 2009 	Great value excellent service fantastic location	Excellent service from check-in to check-out - hotel manager was outstanding in accommodating short notice requests for myself and colleagues on a a business trip. Well looked after by the bar staff, all in all a very enjoyable stay	
Nov 3 2009 	Hotel was great and staff were very polite and helpful...	The room I had was great (Suite 464) and I syaed for over a month. I had a great view of the GPO Tower (now the BT Tower) - but unfortunately the public are not allowed up the tower anymore. However, the hotel is only a 5 minite walk from Charolette Street - which has some of the best restaurants around and are mostly great value for money. I would also recommend the Italian called Amaretto, just a few door along from the hotel. The hotel is in a great spot nest to all public transport (close to Euston and KingsCross stations) and was perfectly located for my work location at Harley Street. Breakfast is fantastic and the bar food if pretty good too. Drink at the bar are pretty expensive - but most places around London are - although the Northumberland Arm just next to the hotel is very reasonable.	
Nov 2 2009 	Very friendly staff	Nice spacious room, very clean, very friendly and attetive staff. Only downside was that the wi-fi was very slow most times.	
Nov 2 2009 	1ST RATE HOTEL	Excellent place to stay on Business or for Pleasure. Room very comfortable and very clean, with Hotel ideally situated for London attractions. Staff went out of their way to be helpful and the Breakfast would set anyone up for the day.I would highly recommend it to anyone.	
