	It's the staff that make it excellent	Just off Leicester square, but surprisingly quiet this is a functional Radisson, with well equipped rooms and feels very new. I was given a first class welcome at Reception and that level of service continued through my one night stay. At breakfast (which is costly but worth it) it was a real pleasure to be served by staff who seemed to be enoying their work, but were also professional. Simple things like saying &quot;May I take your plate away&quot; make a big difference. Definitely not a budget option, but worth it for the location.	
Nov 17 2009 	Calm Personified	We had a wonderful stay at the Leicester Square Hotel. From the moment we arrived we were made to feel welcomed, and were guided through registration and up to our beautiful room. The room was an oasis of calm, designed tomake you feel relaxed ut comfortable, and it did. Breakfast was relaxed and the quality of the food was excellent. No one person made the stay a pleasure, everyone did. You were made to feel that nthing was too much trouble, you were what counted most - the sign of a good hotel. We'll be back!	
Nov 17 2009 	Great central location small but stylish room but business oriented	Great location for shows and art galleries. Theatres, museums, Covent Garden within easy walking distance. Our room was quite expensive and very small (as expected in the centre of the city). The room was generally clean (some fittings seemed to have been missed in the recent refurbishment) and generally stylishly furnished but surprisingly fitted out &quot;business-style&quot; and for only one person (despite it being booked as a double and my additional note that we were 2 on the booking). Housekeeping did eventually bring a second towel, cup etc but when I made morning tea there was only 1 teabag. Seems a shame for a 5 star hotel to scrimp in this way on such a low cost but useful item.	
Nov 12 2009 	They are really very helpful	My stay at the Radission Edwardian Leicester Square Hotel was a very pleasant and enjoyable stay.The Staff is very helpful and willing to answer any question I may have.	
Oct 28 2009 	Fantastic location!	Lovely hotel. The location is perfect, right in the middle of everything but not too noisy! It is quite expensive to stay here but for a special occasion it's worth it. The room was stylish and clean and we looked forward to going back to it after our evening on the town.The only gripe would be the breakfast which we considered too expensive, but there are plenty of other places within walking distance to eat so we just did that!Definitely recommended for a special occasion.	
Oct 28 2009 	Terrible terrible hotel - horrible service and room was not clean.	This hotel is terrible. The size of the room was fine, but it was not clean when I checked in -at 8:00 pm, a note left for me at the front desk for an event that evening was not delivered, and the restaurant service was appalling. I was the only guest and could not get a cold glass of water. During check-out the hotel added a 50 p surcharge for one of its charities. The charity may be very worthwhile, however, I had never heard of it and I give to my own charities. It's nice that the Radisson is donating, if its is, but I do not ask it to donate to my charities. I also asked for a late check out since I had not arrived until 8 pm and it was not even considered. I was told the hotel had 'become very strict and the clerk could not allow me to stay past the posted check-out time - even though it was not full. Finally, when I mentioned the room had not been cleaned - the waste basket in the bathroom was full - very disgusting - no one seemed to care and no one came to empty it. just a terrible, terrible hotel	
Oct 24 2009 	Excellent!!!	This hotel was in prime location!!! near everything but down a quiet side street so we got a good nights sleep.the room was a little small but there's so much to do in London who wants to spend time in their room???!!!!!Will definately stay again!!!	
Oct 13 2009 	excellent location!	this hotel has excellent location. My room was very big, you could see the ticket office. the breakfest is perfect but it is not cheap, 20 pounds.	
Oct 12 2009 	Expensive (over 150GBP/night) but an excellent location for sightseeing	Located in the South East corner of Leicester Square this is a brilliant location for sightseeing. I'm tempted to rate it as only average overall because it is quite expensive but it is a location that is very hard to top - and for me, this alone pushes it up to &quot;Very Good&quot;. Walking distance to Trafalgar Square, Piccadilly Circus, St James Park, China Town, Soho, Covent Garden, galleries, theatres, cinemas, buses, tubes, etc and surrounded by good restaurants this is a top location. However, when I am charged this much for a room I think that WiFi should be complimentary - the best things about this hotel are outside it, everything inside is overpriced.	
Oct 11 2009 	Nice hotel in a great location.	Hotel is quite nice. Rooms are as compact as expected in a London hotel, but very clean and comfortable. The location on Leicester Square can't be beat. Breakfast is expensive, but there are so many places around, such as Pret, Starbucks and other, independents, that there's really no reason to spend the money unless you want to. Friendly, accommodating staff.	
Oct 8 2009 	What a great location for theatre!	My mom and I traveled to London on a fantastic trip. We were so lucky to have found this great hotel. It is right by all of the great shows that we had tickets to. It is close to the half-price theater tickets booth and really is close to everything. The staff was so helpful and cheerful. I can't say enough good things about this hotel.	
