	overpriced/overrated	We booked a theatre package which recommended this ( 4 Star hotel !) My sisters &amp; myself were looking forward to a relaxing birthday celebration.The first thing was one of our rooms was still not ready at 4pm then we discovered one was considerably smaller &amp; very dark we asked for another room but were told there were no more to be had. we could not get a seat or meal in the hotel on Saturday as there are no facilities for paying guests over the general public the only thing we were told to do was order room service ! considering the overpriced rate of this hotel we wondered what facilities we were paying for. Breakfast was good but we were kept waiting for a table each morning &amp; the dinning room was very cold, on complaining we were ignored..staff we very abrupt and rude On our last day we tried to get a meal before leaving only to be told they had run out of food &amp; the kitchen was closed ! we have travelled &amp; lived abroad for several years &amp; I can honestly say this is the most dismissive disorganised overpriced hotel we have had the misfortune to stay in . because they have a captive audience due to location (which is very good),pride in a job well done along with standards &amp; quality are sadly lacking (watch out for the same standard reply from the hotel)	
Nov 26 2009 	Everything was great until the mice showed up	This hotel is fantastically located in Covent Garden, and because of that I will probably stay again despite the mice in my room. i'm tolerant that way, but others might not be! I saw them on three occasions in my room, once when I was typing at my desk, another time when emerging from the shower (thus resulting in an epic sitcomesque womanly screech in the washroom), and the third while getting ready to retire. I should have asked for a discount, but the front desk clerk didn't actually ask how my stay was (maybe he didn't want to hear about the undeclared occupants?), and I was late for my flight in any case. But a warning to the sqeamish to be wary of what squeaks in the night! Also, the gym was terrible.	
Nov 20 2009 	Location excellent - would highly recommend this hotel	I really enjoyed my stay at this hotel. The front desk staff were very helpful and nothing was any bother. The location was excellent - so close to everything that I was able to walk everywhere. I stayed in a standard room and was very pleased with the size (but if I was with a partner) I would have found the room a bit small. The bathroom was big. The only downside is that there wasn't a separate shampoo &amp; conditioner which I think would be better than the hair/shower gel. The bar was a great place to sit and people watch and the bar staff were very attentive. The bar has a very extensive cocktail and drink list. I didn't eat in the restaurant but there are plenty of places to eat nearby.I would stay here again but it would depend on price, as on this occasion I got a very good deal.	
Nov 20 2009 	Great location and hotel bar but room small and service mixed	Had a two night stay. Fantastic location for west end and main reason for booking. Hotel bar lovely.Good check in service and quick to respond when we complained about our intial room on 6th floor - very small, lights not working and a welcome note addressed to a different party. They explained couldn't offer upgrade due to hotel being full on second night. but did change our room to the second floor and a little more space. Disappointed though with service. On check in we didn't intend to put drinks on a tab so credit card details not provided. At the end of the night though we did have a couple of drinks in bar and on coming to pay were told no problem putting on room, so we did. We then retired to bed. At midnight we then received a phone call to the room asking for us to come and pay. My partner explained we were staying two nights and could we sort in morning but the individual insisted on coming up to room to collect payment. My partner therefore had to get out of bed and find payment. Not the kind of service I was expecting especially as  their records would show we were staying a second night so not intending to run off. This let the whole experience down and disappointing. I would restay but mainly for location and would definatley book a superior room as rooms are small compared to other london hotels.	
Nov 7 2009 	Only OK given the price	I stayed here for 2 nights the weekend of the Pats v Buccs NFL game. All the reviews are correct in so much as the location is excellent everything you want to see is a short walk. The staff are all friendly and professional, with an exception I'll come to later.We had a standard room and they are small and they could do with a refurbishment. The beds are small and one side of our mattress was sagging and really needed to be replaced. On the upside our room was very quiet and we were not disturbed at all by plumbing, AC, guests etc, which was good given the room size.Whether you give this hotel a 3 or 4 star IMO depends on the price you pay. We met some friends over from the US and they got a 3 night stay for $330 an excellent deal. We paid £320 for two nights, which even by London standards was expensive. Also the food and drinks here are v expensive, a shame as the bar is excellent. So a Baileys sets you back £7.50 and breakfast (which is v good) £18.00. Problem here is that on Sunday evening London shuts down at 11.00PM. Our US guests, on vacation, wanted a few drinks after midnight but we had the distinct impression that the bar staff just wanted to shut up shop and go home. Fair enough, but when you are paying these extortionate prices is it too much to ask for a drink to be served without been made feel as though you have just let wind in a lift?	
Nov 5 2009 	It was ok for what i saw of it	Reviewers arent lying about the size of rooms. Our room was on the first floor, pretty small and everyone on the street outside could see in. I dont like being on the low floors but i didnt see the point of complaining as we were only there for 1 night. I shut the curtains and put the lights on instead. The room was quite small, if you were staying for more than 3 days with a suitcase, you might struggle for space, but again, for 1 night it was ok. Everything in the room worked fine. The bathroom was nice. We were unfortunate to be on the same floor as some really noisy American guests who wouldnt shut up even at half 3 in the morning. I was close to complaining to reception but then they left. Not the hotels fault and im sure they would have sorted it out if i had complained. The location was excellent though. Just near everything so that was handy. Didnt try breakfast, cant afford it!! On checking out, i was a bit wary of not being asked for my pin number for my credit card. Is this normal in London?! I enjoyed our stay but when i had booked this hotel as a treat for my partners birthday, it was just the little things that really let it down when i had paid so much for the room. Id suggest others to make special requests in advance to guarantee the perfect stay.	
Nov 4 2009 	Ok'ish at best.....	Stayed here for 1 night only, thanks god.Room was clean, fair enough. But to pay gbp140 for a 1bed room, which was incredible small.To get to your rooms, you had to walk through small claustrophobic corridors, making it an unpleasant experience. Location is central, but i didnt wouldnt stay here again for this money, given shoebox proportions of the room.	
Oct 31 2009 	Courteous stay in great location	We had an overnight stay at the Mountbatten which is located in an excellent position in the heart of Covent Garden within easy walking distance to theatreland and excellent restaurants. Our superior king room was a good sized bedroom, very peaceful overlooking the pretty leafy Monmouth Street. Our welcome on arrival was welcoming and we were treated with courtesy and helpfulness by all the staff. The hotel is attractive, clean and comfortable with a 'homely' feel to it. I cannot comment on the restaurant as we did not have lunch or dinner. Breakfast was adequate although the bacon and eggs a trifile overcooked. However this faded into the background compared with the excellence of the rest of the hotel. W would certainly stay there on our next visit to London.	
Oct 26 2009 	Fantastically central location but nothing out of the ordinary	Slap bang on Seven Dials, so right in the centre of the west end and ideal if you're visiting London for theatre or restaurants. Nothing outstanding about this place. Clean rooms and nice bed linen. Lovely (but rather old) sash windows that let in the noise and a slight draft. One very wierd feature of the service was a 'Welcome' phone call to the room. One wonders why it was necessary? When I returned from my evening appointment at 11pm, I was slightly worried to see a message on the TV screen that I had a voicemail - obviously very important! Er, no. As a grown adult, I'm not sure I needed to hear a message that basically consisted of 'phone us if you want anything'!I'd been in the hotel for three hours before I left for my meeting at 7pm, so why didn't the 'welcome' come then.	
Oct 24 2009 	Excellent room dodgy water supply	We had a suite on the 7th floor and it was fantastic - but the water supply was very erratic in the morning. I was left 'high and dry' in the shower on the first morning! No water from the taps for about five minutes.Don't bother with breakfast - go along the road to Franx cafe, full english with toast and coffee for a fiver. Also recommend Cafe Pasta for dinner.The bar is expensive and not very exciting. Terrific location though. Free wireless internet is good too.	
Oct 24 2009 	Great Location but a few hiccups	I was there with my sister and 86yr old Mother for one night only. We arrived at 12noon not really expecting our rooms to be available-and they weren't. We left our luggage and came back for 2pm to book in.Only one of the rooms we booked was ready and the other was still not ready when we finally had to leave to get lunch at 2.45pm. We were therefore unable to get access to that one until we returned from the theatre at 11.30pm. Not acceptable. To be fair, they did offer refreshments to compensate and we settled for one free breakfast instead. The position of this hotel was perfect and despite the rooms being small, they were quiet. Pillows were like bricks but bed was comfy. Bathroom was very clean unless you lay in the bath and saw the rim inder the toilet, which was needing a good clean. Management please note!! On the same street there is a great restaurant called Box and the staff in there are so cheerful and friendly that it's worth a visit. Food was far better than a more upmarket restaurant we had eaten in the night before. Baz the waiter deserved his tip! Would return to this hotel but hopefully would not encounter the few problems we experienced.	
Oct 23 2009 	Lovely Hotel in an excellent location friendly helpful staff and super comfortable beds.	Located beside Seven Dials , Covent Garden one of the most vibrant areas in London. interesting small shops and coffee shops on our doorstep. .We were greeted by friendly staff who gave me a bigger room wihout hesitation when I complained about the size of the 1st room we were assigned. Lovely reception area to sit and relaxe. The bed must have been a super king sizs with the MOST comfortable mattress and pillows I have experienced in any Hotel. to date. Also sound proof walls and windows, the silence during the night was remarkable for a city centre location. We did not eat in the hotel as breakfast was not included but the restaurant looked nice. It was a little above our budget but well worth the extra as I could not fault it. We will stay there again	
Oct 21 2009 	Great location	Found this hotel over the internet while looking for best value versas star rating. My wife and i stayed two nights. The hotel staff was great, the room was super and the location could not have been better. We were able to walk to most major sites and were blocks away from their broadway and plenty of shopping and food.	
Oct 19 2009 	Great Location not sure about the hotel.	We went up to London for the weekend and booked this hotel via the advice given on trip advisor. We went for their dulex room which we found spacious but oddly designed and poorly decorated. From a location point of view I couldn't fault it however there were a few let downs such as, the kettle and the TV didn't work in the room (though they did fix them) They only had one lift working in the hotel, the room keys seemed to be faulty and little things like the complimentary news paper never arrived in the morning.	
Oct 17 2009 	Small but perfectley formed	My husband and I stayed one night and its a shame it couldn't be longer. The room was a standard double and yes it was small but had everything we needed. The room was on the first floor above the dial restaurant and we heard no noise from it dispite it teaming with people. All the staff were so pleasant and polite and seemed to genuinley want to help. The postion of this hotel meant that my husband was able to go off and do his book shops and I was able to shop in the lovely stores surrounding the hotel and some great coffee shops! I felt comfortable and safe in this area and that cant be said for a lot of the London area.The receptionist told me that they are having a refit next year and the double rooms will be getting bigger, so another visit is a must I feel.	
Oct 8 2009 	All round excellent hotel.	Husband and I stayed at Mountbatten Hotel at 7dials,covent garden on a friday night. Perfect location for theatres, restaurants and the centre of cultural london buzz.. Our room was spotless and cosy, and the shower, tv, etc in full nworking order! We met staff at reception and in the bar and they couldn't have been more welcoming, warm and friendly and went the extra mile. We will definitely be staying again.	
