	average	hotel clean &amp; well presented. easy access to 02 dlr then one tube stop. room service meal was very poor over priced &amp; not very good. breakfast also poor £17 per person for lukewarm cooked breakfast not ideal.	
Nov 19 2009 	Nice but mind the drinks	I have stayed in this hotel on a two occassions - the rooms are well appointed and the hotel has a fantastic location for the price. Weekends are very good value and we paid £69 for a Saturday night. Our first visit was marred by the £27 for two gin and tonics which included 12% service charge. I don't mind paying service but not when you have to wait at the bar for 15 minutes. By the way when I wrote to complain I was told that I should have expected high prices in a 4 start hotel.The second visit was better in that we were prepared for the prices at the bar and this time we actually had our drinks delivered to our table.	
Nov 18 2009 	Great hotel great location a romantic break!!!	This is a nice hotel with a great view of the 02 arena just across the Thames. A suite is recommended for extra comfort as it has a large bed and large bathroom, what more do you need!!! What's more the onsite Spa facilities were superb and worth booking before you stay (half price with a room) We were thoroughly pampered and along with the friendly,helpful staff had a most relaxing and pleasant stay.	
Nov 16 2009 	Elegant and very different from old City hotels with small rooms thick carpets and many doors.	Very serviceminded and friendly personnel and the most elegant pleasent rooms I have seen in London. For a meeting in the Dockland area, the hotel is perfect.	
Nov 15 2009 	Modern but soleless hotel	Rooms were ok, facilities ok. For business it did the trick but you are too far from town for a leisure trip and there is nothing in the surrounding area. Car parking is awkward (valet) and it was expensive for a fairly run of the mill modern room.	
Nov 13 2009 	Fabulous rooms attentive staff and superb location for o2 and ExCel	Wow, what a fantastic reception and entrance. This completely set the tone for my 3 night stay during WTM 2009.This hotel is a great base for ExCel and across the river from the o2. You have the choice of transport for getting to ExCel: the DLR from Blackwall is just 2 minutes walk, taxi's sit out front and you can walk to Custom House / ExCel in 25 minutes. This hotel is a brilliant base and the spacious, modern and clean rooms are complimented by friendly, efficient staff. The bar and restaurant provides very good food, however, there is also a good Italian just done the road.	
Nov 10 2009 	Excellent service	I stayed at this hotel for 4 nights during a business trip and I was completely satisfied with the room and the manner of staff who were always courteous. My room was comfortable,modern and spacious, breakfast was very good and I received a complimentary copy of my newspaper. I used the gym and I found it comfortable and well equipped though probably a bit packed at pick hours. I also recommend the spa centre the use of which is not free to guests of the hotel, but is a really enjoyable experience. I used the business centre and similar to the gym it was adequately equipped but probably a bit too small for such a big hotel, also at the time when I was staying the printer was not working (however, I was offered to use the one at reception instead). As a whole I had a very pleasant stay at the hotel which despite its convenient location only a 10 minutes away from Canary Wharf was really quiet and had the necessary amenities for the guest to relax after a long day. The only few things that can be improved are: air-conditioning which I found hard to adjust to the required temperature and also a bit noisy, toiletries which included a simple shampoo and no bath foam/shower cream, and the shuttle bus service which was a problem for our group as there were very few spaces in a car and only one car every 20-30 minutes.	
Oct 25 2009 	Lovely Hotel Great Location Reasonable Price	My partner and I stayed here for 3 nights in July. We booked it last minute through lastminute.com. We chose the &quot;Top Secret&quot; option and the Radison was what we got. We paid about 60pounds or $120 Canadian per night. We were booking last minute and were looking for a reasonably priced hotel, that wasn't horrid, and close to public transport. The prices of hotels in central London are crazy and you get really awful places if you choose the bargain options. We felt The Radison delivered in that it was a short train ride to central London, and was really lovely and clean for a price that was quite cheap for London in July.We were very pleased with the location. It is less than a 5 minute walk to the local DLR (DOcklands light railway) station. From the station it was a 25 min. ride into the central London. It was very quick and easy. The hotel is across the water from the O2 arena, so if you are taking in a show there, this is also a perfect hotel for the night. The hotel itself is brandnew, and very contemporary in design, with elegant decor that certainly was a cut above most other Radisson locations. The room was very spacious, had a large flat screen TV, a small stereo, insuite coffee, tea, minibar. Heated towel racks, large comfy bed with down duvet and tons of pillows. There was a trouser press, ironing board and iron, and a gorgeous bathroom with deep luxurious tub, as well as sleek shower room. All the little extras were provided, from qtips, to sewing kit, to shampoo and conditioner and lotion. The only drawback to this hotel is that its Docklands location means that its a bit out of the way and so trendy restaurants or bars didn't seem to be in abundance. This is not a nightlife location, but there are some restaurants and basic amenities near by and the hotel has a pool, and gym, bar and restaurant, so you wont be without. If you realize you are going to be taking the DLR into downtown and you can live with that in order to save a bit of money, then this is a beautiful, clean, brandnew hotel at a reasonable price.	
Oct 24 2009 	fabulous river views very stylish hotel	We wanted a hotel near the O2 for a combined anniversary celebration and to see Spandau Ballet in concert, so I chose this hotel because it looked so stylish on the website. I wasn't wrong, the rooms and communal areas are like something out of 'Wallpaper' magazine, but not in any way pretentious as the staff were extremely welcoming and friendly.Because it was a special occasion I requested a river view as an afterthought just after booking and was delighted to find we'd been upgraded to one of - I believe - the best rooms in the hotel and were also surprised with a fabulous complimentary bottle of champagne, delivered to the room complete with ice bucket and chilled glasses!I'd thoroughly recommend asking for Room 330. We enjoyed glorious views of both the sunset and the sunrise over the river and the O2, the bed is huge and comfy, the bathroom is large and luxurious and also overlooks the river, and the hotel in general was surprisingly serene and quiet. We appreciated the fact that you couldn't hear any noise in the corridor thanks to the extra thick carpet.All of the communal areas were sleek and stylish, and the breakfast buffet was varied with a good selection of quality food. We were lucky enough to have great weather and a beautiful autumn morning the day we left so we chilled out outside later with hot chocolate which came with a sliver of delicious cheesecake. Funnily enough we were both too full to investigate the fitness centre! The business centre was great though as we both needed, sadly, to keep in touch with work.I would recommend this hotel to anyone who likes quality and modern styling. It's also incredibly close to the O2 via public transport. Blackwall station is the nearest as you can even see the hotel from there. For other places to eat, it's best to walk to Canary Wharf, about 10 minutes away. This is worth knowing as there are only a handful of restaurants (other than the one at the hotel) close by and they only open at peak times, it seems.If I were to improve this hotel in any way I'd say perhaps some of the staff, while polite, could be just a tiny bit more on the ball at times and the in-room guides, while elegantly designed, need a rethink as the pages kept falling out of the binders! These are minor quibbles as overall I think we received excellent value for money and enjoyed a lovely, truly memorable stay.	
Oct 18 2009 	Best hotel I have ever stayed in!	I had a lovely stay in this hotel, very modern and clean. We stayed in one of the suite rooms and it was by far the swankiest hotel I have ever stayed in! Bathroom was really modern with a huge bath and walk in shower. I wish I could have stayed there another night! Having read other reviews and from our experience, the hotels location is the only slight downside. We got a taxi from canary wharf as we could not find the hotel by walking. The taxi cost £5. But when we ventured out again we used the dlr from blackwall which was useful. What I would say is although this hotel is slightly more out of the way I really want to stay there again! If this hotel was right in the centre of London you would have to pay so much more money. This is a fantastic hotel and you would gave to pay an extra £100/£200 for a hotel of this class in central London. I am already looking at taking another trip here in December, very very pleased.	
Oct 13 2009 	Terrific Week-end	We spent two nights here when we attended Andre Boccelli concert in the O2. Great to be so convenient to the venue, less hassle with trains and not too expensive for taxi's. Would benefit from having a water taxi as they overlook the Thames and are just a stones throw from the venue by water, cut out the troublesome tunnel. The service charge did hike up the prices so it would be an idea if the staff actually gave you the option to add this, thing Treating Customers Fairly and everything being clear.Enjoyed our short stay, the staff were very pleaseant and easy going and made us very welcome. Thank you from the Isle of Man	
