	Great LocationOutstanding Staff	We spent 1 night at this hotel.The Staff could not have been more friendler..everyone of them said Hello and the Concerige was really helpful.There are some renovations taking place but it didnt disturb us,the room was a little dated but comfortable.It did lack a tea/coffee maker but this was the only negative.we really loved the location and would definetly stay there again	
Nov 23 2009 	Karno's breakfast	Yes this hotel is well located,the rooms are well furnished and a good size and the service often willing, but a property of this quality should not allow the breakfast service to degenerate into the circus that I experianced on a Saturday morning.Firstly inadequate capacity.A 25 minute wait.We were directed to an ajoining lounge for coffee.No seats so stand and wait.No coffee cups so no coffee.Use the toilet?I wont go into the condition of that!On eventually being seated the buffet was on a small table and difficult to access without dropping my meuseli down a fellow guests neck.A long wait for eggs and omelette as the hard pressed single chef struggled to cope with the demand.All this for well over £20.On day 2 of our stay we actually got up early to try and avoid the circus.Just what you need on a leisure weekend.Better but fundamental problems remained.The hotel is about to embark on a refurbishement.I would suggest that before they spend a penny on the fabric they sought out the logistics and capacity of their breakfast operation.Donating space to banquetting or a signature restaurant is fine but Royal Garden dont neglect the basics!	
Nov 11 2009 	Couldn't have asked for more	Had a great 2 night break in London. Arrived well before check in time, which wasn't a problem, left our luggage &amp; walked around the park &amp; they called us when room was ready. Easy access to tube network from hotel &amp; helpful concierge ensured that no lines were closed towards our destination. Had room service &amp; food was delivered in good time &amp; was good.	
Oct 27 2009 	Very good all-round hotel in a great location	This hotel has been our regular base for business trips over the last 25 years and more recently for private week-end breaks in London. The many visits have always been enjoyable and the recent upgrades are certainly worthy of comment. Our latest visit was 22 October for three nights in a refurbished &quot;Garden Room&quot; on the 9th floor. To get the best views here always ask for a high floor. We always book a Park View room, the vista over Hyde Park and to the City are simply amazing. We found the new class of room on floors 7,8,9 were worth the extra cost. These rooms are in a more modern style and have excellent facilities. The revamped bathroom now has a separate large walk in shower but this has cut down on the original wardrobe space (no problem for short stays). The new wall panelling, wood, fabric and mirror walls provide a welcome improvement in sound insulation, this was not very good in the original rooms. Large comfortable beds and a comfortable seating area are standard as is the in-room safe. Mini Bars are well stocked and there is now in-room tea / coffee making facilities. Breakfast in the Park Terrace is excellent, a la carte service is Monday to Friday and buffet at the weekend, it does get very busy around 9 am at the weekend. The top (tenth) floor Chinese restaurant is worth a visit, food is very good if a little expensive and strangely there is no attempt to keep food warm on the table. Berties Bar and Park Terrace are both comfortable retreats with excellent service. The staff throughout the hotel are generally very polite, friendly and efficient and some have been there for many years, a good sign hopefully of a good employer!Outside the hotel, beautiful Hyde Park offers excellent walks, Oxford street or Harrods are both about 25-30 mins brisk walk so a realistic and enjoyable alternative to the tube or taxi on a nice day. There are good restaurants along Kensington High Street, again easily within walking distance. The tube station is 5 mins.If driving, car parking under the hotel is via a rather tight spiral ramp and costs £30 per day, the annoying new &quot;Pay and Display&quot; system means you have to return to the park and pay again after 2 days (on the dot!), we tried to prepay our third day 2 hours early and the machine wanted to charge £56 instead of £30. This is not the Hotel's fault the parking is a separate company but this new system is a bit of a put-off for guests who use it.Final tip, check your bill carefully for Mini Lounge items and late charges, we have frequently found these to be wrong.Overall this is a very good all round hotel in a great location. We will certainly keep using Royal Garden for our London visits.	
Oct 27 2009 	Wonderful time - thanks so much	A small group of girlfriends had managed to leave small children behind and get some precious time out. All of us were arriving at different times and staying different lengths of time and Felicity on reception could not have been more accomodating of our various requirements. A huge thanks to concierge Mansoor for finding us the best places to go - he really was spot on re price, atmosphere and location. A great stay - we'll be back!!!!	
Oct 14 2009 	Excellent rooms service and location	We stayed in a Garden Room on the ninth floor for seven nights. The room overlooked Kensington Gardens and had views towards the London Eye and the Gherkin.The Room was of a very high standard including a very comfortable King sized bed, large TV screen, tea/coffee making facilities, mini-bar and all the essential electronic gadgetry.The en-suite was roomy and had quality toiletries and lovely large fluffy bath towels. The heated towel rack was a bonus.We appreciated the fruit platter and welcoming note that we received from the Guest Relations Manager at the start of our stay.We had dinner once in the Min Jiang Restaurant (as a special treat) on the tenth floor and enjoyed both the meal and the spectacular night view. We ventured into Bertie’s Bar on a couple of occasions after a night out and were treated to a large selection of nibbles with our drinks.There was a large selection of good quality food for breakfast in the Park Terrace Restaurant. Even got to see some of the Aussie cricketers who were staying at the Hotel for the One Day matches.I made two separate bookings for the seven nights in order to take advantage of the cheaper weekend rate, which had the B&amp;B option. Check-in presented no problem as the bookings had been combined and we had the same room for the entire period.We have now stayed four times at this Hotel and find its location beneficial. There is a bus stop right outside the Hotel and the Underground Station 100 metres away. Pubs, shops and a supermarket are conveniently located and Portobello Road is within easy walking distance.This stay we noticed that the Hotel is now offering reasonably priced lunch and dinner options. Although we didn’t try any out, they did look attractive. Special mention for the concierge who helped us out on a couple of occasions.	
Sep 22 2009 	Lovely long weekend at the Royal Garden	Just back from a 3 night stay at the Royal Garden, our 3rd time at this hotel and the most enjoyable.The hotel enjoys a perfect location at the south west corner of Kensington Gardens, with many of its rooms offering lovely views of the gardens and Kensington Palace.We upgraded to the newly renovated garden rooms which guaranteed the views mentioned. Our room (939) was modern and light with an elevated seating area beside the almost full length windows. It had a king size bed, large flat screen TV, while the bathroom had bath and a separate shower.The hotel offers several packages and our choice was 3 nights for the price of 2 including full breakfast, which made this a really good offer. Breakfast in the Park Terrace can be very busy at the weekend and my advice is go early (before 9am), or you may have to be patient and queue for 5 to 10 minutes. I would also be wary of some of the tables in the busy passage ways, as there can be a lot of people movement back and forward to the various buffets, which some may find distracting. Lastly a mention to all the hotel staff. I cannot every recall staying at a hotel in London where all the staff encountered were so outwardly warm and friendly.	
Sep 21 2009 	Great Hotel and Great Staff	We just were at this hotel for a week and the dining and concierge staff were both very friendly and attentive.The location is great being right on the High Street with lots of local restaurants and shopping. 5 minute walk to the Tube.	
Sep 18 2009 	Very nice	Very nice hotel, good location.. but seems like different type of rooms, I got a good one. Strange to meet bodygards each time I got to my floor, butt guess it was someone important there..	
Aug 31 2009 	Wonderful hotel next to Kensington Gardens in Hyde Park	We booked a junior suite and had a wonderful room with a pull out sofa bed for our child, and a nice view of High Street Kensington through the large windows by the workstation. The bathroom was huge. The hotel room looks recently refurnished so everything in great shape. Hotel is a few minutes walk from the metro station, bus stop in front of hotel, covered car park under hotel, and Hyde park is right next door.Definitely the best hotel I have stayed in London at this price.	
Jul 31 2009 	Superb	From the moment I checked in to my departure, it was an excellent visit. the new rooms on the 8th floor are absolutely superb, well appointed with the guest in mind at all times. Breakfast was excellent service and buffet.	
