	Great hotel great location lacking on breakfast"	I went there with a group from school and it was a really nice experience. The rooms where really nice and everything was to our service. Local pubs and restaurants around the hotel made the stay even better. But from a grade 1-10, 10 being the best and 1 the worst, the breakfast buffet at the hotel was like a 6. After the first day eating there, the following morning all I ate was toast and coffee. The food overral wasnt that good, but besides that a very beutiful hotel.	
Nov 24 2009 	Recommending the Russell	Gorgous age of elegance hotel in the heart of the City. Superb service and lovely room . I had a gorgous breakfast and the staff were freindyly and efficient. All in all ... highly recommended.	
Nov 23 2009 	Great value great location Hotel in London	Read the Trip Advisor reviews before we went and we were a bit worried as they were very mixed, however, hotel was absolutely fine. Got rooms on 2nd floor next to a Generator so we asked to change and this was no problem and we were even upgraded at no cost. Rooms have been refurbished recently and very fresh, no issues re cleanliness. Reception staff very good as was Concierge. 2 mins from underground and on main Piccadilly line which was perfect for getting around!!Only downside was the queue for breakfast both getting into the Dining Room and getting food was far too long, waited 15 mins in a queue to get breakfast food once we were in Dining Room!!!Excellent value for money.	
Nov 21 2009 	Dirty Room and Shower	My husband and myself stayed in the Russell Hotel, Russell Square for 2 nights in August, as we were going to a show in the O2.On arrival in our room, we found it to be looking over a very large piece of machinery, which we presummed to be part of the air condtioning etc which was very noisey. It filled the central courtyard are of the hotel.In the bathroom, which was tiny, there were hairs from previous occupants in the shower and around the toilet. It was pretty much possible to use the toilet and wash your hands at the same time. In the shower the shower head was dirty, the shower mat was black on the underside with mould - but it had been thoughtfully been wrapped up in a wide &quot;band&quot; by the hotel. The top of the mat also had black mould on it.The shower door would not stay shut unless you had your foot against it.In the bedroom the dust was so thick on the light fittings and tops of units that it was clearly visible and one bedside light was hanging by just the wires.On our second day back at the hotel in the afternoon, we arrived quite late (around 3.30pm) to find the the room was untouched and our maid showed up sometime later to see if we wanted the room done. We did not bother as we had no intention of going out for a while.The room was so dirty, that we asked the head of House Keeping to come up and we presented her with the shower mat and took her on a tour of the problem areas. She advised us that she would get rid of the mat immediately.The chairs in the dining room were so old that the base cushion had practically disappreared ,so if you sat in the chair for too long you got a dead leg from the pressure of the chair frame.On the whole the hotel is in a good location with easy access to the Underground etc but I will never recommend this hotel to friends, family or clients, I am afraid.Having stayed in a lot of hotels I have never come across such poor standards of cleanliness.	
Nov 20 2009	A very comfortable hotel	The hotel was pricey but very comfortable. Staff looked after you well. Breakfast was pleasant once you got in there after all the queueing.	
Nov 17 2009 	expensive hotel poor service	Stayed at this hotel over the weekend with a late deal on price. Great location and a grand foyer but this is where the positives end. Slow check in with bored looking staff. For what is normally a very expensive room, shabby decor and basic amenities- just about enough tea/coffee/milk in plastic tubes for two and drinking glasses were those from the bathroom, condensation dripping from the windows. Our room faced the back and are not soundproofed and so any late night noise (nearby pub) was heard. The final straw was waking up on Sunday morning to no cold water throughout the hotel- no washing/toilet facilities as a result! This was a problem resulting outside the hotel, but kind of notice in reception from the duty manager offering an apology for &quot;circumstances beyond their control&quot; would have been welcome, again the reception staff appeared disinterested when we tried to obain more information. I have stayed at the MacDonald Hotel in Manchester and the Ambassadors in Bloomsbury (very close by) these are all 4 star hotels but no comparrison- the facilities and service at these hotels are far superior. I won't be returning.	
Nov 16 2009 	Avoid this Hotel if you can...	I was obliged to stay at this Hotel for four nights (although I left after three) due to attending a Conference here. I stayed with five colleagues and we all checked in together. Five minutes after checking in, four of us were standing in reception requesting a change of room. I didn't even bother walking into my first room as it was difficult to open the door fully against the single bed - it was the smallest room I had seen in a hotel for years. It was also very gloomy and had a nice view of a wall out of the single dirty window.After a very long 'discussion' with the Reception Manager I was given another room. This larger room could just be classified a small double. The room was very tired and had no drawer space but it did have a fairly large but totally empty fridge – useful I thought for....?The room was fairly grubby – windows that didn’t close, very old TV with 5 channels and a bathroom that I could touch all four walls simultaneously when standing in the middle of it. The iron had black sticky residue on the bottom which immediately transferred itself to my shirt... I think you get the picture.I believe there are some rooms in this Hotel that have been refurbished however maybe we caught them at a bad time but there always seemed like queues at the Reception and at the Bar which was also frustrating. I suppose the cooked breakfast was ok but the fruit appeared to be tinned and past its best. It’s difficult to find a redeeming feature for this Hotel and for me to find something positive to say... Oh, yes – I’ll never be staying there again!!! Four Star – I don’t think so!!!	
Nov 13 2009 	Very nice hotel not to expensive .	This hotel looks like a museum or church from the outside and the interior is old but elegant. The room I got was small but very clean with a nice large bath. The hotel is right around the corner from the Russell Square tube stop....so travel is quick and convenient for all of London.There are plenty of dining options around the hotel, with a Pret a Manger and a Tesco right next door for those on a budget. The only negative for me is that the hotel is not more centrally located...other than that if you have a chance to stay here and you get a decent rate, you won't regret staying here!.	
Nov 10 2009 	What a pleasant surprise	My room was only £100 less than a travelodge in London so wasn't expecting much, so what a pleasant surprise a lovely spacious room, great bathroom with bath not just shower. It was really clean, friendly service, efficient check in and easily walkable to lots of attractions including shops and British Museum and right next door to the tube.	
Nov 10 2009 	Poor for business	I stayed at Russell hotel for 4 nights combined business and pleasure. I found the room old and in need of restoration and the breakfast &quot;English&quot; in the worst sense, overcooked and bland.The hotel does not have wifi in the rooms but charges guests £0.5 a minute. I ended up with a bill of £50 for just checking emails over the 4 days. When traveling on business a reliable and reasonably priced wifi connection is a must for a hotel. Quite a few hotels around the world are now catching on to the idea of free wifi, since internet connectivity is not an extra service when you stay at a hotel. It is as essential as water in the taps. Quite frankly £50 for 4 days of emailing being forced to use an ethernet cable is a joke. I will not be returning to Russel Hotel and would advice people traveling on business to look around for better options.	
Nov 3 2009 	Overpriced - and tired	The Russell Hotel is a great building from the outside. But inside, it shows its age. Rooms are comfortable, but overheated in winter, and can be quite noisy as many have only old single glazing. My room faced into the internal courtyard, but was noisy all night due to (I think) the plumbing, and a lift (elevator) which had been built out into the courtyard. There are also large numbers of a/c fans humming away at ground level.Food is at best so-so; the breakfast would be fine in a £30 B&amp;B, but disappointing for a four star hotel. Tinned tomatoes, no bread (just a few rolls or toast), very limited fresh fruit. Beware the wi-fi access. It tells you how to connect in your room; it doesn't tell you there's a whopping £15 a day charge for doing so. And the room service (which I didn't use) appears to be the most expensive I have ever seen.One unusual gripe - the in-room advice on fire escape routes was inadequate, just saying proceed to nearest exit. Which way is that???	
