	Great location	Just returned from 2nights stay at this hotel. About 10minute walk from London Bridge and Southwark Underground stations. We visited the O2 arena and a London theatre during our stay and found it a great central location which was very easy to get to.We arrived early on the day of check in and had hoped to leave our bags so that we could go on to our destination but check-in staff were really helpful and found a room available for us to check into immediately (at 10.30am). The room itself was great. Not the biggest but the bed was comfortable with fabulous black out blinds. Road outside was fairly busy so would suggest bringing along ear plugs unless you're used to city traffic. Continental breakfast was great with plenty of variety-we didn't find it necessary to upgrade to the full english but this is an option if you want. Also had an evening meal at the hotel-great value food and drink especially for London. Plenty of main courses for under £10 and very nice too. Other reviews have said that there isn't much nearby but Bourough market has plenty of lunch options while there is a high street about a 5minute walk away with plenty of different restaurant options. Staff were very friendly and helpful during stay. Would definitely stay there again and would recomend it especially for anyone arriving into London via Waterloo or Kings Cross national rail stations due to convenience. Kepp an eye out on their website as they are running offers for weekend stays!	
Nov 14 2009 	Lovely	We stayed here for three nights for a special birthday.Fantastic Hotel.Clean, modern freindly staff and very centrally located.The breakfast is a bit expensive if it is not included but there are plenty of little cafes in the area.	
Oct 3 2009 	Nice hotel in good location but not the best around if you can get a deal	I stayed here one night when the Novotel next door was too pricey - it was a nice enough hotel, but it was hard not to compare it to the Novotel which was pretty fab - the room at the Southwark Rose was smaller, although nice enough, but there was only one powerpoint in the whole room?? Room service means you have to go and pick your meal up from the restaurant on the 6th floor... Also, my booking sheet said I didn't have breakfast included, but the hotel's reservation said I did, so I didn't eat it and was charged anyway... Otherwise, it's a fine hotel, was nice and clean, staff were friendly, and it's in a good location for exploring London.	
Sep 27 2009 	Good Business Hotel Good Value for Location	I have stayed here many times over the last 12 months on business. My company has an office just over London Bridge, near the Monument. The hotel is very modern and clean and has a reasonable restaurant on top. Location is good for access to the City &amp; Tube and price is reasonable considering the location...as a tourist though location would be poor IMHO. The rooms are on the small side but well designed and air conditioned, which is vital for the Summer. There is free use of a safe in the room. The bathrooms have no bath, just a shower so no long soaks after a hard day!! I have always found the staff very polite and helpful. As others have said, the beds are firm and so are the pillows..neither of which trouble me. I recommend solo travelers go for the double bed option as the single beds are small. I have never had a problem with noise at the hotel, so no disturbed nights due to other peoples TVs etc. The hotel seems to be in a mobile phone blackspot for Vodafone and I get a very poor signal and my laptop 3G card simply does not work unless I go to the bar area adjacent to the restaurant. the hotle offers a paid wireless service which i have found worked very reliably.	
Sep 23 2009 	The Southwark Rose...	4 of us stayed here back in Feb 2008 just for 1 night. The hotel was very modern, really clean and in a brilliant location for all typical sight-seeing things like london eye, st pauls cathedral and so on. The bar (which im sure was situated at the top of the hotel) was really quiet when we went in at 8pm (ish) and later returned at 1am (ish) and still just as quiet. We didnt have breakfast at the hotel, as it was quite expensive and i find breakfasts at hotels are always the same crap. Be warned the car park is at the bank of the hotel, we didnt know this before hand, parked up a side street to go and check-in and find out where the car park was, only to return to 2 traffic wardens putting a clamp on our car, we were literally 5 mins max! All in all i would recomend this hotel for style, location and value, just find out how to get to the car park BEFORE you arrive.	
Sep 18 2009 	Well located and well priced but rock hard beds means no return for us	We stayed for two nights on our way back to Australia. The Hotel is well located two minutes walk from London Bridge tube station and worked well as our launch pad. The hotel is modern and clean, however, we would not go back simply due to how rock hard and uncomfortable the bed was and the pillows were lumpy. If you are looking for a good nights sleep, unless your a very large person or commonly sleep on a bed of nails at home, you will not find it here :( Almost a perfect gem in London if not for this fatal flaw, but easily remedied. The couple who checked out before us also complained about their bed so we suspect it was not an isolated case.	
Aug 17 2009 	Modern Clean Comfortable and more	We wanted a hotel in a quiet location close to the South Bank with attached parking. This hotel fitted the needs on paper and more than came up to the mark!The staff were most welcoming, polite and efficient. The room was spacious and clean in a modern design and well equipped. Security was good as access to the corridors could only be gained by the room's swipe card.The car park, not directly controlled by the hotel, was accessed via the back door of the foyer.The continental breakfast, self service style, was extremely plentiful and varied. The hotel's location is about 20 minutes walk from the London Eye along the South Bank which to us was an advantage rather than a disadvantage.Would thoroughly recommend this hotel if its character remains the same.	
Aug 17 2009 	Ideal London Hotel	Stayed 2 nights here for a wedding in London and I would not fault the hotel or its staff on anything. The rooms were clean and modern with a little traffic noise but nothing that kept us awake. Breakfast is plentiful and set in a great room on the top floor of the hotel. Overall a good value hotel compared with some London hotels.	
Aug 13 2009 	Could not fault this hotel in any way	Firstly may I just say ,I booked the advance weekend package and I don't think I could have got better value for money in London.Very clean,spacious enough, very friendly hotel staff and location was just amazing, 2mins walk to the banks of the River Thames.Well within walking distance to major attractions.We did have a meal in the hotel and found this to be very resonable to.I would not hesitate in booking this hotel again and i would recommend to all my friends, having stayed in London a few times this year and this by far was the best hotel and I think it far better than the 3 star it quoted.	
Aug 10 2009 	fantastic Weekend break	We have just had a family weekend in London. The main purpose of our break was to see Romeo and Juliet at The Globe Theatre. This was a fantastic production. We chose the Southwark Rose Hotel because of location. It was perfect. There were many attractions within easy walking distance. The hotel staff were very welcoming and friendly. Our rooms,although rather small,had all amenities we could want including a safe. They were really clean. We enjoyed pre dinner drinks in the bar and were able to walk to local restaurants for our evening meal. I would recommend Tas Pide restaurant opposite The Globe Theatre entrance. Continental breakfast in the hotel was very substantial with good choice. None of us felt the need for a full engish breakfast. 3 members of the party were vegetarian and they could have had a vegetarian cooked breakfast. One tip; London Bridge is the nearest tube station. Take the Borough High Street west side exit to Southwark Street. It makes finding the hotel much easier. We took another exit and also a long time to find the hotel. We all want to return to this hotel	
Jul 27 2009 	Well Placed confortable and clean.	We stayed a week-end. The hotel is conveniently paced very close to Thames south bank and is comfortable and clean. Is quiet with a good shower. It has a bar/restaurant open till 2.00 am.	
