	Works for Me	This is trip #5 to London for me in the past 3 years and out of all 5 hotels in which I have stayed, I feel the Strand Palace works the best for me. Booked a package through Air Canada Vacations and got a very reasonable rate including breakfast. I was assigned a standard single room which was small like so most London hotel rooms in this price range, but it was clean, comfortable, functional and home for 8 days and nights. No complaints at all. Location is great with an easy walk to central London attrractions and the hotel is within a 5 minute walk to 4 tube stations (Embankment, Charing Cross, Temple and Covent Garden). Lots of cheap and fast eats handy as well as some great dining and theatres. The hotel breakfast was pretty standard English breakfast fare served fresh and hot. Seemed that a there was only a wait on weekends. Hotel staff was friendly and helpful and the doormen on the Strand were very welcoming. Overall the hotel rates well for value for price. I would stay here again.	
Nov 26 2009 	never stay there again!!!	we stayed at the strand for 5 days and have decided to pay high extra fee to upgrade our room as the ones assigned at our arrival was old, dirty, small, no maintenence made! When we go down to the reception, we were welcomed by an unfriendly stage that show us othe 5 rooms worst then the first given! at the end he said: &quot;ok, you can upgrade your room and pay an extra cost and this is the only way to get a better room!!!&quot; I reply: &quot;no comment at all&quot;. we decide to pay as it was after midnight and were very tired and no manager was on duty at that time.the days after I asked to speak to a manager but for 3/4 times, this &quot;ghost-manager&quot; was in a meeting!!!	
Nov 25 2009 	The Strand Palace is the PERFECT place to stay in London!	We had a wonderful week's stay last week at the Strand Palace, as we love to explore London the hotel is perfectly placed right on the Strand, minutes from Trafalgar Square, Whitehall, Embankment, etc etc.  The room on the 1st floor was brand new, VERY clean, very comfortable and modern decor.    The staff in all departments could not have been more helpful, my husband has some walking difficulties and nothing was too much trouble for the staff when it came to helping us.   English breakfast was very good indeed, a great little coffee shop and excellent Carvery.    Boy! are they efficient there! If only all hotels could be like this.  If they can do it ........       We will definately be back to the Strand Palace for our annual week in London next year.  A big Thank You, well deserved!	
Nov 25 2009 	excellent friendly welcoming hotel	On arrival you are greeted by the doorman, the reception area is very spacious and clean. We stayed in a club room which was a fair size and very comfortable everything you needed for your stay (the complimentary bottle of wine provided was an added bonus for our anniversary). All of the staff we dealt with were very friendly and polite. Both of the restaurants we used were excellent and the food was to a very high standard. The bonus of this hotel is that it is only a few minutes walk from the tube station and most of the theatres also in good reach of the shopping areas and markets.I would definitely use this hotel again in the future 10/10.	
Nov 24 2009 	Small rooms huge hotel....very old	I stayed at this hotel 2 days by the roundway from the East Horsly.My room (standart - old and ugly) wasnt ready....and the staff gave me superior room.... Hotel is like a labyrinth....doors, doors, doors (more that 700 rooms in a hotel)....and not modern. Superior room are good...but small and have problems with noise insulation - you are filling as in the middle of the Strand street (hopely my rooms window looked not to the strand street, but it was too noisy......filling like not in room....window frame are old and woody...And many homeless people around....not comfortable late evening...cose bars and shops put all food which wasnt sold on this day directly to the street....not good - if they want to help people thay wouldnt put food there...By the way...I always stay in City Inn Westminestr....but is was business trip and my company booked it....I never....City Inn my choice!	
Nov 22 2009 	Great except for expensive wi-fi	The Club room, by British hotel standards was great. Of course, no bar fridge, but it was spacious with a good bathroom (and uncomplicated shower). And position! Central London seems so small from here, use the Hotel as a walking base. Nearby are the London Eye,Convent Garden, Soho, Trafalgar Sq. (then Admiralty Arch, Pall Mall and Buck House), the Embankment takes you to Houses of Parliament + Westminster Abbey. Charing Cross underground is 5 mins away, and theatres are all around. The consierges are really helpful. Breakfast is not just varied, but a vision in logistics: if you have to wait, it is not for long. Complaint: we stayed in B&amp;Bs across Britain, all with free in-room wi-fi. Not here, they give you a free hour in the lounge, after that you pay an extortionate price, there or in your room. Solution: go to Starbucks nearby, it's free; but why should we have to at these rates? Like EVERY other hotel I've stayed at in the world, they wash all laundry every day in spite of asking us not to.	
Nov 22 2009 	Poor maintenance level great location	Hotel was old and not very well maintained. We had to switch room twice (once we had problems flushing the water in the toilet, once we could hear people snore in the next room). Rooms are very small.Location is great, nothing else we can say is positive.	
Nov 18 2009 	Position is the only reason to stay here	The Strand is like a million other hotels, to me there is nothing really to make the hotel stand out. I chose it for its convenience for business meeting in the morning and the West End in the evening.One tip if you do stay here, skip the hotel breakfast and book in over the road at Simpsons, it still one of the best place in London to have breakfast. Even if you are visiting us from another country, Simpson's is so British you;ll be glad you tried it.	
Nov 17 2009 	This must be the best location in central London	The location of the Strand Palace is ideal for visitors bent on leisure or business with the City and law to the east and theatreland on the doorstep.Buses on the Strand seem to reach every part of London, tube stations are fairly handy and there is a constant supply of taxis .The hotel has been brought up to date, the restaurants are good and plentiful. It has everything we need in a hotel.	
Nov 17 2009 	Strand Palace better than ever!	I have stayed at this hotel for over twenty years. Until the recent refurbishment it had become tired and I had moved up the Strand to the Waldorfe Hilton. However it is now better than it has ever been. My wife and I have stayed there twice this year and have been very pleased on both occassions. The club rooms are well furnished and comfortable. The breakfast is good and the general ambience of the hotel warm and welcoming. A comfotable hotel of a good standard, with helpfull service and good value for money in a premier location.James. Yorkshire, England.	
Nov 17 2009 	Fantastic	Excellent value for money. Rooms beautifully prepared and refurbished, nothing too much trouble, staff friendly, treated like royalty. Fantastic to stay in a hotel with a tophatted doorman for that price. And so convenient for theatreland. We only happened to mention as an aside that it was our daughter's 16th birthday (the purpose of the trip) and a card and bowl of fruit were delivered to her room.	
