	A Tad better than Tourist Class	We were cautious about a hotel in a converted terrace house, since the sound transmission of every footfall from the room above in a Pimlico (Belgrave Road) tourist class hotel a few years ago kept me awake each night. At the Academy I was sure to request a top-floor room in advance and on arrival--and having just read that so many others suffered the heavy footsteps of their upstairs neighbors, I'm so glad I did and very grateful to have been granted one (the pretty but uncharming clerk repeated that he could &quot;not guarantee anything&quot;). The interior storm windows were effective in reducing street noise. I'll very briefly list the strengths--location, location, location, near lots of interesting restaurants, shops, the British Museum, and the University of London. The decor is charming, too, as most reviewers have already said. The weaknesses center on attention to detail. I had to ask twice to have the light over the bathroom sink repaired. The bottled water was missing the last day. Neither were the coffee packets replaced over the three-day stay. The tiny bar of soap (in the shape of a frog) was never replaced, nor were the fine shower amenities (shampoo, conditioner, body wash). The drains in the bathroom smelled, and on the second day the wakeup call came 40 minutes late. And the last night a attic exhaust fan whirred noisily. The front desk staff is polite but undertrained. I booked the room through the hotel Web site and would highly recommend booking through Kayak or another consolidator, so as to pay in American dollars, if that is your currency. (The dollar declined so badly that we ended up paying $233 per night for a tiny room.) I'd certainly stay Bloomsbury again but would try for the Hotel Russell.	
Nov 2 2009 	Excellent stay in London	The reviews do not rave enough about this hotel. It was perfect. The service excellent and friendly. Understated luxury and quality throughout the hotel. Beautiful decor. We had a stay of one night for business, and I was sorry only to spend a few comfortable and peaceful hours there.	
Oct 23 2009 	Fabulous	I stayed at the Acedemy last year before Christmas with my Sister and experienced a few individual mishaps which rather spoilt our stay. Having said this the service and staff were very professional. On checking out, the Manager spoke to me personally and advised that he would like to welcome me back to the hotel to 'experience it as it is meant to be'.At the time I honestly thought 'year right' but as I was offered a great deal for a suite I thought I would give it another go as the location is fantastic.Almost one year Iater on, the promise was honoured and I was given a great deal on a suite which inlcuded the romance package as we were visiting London to celebrate my Husbands' birthday. This time the experience was totally different. The staff were still charming but the room was much much better. We had a lovely large suite with a huge comfy four poster, a sofa, mini bar, TV etc. We also had a plate of chocolate covered strawberries, a vase of 24 pink long stemmed roses (which I took home and are still in my living room) and a full size bottle of champage. on our first morning we also had a fantastic cooked breakfast in bed.The bathroom was quite opulent with a marble sink, but not huge and had seen better days, although it was perfectly functional and spotlessley clean.The general decoration was very befitting of an older style property and I'm glad they haven't modernised it in that 'boutiquey' way which seems to have become the boutique hotel uniform.The hotel is smack bang in the middle of everything, covent garden etc. The location can't be beat and, for this reason I feel that the full price of £170 per night for such a large suite in the middle of the city is great value for money. The romance package usually costs £55 which includes the chanpagne, roses, chocolates and the breakfast in bed which is an absolute bargain!! (So many other chain hotels just give you a tiny box of thorntons chocolates and a half bottle of champers.) I would deffinitely stay there next time I visit London. I would ensure, however that I go for a suite rather than a standard room as they really are very small.	
Oct 1 2009 	a little gem	Hard to fault this hotel. I did request a quiet room and mine overlooked a courtyard garden with fountain. The location, on Gower St only minutes from Soho, China Town, the theatres and the rest is great. The staff were lovely, plenty of space in the room, good bathroom, delicious breakfast, and given the high costs of london hotels, I thought the cost (through laterooms.com) was fine.	
Sep 25 2009 	A lovely surprise	I stayed here for 1 night whilst attending a function in London. I was really surpised by the hotel - the service at the desk was friendly and efficient, the room was well appointed and although I think there was a vent close by the bed was sooo comfortable that it didn't spoil my sleep. 2 minor things - there was no hairdryer in my room and the shower wall mounting was broken. Very minor and I would probably stay here again.	
Aug 28 2009 	"Excellent location and good service"	We booked a suite and it was worth it to have the extra space. The room was well appointed and very comfortable. We went into a regular room and it did seem a bit crowded. As we were there for 5 nights, it was well worth it to be able to have a bit more living room, so to speak. The service was very good and they were very helpful at the front desk. Breakfast was delightful and well worth it -- a bit pricey, but so convenient that it made for a very relaxed start to the day.Location is excellent and it is very easy to get around from here on foot -- or by cab, and on the underground. Definitely would stay here again - in a suite, however. And as for those who mention &quot;carrying your luggage to your room&quot; up relatively narrow stairswells, it's true, but they'll gladly do it for you.I booked through Expedia and got a good rate -- it seemed to be better than what I could have received through the hotel site directly. However, I did book several months in advance and that could have changed closer to the date.	
Aug 27 2009 	Charming 	Not only charming and well located, cozy and with a very helpful staff. Standard rooms are tiny however spotless, suites well sized, charming livings rooms and gardens. Worth, it will be repeated.	
Aug 25 2009 	Slipping up on the small things.....	We've stayed before at The Academy and booked this time around under a three nights for the price of two offer for both leisure and for me, a short business meeting.The deal also included a free room upgrade on the third night, subject to availability. We knew the regular rooms were fairly compact due to the nature of the hotel having been converted from 18th century buildings. Despite this, we found them comfortable and cosy before and this time was no exception.But, for the reputation that this hotel would like to retain, it's a pity it slips up on things. Complimentary water was available on the first night when we arrived, but next day after the room was cleaned, there was none left in the room, We asked for it and it was sent up, but we shouldn't have had to ask. Additionally, only one bath towel was left in our room after room was cleaned following the first night. Also, after we arrived late on a Friday, we decided to have our breakfast sent up to the room the following morning. We filled out the order form, hung it on the door handle outside and next morning woke awaiting breakfast. About 10 minutes after the time it was due to arrive, I checked the outside door handle, and sure enough the order form filled out the night before was still there. We went to the breakfast room instead, where the staff are great. Reception was apologetic about failing on the order front, but it shouldn't have happened.We returned to the hotel late in the afternoon after our second night and nothing had been said to us about our room upgrade. It should have been, and we shouldn't have had to ask at reception about it ourselves, which we did. Even at that, we were immediately told that it was subject to availability. I asked if there were any upgrade rooms available, but was told it the hotel was pretty much full. I asked if there were any rooms to upgrade to, and was told there was a suite &quot;if we really wanted to move&quot;. We did, helped with our bags by a very helpful Jason. But the point is, again, we shouldn't have had to ask about the upgrade - they should have pre-empted us and made a point of informing us that we could upgrade that night. After all, they're the ones who offered the deal - if they're not keen on fulfilling it, why bother?Also, upon checking out, the receptionist charged us in euro on my credit card, despite me informing her I wanted to be billed in sterling. She assured me I would be, but I wasn't, which means I paid a little bit more than I should have - not much at all, but again, it was just poor service execution and I'd hate to think the hotel does this for some ulterior motive rather than simply poor staff training.Anyway, we still like this hotel, but it's a pity that things can be hit and miss. The location is great, but the hotel is in danger at some stage in the not too distant future of being remembered as a 'great hotel', as it slowly transforms to being a run of the mill one, due largely to service standards.	
Aug 25 2009 	Lovely place! Great Service!	What can I say? Thank you Academy Hotel for the wonderful weekend with my partner and our two friends! When I booked online two rooms at the Academy hotel in London I was a little concerned because if you read the previous pages you'll find many negative reviews about this place. My stay at the Academy hotel was wonderful! I booked two standard rooms for a very good price if you consider the fact that the hotel is in central London and close to everything! The British Museum is just a short stroll away... When we arrived al 10.00 am they stored our luggage until the late afternoon when we came back from our tour of central London, just to find out that they had upgraded both our rooms for free to beautiful suites!!! I could not believe my own eyes when I entered the room! Large room with flat screen TV, airconditioning, a sofa, large closet with a safe, minibar, clean and comfortable bathroom with amenities like shampoo, conditioner, bath foam, bath robe... Classical music was played by the radio. No noise was coming from the street and from other rooms, very comfortable beds, free tea, coffee, cocoa, apples... My friends needed a plug converter and it was available in minutes and delivered directly to the room. In previous reviews people complained about the rude staff at the front desk and about the service in general. During our stay every person of the staff I met in the hotel was kind and helpful. They stored our luggage both when we arrived and when we left. They helped us planning our trip to the Kew Gardens... they were extremely kind and always replied with a smile... I have not found the rude and unfriendly staff other reviews talk about. Maybe I was just lucky, but I don't think so. Great Job! I'll be back!	
Aug 14 2009 	Good Location good breakfast but........	Our bedroom was located on the 5th floor the good news was that it was relatively quiet the bad news was that the natural light was very limited. I agree with the last two reviewers very small bathrooms and the extras the company make an issue about were hit and miss. Our room was not cleaned until 3.30pm one day after two complaints the ratione being room cleaning is between 8am and 5pm not good enough. The turn down service and mineral water was a joke, the first day she knocked and came into the room at 4pm we had only been in the romm 1 hour she di not leave the minera water. Day 2 we had rfoom clean plus turn down without us even going in the room. Day 3 I have already said we did not even have the basic and turn down never happened. I hoped the recvpetionist who was happy to take £360 off us would ask us if we had had a pleasant stay etc, nothing so my complaints come on trip advisor. Great shame as I would like to visit this hotel again due to location and good breakfast but the room was tto small and too little natural light. The bathroom the other reviewers have commented on this well but their comments are very accurate	
Aug 9 2009 	Good location terrible bathroom	The location is what drew us to this hotel, in Bloomsbury near Euston station/tube stations, close to the British Museum, etc. However, it's a good job we didn't plan on spending much time hanging round our hotel room! Check-in was fine, in a lovely lobby area, very tastefully decorated and stylish. We were shown to our room on the third (and top) floor. The room was very small but clean and comfortable enough, and looked like it did on the website. But when we saw the bathroom, we didn't know whether to laugh or cry! As a previous reviewer has noted, the bathroom was minuscule with very basic equipment shoe-horned in. The basin was about the size of a postage stamp, and when you turned a tap on a noise emitted from the pipes. The shower wasn't the newest and wasn't great, so I didn't linger. It wasn't dirty, but yellow with age and not exactly very pretty. Our air conditioning unit wasn't working either and the room was boiling (nb: even though it was August, it wasn't particularly warm so god help people staying in there in hot weather). I rang the reception and they sent someone to look at it. Promptly, someone (one of the regular staff I'd seen carrying bags, not a maintenance person) came to our room to have a look at the unit and said there was nothing he could do to fix it. He did, though, have a fan outside if we wanted it - so we did as we would have sweltered otherwise. His bringing the fan with him made me think they already knew the air con wasn't working in this room and previous people had also complained. I hope they get round to fixing it! The advertised free water didn't materialise on the first night either. It's just little things like this that make you feel a bit let down, so it's difficult to know if I'd recommend this hotel. Overall, it is a nice place with character in a good location. I'd say stay there if you're not planning on spending too much time in your room and make sure the air conditioner is working if it's summer and you're on the top floor!	
