	Peaceful stay in London bustle and hustle	The Beaufort feels a bit like home. Very nice staff, a complimentary bar with soft drinks and alcoholic beverages, a liitle lounge, quiet street, so close to Harrods, Knightbridge and even Piccadilly.We had a Junior Suite with King size bed, sofa bed and a rollaway, were we stayed with 2 adults and 2 teens. The bathroom was a bit small and there was only one washbassin. But that's the charms of the houses the Beaufort is settled in, I guess.	
Nov 15 2009 	London in a Storm	My wife &amp; I stayed @ The Beaufort and had a wonderful time. The staff were great as was the room. The only problem was the storm!! Will use The Beaufort on our next trip.	
Nov 12 2009 	Atrocious stay with very poor service and substandard rooms/breakfast	We stayed at the Beaufort Hotel in July for 1 night and unexpectedly one of our family members was seriously injured just prior to our stay at the Hotel. We required a change of rooms to ground floor and 2 rooms beside each other to help the family member walk/dress, enter/exit their room. Unfortunately, the hotel staff could not accommodate our needs and this necessitated our moving hotels. We requested a refund of the remaining nights given the emergency situation and were refused. For the 1 night we stayed we had a basement room, which is not only very small (unsuitable for 2 people), loud (you can hear the people upstairs and in the 'business lounge', and there is no ventilation. We also had a junior suite, which was a lovely room but the breakfast we ordered with the room was awful. Cereal in a box, plastic pre-wrapped muffins, cold coffee, bruised bananas and it was delivered late. The staff at this hotel were not only unsympathetic to the injuries of our family member, but they berated this person and made them feel unworthy and very uncomfortable (they were crying in the lobby and the staff just said they couldn't help with anything). We ended up moving just down the street to the Beaufort House (different from the Beaufort Hotel) and had a fantastic stay!	
Nov 4 2009 	Enjoyable but Surprising	The Beaufort is in an excellent location in Knightsbridge. The rooms are fine, though I would not stay on the basement floor as you can hear footsteps above from the lobby. The hotel offers free beverages alcoholic and non, which is particularly nice. The staff is helpful, well-meaning and friendly, but virtually untrained in professional hotel service. it was surprising that a hotel of this price and caliber had all Eastern and Central European staff.	
Oct 18 2009 	Lovely hotel in a very European style	My boyfriend and I spent three nights at the Beaufort and absolutely loved it, although it did take a bit of getting used to as it is definitely not an &quot;American&quot; style hotel. This is not a bad thing at all!! But can be a little unsettling for folks who generally stay in American-based chain hotels. So please keep an open mind as you settle in. We were given a basement-level room, which I must say put me off at first but I got over it quickly, because the room was gorgeous, with a big bay window, stylish and understated furnishings, and a very nice big bathroom. Also this is probably the cleanest hotel I have ever stayed in, perfectly spotless from floor to ceiling. There is a bit of foot-traffic noise from the hallways above and outside the room but that is to be expected in a building of this age. The smallest details were taken care of (housekeeping left a single rose in our room one night, which was a sweet touch, and welcome chocolates when we arrived). The hotel has free wi-fi which really didn't work in our room or the lower level lounge/business center but worked fairly well in the lobby lounge. If you are going to try to get some work done you may do well to request a room with strong wifi signal. This was a blessing in disguise on a holiday though. The bed was also not the most comfortable but the linens were fresh and crisp and clean so that made up for it.Scones and tea made a lovely afternoon treat; the scones were freshly made and delicious and warm and came with a pot of clotted cream and jams, very nice treat. The open bar was a nice touch too :) Perfect location, steps away from a fantastic dim sum house, Lebanese restaurant, and Nero for coffee, as well as a long selection of shops and restaurants that we did not have to try, but the street itself was pleasant, quiet and clean.We will gladly recommend!	
Oct 9 2009 	Wonderful location very friendly and accomodating staff just a lovely boutique hotel.	When we arrived after an overnight flight, we were delighted to be able to settle right in to our suite. After a short resbit, we were awakened with a tea service and a tray of scones.We made this hotel our home for a week, and it was like coming home every day, after seeing the many wonderful sights of London. The staff were very accomodating, and welcoming...would get us anything we needed. The suite was modern, spacious, and clean. I especially liked the computer lounge, where we could plan our sightseeing. Very pretty neighborhood, it was exactly as pictured on the internet.	
Oct 1 2009 	Lovely place in fab location	My partner booked this hotel as a surprise for a romantic trip to London. It was expensive (£200) a night but worth it. We had booked a deluxe room through Secret Rooms and upon check in had been given a free upgrade to a junior suite. The room was big with a small sofa, plasma TV, comfy bed, and bathrobes. It was very nicely decorated. The best part for me was the afternoon tea which is free and served between 3pm and 5pm to your room, the scones were delicious! There is a free (help yourself) bar until 11pm with lots of choice including spirits, wine, champagne, beer and soft drinks. There are no tea or coffee facilities in the room but you can dial reception who will have a pot of fresh tea to your room within a minute or two - excellent service!! We had no problems with noise and the staff were very friendly. The only dissapointment was that continental breakfast was £14 per person, for the price we paid you would expect it to be included in the price. We chose to go for breakfast at Harrods instead!! We would definately stay there again.	
Sep 26 2009 	Awesome service great staff perfect location in Kensington perfect!	This is a great hotel in a perfect location, roll out of bed to luxury and a staff that responds to every need in an immediate manner. The open bar in the late afternoons and evenings is wonderful and the fresh tea and scones in our room made us smile from ear to ear. From the momment we walked in to the momment we checked out I felt as a welcome guest in a friends home. What a perfect experience for us. I will be back to London and this is now my favorite London hotel.	
Sep 21 2009 	Perfect Location Lovely Accommodation Wonderful Stay	We booked to stay at the Beaufort Hotel for a birthday celebration and a night out in London. The Beaufort is clean and contemporary and finished with nice touches such as the complimentary afternoon tea. The scones were served warm to our room and were delicious. It is in a great location with Harrods and Harvey Nichols and the designer shops at your fingertips, great restaurants and amenities close by. We had a lovely dinner at Mon Peliano located directly across the road from the hotel and would recommend this to other visitors.I would definitely stay here again and would recommend it to all.	
Sep 2 2009 	Nice local lacks attention to detail you would expect	Stayed at this hotel in late August for a holiday with my wife. Well presented modern looking room with good facilities. Location is perfect, near the Knightsbridge tube station, shops and restaurants.What disappointed me with this place is the lack of detail to service. The staffs are pleasant enough however they appear to hide away out the back. Things I would expect this hotel to do:- the downstairs lounge/business room was not cleaned regularly. Complementary drinks and nibbles are great: I just don't like eating chips, nuts and olives that have been left out for days on end. The tea and coffee facilities are POOR. The milk on one occasion had turned into a solid... especially disappointing when I was dying for a cuppa as the rooms do not have tea/coffee facilities in the rooms. This is unacceptable. There should be at least a wet bar for this offering with spot checks done for this area.The lock on our door was damaged and we had to SLAM the door at least 3 times to get it to lock... (the room above must have had the same problem as they slammed the door four times in a row at 4am, no doubt to catch a plane)Simple little things like this which can be rectified would make this Hotel a must to return... Not for me however.... I hope they lift their game....	
Aug 21 2009 	Nice oasis surrounded by some good restaurants	Spent 3 nights with 2 rooms on the 5th floor. My teen sons actually had the nicer of the 2 rooms, facing the very quiet street. Hotel was quiet, rooms were large enough for us, and nicely decorated. My room smelled slightly of smoke at first ... it is a smoke-free hotel, but someone could have sneaked to the small terrace off the room. A great location -- loved being close to the parks, we were so busy we didn't make it to Harrods!! Lots of restaurant selections nearby. Staff were friendly and very willing to assist when needed.	
