	Great Location -- Nice European Hotel	Stayed here over the long &quot;Thanksgiving Holiday&quot; - first time to London and thought this is a charming, nice location hotel. I couldn't have been more happy. Compared to other hotels I have stayed in Europe the room wasn't SUPER small....	
Nov 23 2009 	Fab Hotel	Stayed for one week at the Cavendish executive room, the service was top notch location very exclusive, within walking distance of Picadilly and Mayfair. Surrounded by fabulous shops and restaurants. Ask for a room in the higher floors, you get a view of the London Eye and Big Ben. Hotel Service is great and very accomodating.	
Nov 20 2009 	Great Location nice service small-ish rooms	The Cavendish is very centrally located - my travelling companion and I used our Oyster cards much more rarely than had we stayed further out from central London. It was a 7 minute walk to Trafalgar Sq., or Leicester Sq., and not much further to the ENO or many of the theatres of the West End. The two of us shared an executive king room, which was not overly large, and was a little sparse on storage space, but was otherwise quite comfortable. Breakfast had been included in our rate, and was better than average for a hotel of this level of luxury. The staff was attentive - we ate in the hotel dining room for dinner, and were asked about our meal not only at the time it was served, but also the next morning at breakfast. The only niggling criticisms that I have are that the hangers in the armoire could not be unfastened from the rod (though they were designed to be able to do so), and the &quot;joystick&quot; controls on the bathroom sink were difficult to calibrate temperature and velocity of water, and the very &quot;designer&quot; bowl-shaped sinks were not practical, at least in my experience. The shower and tub were both quite lovely - good water pressure for both, and the tub was large enough to lounge in.	
Nov 15 2009 	Great Location and Friendly Staff	This hotel was the first hotel in London to win the &quot;Green Hotel&quot; award so if lowering your impact on the environment while travelling is important to you, this is an accommodation to consider. We stayed one night at the Cavendish while on a shopping and theatre visit. The hotel is tucked away nicely behind Fortnum and Mason and is within easy walking distance of West End theatres and restaurants. Our room was spotlessly clean and all rooms are non-smoking which deserves an award in itself. The staff were friendly and willing to assist with queries.Breakfast was included with our rate and was very delicious with ample and varied selection. The restaurant was very nicely decorated and cheery - wait staff seemed to abound and attended to our every need.The only slight criticism was that room sizes are on the small side but you do expect that in London. There were no robes in the room which would have been a nice touch. Overall, we highly recommend this hotel!!!	
Nov 10 2009 	Well Worth the Splurge!	We decided to splurge for our five nights in London last July, at the end of our English family holiday. We were able to get a bit of a deal, by reserving and paying well in advance. And given our package included breakfast, it was not bad value overall.The hotel is lovely - very modern decore and is ideally situated between Picadilly and Green Park subway stops. It is just a short walk to St. James Palace, with Buckingham Palace not too far away. We were wary of hotels near Picadilly, as we'd been told they could be noisy, but this was not the case and we would not hesitate to recommend the Cavendish. And if you are in the market for men's shirts, Jermyn Street had many choices!We were booked into a higher-end room - I believe it was a junior suite. It was located on the top floor. One took the elevator to the top, and then went up a flight of stairs - via some windows with fabulous views of London. Of course, someone carried our bags for us. The room was very large, with great eastward views. There was a very comfortable king bed, and a full-size pull-out couch for our daughter. With the couch open, it was a bit cosy, but there was a whole separate area raised a step or two with another lounging chair and lamp, and a small table. The pull-out couch was fine - but a bit lumpy. However, when I asked for a second duvet, one was brought to us immediately. With that for padding underneath, my daughter was quite content.The bathroom was exquisite - large soaker tub, separate shower, and large vanity with lots of room to put all our things. There were two very large closets with drawers and adequate room to hang clothes for all three of us.The breakfast buffet was plentiful, with good choices and variety day-to-day. Although it would have been hideously expensive to buy on its own, it made our room a reasonably good deal. The breakfast room was quite busy on the weekend, but the service was still very cheerful and competent. Genearlly, we found the staff were very accommodating.Our only complaint at all was the elevators. One was out of service for a couple of days, and with the hotel fully booked, it got a bit slow to get around, especially to breakfast. However, this did nothing to dampen our enthusiasm for such a nice hotel. It was well worth the splurge!	
Nov 6 2009 	Excellent centrally situated hotel	We have stayed at the Cavendish before and thoroughly enjoyed it. This time we stayed in a Superior room, and I have to say it was well worth the extra for that extra bit of room. Staff excellent, hotel excellent, general stay excellent. I love coming to this hotel, as it is centrally based for all our &quot;retail therapy&quot; as well as you can park the car (underneath the hotel) overnight at a very reasonable rate. Cannot wait to go back and stay. Truly.Thanks to all the staff at the Cavendish.	
Nov 2 2009 	Great stay at the Cavendish....	I booked the Cavendish Hotel for my husbands 30th birthday as a surprise..what a great hotel! the hotel is in a great location, is modern, spotless and very welcoming. We stayed in a double superior room which was spacious and had all the mod coms. before i arrived i had rang the hotel to ask if we could have a room with a view as it was my husbands birthday...The room they gave us was on the 10th floor with amazing views of the London eye, aslo the hotel had a big chocolate cake and birthday card delivered to our room..which i thought was lovely. I would definatley recommend this hotel!!! Great stay in London...!!!	
Oct 30 2009 	Sleek Hotel Great Location	I had a very hard time choosing a hotel in London - many of the decent ones were quite expensive, and the ones in my price range were in far-off locations. The Cavendish was a relatively low price for a four star hotel in London, and my travel package came with buffet breakfast, so I decided on this one and am very glad I did. The Cavendish is a sleek, modern hotel located near Picadilly Circus, so the location is excellent. However, it should be noted that the hotel is on a quiet little side street a few blocks AWAY from Picadilly, and I got a little bit lost with all the little winding streets a couple of times. The room was excellent, but it was on the fourth floor and didn't have much of a view - it looked straight into the facade of another building (which, according to my London guide, is actually a very good fancy department store). I would say to ask for a room on a higher floor. It was a bit hard to control the temperature, and it always seemed a bit cold, but the beds were AMAZINGLY soft. It was very hard to get up in the morning!The breakfast is also very good. The buffet is the same everyday and comes with the standard fare: tea, coffee, cereal, scrambled eggs, sausage, bacon, jam, bagels, etc. It was a good breakfast, but if it doesn't come included in your vacation package, I would recommend not taking it because it's about 30 pounds a day! Definitely not worth it. One thing that irks me about classy hotels is that they feel justified to charge you for internet, which the Cavendish does as well. However, internet is free in the lobby, and they have a very cozy sitting area with many outlets to plug laptops into. If you need to print something out, there are a measly three computers in the lobby, and they are free for 15 minutes of use. Overall, the location was awesome (within walking distance to the touristy areas of Picadilly and even Trafalgar Square), the rooms were comfortable, and the breakfast was good.	
Oct 27 2009 	Very nice hotel	We stayed at the Cavendish for three nights. We stayed in a superior room on the 14th floor. The room was small, but the bathroom was large and well-appointed. The view was excellent, especially at night. It's location is top notch for restaurants, pubs and theater. It's a 5 minute walk to tube stops and about 15 to the Thames at Westminster. The decor was a little too trendy and modern for our taste. We didn't find it particularly comfortable. The bar was particularly spartan, hence the lack of patrons. But the lounge on the next floor up was more comfortable, if inconsistent service-wise. The concierge service was very helpful, taking care of our reservations, directions and travel plans.	
Oct 27 2009 	Good quality at a reasonable price and great location	We stayed for two nights in October in a classic room. The location was ideal for us with the main theatre district,shopping and many major attractions all within walking distance. Immediately behind Fortnum &amp; Mason on Jermyn Street, the location is quiet and almost perfect for central London.Rooms are a little small compared to many but you can upgrade. Decor is modern and facilities good although it's shower only at the lower end of the price range. The TV was distinguished by having the most complicated menu system of any I've experienced but it's hardly a major issue. The public areas are well appointed but very quiet when we were there. No bar scene here I'm afraid. Breakfast and the main restaurant are on the first floor and some tables have pleasant views of Jermyn Street. You can have breakfast in your room at no extra charge. I recommend it as the wait to be seated in the restaurant was unacceptible on the morning we went (and it was only half full anyway). Choice isn't vast but it was good quality. All the staff were very pleasant - some excellent. This hotel is a great base for a leisure trip to London. It isn't a destination in itself but a stay here will still enhance your trip.	
Oct 9 2009 	Great location great staff	Hotel was really central, you could walk to Oxford Street, Bond Street, Regent Street, so right in the main shopping district as well as being able to walk to Buckingham Palace. Other major sightseeing attractions were only a few stops on the tube. Room was great, one of the cleanest we've stayed in. All the staff at the hotel were really friendly and ready to offer their help with anything. Overall a really good stay at a really good hotel.	
