	Dorchester Hotel - London	It was ouir second time at the Dorchserter and when we got yo our room there was a bottle of champagne. They show you around your room and make you feel so welcome.	
Nov 17 2009 	Afternoon Tea - a wonderful memorable experience	Although I didn't actually stay at the Dorchester, I had such a lovely experience with their traditional afternoon tea I thought I better write a review! I did much research on where I wanted to have afternoon tea and picked the Dorchester because it was one of the best value for money I could find (and I was was paying, so it better be good!). The lobby is warm and inviting and the Christmas tree was well decorated. I also got to check out the bathrooms while I was there - very private and elegant. Anyway, I absolutely loved the whole afternoon tea experience. Our waiter was so friendly and charming, he bent over backwards to help us. After seeing us looking confused at a map, he came to our assistance and gave us helpful directions to our destination. Two out of three of us are vegetarian and we thought the Dorchester catered really well to our needs, offering a simple yet delicious variety of both meat and meat-free options that we were all satisfied with. The sandwiches were offered at least three times before we served with a honey yoghurt parfait thing which was a welcomed surprise - it was delicious. The scones were of a high quality and the clotted cream, jam and marmalade were delicious. While the french pastries weren't to my taste (I am just not a pastry person, that's all, but I can appreciate them) they were perfectly presented. The ambience is wonderful and just like it appears on the website. The signature Dorchester blend was also fantastic. I just thought the service was brilliant, they make you feel like a movie star and are totally welcoming, professional yet approachable. I paid 33.50 pounds per person and I think it was such a memorable experience that I will take with me forever (but certainly will do next time I'm in London!!). It was worth every penny.	
Nov 9 2009 	Next they'll probably charge for electricity	The Dorchester is an iconic British hotel. I've stayed in it many times. You can't beat the Mayfair location right across from Hyde Park. The lobby is lovely and a perfect spot for enjoying a cocktail or beautiful English tea. But now with the dollar at an all time low staying at the Dorchester has become prohibitive. That said, I decided to bite the bullet, and spend the ridiculous sum to stay where I feel most comfortable. For almost three thousand pounds a night I was shown to a &quot;Dorchester Suite&quot;. It's a little snug (under 800 sq. feet) but very nicely decorated and comfortable. There were fresh flowers and a welcome back note from the manager. Here's why I will not return to the Dorchester: there is a 20 pound charge per day per computer in every room and suite. I was there for seven days. Do the math. I find this ridiculously short sided and tacky. So while in London I visited at least a dozen 5 star hotels to see if I could find a suitable replacement. Truth be told not all the suites I was shown were as beautiful as the suites at the Dorchester. But several were and besides having a considerably lower price NOT ONE OTHER HOTEL CHARGED FOR INTERNET. At the end of my week I checked out of the Dorchester and told the desk clerk that I was not happy about the internet charge. He apologized and said it's a frequent complaint but that management was not willing to change it. He suggested I negotiate the charge on my next visit and they would probably cut the price in half. I asked if he would cut the fee in half this time and he said he couldn't. I thanked him and told him there wouldn't be a next time. After years of loyal patronage this idiotic charge was the straw that broke the camel's back. I have booked my next London visit at the Stafford. For almost a thousand pounds less per night I'm staying in a beautifully decorated suite that is larger than the Dorchester Suite and yes, comes with free internet. It's also in a terrific location and has a fabulously cozy and charming bar and the staff I met could not be nicer. And best of all, I won't feel like a schmuck spending a lot of money and feeling fleeced.	
Nov 3 2009 	Absolutely Fantastic	Just came back from a night at the Dorchester. There where no problems whatsoever the staff where so helpful and the hotel and bedrooms are beautiful. It deserves every star it has.	
Nov 3 2009 	excellent all round	Spent half term with the family in London.Despite the fact that we arrived dragging our suitcases from the underground,we were warmly welcomed with none of the supposed snobbery suggested by some of the previous reviewers.Two great interconnecting rooms,complimentary champagne and chocolate.Great position for attending shows in the west end,and even paparazzi waiting outside on our return in the evening-but not waiting for us!Will definitely stay again when visiting London.	
Oct 25 2009 	Want the best service and location for a client thank you event? Book the Penthouse Suite - remarkable	Used the Penthouse Suite for a private function to celebrate achievements of four outstanding individuals in their field (with partners) and to present them with awards. Simply the best service I have experienced in the UK. The private balcony complete with fountains and views across the iconic London skyline was breath taking. Not many places could have given our guests this type of experience.Very grateful to the outstanding staff for a memorable evening.	
Oct 24 2009 	I'm not sure what all the hype is about	Good hotel but I’m not sure what the hype is about.Summary:· Good location for West End· Great beds and sheets· Spotlessly clean· Friendly front desk and doormen· Overall decoration in rooms needs to be freshened up· Room Service food wasn’t that good· Breakfast was ok but a very long way off 5 stars both in terms of the food and the ambience.A good impression, the hotel is spotless, nice lobby, doorman very helpful.Reception staff very pleasant.I booked a superior Queen room as I was staying for 1 night for a business meeting, it wasn’t a big room but it wasn’t bad given I wasn’t staying long. The room was in relatively good condition couple of bulbs hadn’t been replaced but bed very comfortable and sheets fantastic, quite bright and had nice B&amp;O TV. The air con vents face the bed and some people may not necessarily like that. Bathroom was in good condition and marble everywhere however the bath/shower over felt tired plus they had those rubber mats in the bath when you shower which is good but felt dated and I’m not sure it’s terribly hygienic really. Nice Floris toiletries and great towels.When you enter the floor from the lift you feel like your transported back to some type of 1950s hotel in terms of décor, but not in a good way. That combined with the rooms which if you like chintz you love it here. But chintz in a 1980s Laura Ashley way. It didn’t feel elegant or bygone era, simply old really like visiting an elderly relatives house.I ordered room service, which took slightly longer than they said it would, I wasn’t that fussed but hey its 5 star I expect it within 30mins if they tell me that’s what it will be. That wasn’t the worst part though. I felt the food wasn’t particularly good. I ordered a prawn pasts dish, frankly the prawns were well overcooked and like bullets and overall it was bland. The desert wasn’t that much better. I won’t bore you with the details suffice it to say I’ve had much better for lesser establishments.After room service I went down to the bar but I have to say personally to me it looked like a 1980s night club, lots of black and some bright lights, again it didn’t do much for me personally but some people may love it because it’s the Dorchester.However the final nail in the Dorchester coffin for me was the breakfast the next morning. After the room service the previous evening I decided to go down for breakfast, its held in the Dorchester Grill. Mmmm it’s a very large virtually windowless room, which has been tarted up, with some gold, tartan and a large flower display. If felt like I was eating breakfast in a well decorated conference all, it had that lack of ambience. I think it hit home particularly as it was 7.30am. Frankly I felt it quite depressing room for breakfast it just didn’t feel right at all. Perhaps it would be ok in the evening but I’m not convinced. However it’s certainly not a good place to have breakfast, the waiter served my food, which he promptly got wrong. I didn’t complain, as I didn’t see the point. I had scrambled eggs and smoked salmon both which tasted again bland but given the lighting speed it arrived after I ordered it I don’t believe they made the eggs to order and that also came across in the presentation. Compared to the Connaught, which had a fabulous breakfast room and fantastic breakfast, this was no where near as good.Overall I found my Dorchester experience quite odd, I wanted to love it, but ended up feeling sorry for it. It needs to be freshened up and someone needs to overhaul catering. Given the prices I’d rather stay in other London hotels.	
Oct 22 2009 	Slight Disappointment	After staying here last month on my own I was really looking forward to my stay last weekend and had booked the weekend stay as a birthday present to my mother. When we came to check in the trouble started. As I was paying with a Solo card (debit, the same I payed with one month previously) I was told in no uncertain manner that an extra £200 per night would be deducted from my card for security purposes and then refunded on my exit. I was shocked and angry to say the least. I am a student, and I understand that paying with a debit card is not the best option for a hotel but to be treated like this was ridiculous. My mother and I are not the types to rack up huge room service bills, and we were both dressed very well, so didn't exactly look like a shady type. When I protested against the extra charge and mentioned my previous stay 5 weeks earlier I was poo-pooed and told there was no record of this card on the system. This is ridiculous as it was the exact card I payed with before. We then agreed to pay in cash, and the matter was apparently forgotten about.The room was lovely, although the beige carpet was pretty badly stained, and this is not the sort of thing I expect in hotels holding this reputation, but bar that everything else was immaculate.The rest of our stay was wonderful, breakfast was perfect, and the spa luxurious.On checkout however, the problems resumed. As I had been made to pay for the room at check in I assumed there would be no problem at check out, and I would just have to drop off keys, I was then told £220 would be refunded to my card: they had deducted this with no knowledge or permission from myself. This whole debacle was then topped off by then noticing a room service charge on the bill which was completely incorrect. Not only this, but the chap checking out beside us had been wrongly charged for an entire dinner and one of the hotel's restaurants. The hotel as a whole is beautiful and terribly romantic. Service is on the whole superb, and many of the staff are as helpful and friendly as can be. My experiences slightly marred the trip as it was not the start we had been hoping for, and the slight shabbiness of the room because of the carpet didn't quite meet expectations. Also, on our first night the room which adjoined ours had very thin walls and at three am I was subjected to an hour of some of the worst 'When Harry Met Sally' impressions I have ever come across, complete with bed banging against the wall - not quite what you want to listen to with your mother Although this all sounds rather negative, the hotel is one of my favourites and we will definitely be back in the near future although I think I may pay on another card	
Oct 19 2009 	Didn't expect to be staying above a night club - they should have told us	We've stayed at The Dorchester before. Largely this hotel delivers in terms of the standards of it's accommodation and amenities and you can read about all of that in detail from numerous reviews elsewhere. However one thing really surprised me on our stay this past Friday. We stayed in room #130 and from 1030pm until 130am there was a pretty loud function being hosted at the ballroom downstairs. The noise was more than loud enough to prevent us from going to sleep - honestly it was pretty loud! I eventually phoned the Night Manager at 1230pm and at first he didn't know what I was talking about, then advised that the noise was towards &quot;the upper end of their acceptable range&quot; and that they were monitoring it, then offered for us to change rooms. I thanked him for the offer, but didn't want to get dressed, pack and move at that time of night (especially as we were leaving the next day anyway). I think that they have a problem with sound proofing from the ballroom, and so recommend asking for a higher floor if available. My main gripe is that we were never informed that a function was going to take place and so couldn't avoid this ourselves. Not great from a hotel of this standard and price.	
Oct 12 2009 	"Fantastic Stay 	Booked this hotel for my Wife's Birthday and brought the Kids along who had a interconnecting room..what a great stay we all had.The service from the moment we worked in was fantastic the doorman were very polite and professional,Reception Staff were smiling and want a smooth check-in.They congratuled my wife on her Birthday without me even mentioning this.. nice touch!!.We were then walked to our rooms by the Receptionist and the room layout explained.. by then our bags had also arrived by a smiling porter.Their was a welcome card and chocolates for my wife....again nice little touches..and the bottle of bubbly I ordered was waiting and chilled !!.My kids found cookies in their room !!...the food was great China Tang was really nice for dinner great menu lots of choice for vegeterians..the treatment rooms are great and very relaxing again the staff we really professional and smiling..We have stayed in many hotels around the world and we are really fussy but this was a great experience for us !!! ..I would recommend this hotel to anyone.	
Oct 3 2009 	Fourth Stay---Heavenly!	I'm very sorry some of the reviewers have had unpleasant experiences with the Dorchester. I've stayed at this hotel 3 times this year, and one time in 2005. I found the hotel fabulous for several reasons:1. Customer service was attentive and welcoming. At no time (contrary to the perceptions of the critical reviews posted on this website) did I receive or perceive second-rate treatment simply because I arrived by taxi. The doormen and bellhops were extraordinarily accommodating. Perhaps the guests in the prior reviews were a bit unhappy about their modest mode of transportation, but I've never perceived the Dorchester staff to be concerned about this. 2. The public areas are spacious and beautiful--replete with amazing flower arrangements. The rooms are large (the smallest is approximately 346 sq. ft). and, as the website states, &quot;inherently British&quot;--with modern technology and antique, plush furnishings. The bathroom is covered in beautiful marble, the bath tub is very large and your hot bath is ready in less than two minutes! Most impressive is the bed-- the most heavenly bed in which I have ever slept. The sheets and pillows feel like creamy butter. Their gift shop sells their pillows--I am tempted to buy. I've read that the Dorchester beds are considered the most luxurious in London--and I'm a believer. 3. The front desk staff has been consistently warm, friendly, professional and attentive. No matter how I looked upon arrival following an 11 hour flight in very casual attire, the staff has always provided a warm welcome and made me feel at home. Additionally, on my last visit, the concierge spent more than one hour attempting to track down my concert ticket number because I had left my tickets at home. He was fantastic.4. The Dorchester often offers great week-end rates, with breakfast included. I overheard one guest stating that he usually stays at the Hilton, but he was staying at the Dorchester because the hotel offered a more competitive price. The breakfast is both delicious and indulgent, offering a variety of eggs, cereals, meats, toast and an array of warm, baked muffins. I can't say enough about my wonderful experiences at the Dorchester. For this reason, I will continue to return. I'm returning in December!	
Sep 26 2009 	charging creditcard in express	My wife and I stayed for 4 nights at Dorchester in may last year. We are from Stavanger in Norway and have been in London several times. We like Londom very mutch. At the reseption the reseptonist would have my creditcard. I told him that we had payed it to our travelcompany in Stavanger several weeks ago. He would not accept that and charged my card for about Nkr. 24.000,- what would bee about 2.400 pounds ? The rom cost about Nkr.16.000,- / 1.600 pounds. It did not help that I showed him the reciept from the travellagenci in Stavanger. He said the amount would be for possible dammage of the room ! ! ! ! If this hotel is a hotel witch have many guests dammaging the rooms, it's not the kind og hotel we want to stay at. It took about 2 weeks before the amount of Nkr.24.000,- was returned to my creditcard. So WE will not stay any more times at the Dorchester. The people in the reseption was not ofthe nice kind. But we did not arrive in a Rolls Royce or simmilar. We arrived in a taxi. When we shold lleave we had ordered a Mercedes we chaffour to take us to Heathrow. The chaufour was not allowed by the people outside the hotell to wait for us outside the hotel. He had to wait for us in a street oppersit of the hotel.	
Sep 19 2009 	appalling !!!!	Booked a weekend at The Dorchester for a weekend to celebrate our 40th wedding anniversary and my sixtieth birthday, on arrival the staff appeared to be very courteous and obliging but after we had been out for a walk in the afternoon we received a telephone message to say the hotel needed to authorise our credit card, I attended reception and said it was not a problem but then I was advised I should telephone my bank and release more funds to cover the bill, it became very apparent the Dorchester thought we were fraudsters and fully expected us to do a &quot;moonlight flit&quot;. That evening we had booked a table at Langans for dinner but the evening was completely spoiled as all we could talk about was the indignity of The Dorchesters apparent appraisal of our financial circumstances, I confronted the duty manager and advised him we had more than sufficient funds to cover whatever came our way. I also advised my wife and I had stayed in some of the best hotels in the world (Raffles, Waldorf Astoria and many top class Hiltons) and had never experienced anything like the embarrassment The Dorchester has inflicted on us. The duty manager offered us a champagne tea as way of compensation but we declined, we do not need &quot;free-bees&quot;, we can pay our our way.All we ask is that all guests are treated with respect and not made to feel insignificant because the do not turn up in a Rolls Royce or wear armani suits.It looks suspiciously like the Hotel runs a &quot;postcode&quot; appraisal of guests, obviously ours (Sheffield) was on their risky list and they wanted to make sure we did not leave without paying. What was supposed to be a celebratory weekend turned in to a nightmare and one we will remember for a long time to come and no, we will not be going back to The Dorchester, even if was free.	
Sep 4 2009 	Wonderful Afternoon Tea	As a treat for us we opted for &quot;Afternoon Tea at the Dorchester&quot; What an excellent choice it turned out to be - From the moment we arrived the Staff we polite and friendly – when we stepped out of the taxi our bags were taken off us and we went into the bar for a drink. Here we had cocktails and relaxed. We were then shown to our table, the waiter was delightful and could not do enough for us – he made our afternoon tea very special. We started with a glass of champagne and then he went on to explain all the different teas, sandwiches and pastries we would be having.  The floral displays are wonderful the décor is beautiful, you feel like you’re in another world with the pianist playing through the afternoon. We did not feel hurried or rushed as the ambience in the Dorchester is very calm and unhurried. Whilst this is a real treat and not cheap it is really worth every penny and we all have wonderful memories of our trip to London.	
Aug 30 2009 	A bit disappointing...	Stayed at the Dorchester for a romantic getaway last year. I had booked champagne and flowers in advance but unfortunately it took 3 phone calls to reception to get this organised which took the surprise element away and left a bad impression. Initially our room overlooked an air conditioning unit which was disappointing for the money we paid, the staff did however move us to a better room on request.Breakfast was lovely, very luxurious, impeccable service. Overall, a luxurious hotel, great location but not really worth the money or hype.	
Aug 15 2009 	no blacks asians or dogs??	i went to the Bar in the dorchester after eating in the allan ducaisse restaurant, i was accosted by a security thug/manager at the door who said that the bar was only for residents, I said I was a resident and this security thug continued to shout at me to show my hotel key.even when i hgav ethe key he wouldnt believe me and went ot recepytion to confirm. Im black .on sitting down, i saw three skimply dressed blonde hookers,chatting very cordially with the barmen. i met and chatted with a white couple who said they were not residents,. so i was sure i had been a victim of racism and discrimaination, this experience ruined my evening, and my stay in the hotel and i would think twice about staying or recommeding it.I warn other ethnic minorities about this racist policy.even when i complained to the duty manager there were no apologies from him or upper management , even though i stayed for two more days.	
Aug 9 2009 	Magical and Pure Luxury!!!	My husband and I decided to celebrate our 40th Wedding Anniversary by treating ourselves to a London show and a night at the Dorchester, however we had no idea that the management and staff at the Dorchester would make our special occasion even more special.From the minute we arrived at the hotel we were treated like royalty by everyone. Our room was upgraded to a Suite where a bottle of champagne on ice and a bowl of fruit was awaiting our arrival, followed by a tray of chocolates and flowers. We had afternoon tea in the Promenade and everything was just perfect - there was plenty to eat and I couldn't believe that a sandwich could be so delicious! Our waiter was very attentive and friendly and again made us feel very special - he even brought out two small tartlets with candles to wish us a Happy Anniversary. Breakfast was the same, perfect in every way. We have nothing but praise for the staff, who were all so friendly and always smiling. Thank you to all at the Dorchester for making our 40th Anniversary an unforgettable occasion.	
Aug 8 2009 	Wow Wow... What an experience	Wow Wow... What an experienceIt was our 10th Wedding Anniversary &amp; Sons B'day wanted something very very special, It was a royal welcome for us, people were very nice, I would say personalise service for everything. had high tea at the promenade its was more than a main meal.and we had some nibble in the room,It was a mini BBQ in your room, We stayed at the Belgravia suite simply stunning views of the Hyde park, Toilets was better than the bed room, everything was so much in to detail.Service was best we have ever experience in a hotel, simply extraordinary team, We spotted few celebrities while we are on the promenade including Prince Andrew we were too shy to photograph him the experience worth lot of money.We had a memorable stay, highly recommend this place if you are after a treat.We are already planning our next trip	
Jul 12 2009 	5 Star Afternoon Tea!	After much research we opted for Afternoon Tea at the Dorchester. An older review on Trip advisor was very helpful, and we hoped all would be still the same. Indeed, I can confirm all the other reviewer said. The price for the full afternoon tea (excluding champagne) is now £33.50, plus 12% service charge, but for a truly unforgettable afternoon we felt it was worth paying.For any special occasion it will make a perfect treat. The staff are very friendly and hepful, and if you are not used to frequenting 5 star hotels you will not feel at all on edge!The afternoon tea includes as many sandwiches as you can eat! A nice selection of chicken, cheese, smoked salmon, egg mayonaise was offered. Then a small dessert, followed by warm dainty scones (plain and fruit) with cream and jam. You are served seconds, if requested. (we managed 4 each!) There is a selection of small delicate cakes to finish. The tea menu is extensive, but not being an expert I took the waiters advise and went for the Dorchester Blend. This was perfect - in fact you will never want a tetley tea bag again! The ambience in the Dorchester is very calm and unhurried. There are only 2 sittings so you have almost 2 hours before you have to vacate the table. The pianist plays throughout the afternoon and you really feel you are in another world. The decor is lovely, with beautiful floral displays, potted palms etc.	
Jul 12 2009 	First class	I stayed at the Dorchester for one night only for the purpose of a special occasion. This is a world class hotel located in an exclusive part of central London. The small amount of reserved parking spaces in front of the hotel are only ever full with Ferraris, Aston Martins, and Bentleys etc.On arrival, the lady at reception was 100% welcoming, polite and professional.Room was luxurious, spacious and perfect.On a separate occasion in 2007 I had dinner at the Dorchester and again the service and quality was 100% at all times.This hotel will not come cheap, but for a special occasion/treat, you should certainly not be disappointed.	
Jul 10 2009 	Fabulous Afternoon Tea at The Dorchester	We booked afternoon tea at the Dorchester as an anniversary present to ourselves and from the moment the doorman opened the doors and we walked in to this amazing hotel it was like Alice falling down the rabbit hole!We arrived early and were told that our table would be ready in a few minutes and so we went to the bar and had a cocktail each. The Barman was very knowledgeable in his drinks and my girlfriend had a New York cosmopolitan and I had a blackberry mojito and although the drinks did come to £24 they where the best cocktails we had ever had.We where then told that our table was ready and that’s when a truly memorable experience started we chose our tea and rose champagne was brought over which we enjoyed and then a selection of sandwiches arrived and continued to arrive until we could eat no more. Then the French pastries and scones it really was a feast for kings.The waiter was very polite and asked what the occasion was and we said it was our first anniversary and moments later he brought a cake out with chocolate writing saying happy 1st anniversary this was such a nice and generous touch which we both enjoyed. The tea was delightful I had the Dorchester blend and my girlfriend had the breakfast blend. I myself am a coffee drinker but I did really enjoy the tea and the entire afternoon tea experience.The bill came in at £121.00 for the both of us as we chose the Wimbledon rose champagne afternoon tea and although expensive the experience was worth it. My only complaint was the dress code seemed lax as me and my girlfriend both made an effort and dressed smartly yet there where foreign guests there in ripped jeans and shorts which let the place down a little I thought.I hope this review has been a help and made you want to share the experience we had.	
Jul 4 2009	Expected more....	This was my first stay at The Dorchester - travelling with my sister who was 50 on the day of our arrival.Check-in was great, with friendly reception staff and we were taken up to our room and shown all the amenities.Our room was fantastic, great decor, very spacious - we had a deluxe twin room. The only downside to the room was that there was absolutely no view as we looked out on a hedge (decor as part of the front of the hotel I think). The bathroom was massive - great toiletries and an extremely deep bath.We took Afternoon Tea in the hotel and this was a little disappointing. Tea consisted of a round of 5 types of sandwich, two very small scones each and a variety of dainty cakes and a pot of tea. All very nice, but I was disappointed that our server didn't offer a top up of tea, or more scones. In fact, once we had been served there was not much attention at all. Now, having taken tea at The Ritz I found this was a very different experience - at The Ritz the server came around on multiple occasions to check whether we required more tea, scones etc.The hotel did excel in remembering my sisters birthday and they delivered a birthday cake and a big bunch of flowers to our room. What a great surpise and thank you very much to the management - it made my sisters day.Breakfast the following day was a great disappointment again. My breakfast came first, while my sister had to wait 20 minutes for a Dorchester Bacon Buttie to arrive. When it did finally arrive the bacon was so fatty that she was unable to eat it. No-one came to check that we were ok or to offer us anything further to eat, or top up our tea pot. In fact we were left to it. Considering that the bill for this was £57 (luckily included in our room price) I was less than happy. Now having stayed in many Ritz Carltons and JW Marriotts breakfast came as a massive disappointment having enjoyed many fantastic breakfasts (with much more than you could ever eat) in these hotels. Granted these were in America, but why should it be so different in the UK?We checked out after breakfast and the last comment I have to make is about the Door Staff/Concierge. The only way I could describe them was surly. I think they are used to dealing with middle eastern, or Russian, or celebrity type people and when it came to looking after 2 middle aged english ladies, they really couldn't be bothered. They left us to look for our own taxis and literally ignored us to the point of being rude. So - would I return to The Dorchester? No - absolutely not. It was an experience, but one not to be repeated. The food, restaurant servce and the attitude of the door staff left much to be desired.	
Jun 26 2009 	Elegant and Calm	I've never stayed at a more fabulous hotel. The staff were beyond helpful - both at the fore and behind the scenes - and after a hectic day of touring returning to the Dorchester was like coming back to an oasis. Travelling solo can you can sometimes feel like an anomaly - but at this hotel you will be treated with respect many helpful hints to facilitate your experience.	
Jun 24 2009 	In every way worthy of its reputation.	Once in a while it is lovely to spend a little extra and stay somewhere special. My daughter and I came to London for business for a couple of days and decided to see why my husband spoke so fondly of The Dorchester. Now, we know. Discretion, luxury, style, and every possible amenity. The Alain Ducasse restaurant was truly outstanding - and very good value in its class for the lunch menu. View of Hyde Park on a perfect spring day was a bonus. I can't think why I would ever pay about fifty pounds less for an ordinary hotel, when I could spend a little more and feel this papmpered. A personal treat I shall repeat soon!	
Jun 2 2009	Loved the Dorchester	what can you say about the hotel that is legendary for its service and hospitality.they do more than more to keep that reputation..	
May 28 2009 	Married at the Dorchester....exquisite hotel!	My husband and I chose The Dorchester for our wedding on May 2nd and had an amazing time. From visiting the hotel to plan our day up until we checked out the staff were superb. We were married in the Pavillion and Penthouse room on the 8th floor overlooking the city and had an amazing day.We had a suite overlooking Mayfair and on arrival were given a bottle of champagne and chocolate covered strawberries which we enjoyed in the mammoth bath. After our wedding we returned to the room to find more strawberries and a lovely card from the hotel manager congratulating us on our wedding.We ordered breakfast in bed and the amount of food that was delivered was brilliant. We ate in the room and the server set up the table and came back later to collect the dishes. We forgot toothbrushes and they kindly brought them up along with a comb and toothpaste.The staff are the blood of the hotel. Everyone was extremely friendly and the service second to none. We are already planning our next visit.	
May 20 2009 	A Top Notch London Hotel	The Dorchester is the top of London elegance. Many celebs are spotted in the lobby or staying here. We chose this hotel because of it's fine reputation. We stayed in a Dorchester Suite which had two bedrooms and magnificent views of Hyde Park. The Rolls Royce picked us up from the airport and took us promptly to the hotel, the front staff (who are dressed to the nines) greeted us extremely friendly). The staff are wonderful and keen to help you. The Theatre Desk is extremely helpful in securing last minute tickets to hot shows, which in our case was the Sound of Music. The Promenade features award winning afternoon tea which we had one afternoon as well as breakfast most mornings. One day we had breakfast in the Grill Room was was a little too formal for our taste. The Bar serves lovely light lunches (we had the day we got there). Alain Ducasse is a gastronomic experience and one of the best meals I have had in my life. The Dorchester Spa is outstanding for massages as well as facials. The location of the hotel is hard to beat and overall just a great experience, no flaws in my opinion and would certainly return.	
May 1 2009 	"Ultimate Luxury"	We stayed at The Dorchester in the easter half term for 2 nights. It was our second visit to the Hotel and just as good. The only draw back to staying here , is that it completely spoils you from staying anywhere else. We have as a family stayed in some beautiful hotels all over the world, but The Dorchester in our opinion is the best and most luxurious. It has a perfect position at Hyde Park Corner, which allows you to be out of the hussel and bussel , but within walking distance to most of the attractions. The hotel itself is beautiful, very classy and luxurious. The bedrooms are sumptuious with almost every amenity( no tea or coffee making facilities though). From the crisp white bedlinen, to the gorgeous marble bathrooms with floris toiletries ,it is literally a dream to stay here. On this, our second visit, there was a complimentry bottle of champagne in our room on arrival, and handmade chocolates and gifts for the children, the Dorchester certainly go out of their way to make you feel special . We had booked a show for our first night stay, so after a long soak in the deepest bath ever, we ordered room service and had a lovely meal brought to the room. The room service menu is quite substanial with lots to choose from and actually not as expensive as you would think, considering your in London. You can get quite a good deal from their website, they do lots of spring and summer offers and xmas specials, which can make it affordable to stay there. The restaurants in the hotel seem very good also. Weve eaten in the grill room and had afternoon tea in the promenard but havent tried the alan ducasse restaurant. Also as well, the spa has undergone a refurbishment and wasnt in use until may, so could not use the spa and pool which was a bit disappointing but hey i bet it will be superb when its done. I defy anyone not to like The Dorchester, its one of the most famous , luxurious hotels in the world, whats not to like...........!	
Apr 12 2009 	A Palace and great value too!	There are 2 brilliant hotels at the top of the London market and this is one of them.It is a favourite of film stars.I amnot one but always receive the genuinely warm welcome that one expects at a hotel but rarely receives.There is not a bad bedroom here.All are a decent size with crisp bed linen and superb bathrooms overloaded with Floris toiletries and fluffy towels.The staff are kind to all,particularly children.Room rates are fair and not as high as one might expect! The set lunch in the Ducasse restaurant is the best and best value in London today.See my recent review on Tripadvisor.The manager here used to run the other perfect hotel,Claridges.It shows.	
