	Cool chic comfortable and central.	Enjoyed a 2 night 'theatre break' in the City and well pleased with our choice of hotel. Has benefited greatly from refurbishment and we enjoyed an 'Upgrade' at check-in. Beautifully appointed room, (view onto back of a church but we weren't there for a view!)with nice sleek minimalistic lines. Very pleasant staff. Got a good deal through website booking and found location ideal - easy walk to Covent Garden and Theatreland.	
Nov 2 2009 	Excellent modern hotel in great location	Stayed at the Thistle on a theatre break for our anniversary. Wasn't sure what to expect but was not disappointed. The hotel has undergone a refurbishment and the rooms were spacious and furnished to a high standard. Great location - 10-15 min walk to covent garden and nearby theatres and 5 mins to the British Museum. There are also various bars/restaurants nearby. Breakfast was buffet style with full english/continental available along with tea/coffee/juice. Staff were friendly and helpful. Would definitely stay at this hotel again.	
Oct 30 2009 	Great Hotel and Location	Service when we arrived was very efficient and the staff were very polite and helpful. The room was one of the best i have stayed in it's very modern and trendy with a good size LCD telly. The only slight let down was the windows did not open and as the weather was very mild for the time of year the room was quite hot, there was AC but it was faulty, but a concierge did come up and managed to open one window slightly and he was very helpful. Meals at the hotel were very expensive, so we ate out.The location was ideal central to the main parts of London and the tube is only a short distance away, i would advise you to get a day pass as it works out cheaper if you are going to be using the tube alot otherwise for every trip you take on the tube it will cost you £4.00 and it is going up so will be even dearer. The tubes get very busy between 5pm-7pm so try and avoid these times if you can.London it's self is a very busy place but also enjoyable, there are plenty of things to do and plenty of places to eat from your local back street cafes to the posh nosh eateries. Would not recommend Planet Hollywood the food was awful and looked and tasted cheap i did complain and so did other people, for the price you would expect it to be of good quality but it was anything but!!!.On a whole had a fab stay and would recommend this hotel for all.	
Oct 20 2009 	Love this Hotel and Location	I stayed at the Kingsley in March with my mom and Aunt for Sring Break in March 2009. I have been to London several times but this was the best trip. The hotel is walking distance to the tube and shopping. I love shopping on Oxford Street and I could walk to Oxford from the hotel. Of course you can take a taxi or the bus but you can also walk so you can spend more euros on shopping. There is this great hamburger place down the way from the hotel. As an American I don't think the food is that great in London but this burger was big, good, and juicy. I highly recommend this hotel because of it's location and I forgot...it's newly renovated so it's real modern. I'll definitely be back next spring break!!!	
Oct 7 2009 	What a pleasant surprise	We go to London a couple of times each year and are accustomed to very disappointing hotels with tiny rooms. The Kingsley was a complete exception although I suspect we had a room upgrade.The hotel was recently refurbished in an impressive boutique style using very high quality fittings, our room was excellent with a huge comfy bed, flat screen TV, armchair, desk etc. It was completely quiet. The bathroom was crisp, modern and very well equipped.The included breakfast buffet provided all you can eat full English or continental in a good surroundings with enthusiastic staff doing coffee and toast etc.We did not sample much of the other service so can't really comment. The hotel is a few steps from Bloomsbury square where we parked the car. This is a nice part of London. Great value for money and a pleasure to stay there.	
Oct 2 2009 	What a great hotel in a great location!!	Only stayed for one night, but was very impressed with quality of staff, service and room. Ideally located, close to tube stations, and close to theatreland, the main reason for our stay. Room was ideal, very modern, clean and comfortable (514) . Only downside was lack of hot water for a full bath/shower, but not a big issue on a one night stay.Breakfast was great, one of the best in any hotel i have stayed in.Would thoroughly recommened to others, and would definately return again.	
Sep 29 2009 	Brilliant! Great location clean and very friendly staff.	I would definately recommend this to my friends and we are going to use this for our base whenever we visit London. The location was within easy walking distance from all of the main attractions and ideal for those wishing to visit the theatre during their stay. The room was 'cosy' but ample big enough for a base and very clean.The tea and coffee is in the drawer and you can always ask for more at reception they are very obliging.	
Sep 22 2009 	excellent value for money	Paid £112 for a double (room 206) on a on line distributor the night before...- this room was located at front of building on only 2nd floor but good sound proofing assured this was not a problem. Large room, with lots of room to move around the king sized bed; Recently renovated inthe usual clean line, trendy look; large bath with good shower; Located a short walk from the Tottenham Court Rd tube, and several short streets from bus lines, so good for transport in central London.... did not use the breakfast or bar so no omments there....I was really pleased given how tiny so many London hotel rooms are....I'll stay again...	
Sep 16 2009 	Good value hotel	We booked this hotel (after much searching!), due to its location and the deal we got off Laterooms.com - £79 a night. It was an absolute bargain!!! The hotel was immaculate, all being newly refurbished, and the location was fantastic - just 5-10 mins walk to Covent Garden, Leicester square, Trafalgar square, and Holborn tube station. Our room was on their 'mezzanine' level, which is their posh way of saying &quot;down at the bottom with absolutely no view&quot;, but we weren't there to stay in our room all day. The room was very well presented, lovely bathroom, TV, Ironing board &amp; iron (very handy), extra pillows, and the tea tray (which is in the drawer so make sure you don't miss it!). Would gladly stay here again.	
Sep 15 2009 	GREAT GREAT HOTEL!	Fantastic staff, fantastic room (completely refurnished) and fantastic location made our stay in London so great. I have been several times in London and never received such a nice service in an hotel. Theatres, Museums, Bars,Restaurants etc... all are just outside ot at the corner! I do hope they will keep it at these rates to keep it affordable so we can come back... We just loved it!!!!. Special thanks to Beatriz (chef reception) and staff for her great help and kindness.	
Aug 31 2009 	Impressed	Chose this hotel based on proximity to theatre (for Oliver) and of course trip advisor reviews which are always pretty accurate. We were really impresssed, the hotel is fresh, classy and modern, loved the elegant staircase with its purple carpet and chandeliers, made you feel good just walking down it! Room was very comfortable and excellent bathroom. Just a 5-10 walk down Drury Lane to theatre and covent garden markets which were great, lots of free entertainment, never used the tube at all. Parked car in secure underground car park just round corner in Bloomsbury Square, £20 for 24 hours, you can walk to lots of shops and bars so its a great location. Tip; tea tray in drawer, we didnt find till leaving.	
Aug 26 2009 	fine for a night not for a week	this is an OK hotel, paid £130 a night incl VAT for a double room with full breakfast. Room was OK, nice bathroom with Power shower. room and it's contents were clean. Enough room for a night with just a small bag and a few clothes, would not want to stay in it much longer due to lack of space.	
Aug 24 2009 	Very good for the price refurbished and excellent location	This hotel was very good - it's been recently refurbished and the standard in the bedrooms, bar and restaurant shows this. Beds were extremely comfortable, we slept well and it was very quiet in the room, possibly because we were up a short flight of stairs with only one room next to us. The location was great - very close to the British museum, theatres, decent pubs so we didn't need to travel on the underground for our 2 days stay. We were even able to walk to embankment and get a boat trip to St Katherine's Dock which was lovely.The only real negative about the hotel was the breakfast - quite disappointing buffet breakfast with a limited and lukewarm selection of food. Would not have paid for this if it hadn't been included as part of the room rate.	
Aug 18 2009 	Lovely Hotel in Ideal Location for Theatres	Booked a week before stay and was quoted £89 B&amp;B, which I thought was excellent. On arrival we were greeted with a warm friendly welcome and upgraded to a junior suite, which was superb. Hotel only a 15 minute walk from our theatre, which was great.Breakfast to start was a little on the slow side and had to wait for cooked items to be brought out, but at least we knew they were fresh!!Would definitely stay again and recommend to anyone visiting theatreland.	
Aug 17 2009 	Super hotel in wonderful location for West end theatre break	We have just returned from a weekend stay at the Kingsley by Thistle and had a first class experience all round. The location is walking distance to all the main attractions and theatres. We booked with West End Theatre breaks who recomended this hotel as being suitable for families. Our two rooms on the floor five were spotlessly clean. The beds were comfortable and linen changed daily together with the towels. All staff were curtious and effiecient. Couldn't have asked for more. Breakfast was buffet style and the staff were lovely ensuring that all of the needs of the family were met. I will definately stay at this hotel again.	
