	Beautiful hotel shame about complacent staff	The Mayfair Hotel is stunning-great location, very clean and tidy and uber trendy.Barely a week goes by without photos of one celebrity or another seen going in or coming out of this popular hotel.Therefore, I expected alot more from this hotel.We arrived later on in the day, when reception was relatively quiet, however the gentleman behind the desk was surly, moody and didn't look remotely bothered to attend to us when we approached the desk. He made no eye contact with us whatsoever and didn't even greet us.After he gave us our room key he walked away without telling us where our room was,how to get there etc....I was at least expecting him to ask us if we wanted a newspaper in the morning, or if we needed help with our luggage (of which we had a very large suitcase), but I was very disappointed by his whole demeanour and couldn't believe this was a 5 star hotel I was checking in to. However, once we got to the room I was delighted.Large, clean, with a king size bed and marble bathroom, this more than made up for the rude reception staff. However, at 8am the following morning, we were woken by a knock at the door! It was the housekeeping staff wanting to make up the room! At 8am! We couldn't believe it, especially as we had gone there to relax for the weekend and catch up on our sleep.I was shocked later in the day after returning to the hotel at 4pm to discover our room hadn't been made up, despite housekeeping being so eager to do it at 8am! When we confronted the front desk about it, surprise surprise they just shrugged their shoulders and didn't really see what the problem was. We had breakfast in the bar on our first morning as the restaurant was too busy. The staff were very polite and attentive, however we still had to wait 40 minutes for our breakfast, which we ordered off the a la carte breakfast menu, which I felt wa too long, especially as it was only a bowl of porridge that I ordered.All this being said, the hotel does have alot of excellent qualities. The bar is fantastic and there is always a lively atmosphere in there no matter what time of day.The spa is outstanding and the food in the Amba grill is delicious (I would recommend the cod!).It is also one of the cleanest hotels I have ever stayed in.When booking a room, asking for one that doesn't overlook the front of the hotel as we were kept awake through the night by people leaving various bars/nightclubs in the area.	
Nov 24 2009 	Ask before you confirm your booking	Booked here due to other reviews. I studied in London so I know hotel's location well.Booked (communicated with its reservation office by emails) a double room 3 weeks before arrival.I was offered a room with king bed, was told that the daily price inclusive of breakfast &amp; VAT.Upon arrival, assigned a room that was difference from photos on its website, small &amp; not identical deco. I was hesitate to ask for a change because the front desk was very rude to me during check-in. Perhaps I only stayed for 2 nights, and booked the lowest class of room...About breakfast...I did not ask (during booking) whether the english breakfast or continental breakfast was included...I eventually be given not a FULL english breakfast...I really hope they're able to state clearly to guests during reservation.However, the location is good.	
Nov 23 2009 	Excellent Hotel Excellent location. Really top class.	Every thing in this hotel exudes with excellence, class, and functionality. Its central location make it easy to access any important land mark in London. Free wi fi makes it even better. Friendly staff, ready to help.	
Nov 20 2009 	The most up market hotel! Excellent	I stayed at this hotel with my partner and can honestly say... you get what you pay for. From the fittings in reception (Fendi sofa's etc). The rooms are beautiful with you own B&amp;O (Bang &amp; Olufsen) t.v., phone, desk and a dressing room fitted in marble which leads you into the marble bathroom. The quality and luxury will leave you speechless. Did I also mention the t.v. in the bathroom? I fell in love with this hotel. There is a local (small) sainsbury's supermarket facing the hotel. Go in there for drinks etc as the hotel is very pricey. The location is excellent. You can walk to Oxford road (shopping) 5 mins away. It is 10 mins walk from the Ritz Hotel. Around the corner there is Starbucks coffee shop and a cafe 2 doors up the street on the other side which does a excellent English breakfast a quarter of the price of the hotel. If you want to be spoiled and live in luxury, you've found it!! Enjoy yourself we did	
Nov 18 2009 	Good hotel but sooooo noisey!!!!	First time I have criticised a hotel as I usually stay 4 or 5 star when travelling the world. So let me give you a truthful and honest assessment of this hotel.Let me get one or two things straight before I say the word &quot;but&quot;.This hotel is in an excellent location. Next to shops on Oxford Street as well as Bond Street. The staff are excellent &amp; the general atmosphere in the place is good. I stayed her for 3 nights and was put into room 124. This is where it took a downturn!!!To enter each lobby you have to zap your room card in the key hole. Room 124 is right on this doorway so I had the recurring nightmare each evening of EVERYONE at all hours on my floor slamming the door next to my room!!!! This happens all night and was terrible to deal with in regard to getting sleep. The room (superior) are very very small so be warned if you are looking for space.My room faced the outside street at the entrance to the hotel so every car &amp; moving vehicle who stopped or slammed its doors woke me up (which was pretty much every ½ hour between 2am and 8am). Also as my 1st night was a Friday so all the revellers leaving the busy bar at night made it very very noisy. You may ask did I ask for a move after the 1st night?? the answer is no as I do not like making a fuss and thought it maybe just a slight mishap. WRONG. It happened the 2nd night and as we were leaving to return home on the 3rd night I thought it silly to move. Let me get is straight that the hotel has all the makings of a 5 star hotel but if you like 8-9 hours sleep take the warning DO NOT GO!!!! You have been warned.	
Nov 16 2009 	A top class hotel with excellentvery friendlyvery efficient and warm service	A stay at The Mayfair is an absolute must for any visitor or business traveller in London.The hotel is superbly decorated,with excellent finishing and colour /light combinations.The whole interior design is simply fabulous.Whoever designed the interior should have got a major award for excellence.The staff of the May Fair ,from the door concierge to the reception staff are polite,helpful and attentive.On arrival to departure,nothing is too much for the staff of the May Fair.The May fair bar has an energy and ambience that is hard to match in any other hotel in London.The service is warm and friendly and the food &amp; drink delivered with superb professional efficiency.The Bar simply buzzes with great energy and vibrates to superb musical sounds each evening.Every one is in party mode from 5pm onwards.It is simply superb.I have been coming to the May Fair Bar and its restaurant,the Amba restaurant for many years simply because it is the best place to hang out.From Hedge Fund managers to media celebrities,the May Fair is THE place to be seen and to relax and chill out. I decided to spend a night at the May Fair with my girlfriend and the gentleman at reception was simply superb.Nothing was a problem and we were offered an upgrade to a very spacious room without asking.The whole process took about 3 minutes to complete it was so efficient and simply handled.The room was very clean,the bathroom very clean and the bed wonderfully soft and relaxing.We enjoyed our stay and check out was also swift and efficient.We would highly recommend the May Fair to any visitor without hesitation as it is a fantastic hotel to stay in.One very big recommendation is for guests to arrive,check in and head to the May Fair Bar by 5.30pm so as to get a great seat to enjoy the May Fair Bar drinks and music....this is an experience definitely not to be missed and beats spending time in any other Bar in the Mayfair area !!	
Nov 10 2009 	Nice but some minor annoyances - terrible Internet connection	I stayed for four nights and chose the hotel because I had stayed there previously and enjoyed both the location and the classic style of the hotel. I was surprised that the hotel had not only been reflagged to a Radisson, but was totally renovated to a modern, contemporary, hip look. Nice, but not what I had expected.The hotel is nicely appointed and very comfortable. The service, in general, was very accommodating. I had two issues. First, upon check-in, I had arranged for a friend to receive a key to the room upon my friend's arrival midweek. Somehow, they lost that note and my friend did not get a key until I showed up, luckily just a few minutes later.Second, the wireless internet connection was terrible. It was hard to make a connection and it dropped often. I wasted much too much time wrestling with the internet.	
Nov 6 2009 	Excellent hotel perfect location"	We stayed on The Mayfar on last october (21-28) and I have nothing to complain! The room was very big, very comfortable and clean! We stayed first in a room with no view and in the second day we changed for other with a view of the street.. The rooms with no view are excellent too and are more silent. But they gave us an upgrade and we accepted. The bathrooms are big too and very, very comfortable. Everything are beautiful and planned. The staff were very friendly . The breakfast is excellent , specially the ones in the front desk, but near the hotel are many places were you can take breakfast too. The hotel´s bar is full of beautiful people night and day. The location is perfect! Near all the major atractions and in a wonderful neighbordhood. It´s possible to walk to Buckingam Palace, Hyde Park, Oxford Street, Picadilly Circus. Also, the metro station (Green Park) is one block and a half from the hotel. We loved the hotel and I woudl recommend to my friends as a excellent place to stay with an affordable price. Thanks to internet !	
Nov 4 2009 	Absolutely fantastic! Cannot fault The May Fair!	I stayed at the hotel a few months ago on a trip to London to see a concert at the O2 and I was bowled over by how amazing this hotel is. It has an amazing ambience about it that oozes luxury and the location is perfect for London sightseeing. I felt like the staff really cater for the individual guest at this hotel and they were attentive and altogether superb. Our room was a Twin Superior and again was just fantastic. The decor is first class and the room was spacious and even had its own stereo that we could dock our MP3 players onto (a luxury I have never had in a hotel before)! We were supplied with really comfy bathrobes and the room had a safe that we could use. We had a technical problem working the safe which was promptly attended to by the hotel within a few minutes of us calling reception. The room was fitted with air conditioning, something I was very happy about as the weather on our trip was quite close and humid and it came in very handy. We didn't eat or drink at the hotel on this trip due to the commitments we had elsewhere but have booked a further two nights at The May Fair next Easter and we hope to take advantage of this next time. This hotel is an amazingly appointed and presented example of London 5 star at it's very best and I would not hesitate to return here again and again as well as recommending it to friends, family and just about anybody!	
Nov 3 2009 	Good value Even at this price	Simply great place for a London shopping/Theatre treat. I like staying in Mayfair, and this place (second trip here) doesn't dissapoint. It is glamorous and rooms are decent size, service great, and not too snobby. After a great mohito and martini at the hotel bar we walked around aimlessly for a restaurant (there were plenty, we are just useless at deciding), could not decide where to go, and ended up back at the Amber restaurant in the hotel - great meal. Its a very good place to treat the missus, and you won't feel out of place. OK, the bar is not cheap (£9 for a good cocktail) and restaurant isnt bdget (£90 for two with wine and 2 courses) but it was very good value, especially for London. If you can get a room for £200 then its value, less stuffy than the Westbury (still v good) and the restaurant and service are better.	
Nov 3 2009 	Definately five star	My partner and i stayed at The Mayfair last sunday the first of november 2009.We chose one of their allergy friendly rooms.The reception staff were very friendly and welcoming.Our room was very nice indeed,not much of a view but clean and fresh.We had a drink at the bar which was great,even on a sunday evening it had real atmosphere.The hotel is in a lovely location,handy for just about everything.We both had a very comfortable and pleasant night's sleep.A real delight.The mayfair is definately a five starexperience! Ms A lediard ,Bath ,England.	
Nov 2 2009 	Contemporary Comfortable Convenient.	Only stayed one night in a big, comfy, bed. Nice Bathroom. Good Breakfast buffet, hot food cooked to order.	
Oct 29 2009 	Highly Recommend	This was an outstanding hotel...clean, great service and location. In particular the concierge staff members were attentive, accessible and very knowledgable.	
Oct 26 2009 	Terrible HotelWorst service	I had chosen this hotel just for the position and for the good report seen in Trip Advisor but unfortunately was a terrible experience.Though a friend i booked 2 normal room because an upgrade was promised due to big avaibility of the hotel. Instead no upgrade at arrival despite a Silver card of Gold Point Plus showed at the check in.At 4 pm, one of the two room was not ready, the luggage stand 20 minutes alone in the lobby, and after 15 minutes they gave as the 350 room (one of the worst and smallest). The room was small and noisy in the night (3 floor just in front of Nobu and other clubs and restaurant).They didn't clean the day after because we forgot to use MAKE UP ROOM botton, and when we did at 8.30pm was too late.The last day we ask a late check out at 3pm just for one room to leave our luggage and use bathroom but they asked 20 GBP each our.Finally, just 3 lifts,always busy, often the key card wasn't working. A man who worked there said that always happens.Forget it if you are looking for luxury and enjoy other hotel in this wonderful city	
Oct 24 2009 	Great hotel in a perfect location	My wife and I have just returned from a two night break in the May Fair Hotel, London.It is just minutes walk from the Green Park tube station, had a good sized bedroom (we stayed in a deluxe room with terrace), a lovely restaurant (where Mel B, ie ex Spice Girl ,was at the next table!) and two good bars. I would definitely stay here again when next in London.	
Oct 22 2009	Manners not a word known in The May Fair!	Having wanted to stay at this hotel for many years I finally got the chance. I had looked on their website to enquire about rooms and prices. Not understanding how to book a twin deluxe (I could only see superior twin) I called the reservation directly. I told the person on the phone my wish and told them I needed a twin room (I would have been visiting with my father). I was told the price would be £722.20. A double Deluxe would have cost £488 and once I asked why was there such a steep difference in price when only two people would be staying in the room (eg like a double only the fact I wanted a twin room) I was told very rudely and abruptly that, and I quote &quot;well if you can't afford the price I have stated why are you interested in staying at this type of hotel&quot; and the phone was put down on me.I have been extreamly upset about the comments. I no way was I ignorant or angry towards the member of staff (whose name I cannot remember as I was so shocked at the time) and I did not expect to be spoke to in that way. I have stayed at Radisson hotels before and never had any troubles but this has extreamly upset me. If you want to stay at this hotel you better let the Hotel see your bank balance first as they don't seem to want &quot;other&quot; people to use their hotel.	
Oct 18 2009 	Good hotel for celebrity spotting	This is a decent hotel in central London. The rooms include an iPod dock and are spacious. The view from the windows is of the windows of the other rooms of the hotel.They provide room service breakfast at no additional cost.	
Oct 18 2009 	Great hotel location affordable in the center of London	Close to the underground and conveniently located in the central part of London. All hotel ammenities were great - staff very friendly.	
