	Mostly good...	Our room was very nice and beautifully decorated. We stayed 4 nights and it was my birthday on the day we arrived and the Ritz had put champagne in the room and a little cake and that was lovely. But we also got some strange treatment in that we asked if we could have a later check-out (not really expecting it because the hotel seemed quite busy) and were told we could have a one hour extension, then got a call at 11.45pm (yes, at night) to say that we couldn't have the extra hour. Very odd to call so late when they could have told us the next morning. We also needed to book our seats on BA and asked if we could use the business centre (meant to be open 24 hours?) computer. No. We had to hire a laptop for $30 or $40AUD and used it for maybe one hour and then had to have the boarding passes emailed to reception at the Ritz, and when we checked if they had them they didn't, but when we checked again they'd been put in the junk folder and they told us so, which was just not professional and the way they handled it was quite insulting. The dining room is spectacular and we enjoyed our dinner there both nights, and we also liked the room service. Breakfast was ordinary. The ladies in the beauty/hair salon were pleasant and thoughtful. If you're the type who gets offended at being asked if you're a guest each time you re-enter the hotel, then don't stay here. We would just have our card handy to show the doormen when we returned. If you aren't the type to dress up each day then don't stay here because there is a dress code and it was great to see all the beautiful clothes, shoes, bags and hairdos, but if you're on a tour then it's difficult to have enough appropriate clothing. We can't rave about the Ritz, but it was an experience we wanted and we get a bit of a buzz to think that we've stayed at such a famous hotel.	
Nov 20 2009 	mixed feelings	The room was very beautiful, classic furniture, but the cleanliness wasn't what expected from &quot;ritz&quot; standard.Service careless, pointing fingers at costumers not elegant.But the breakfast was great it is absolutely worth coming there just for it, the restaurant was in gorgeous rococo room, egg benedict delicious !!!	
Nov 18 2009 	Dishonest - stay away	Cancelled booking twice , due to Fathers fatal stroke , but charged anyway!I was asked to supply e-mail address so they could verify my cancelation . I did this but now they refuse to reply.You can probably book last minute if you must stay here but save your money and don't book ahead. Lyndalle	
Nov 13 2009 	Glad we chose the Ritz	Stayed at the Ritz while traveling with my wife for our Christmas vacation. We spent a week at Claridges and decided to extend our trip and try a different hotel. This was our first time at the Ritz and we throughly enjoyed our stay. Our room was spacious, well kept, provided huge amounts of closet space, and the bed was extremely comfortable. The bathroom was a well laid out marble clad affair typical of 5 star hotels with an enormous deep soaking tub and separate shower. The hotel's location is hard to beat - you are at the bottom of Bond St and within walking distance of just about every major sight in London. There is a tube station located less than 1 block from the hotel. In short, the hotel is the epitome of old world elegance you can find in few other places. Many older grand hotels have pictures on the website that make the common areas look amazing but in reality they are tired and have been subjected to renovations of varying quality. The common areas of the Ritz live up to the hype and then some. They didn't spare anything when they renovated the place. The dress code (which requires a tie at dinner and in the bar in the evenings) contributes to the general old world ambience of the place. Frankly it was rather refreshing to see people dressing up for dinner/drinks especially given the general splendor of the common areas. The dining room is truly one of the most grand (and well done--not to big, not to small) hotel dining rooms I have been in. I wasn't wearing a tie when we checked in the hotel (or when my wife and I entered/exited the hotel during the day) and didn't feel, nor did the hotel make me feel, the least bit awkward. I did wear a coat and tie to dinner because (like many nice restaurants) the hotel requires it (since when is this unusual or onerous?). I found the service very personal and not the least bit snobby or condescending. For example, during afternoon tea our waiter provided us with an extra plate sandwiches/tea cakes to take to the room when my wife told the waiter how much she enjoyed them. The hotel also obtained dinner reservations at the times and places we asked for (something other hotels seem to have a hard time doing). They also got us on guest lists for several of the bars in the surrounding area so we avoided any wait for a table. In short they did what they were supposed to: make our stay enjoyable. The cons: I thought tea here, while wonderful, wasn't any better than other places in London (the Lanesborough, Claridges, etc.). So if you don't get a reservation (I couldn't until I stayed at the hotel) there are plenty of other equally good options. The bar isn't a see and be seen type of place (as the bar at Claridges appears to be) but that was fine with us. If you are looking for a hip bar scene this isn't the place. It was, however, a nice place to get a well made drink after a long day of seeing the city--never had to wait for a table and the service was great. Frankly we got exactly what we expected from the hotel--gorgeous grand common areas in which to eat and drink, a quiet bar that makes good drinks, a well appointed room, and exceptional service.	
Nov 5 2009 	A fantastic hotel- This really is the best!	We have been lucky enough to stay at the Ritz on several occasions and have always found we leave wishing we were staying longer. The purpose of our recent stay was for my birthday and when we arrived at our suite they had left a cake and card wishing me a happy birthday - what a lovely gesture!The staff are always friendly and helpful and always go out of their way to help in any way they can.We will be returning to the Ritz soon for a short break and we are really looking forward to it!	
Oct 5 2009 	Overrated. DO NOT GO IF YOU DON'T WANT TO WEAR A TIE EVERY DAY.	Comparing American luxury hotels with European is like comparing apples and oranges. Europe hotels simply cannot compare to the American ones.The Ritz is nice but it would probably not be considered a 5 star in America. As with all of Europe, it's showing its age (in good ways and bad.) I suspect Europeans have lower standards for cleanliness and wear. Where do I start?BATHROOM-Spacious for Europe. Marble. Towel warmer seemed to leak natural gas. I stayed in two rooms and management didn't seem to think this was a problem. Don't smoke in the bathroom. BTw, who in Europe thinks that those glass partitions are superior to shower curtains. Slow drains. Faucet in one room had hot AND cold faucets making any attempt to wash with WARM water rather difficult and painful at times. Hairdryer was quite humorous to see and was probably was one of the first ones ever made.BEDS-Spacious again for European standards. Bed is a joke. Very soft. Too soft. Kinda like a bed that was new in the Eisenhower administration. ROOM-Worn. Telephones were outdated although internet was available. In Hospitality Suite, no printer avaible to print itemsSERVICE-Honestly, not bad but you get the stinkeye if you walk thru their precious lobby not wearing a suit and tie. Few of the staff are below 50. Same with the guests. At 37, I was probably the youngest person there. They are attentive to your needs but unless you're in suit and tie, they seem a bit wary of you. I would deem service good and it would be better if they didn't have this insipid looping video on their TV (channel 2, I believe) saying essentially how awesome they are. On a down note as well, urgency doesn't seem to be their focus whether at check -in/out or at the concierge.OVERALLThis place is OK but loses points for not seeing it needs to improve (especially in &quot;American&quot; (if not global) terms. If you think you are going to be staying at a place similar to Ritz Carlton, Bellagio, Mandarin Oriental or Four Seasons, I got news for you...you're won't be.	
Oct 4 2009 	Rather disappointed	We spent our last night in London at The Ritz and admittedly booked it on a whim. So, we might not have been put in the best room on the best floor (we got room 226). The hotel IS splendid as you walk through its immense, luxurious lobby. You really have to see it to appreciate it. And, the bell staff were quite attentive, pointing out every feature and amenity in our room. But, the room itself was a disappointment.First, it was hot. And there was only one A/C vent - in a window sill on the far side of the room - laboring away rather unsuccessfully. Thankfully, the room had electric roll-down window shades and they helped. We also requested, and got, a small in-room air-conditioning unit that also helped. But even with that, the room was still too warm for my tastes.Second, it was noisy. We heard people walking in the hallway, heard our neighbors' voices through the vent in the bathroom, and heard someone running back in forth in the room above us at 11PM as we were trying to get to sleep. We also heard the water in the adjacent room go on and off - loudly - several times.Third, only the most basic amenities; shampoo, conditioner, lotion, two small bars of average soap. Yes, there were robes and slippers. But, the TV was small and inconveniently placed on a small chest of drawers far away from the bed and partially blocking access the the bathroom. Also, the door to our room had only one lock - a simple push-button doorknob. Fourth, the bed wasn't all that comfortable. Actually, make that the pillows. They were all too big and overstuffed, and I woke up in the morning with a stiff neck.The only meal we ate there was breakfast the next morning and it was good. But, nothing to write home about.All in all I'd say The Ritz is a lot like my Grandmother. Old, worldly, a little old-fashioned, and a little dated. I'd go back to tour the lobby again. But I'm not sure I'd want to stay there again.	
Sep 15 2009 	fantastic stay!!!	I have just returned from a weekend break to celebrate my 40th birthday at the Ritz hotel. We are a family of 4 with children aged 15 and 12 yrs. I have to say that from the moment we got there this hotel had the wow factor! There was a card and a birthday cake in my room upon check in. Everything was taken care of and the staff were wondefull. Our package included a junior suite, breakfast and we also booked afternoon tea on the day of my birthday. The room was lovely and the bathroom huge. The breakfast was delighful with a delicious selection and is served in the ritz restaurant with all it's beautiful surroundings. Afternoon tea was served in the palm court and again there was plenty of choice i highly recommed this for a special occasion. Room service arrived exactly at the requested time but i have to mention the jewel of the Ritz - Tony the concierge, he provided us with excellent tickets for a show and also recommended and booked us a table at an excellent restaurant again at a moments notice, nothing was impossible or too much trouble for him. Despite this being a 5 star hotel the children were welcomed which we have not always found in the past with this type of hotel, every night milk and cakes were left for them and all the staff went out of their way to speak to them. We wanted to do some shopping on our last day so after we checked out we left our luggage in the hotel and they were placed in the car for us, when we returned to the hotel the car was brought to the front with all our belongings ready to leave. We really did have a fantastic 3 night stay here and cant wait to return. I shall expect my husband to take me to the Ritz for every birthday and as he enjoyed it so much himself i think i am in with a good chance !!!	
Sep 11 2009 	Fantastic Hotel!!	My husband and I stayed there Bank holiday weekend and it was the best service we have ever received. From the moment we arrived, the staff were genuinely friendly and efficient. The doorman took our luggage and radio'd through to reception our names so we didn't even have to tell them who we were.Everything ran smoothly and the receptionist showed us round the hotel before taking us to our room.There was a small birthday cake waiting for me and the room was lovely.We had booked a different restaurant so didn't eat there that night but when we came back to the hotel the restaurant was still buzzing because the have a dinner dance on Saturday nights which we wish we had booked instead!We had a nightcap in the hotel bar, I had the Ritz 100 cocktail which was recommended by the receptionist and it was lovely.When we returned to our room they had done a wonderful turndown service with his and hers slippers, lovely souvenir to take home!I can't wait to return, it was very special.	
Aug 27 2009 	Timeless treasure	The ultimate London joy, a stay at the Ritz. The first view of the room was jaw dropping, gilded ceilings, gilded faucets and champagne! The treats didn't end , our rate included dinner with 4 courses, and a full English breakfast the next morning. The staff was willing and delightful. I w as celebrating my 60th birthday, and I think it is almost worth turning 60 to have such a lovely time. Thank you Ceasar Ritz and all who follow !	
Aug 27 2009 	Perfection	The Ritz London harkens back to an era of grace, manners, elegance, and unparalleled service that seems more often than not today to have all but vanished from our society. I have been lucky enough to stay here a few times, and it remains my hotel of choice in London. In my view, nobody comes close to doing hospitality like the Ritz. The service is second to none; I don't know where they find their incredible staff or how they train them, but I have never stayed anywhere where the employees were so inviting, friendly, and constantly helpful in ways that go far beyond what is merely required. In addition to being constantly good-natured, accommodating, and amiable, as one would hope for but so often doesn't find even at a hotel of this caliber, they went out of their way to make our stay as pleasant and memorable as possible. They made nightly reservations for us at London's best restaurants, places we would never have gotten into on our own; on our way out when we stopped to ask for directions, they offered us the hotel's Rolls Royce free of charge to drop us off; the doormen even learned our names--not to mention remembered us from our earlier stay and made mention of it, despite the hundreds of new faces they must take in daily. In the world of service at luxury hotels, the rest would do well to take notice of the way it is done at the Ritz. The rooms are of course superb, flawlessly clean and lavishly elegant. Our suite was as spacious as it was beautiful, with high ceilings and a simply amazing marble bathroom with a whirlpool tub and glass shower. Housekeeping and room service were as beyond reproach as the rest of our experience at the Ritz, and I think I could very happily have given up my house to move into that lovely room.We arrived immediately following a stay at the George V in Paris, a hotel that is often described as perhaps the finest in the world; despite having a wonderful stay there, we found the Ritz far more charming. Everything about it breathes gentility, from the beautiful decor to the strict dress code required in the Palm Court, bar, and restaurant. I understand that this formality is not to everyone's taste, but it never ceases to amaze me how people will complain about it as though it were a fault of the hotel. The sense of the elegance of a bygone era is one of the Ritz's distinguishing features, and if it isn't to one's liking, then the solution is simple--one ought not to stay here. For my part, I find it refreshing in this world of torn jeans and endless informality; in its sophistication, its charm, its spectacular service, and yes, even its formality, the Ritz pays heed to the niceties of the past, and for that, there is nowhere in the world I would rather stay.	
