	Why go anywhere else?	A recent two night weekend break started with great excitement when we entered our room 510, stunning room, clean, well equipped with lovely balcony views, (even if there was a lot of scaffolding to see - I guess that's to be expected thou - and it certainly didn't dissolve any of our pleasure) we could see the Post Office Tower and in the opposite direction the London Eye. The hotel staff were polite and friendly throughout our stay, although one waitress was a bit short with us at the bar but then seemed to come round more friendly when she realised we were actually guests at the hotel! and service at breakfast could be improved as I'm sure table service at this level shouldn't include leaning over us to place or collect items! But the concierge came up trumps on our first morning with a letter for my wife containing two surprise tickets for the theatre (yes - I set it up and yes - she was thrilled!!!!) We really enjoyed our evenings in the lounge and library where we indulged in many wonderful cocktails although I would have liked the bar even more had it stayed open later than 12.30 (despite an honesty bar). The hotel is in a great location and just a few minutes walk to Chinatown or Piccadilly and even at night felt perfectly safe. Expensive? yes. Worth it? as a special treat certainly, in fact currently considering re-booking for another show next February. In answer to my title question - I know there must be other hotels of this quality but why take the risk!! One last tip - use the City of Westminster car park at Newport Place in Chinatown, it may smell a bit but it's secure and good value if you book online plus it's 5-6 minutes walk to the hotel.	
Nov 11 2009 	Fabulous hotel staff and experience	This is a gorgeous hotel - hip, elegant and a sensory delight. The staff are superb and can't do enough to help. Our room was a deluxe double and lived up to everything the website described it as being - large, airy, contemporary design, comfortable king bed with soft pillows and crisp linens. Bathroom similarly luxurious. The Soho has a very full library of DVDs that you select from free (when did you last have in-room movies for free?) and they supply free bottle water each evening with turn-down service (again not always the case in high-end hotels). Internet access is however off the charts expensive - I don't get it, and it would be my one complaint. On the up side Soho itself is full of internet cafes so you can get your online fix that way if you need it. The hotel has a very happening bar area - lively but not intrusively so and does not impact the rest of the hotel at all. Soho is a great area for bars, restaurants and nightlife - the concierge is a great resource for helping filter out the so-so venues from the ones that are really worth going to. My husband and I spent a romantic weekend in London here - worth every penny and we would definitely stay at the Soho or another Firmdale hotel as a result.	
Oct 28 2009 	Expensive - but worth every penny!!	Was here with my wife for a weekend getaway. My wife was ill with the flu, sneezing and coughing as we checked in- which was overheard by the concierge who immediately dashed over and offered to get my wife some supplies from a nearby chemists. Literally 5 minutes after arriving in our fantastic room there was a knock on the door where the concierge stood with a box of Kleenex, Strepsils, nose spray, aspirin.... I chose to tell you this story as this epitomizes the sublime level of service at this excellent hotel. I suppose the only negative note is that it is an expensive hotel, but the service, rooms, food &amp; drink &amp; location make it worth every penny!	
Oct 27 2009 	Fantastic Oasis in downtown London	Stayed here for one night. Wanted a short break in central London, but chose this hotel as looked both comfortable, full of character and classy. Found that the rooms were great, the bar is well worth a visit with superb coctails and a great people to meet and people watch. Staff were very friendly and there were plenty of nooks and crannies to explore. They offered valet parking and took care of the congestion charge, albeit for a fee, but that was worth it.My only gripe and it may seem minor was the internet. £20 for 24 hrs is more expensive than i have seen anywhere and in this day and age unnaceptable. I would have taken up to £10, but frankly i think it should be free or £5 at most. Probably just London rates ...In short one of the best hotels i have stayed at in London and have no hesitation in giving it 5 stars ! Do have a cocktail !	
Oct 19 2009 	Fabulous return to a fabulous hotel!	Once again fortune smiled upon us and we spent fabulous night at The Soho!Apart from husband being poorly (nothing to do with the hotel) - the stay could not have been better. Loved the warm milk and cookies at bedtime - yummy!Had the High Breakfast for breakfast - too much white flour and butter for my liking but that's just me!Next time we'll arrive by 3.30pm so we can use the cinema!	
Oct 15 2009 	CANNOT fault in anyway simply perfect!	Everything in this hotel was beautiful, we spent 3 nights there because we decided to splurge. If you can, I would! The lobby is beautiful, and the staff delightful. The room is gorgeous and big, although i believe we had a deluxe room. It was great, well decorated. The bed was HUGE and very comfy. The location is very good, tucked away but in the middle of everything and quiet. Great!	
Oct 2 2009 	The perfect hotel for a special celebration.	I held my 40th Birthday celebrations at the Soho Hotel and could not have wished for anything better. From the moment myself, family and friends entered the hotel we were greeted warmly and looked after to the finest degree (even my last minute requests were dealt with efficiently and I was made to feel like nothing was too much trouble). The party started in their Crimson Bar with champagne afternoon tea, which was divine, delicate and delicious and all served beautifully. This room, as with all the rooms in the hotel, is gorgeously decorated, comfortable and relaxing. We then moved into Screening Room 2 for a private screening of a film of my choice - dancing around in the aisles was great fun and certainly made the party original and even more memorable. Finally, we retired in the Refuel Bar where we were served the most glamourous cocktails and ate the most delicious tapas this side of Andalucia!Overall if you want to enjoy beautiful, relaxed surroundings, attentive &amp; friendly service and great attention to detail this is the place for you.	
Sep 22 2009 	Comfortably luxurious and friendly	The hotel is top notch in virtually every area. My spouse and I were particularly impressed with the comfort of the bed, and the very high quality of the sheets and pillows. The individually designed rooms look a bit garish in photos, but not in person. Rooms are large, particularly by London standards. We had a junior suite which was large. Our only quibble was, as others have noted, at these prices internet access should be free, not 20 pounds per day. These days, that's like charging for the oxygen in the room. The staff were uniformly friendly and helpful. Breakfast was included so I suggest the High Breakfast...a two-level tray with a variety of small items. (See my photo) One day three paparazze were outside the hotel so I asked them who they were waiting for and they said Jason Statham. They said celebrities from Madonna on down have stayed there.	
Sep 17 2009 	Very nice but you can't charge Internet in 2009	Hotel is great decored, and rooms are incredible (confy beds, nice amenities).Service is almost perfect, with great advices on restaurantes and directions, and with a large collection of DVD's to watch.Only disapointing thing was that there was no a PC to check mails, and even if I had brought mine, I should have paid a daily Internet rate, which is not logicall in days where internet has flat rates, and specially because hotel rates are high enough to avoid this charge.	
Sep 16 2009 	"Sunny night in Soho"!!!!!	My partner and I stayed in &quot;The Soho&quot; on a weekend night and found the hotel to be an ocean of serenity in the frenetic madness that is Soho. The location really speaks for itself! The hotel itself is as you would expect of this type of hotel. The staff were polite, although the chap who offered to show us how to operate the door key had to be told twice that we could open the door without his help! We could! Sometimes too much service can be as bad as too little! The room didn't have the &quot;wow&quot; factor we were expecting, nevertheless it was very pleasant and the bed and bathroom were exceptionally good. My partner accidentally smashed a bottle of nail varnish on the bathroom floor and the housekeeper dealt with the same with maximum efficiency and minimum fuss in a friendly manner. Breakfast was included and was exceptional in every respect save for the £5.00 charge for an extra slice of toast, which I thought was a bit miserable given the cost of the room. The restaurant and the other public areas are very pleasant. There is a guest area which is very tastefully decorated and is set out very much like Winston Churchill's living room at Chartwell, very English, very cosy. Overall &quot;The Soho&quot; is very impressive. I thought I saw a &quot;celeb&quot; at breakfast, it's that sort of place....highly recommended.me	
Sep 8 2009 	Now our favourite London hotel	We came to London for an extended weekend break and chose The Soho Hotel based on a recommendation. We were enthralled with the place from the moment we arrived to the moment we left. The hotel's ambiance is intoxicatingly relaxing. Everything about the hotel exceeded our expectations. The service was wonderful; nothing was too much effort.The lounge bar has a fabulous, unpretentious buzz and the cocktails are superb. We didn't eat in the hotel restaurant but other guests we spoke to had enjoyed their meal.Our suite was beautifully appointed, tasteful and relaxing.We will certainly be returning to what has become our favourite London hotel.	
