	Quiet clean and modern.	We loved our stay and found the hotel to be very clean and relaxing. We actually lounged in the lobby and read from their collection of travel guide books. The front desk staff was happy to assist us with snail mail, restaurants, and anything else we needed. The breakfast was of a great variety and the staff tending to the buffet were readily available to supply whatever we needed. We stayed on the back side of the building and had no noise and a comfortable bed. The rooms were a decent size for Europe. Also the location was three blocks north of a major metro stop and Hyde Park.	
Nov 23 2009 	Nice hotel great service good location	We spent a long weekend at the Sumner and were overall very happy with our choice.The hotel is perfectly located for shopping and sight-seeing, just a 2 min walk to Marble Arch. The hotel staff was very friendly and helpful, giving us recommandations for restaurants in the area, etc.Our room was ok, nothing really special, more on the small side with not really fancy furniture. The bathroom was also very small, but everthing was very clean and well equipped. The beds are very good.Breakfast which is included in the rate was also good. Not the biggest choice, but some cold and warm dishes and everything that was available was really good and fresh.My only complaint would be that when in the room you hear a lot of nice from the rooms beside and on top of you. While we were there there was a group of very noise elderly women around who would return to the hotel every morning at 3 am giggeling like teenagers and making a lot of noise. As they had rooms all around us they woke us up every night which was a bit annoying. But apart from that the hotel is very nice and I would go there again.	
Nov 15 2009 	The Sumner delivers on it's promise of comfort and service.	Our recent eight night stay at the Sumner proved to everything we were looking for in a boutique hotel in London. Great location, quiet, comfortable and clean room with all the amenities. Helpful courteous staff and a breakfast buffet that gave us a good start to the day. Wouldn't hesitate to recommend this gem of a hotel with it's close location to Marble Arch.	
Nov 15 2009 	Spotless great location needs a couple of tweaks	Having previously booked at the Sumner in 2008 and being shifted to their sister hotel (Montagu Place, which by the way is also very good), my wife and I were looking forward to the weekend.The hotel generally met expectations, with a couple of specifics that would benefit from a bit of thought.Positives - spotless, finished to a high standard, very comfy bed, great location, and at £135 per night for the weekend, a reasonable price to payNegatives - only a couple, but detracted from a perfect stay. Firstly, the breakfast room is below floor level and slightly cramped. Hot and cold food is self service, but because the breakfast hours are 8am to 9.30am, everyone landed on breakfast at 9.15am and it was a bit of a melee. It would have been smoother if the cold food had been self-service, and the hot food had been ordered at the table.Secondly, check-out on the Sunday was fairly early at 11am, but still the cleaning staff started their work before 10am. After a late night, it was disappointing to be woken up by the chatter of the maids to each other, and the vacuum cleaner on the stairs. Could they not have waited till 11am when everyone would have checked out?Thirdly, the windows were single-glazed, and as a result the hotel suffers slightly because of its location. Traffic and early morning risers wouldn't have been audible with double glazing.Overall, we had a good time, and with a couple of tweaks, it would have been close-on perfect. I hope the hotel reads this review and considers the suggestions.	
Nov 14 2009 	Quiet and Pleasant	I arrived at The Sumner for a 5-night stay after acquiring a terrible cold in Dublin. I was relieved to walk into a quiet, elegant townhome that felt like an upscale residence. There is a small lift to help with luggage, but no bellman. My room was located on the 3rd floor, and there was a flight of stairs inaccessible by the lift up which I had to haul my rather large suitcase. The room was a decent size and outfitted with simplistic, functional furniture. The ceilings are tall which helps the smaller scale. I had everything I needed in the space, including free tea service served both in the room and in the lounge upon my request. If you're looking for a private, small property, The Sumner is a sure bet.	
Nov 14 2009 	Would be the first place id try to book on a return trip to London	We stayed 4 nights in late September in this small boutique hotel and found it exceeded our expectations .The rooms were generous in size ,the beds very comfortable and the cleanliness of the whole place excellent .It is in a quiete location yet very handy to Marble Arch station ,the bus stops ,Hyde Park and Oxford St .The showers are a little tight which didnt bother us but may for big people.The staff are very accomodating ie helpful and friendly.The breakfasts for a small hotel are everything youd want .We have already recommended this hotel to others .	
Nov 7 2009 	Oasis of calm in bustling London	Cdn. couple recently stayed at The Sumner for ten days....wewere happy to return to our lovely calm room after days spentin the buzz of London. Bed was probably the most comfortable hotel bed we've slept in. Service was quietly efficient...Bathroom although small....was immaculate, well appointed and warm.....Our onlyquibble was no coffee maker in the room for 'time-zoned early risers'...up before the yummy breakfast was ready......We will return.	
Nov 7 2009 	Great location not a lot else to recommend	Chose this hotel to stay in due to the positive reviews on Tripadvisor and got a good price for a London Hotel.Very happy with the location, only 3 minutes off Oxford Street and the Marble Arch tube station.Room was average, twin room, good size, reasonable bathroom.My main gripes are that there was no tea/coffee facilities in the room which is usually standard in any hotel - instead you have to ring reception and they will bring you them but you have to pay. We were lucky enough to receive stale biscuits with our drinks.Also the hotel is noisey - we were put in a room on the basement floor next to the breakfast room and we were woken at 6am by the staff preparing the room for breakfast. A few little extra touches would make this a lovely hotel, as it is I wouldn't recommend it.	
Nov 6 2009 	Great B	We had an excellent stay at Hotel Sumner while in London. The rooms were clean, fairly large for european standards, and the bed was soft. The bathroom was nice and also large for european standards. The breakfast was nice...meats, cheeses, eggs, cereals, pastries, juice, and coffee. There was a free internet station in the lobby also. The location is great for exploring London, a couple blocks from the Marble Arch tube stop &amp; also near a hop on/hop off bus stop. My only negative comment is some of the staff's lack of knowledge....we had numerious questions for the girl working at night, and I don't believe she was able to answer any of them.	
Nov 6 2009 	A great hotel	Great little hotel in a real nice part of London. Good service from the moment we checked in. Not the biggest rooms, but really nice furnished. High stylish ceilings.Excellent breakfast with a variety of choices of hot &amp; cold food. This is from now on our second home in London! :-)	
Nov 3 2009 	A swanky boutique hotel in a good location!	At last we have discovered a London hotel that has large clean rooms with comfortable beds for a reasonable price. The room furnishings were stylish and modern with all the amenities. Staff were friendly and most willing to help with directions. The location near the Marble Arch Tube station was perfect for exploring London and even though just off a busy commercial street, the hotel was quiet and we felt completely safe walking in the area. We will definitely make the Sumner Hotel our &quot;home&quot; whenever we are in London!	
Nov 2 2009 	Had an excellent stay at The Sumner Hotel	Hotel staff was very helpful and the breakfast was delicious. If we visit London again we'll book our stay at the Sumner for sure.	
Oct 21 2009 	The Sumner contributed to a perfect celebration weekend	The Sumner is a well located hotel in central London with great access by foot to many tourist locations, restaurants and shops. Perfect for planning a fine dinning and theatre weekend due to access. Easy to find and very clean with friendly staff. Well laid out hotel making the best use of lighting and modern artwork. I had organised a surprise birthday weekend for a family member and this was the perfect place to stay. Thank you Sumner and I wont be staying anywhere else in the future.	
Oct 17 2009 	Crown Jewel in North London	Lovely B&amp;B style hotel. Very quaint with helpful and attentive staff. My room was quiet, clean and very comforable. Lots of hot water and very comfortable mattress which is always a welcome after a long day of sight-seeing. A short walk from the Marble Arch Metro makes this hotel very convenient. I'll stay there again on my next trip to London.	
Oct 16 2009 	Adorable hotel lovely staff	The location is extremely convenient, the staff are lovely and very attentive. The rooms are comfortable and clean. It's a cozy base from which to explore London.	
Oct 12 2009 	Great Location Excellent Value for London	We spent 3 excellent nights at the Sumner. The location is perfect - walking distance (10 or 15 mins - it's basically 1 km or 0.7 miles) to Paddington Station to catch the train to Heathrow, A few steps from the Marble Arch tube stop and Oxford Street for loads of shopping and restaurants. A tube day pass will get you to all major attractions in 15 mins or so from the Marble Arch stop, and some of them are even walking distance if you prefer walking as we do (British Museum is about 25 min walk for us, Buckingham Palace &amp; Piccadily Circus the same). We had a King room that faced the street, but the road is quiet and the soundproof glass works wonders. Breakfast was included which we hadn't expected (breads, some scrambled eggs &amp; beans, cereal) and was more than adequate. Room and hotel both had some character to them (nice high ceilings, crown mouldings, sitting room, etc). Great hotel, perfect location for us, and excellent value for London.	
Oct 12 2009 	Very Nice... Pity this hotel is always fully booked!	Location is fantastic in a quiet street close to the busy shopping area of Oxford Street. Walking distance to Hyde Park.Very spacious and confortable rooms. Nice english style house. Small hotel. The breakfast is ok, available from 8 to 9h30 am, perfect for holiday makers; But not for more than 3 days in the row, then it starts to be really poor of variety (but this is a general problem of most hotels in London).Free high speed Internet.EXCELLENT VALUE FOR MONEY. I wish you could always stay at the Sumner but it is always fully booked. Very much appreciated by american people.	
Oct 7 2009 	I love this place!	I came back to The Sumner for my 2nd visit to London in September, and I can say, they are still at the top of their game. My visit was pleasurable, fun, and coming into a room with a very comfortable bed was a plus. The free internet, free breakfast (buffet style) and a very courteous, friendly staff, efficient chambermaids, clean rooms, flat screen TV, minibar….I can’t say enough about this hotel. Great location next to Marble Arch tube, buses, shopping (Oxford Street!), nice restaurants, local pubs, especially The Carpenter Arms and The Mason Arms nearby. When I do return to London, I will definitely be back to this wonderful place!	
Oct 5 2009 	the epitome of a boutique hotel	We stayed at The Sumner last month for six nights. We had asked for a quiet room andwere allocated a small room facing the rear of the property. Despite its small size, we felt comfortable - decor was simple and stylish. Most importantly for me, it was spotlessly clean. The bathroom fittings were of good quality and again, immaculate. Reception staff were very relaxed and very keen to please. One member of staff spent quite some time assisting us when we were unable to connect our wireless computer to the internet, for which we were very grateful. There was a very good range of breakfast food and drink and I am surprised that anyone would find it inadequate as there were juices, cereals, fruits, yoghurts, perfectly cooked scrambled eggs, bacon, sausages, pastries, breads, toast and more, all topped off with helpful, happy staff. The owner/owners/manager of the hotel should be very proud of what they have achieved. I think they must be very good people to work for as tthe staff ensured that the overall experience at the hotel could not be faulted. Location wise, it was close to restaurants, shopping and major central London attractions.	
