	Super views reasonably priced	Stayed at the Tower for one night on business due to an overnight function in London.The view from some of the rooms or the front of the hotel over Tower Bridge, especially at night, is something to see. Room was comfortable if not a little small but for the rate paid that was fine. Breakfast in the morning was plentiful with a good selection of hot and cold.Check-out was quick on this occasion - have known it to be slower.	
Nov 25 2009 	Stunning location	Only 4 out of 5 for this hotel as the room we were in was a little dusty. A little more care from the cleaning staff and it would be well worth a 5. Stunning views of Tower Bridge and the Thames from our room. Brasserie excellent. Will use again.	
Nov 21 2009 	Overpriced pretention	I stayed here a few years ago when it was a Thistle hotel (Guoman is a Thistle brand) and things have not changed much. I stayed in a 'refurbished' room - scuffed skirting, scruffy windows and torn curtains suggest that it may have been some gtime again. Typical of a lot of London hotels is the overpriced poor value for money rooms. Since my previous visit I normally stay at one of the nearby hotels in Tower Hill, and will be doing so again - when they have rooms available, which is why I stayed here thsi time	
Nov 19 2009 	ENJOYED VISIT	My wife and I are just back from a four day stay. We had a double room on the first floor overlooking St Katherines dock. The room was a good size, very clean with good view.The breakfast was also really good, we only had to wait one morning for about 5 minutes, for the size of the hotel this was acceptable. The hotel itself was lovely and the staff very friendly and helpfull. St Katherines dock has a number of nice restaurants although we left the Dickens Inn when we saw mice. If you cross the tower bridge plenty of eating places on the other side. Good location with great view of the bridge, handy for the tube (10 minutes walk). Nice walk along the Thames onto Covent Garden. Crossed a bridge nice walk back on the other side. Yes we were most impressed by the hotel and the area and would definately return.	
Nov 17 2009 	Great Location great service	Stayed on business. Have to compliment you on the business service centre. Top class.Will definately be back on next trip over.	
Nov 14 2009 	Some rooms too small to stay in	Went here for a week long conference. Had booked as part of the conference deal. I must have ended up in the smallest room possible. The double bed literally touched both walls, and there was no room for my bag. My colleagues who paid the same rate were in massive king rooms. When I requested a room change, they tried to charge me extra! In the end I paid the same rate thankfully after I asked for the manager.Hotel location is amazing. Right next to London bridge and the tower. Good pub 1 min away, restaurants also. Inclusive brekky was quite good; but very busy. Conference facilities excellent. Good bar, and gym was not bad. Rooms themselves a little aged but comfortable.If you can get a good rate, stay here; but realistically you are paying for the location.	
Nov 12 2009 	Quite good actually but could be better for breakfast	First of all You will have a very good deal with this hotel...as they always proposed good prices and often 2+1 night formule! For the price you pay, its good value! Very nice 4* rooms ( very quiet )and with an outstanding view on the thames...Its really nice to get back to this very nice hotel after a day of sightseeing or business..The hall and reception are impressive...They are really friendly and very customer orientated ...I do not have anything wrong to say about the service! The only downside (and its sad cause the rest is perfect )is the breakfast..Not that its bad , but I have seen better in the same category of hotel..Not a very large choice and seems greasy...The location is quite good close to Tower hill station and in front of tower Bridge and Tower of london...and loads of restaurants and bars nearby...Will I recommend it for tourists and Businessmen???Sure...Shame about the average breakfast cause the rest is excelent	
Nov 12 2009 	Love this hotel!	This was the second stay for me, my husband and 9-year old, and we're going back in December. We found the staff fantastic - on our first visit it was our daughter's birthday and they rang our room to ask if she was allowed chocolates, or would we prefer her to have fruit? Not only thoughtful, but very parent-friendly approach! She was delighted when a box of beautifully-wrapped chocolates was hand-delivered to our door. We didn't eat in the dining room but had breakfast brought up on room service each time, at no extra charge, and each time it's been great - hot, well-cooked and good quality. Perhaps an alternative for those not happy with the buffet? It's now our regular hotel for London trips.	
Nov 9 2009 	nice room shame about the breakfast	We arrived on friday late afternoon and the reception was choc a block with guests queuing to book in but the receptionist was pleasant and we upgraded to a lovely room with views over the thames .we had been promised a bottle of wine for upgrading but as it had not been delivered two hours later we phoned and were told it would be sent up but as we were leaving for the theatre we looked forward to a nightcap when we returned but on our return at 11 it had still not been delivered and only after getting in touch with the desk did it finally arrive.We were disappointed with the breakfast after standing in a queue for some 10 minutes we found the buffet breakfast to be luke warm and had to ask twice for bread for toast also seemed to be too few waiters to fill up the various pots as they also ran out of jam.all in all for a 4 star disappointing	
Nov 9 2009 	The only thing the tower has to offer is a good location	Not good value for money. Breakfast terrible: Don't waste your tome going; you’d be better off going to starbucks across the road! Asked for an executive suite with a view of the tower: got a horrible old smokey room even though it had been stated on the website that it was renovated and was non smoking. Eventually was put in the 5th floor which has just been done up which was ok but had no view. Gym not working, staff not properly trained and overall hotel dirty. Very disappointed.	
Nov 3 2009 	Pluses and minuses	It was my first trip to England and, although there on business, I could not have been more excited. I was in Reading during the week, but my kind travel agent moved me to The Tower Hotel Friday night as I didn't return to the States until Sunday. It being Friday, night, the check-in desk was swamped with too few people to help, so it was a long process, Then I was taken to my room.I was there during a heat wave. I was given a Tower Room. The view of the Tower was wonderful, although a bit hard to see through windows with grimy children's hand prints on them. I room was done in metro-chic and could have been in any city. Boring! And, the room was HOT, very HOT and the temperature could not be adjusted. When I called maintenance, one person did come up, but never returned. Finally, at 3 a.m. I went to reception in my robe--hey, they'll never see me again--asking for help. The staff was very nice and we checked several rooms, but they were no better. Finally, they upgraded me to a suite, which was down a dark hall, overlooked St. Catharine's Wharf, was in definite need of refurbishing, but still had English charm, although the internet did not work from that room, was COOL! And the bed was marvelous. I looked at their dinner menus, but everything seemed very heavy, so I wandered out. Breakfast, on Saturday, down in their cafe, was dreadful. Buffet style with runny eggs and under-ripe fruit. The saving grace is that the staff were wonderful. On my final morning, I was ready far earlier than need be for my plane, so they found me a tour driver who took me on a wonderful 2-hour drive around early, empty Sunday-morning London. Would I stay at the Tower again? Probably not.	
