	Welcoming Staff!	The reception staff was very welcoming and very helpful even in the late hours of night. The hotel is nice, very well located. The room was basic, a bit small with very basic furniture. The bathroom however is really nice with multiple amenities. Breakfast during the week end is really good, on weekdays however there is a limited choice but you can always ask the staff for hot food.The only negative comment is the hours of opening of the bar. It closes on 11 pm on a Sunday.	
Nov 21 2009 	Great Hotel great location	My Husband and I stayed here last weekend for a weekend in London.We both work for an airline and as such frequently stay in luxury hotels around the world and therefore have very high expectations. We were not disappointed by the Trafalgar.We checked in around 8pm and the guy on reception was very friendly and chatted to us about our room choice. He explained the hotel was full and he was unable to give us a room with a nice view as they were all taken but his attitude was very pleasant.We arrived at our room which was unfortunately a smoking room - we booked late and it was all they had left. Upon exiting the lift we were met with a strong aroma of cigarette smoke - only to be expected for a smoking floor... We were a bit worried but our room did not smell at all. A great relief!The room was very spacious with a flat screen TV and good standard amenities. Good selection of TV channels too. The bathroom was a nice size with bath robes and everything we used was replaced the next day – not always the case in my experience!We were very impressed by the location and room size and also 2 wardrobes – plenty of hangers. The view was the rear of the hotel but there was still a lot of light in the room.The day we checked out I went down to the reception desk and there was a large queue. The porter immediately came up to me and offered to store my suitcase for me for the day – a nice touch. I asked his advice on the best route to Liverpool Street and mentioned what time I was meeting my friend. He checked my bill for me and as I had left a credit card number on check in he said he would get the receptionist to use that and have a copy of the bill waiting for me when I returned to collect my luggage so I didn’t have to wait.– outstanding service! When I returned that evening it was ready for me – and was correct! We very much enjoyed our stay here and would definitely return – maybe to room with a view – the next level up!	
Nov 16 2009 	Good Location but stayed at better hotels for less money	We booked into the Trafalgar and was greeted at reception by very friendly staff,we were checked into a corner room on the fourth floor which was tiny,and the bathroom not big enough for 2 people to stand in.Rang reception and was told that an upgrade was available at a cost, we took the upgrade at an extra £50 per night, the new room was much bigger but the bathroom was just as small,yes i agree there is alot of technology in the rooms if you class a tv,stereo and dvd player technology. Overall the hotel is in a great central location for everything,but i have stayed in better hotels for less money.Definately not a five star hotel,more likely a 3+.	
Nov 11 2009 	Great trendy hotel in the heart of it all	This was a great hotel - I went for my 40th birthday trip (using Hilton points), and had tickets to hit the Patriots Tampa Football game at Wembley - GO PATS!I was so worn out from the previous 5 days in Ireland that I was out of gas by the time I arrived, and literally planned to use this room to sleep and soak my weary feet as I tackled all those things I had made plans to do. I didn't think I would utilize the great service that I'd heard about, but I did end up taking staff help, partially because they kept offering it! The staff was among the best of any place I've ever stayed. We were welcomed with a bottle of wine in our room. And every time I walked in the hotel I felt like they were just dying to do something nice for me! Whether it was to show me the roof bar (which was closed) at both the day and the night, to help me sell an extra pair of Patriots tickets, to make sure I was having a good time, etc. etc I really felt hospitality like I haven't felt at any other hotel. They set up the &quot;front desk&quot; as an open area so there is no barrier between you and the staff, which I think they do on purpose to be more approachable. You are definitely never waiting, and when they address you by name you feel more like a guest at a friend's house as opposed to one of many travellers checking in.I called the front desk a couple times for little things like help opening the french windows, utensils, hair dryer etc and someone was there within minutes with a smile on their face. I hardly ever call the hotel front desk because I hate to bother people, but they were actually making me feel like I was UNDER-utilizing them. The rooms themselves were nice. We stayed on the 2nd floor facing the back and was a little noisy - but it was also Trafalgar Sq so we expected it. We also had the windows open. The bathroom was incredible. So nice and like a spa. I did not use the expensive wi-fi. If you have a laptop go to the coffee/sandwich-shop outside the hotel and to the right - they have free wi-fi. Otherwise use the computer in the business center for 5lbs for 30 minutes. or go to the visitors center on regent st (5 minute walk) for 20 minutes computer use for about 2 pounds!I didn't try the hotel food but it looked good, and the atmosphere was great. I wish I wasnt't so tired so I could have enjoyed it more!Try to hit a musical at one of the local theaters - we saw &quot;We Will Rock You&quot; at the Dominion (one tube stop away). I also got a reflexology and ear candling treatment around the corner at 25 Royal Opera Arcade (Off Pall Mall) at a place called Synerge. Also make sure to make use of the visitors center just to the left when you exit the hotel - get huge discounts on theater and other attractions like Madame Tussaude' s. overall GREAT hotel - I would stay again if I could afford it, but that is a stretch without Hilton points. Make sure to stay long enough to see the main things in walking distance - Buckingham Palace down Pall Mall Rd, Big Ben just down the Strand, the London Eye, the Thames, and Picadilly Circus (the opposite direction of the other places). If you are a history fan see the Ben Franklin house on Craven St, and the Shakespeare Globe Theatre (reconstructed) also nearby. Tower Bridge is also a &quot;don't miss&quot; - i think one or 2 tube stops away. Renting bikes at London Bicycle Tour company helps if you get tired of walking.Only get the London Pass if you plan on being out 12 hours a day doing the things on the Pass. We found it not to be worth it - not enough time to get your money's worth and a lot of things misadvertised on the pass-handbook. Enjoy this hotel as a great base, and a beautiful and welcome place to come back to everyday!	
Nov 2 2009 	Excellent Location	The Trafalgar Hotel was a great location. The staff were very helpful and accomidating.We received a full breakfast every morning. We traveled to Africa and asked the hotel to keep our &quot;Europe luggage&quot; while in Africa. When we returned to London, our luggage had been stored with no charge. The foof top bar was very nice and the room attractive and spacious.	
Oct 29 2009 	Beautiful hotel great location	the rooms here are amazing and huge even for a basic room. I was very surprised. the room is great and the bathroom huge. Loved the huge shower adn the ammenities. the hotel lobby is very trendy and I love how it is set up more like part of the bar. The location could not be better on trafalgar squre close to Charring cross.The only complain I would have is that internet is 15 pounds a day which is really high and any phone calls are very expensive. I would stay here again if I could get a good rate like I did which made up for the other high expenses. Excellent service.	
Oct 25 2009 	Dr John at the Trafalgar	One of the best Hilton properties I have had the pleasure to visit in over 30 years of business travel. Seems to be patterned upon the W model, with minimalist rooms (i.e. very little storage) and high tech electronics. Excellent location, very professional staff. Restaurant on lower level was a great breakfast location. Our room looked out upon Trafalgar Square, a location befitting an HHonors Diamond VIP, in my opinion. Thank you Trafalgar.	
Oct 19 2009 	Great location very nice hotel	You wont find the Hilton name anywhere here as it looks as if they are trying to be very &quot;W&quot;-like. Funky casual lobby bar is loud and I would not suggest a room on the first floor. The rooms however are very nice but stark. They are modern and the bathrooms are large and comfortable. My room had both a large bath and stall shower. Fantastic location. I could walk to everything.	
Oct 19 2009 	Awesome lcoation and hotel	This is a fabulous hotel. Service was exceptional. Location was fabulous. Close to many resturants, sites such asBuckingham Palace and best of all Theater District. The staff was alway willing to provid helpful tips durig th stay. The room was also great. I have found a hotel in London that meets all of my needs.	
Oct 16 2009 	Location is great but I expected more	We arrived rather early but they booked us in early which was great, I didn't feel welcome straight away was rather dissapointed, we are a younger couple but they kind of looked down on us because of it which is a shame. The room was ok, I didnt recieve any complimentary anything, didnt get offered an upgrade being a silver hilton member I thought i mite as it didnt look as though the hotel was that busy. It seems as though the hotel was more interested in being a bar at night than a hotel. The breakfast was poor we ordered off of the A la carte menu and it was just not up to standards, they did refund that but still left my partner feeling sick for a few days. I would probably only stay there again for the location. The restaurant staff were rude and whispered just didn't give you a comfortable feeling.	
Oct 13 2009 	Couldn't fault	Spent two nights, wish we could have stayed longer, everything was perfect.	
Oct 12 2009 	Cool Without Being Cold	This hip Hilton brand hotel is located at Trafalgar Square, a perfect location to explore London's swish areas, experience the theatre scene, or be in the middle of the cool urban vibe of the city. Our room was huge, even by North American standards, with all the mod cons needed in today's world, with generous high-end amenities provided by Temple Spa. The most startlingly thing about this hotel, though, is the incredible staff overseen by a Canadian general manager. This made our stay the most pleasant we had ever experienced in all four corners of the world. We had never felt so welcomed and so at home. The staff accommodated us when our previously-booked hotel experienced a flood while we were enroute to London, and we booked The Trafalgar at Heathrow and were given the rate quoted by the first hotel. In fact, we are so taken with The Trafalgar, that we are currently planning a return trip. London is spectacular, and at the end of a busy day, we simply go home to The Trafalgar.	
Oct 11 2009 	Location Location Location	The Hilton Trafalgar rocks! The location was awesome- everything was walking distance from this hotel and very only a block from the tube. I was there in early Dec and Christmas lights and markets were in full swing, and it was just so easy to hop out of the hotel to go somewhere. One night we hung out at the Trafalgar Square as they had some performers at a &quot;Talking Lion&quot; in the Square. The hotel beds were heavenly (especially after 2+weeks of traveling in Spain and Portugal staying in non-chained hotels). The bathroom was huge. The breakfast at the hotel was awesome, they even had a guy playing the guitar. I sat there for a few hrs as he had a nice voice and reminded me of JAck Johnson. The hotel also has a hip bar, so it was easy to grab a drink with friends at night. I just love this Hilton! It's just too bad that the Hiltons oversees are so much better then the Hiltons in the country!	
