	This is a 3 star hotel	I booked for 2 rooms through superbreak and was very disappointed with the dated room and especially the bathroom. My friends room was even worse with very dodgy electrics and although the tv was reported it didn't work no one acturally went to fix it.We had to ask for soap which you would think would be provided! and the shower curtain rail was placed above your head, so when you had a shower it stuck to your body!The bar was very expensive with 4 drinks costing £18! however the restaurant was very good and helpful staff.When we went down for breakfast the queues were horrendous, waithing a good 20 minutes! although breakfast itself was ok.No way is this a 4 star hotel! I will not be staying here again.	
Nov 24 2009 	OK - but not 4-star standard	I had a one night stay in this hotel on a Friday night, and I can't argue with the location - next to Euston railway/tube station so you have easy access to public transport, and if you feel like it Camden Town and the West End are an easy walk away.First impressions weren't good, the building is a rather ugly 1970s concrete carbunkle and the front desk weren't exactly efficient. I stood in a line for 20 minutes whilst the receptionists didn't have the confidence to tell the rude people who barged in ahead of us to go to the end of the queue. The elevators were small and cramped.The room was big, the bed comfortable, but again there was this air of tattiness. The furniture was old, scratched, scuffed, and there was the odd cobweb up in the cornicing. The windows were draughty, saved for the fact that there was a sliding inner window.Then I got woke up at 4am in the morning by the guests next door who were engaging in, ahem.....nocturnal activities.....either they were having a right old time of it, or the dividing walls are paper thin. Next morning, there was a lack of towels for my partner and I, and the quality of the bathroom furniture and floorcoverings were old, dated and not what I would expect from a 4-star hotel.Luckily I only paid £90 for the experience, but the full rate is closer to £200 per night. And there's the problem - the Ibis Euston St Pancras (a few hundred yards along the street) has a top line rate which is £80 cheaper. Admittedly, it's a 3-star, and OK, the fixtures and fittings are a bit IKEA, but it is just as clean, modern and probably quieter. Overall, the Thistle Euston wasn't bad bad, just it didn't deliver what I would expect from a 4-star hotel.	
Nov 19 2009 	Noce stay at the friendly Thistle Euston	We are regular leisure travellers to London. Coming from Cumbria, Euston is our station and the thistle was really handy. Right from the front desk on the staff were friendly and helpful. Depends what you pay I suppose, we had a good price via Superbreak. What do people want or expect from a London hotel? I think there are unrealistic expectations sometimes. If you want a nice, friendly well located (it was surprisingly quiet) London hotel this the one. It's not sparkly new, but then neither am I! We've been in about ten London hotels over the past three years and this was as good as most.	
Nov 19 2009 	Dated 	travelled with my teenage son for shopping trip stayed here for 3 nights. Room size was ok and clean, but not a deluxe room as stated on my booking, flat screen TV. Bathroom dated, no where to hang the towels in the bathroom, stains on room carpets. Very noisy through the night even though we were on the 4th floor. Location suited us as we used Euston to travel everywhere and its only a couple of mins walk from Euston station. Breakfast was ok, quick service. No waiting at the lifts. nice reception area. OK as a base but don't expect 4* . Worth it if you get a good deal.	
Nov 16 2009 	Not a four star hotel	I read several reviews beforehand and wasn't expecting much. The hotel is indeed tired and the rooms need updating badly. There were no washcloths in the bathroom and the temperature in the shower was difficult to get below scalding hot. The staff on the other had were quite pleasant, although there is no fitness centre and they had no advice on where to find one, even though there are at least two within easy walking distance. The wireless Internet service in the room kept losing the signal. I told the staff and they did not offer to refund the 10 GBP fee. Breakfast was average but the staff again were very pleasant. Although it is very near a train station the hotel is very quiet, which is a big plus for central London. I got a very good price for this hotel on line and would have been very disappointed had I paid 200 GBP which is the published rate. If you want convenience, the price is low, and you expect a two star room then you will not be disappointed.	
Nov 16 2009 	very close to Euston Station - pleasant staff	If location is of prime importance to you then this hotel is great - the twin room that we stayed in had a hairdryer, iron, ironing board &amp; tea &amp; coffee making facilities. The breakfast was buffet style with everything you would want to set you up for a day sightseeing/shopping	
Nov 14 2009 	Tired	For £170 plus per night I expect something a little smarter. Whilst the room was a good size it felt very tired. Poorly decorated, bathroom had seen better days. The lifts are very small and can't cope with the volume of traffic at peak periods. On the plus side, they serve a decent breakfast and of course it is well located. Food in Brasserie 43 was well cooked and presented but bar prices are extortionate.	
Oct 28 2009 	Nice hotel friendly staff good location.	I stayed here on business so wasn't paying the bill myself and hadn't stayed here previously. I have to say, on the whole, the hotel is very nice and the staff very polite (a word of caution - none of the staff seemed to be of British origin but all speak serviceable English). My room was on the first floor and was a bit of a trek from reception and located around a courtyard. I was expecting noisy (after reading some of the other reviews) but it was quiet and peaceful. There is a nice park adjacent to the hotel. The bathroom was spacious and there was a nice selection of toiletries. The concierge staff were very helpful when I left my bag and retrieval was quick and efficient on check-out. Breakfast was just about acceptable. I had two single beds in my room and had a comfortable night's sleep. There was a flat screen TV in my room which looked fairly recently installed. The tea and coffee tray was generously filled. Hard to find fault at £123 a night, including breakfast for central London. A good location if you are travelling via Eurostar or King's Cross/Euston stations and the British Library is a short walk away.	
Oct 25 2009 	I loved the Thistle Euston hotel!	We stayed at this hotel as part of our post-tour accommodation and I loved it - I was wishing we could stay for longer. The room was a good size and the decor was lovely, and the breakfast was great. The location is fantastic too.	
Oct 24 2009 	Don't stay at thistle euston!!	Our first room had no toilet paper and no air conditioner. They didn't even offer a fan. I asked about it and the receptionist said they would send a technician over to look at our room. I figured we just didnt know how to turn it on. It was miserably hot though and there was no way I could sleep in the room. The technician came over and said the floor and several others didn't have air conditioning right now and he didn't know when it would be fixed. The receptionists didn't even know about the floors having no air conditioning! There was no communication between the hotel at all! Anwyays we had our room changed and the second one had puke all over the floor by the nightstand!!! They didn't clean other room. Who knows if they even wash the blankets!@! Don't stay here it gets worse! The hotel doesn't know what customer service is either and wouldn't even help me carry luggage when I asked because we had to change rooms with lots of luggage and carry it many floors away. The hotel is also very unluggare friendly. Not enough room to carry the luggage on the side of you.	
Oct 24 2009	Very nice beginning and ending to our 12 day European Tour.	After reading so many bad reviews about this hotel, I was expecting the worst! I must have been in a different hotel! I found everything to be fine. Very helpful and friendly staff. Room small but clean and everything I needed was there. Location was great. Two tube stations within an easy walk, we could get everywhere in a fast and easy amount of time. Breakfast was good, plenty to eat. Ate dinner there one evening and it was quite good. Another evening we asked about an inexpensive place to eat . They suggested 4 local pubs. We chose one about 2 blocks away, don't recall the name but it was covered with beautiful flowers . We had fish and chips and and a drink....perfect!! Will go back again for sure!	
Oct 18 2009 	Worth staying if you get a good deal.	We stayed at thistle euston for 4 nights on a special offer (though my bank account)which only cost us £350 so i wasn't expecting very much as you usually get what you pay for. The hotel is located just a few minutes walk from Euston station which was handy for us after a long train journey. Upon approaching the hotel it did look quite tired and could really do with a lick of paint, reception area was nicely decorated and modern we didnt need to wait to get checked in (we arrived at 3pm which was the check in time stipulated on the reservation confirmation) we stayed on the 3rd floor. The hallway in the 3rd floor was very dark and could do with a bit of updating the room itself was a decent size for the price paid and had a flat screen tv along with a 2 seater sofa the decor was a bit old fashioned but not a big problem as we where only using the room for sleeping and showering our room was cleaned daily although we did notice on the last night our beds had not been made properly. The bar area was pleasent and modern staff where attentive we had breakfast 3 out of the 4 mornings staying which was included in the deal we had a good selection of hot and cold food to chose from and where offered tea coffee and toast as soon as we sat down, the standard of food was good. I would recommend this hotel if you can get it for the right price and breakfast included. Our stay overall was good and i would stay again, especially if the decor was updated in the bedrooms.	
Oct 18 2009 	Convenient and helpful	Stayed last weekend- attending a conference and stayed an extra night. Contacted hotel prior to my visit as was concerned about reviews on here saying how small single rooms were. Was given a double and in a quiet area. Very satisfied. Good breakfast and excellent service. Asked for a bathrobe and was given one within minutes. Great access to tube lines and Euston. Will definitely book if go to conference next year. Staff were lovely and helpful. Thankyou to all. Julie Foulds.	
Oct 13 2009 	a little tired round the edges but clean	After reading the previous reviews we were really apprihensive about going to this hotel. I wouldn't say it was a 4 star hotel. the reception area was clean and tidy. the restarant was clean and modern. the rooms were rather tired and in need of decorating. it was however clean. we were on the 3rd floor and next to the train station, we didn't hear any noise from this. it was a good location only a 2 minute walk from euston station. the hotel was ok for what we needed it for, we went for a city break so only used the room to get showered and changed in and to sleep at night.	
Oct 12 2009	NEEDS REFURBISHING	Affordable Tours booked us in this hotel as part of the package. When we got in the room, we had to change because there in no water and the room was so small!!! No airconditioning, only a very small Electric Fan! Imagine, a 4-Star hotel with a fan??? The carpet is too old and needs replacement. Furthermore, for breakfast, they only serve Continental Menu, but if you want some hot food like eggs, bacon, hotdogs, baked beans, then you need to pay extra.The hotel is also far from London center, so you need to use the Underground and walk some blocks to get to the hotel.This hotel should be categorized as 2 or 3 star only! Lobby is so small for a big group!	
Oct 7 2009 	Charming 	This was our first trip to London &amp; we found this hotel very charming and romantic. Our first room was very small &amp; being a bit claustrophobic, we had to change it to a bigger room. The staff was very helpful &amp; did upgrade our room for a bit more (which was very reasonable). The location of the hotel was close to the tube &amp; was very convinient. Over all had a great experience. Thank you	
Oct 1 2009 	Only if you get a bargain price	Paid £59 through lastminute.com as one of their 4**** secret hotels for a single room. It is located at the side of Euston station which was in walking distance from Kings Cross. The hotel looks a bit old and tired from the outside, the lobby is quite fresh and elegant.We arrived at 12 noon to check into our rooms, not a problem in many many 4**** hotels Ive stayed in. However it is a problem at the Thistle Euston (as I expected by the refugee camp they had hosted in reception) you cannot get your room any earlier than 2pm - forget it!They stored our luggage, when we did come back later, the room was small - but clean - I was really expecting a minibar, there was a space for one! Had a shower, the A/C was much appreciated, flat screen tv... Had breakfast the next morning, only because when we enquired at check-in the lady offered us vouchers for breakfast for £7.50, otherwise wouldnt have bothered. It took ages to get a table, firstly you have to pay (most hotels would charge you after breakfast) while they seat people behind you in the queue - then lots and lots of items had run out - and there was certainly no rush by the staff to replace them.We overheard a conversation by some other people that had paid the £193 rack rate, I couldnt imagine this, because whilst it was worth the £59 we paid per room, it certainly wasnt worth a penny more!	
Sep 30 2009 	only go on a special offer	We only stayed for 2 nights and was very worried after reading the previous reviews. But since we got it for 2 for 1 offer decided to give it a try since our tour ended in that hotel. So paid 208 pounds for 2 nights including buffet breakfast. They had both hot and cold available and a good selection. Tea/coffee wasn' t very good though, so we just had juice. Service was average. Rooms were average. Very old. Not very sound proof as you could hear people walking and vacuum cleaners going. If you would like to leave your luggage with the concierge to pick up later, be sure to do it before you check out as they charge you if you have already checked out - I think it was 2 pounds for each piece or something. It's about 400m walk to Euston Station. Overall, an ok stay but I won't be returning. I think you could probably find other more worthwhile places to stay.	
Sep 30 2009 	Tired hotel in need of updating	Rooms were small and tatty, although clean. Bathroom was again in dire need of complete overhaul, shower was not easy to get to required temperature.Staff seemed disinterested, and service was at best adequate.Very expensive for what you get, stayed in better budget accomodation, luckily I was staying only one night.Don't book this hotel you will be dissappointed.	
Sep 25 2009 	Ignore the bad reviews	The hotel was booked through my company and having read the reviews on this website, I would say i was a bit nervious about the stay.however, from the moment I got to the hotel (about 3 minute walk from London Euston) i was met with pleasant and helpful staff, given a spacious and clean room which had fresh laundry every day. however the hotel didn't miss out the smaller details, complimentary shortbread to enjoy with tea before bed infront of a nice selection of TV on the flat screen TV in every room.The beds are comfortable and extra pillows are avaliable for those who need that extra support.Dinner and breakfast are both very well presented and the waiting staff were very friendly and could not do enough to help.So ignore the bad reviews, Its not a 5 Star hotel, but for what it is there for its perfect.	
Sep 21 2009 	Not Great	Stayed for one night very much as a last resort. Room overlooked derelict buildings and suffered from noise from everywhere: train station opposite, people in rooms next door, rooms above, car alarms going off all night etc. Seemed as if whenever anyone used the loo, all the plumbing in my room started to shake. They have invested in the bathrooms but left the rest of the rooms alone and they feel very old and dated. That said, the investment seems to have been unplanned - they screwed a shower pole across the bath in my room - purpose: to suspend the bath plug over the tub !! Still, they do have beans on toast on room service.	
Aug 23 2009 	Do not stay here	The helpdesk staff were unhelfpul and did put forward an important reservation requestThe reception staff were rudeThe room was tiny and very dated, the bathroom was not cleanThe breakfast upstairs was cold and for veggies - had beans and toast, that was it.I would not go back.	
Aug 14 2009 	Single Travellers avoid like plague if you want comfort	I have just come back from an over night in this hotel - just as well is was just an over night. I had booked a deluxe double on a web site thinking it was a 4 * hotel. On check in I was given Rm 226 there was a narrow corridor into the room and a very small wardrobe right in front of you - turn into the room very dark small and claustrophobic went down to the desk and got moved to Room 342 again very small room but it had better light - luggage rack folded up against the wall no room to open it out. If you want to watch the TV in the bedroom, your case is on the small chair so you have to get into the bed and watch TV with you head at the end of the bed!! Went out for dinner and that night and after spent the night in, again had to lie down at the end of the bed to watch TV. Room exteremly hot and what the control on the wall was for I don't really know as it was far from air - conditioning so I spend a night in watching TV on the end of the bed and the room exteremly muggy. I must say breakfast was nice and the staff were friendly. It's a far cry from the standard of the 4* hotels in Ireland.	
Aug 7 2009 	fine hotel good location good price	stayed here two nights with 2 teenage boys on a superbreak deal. Room on the 3rd floor adequate for our needs, had a single bed each. Very clean, bathroom in good condition and large flat screen tv. Quite noisy from the station but we did have the window open. Staff friendly and breakfast good. Had feared the worst after reading previous reviews but was pleasantly surprised. Would go again as had got a very good deal	
Aug 3 2009 	Tired hotel- very tired	The hotel is quite close to Euston station however it sits in the deadzone of North/central London. There are no bars, points of interest within 1mile of the hotel itself. The rooms are very tired. We stayed in a upgrade Double deluxe and to be honest their rooms are the same quality as the likes of Travel Lodge. The shower was woeful and fixtures etc looking like they had been there since the early 90's at least. We drove/parked under the hotel and I was utterly amazed at the access. There were a great deal of marks/gouges on the walls where drivers had caught their cars. Access is very very tight. I wouldnt recommend driving anything bigger than a Golf down there. You will either get stuck or damage your car. Even though we had booked a double-Deluxe we were told in the morning that we werent on the list for breakfast, which with hindsight I wish we werent. Positives? The lobby is very nice (80's marble-effect?) but beyond that there are far nicer hotels in London to stay at. In a nice way- avoid. It looks like a Holiday Express Inn in 20yrs time.	
Jul 28 2009 	Do not stay at this hotel	This is a motel quality hotel is not worth the approximately $250 USD per night rate. Terrible housekeeping - first room I checked into had used, wet towel in the bathroom and bad plumbing. Moved to another room , only to discover hairs on the sheets - apparently because the sheets were not changed. Asked for a wake up call, and the phone kept ringing - approximately 5 hours before the scheduled wake up call. Detachable shower head had hairs stuck in it. Also, the location is not convenient unless you have to be at Eustom station very early. There are no convenience stores, restaurants, or anything else nearby (to get water, snacks, etc.) and the guest shop inside the hotel only takes cash. Overall, totally overpriced for what you are getting.	
Jul 26 2009 	Nice stay - great location	Was apprehensive considering previous reviews but I thought it was nice. I got upgraded to an executive room so that might have helped. Bathroom was nice, with a nice strong shower, comfy beds and a good tv. Breakfast in the morning was great, lots of options and lots of it. It was also very easy to find from London Euston - which is useful for the geographically impaired.Nice place to stay all round	
Jul 22 2009 	Never again	The location of the hotel is ok and it's reasonably clean. And that's about it.The rooms are laughably small and crowded, the bathrooms are tiny, staff is not helpful, breakfast is a joke for the price, mattresses were old etc.The Ibis up the road looked a lot better. Never again.	
Jul 19 2009 	Awefulplease avoid...	Great Location, Thistle Name is overall good, but this hotel is a nightmare. Worst rooms, a maze to find it...moreover the staff are not welcoming. I would recommend that to enjoy the area, stay at the Ibis next door!	
Jul 11 2009	Okay but I'd stay at the Ibis hotel next door	Upon arrival at the hotel we were given keys to rooms that were still in use by other hotel visitors TWICE. We were upgraded to a special room however the only difference was an extra carpeted area. The rooms were pretty clean, old but only needed a place to sleep. The location was very good, right across from train and tube station, food places. Water in shower was very hot and uncontrollable. Breakfast was pretty good (bacon, eggs, sausage, toast, rolls, cheese, eggs, beans, tomato) but there was a breakfast cop who would only seat you when your whole party was down to breakfast so you couldn't eat until everyone from your room was there. Room walls were quite thin and could hear noisy neighbours. VERY expensive to use the telephone in the room. NO phones in the lobby or internet (they have a nice area at the Ibis next door) and no newspapers available in the lobby. Staff was mediocre. It was an okay place but I'd suggest staying somewhere else, the Ibis next door looked really nice.	
Jul 2 2009 	Disappointing	On arrival at 1pm we were told the hotel had been overbooked and if we wanted a room at that time we would have to pay extra for a deluxe room, or come back at 5pm when a room would be ready. After travelling we decided to pay the extra and as it was a romantic weekend thought it would be great to get a nicer room. I would hate to think what the standard bedrooms were like as this was a box room! Situated right above the Taxi rank on the first floor, it was noisy with the guests arriving/ leaving and the train station. The room had soap and towels but no toilet roll, there was no tea/coffee facilities and the air conditioning was broken, and at the end of June in London it was very hot and humid. We were told that we would probably not get breakfast (we had paid for it) as the hotel was very busy and we would have to be up extremely early to get in the Q. We did use the hotel restaurant once and i must say the food was excellent altho the service was very slow and we requested the dessert menu - we are still waiting!The location was OK to find if you had a map, the area wasnt so great but if you need somewhere basic and quite expensive to stay then this is your hotel!	
Jun 16 2009 	Do not stay here.	The reception is a nice area. The upstairs is absolutely dreadful however. Two of the floor tiles in our bathroom were not actually attached to the floor. There were no little shampoos and shower gels - there wasn't even soap at the wash hand basin. Location wise, it is on a dark little street and the flats around the corner would give you no confidence to be wandering around. I would absolutely never stay here again. the receptionist and barman on the night we arrived were pleasant if dozy. The receptionist told us the 2 bars were open til 12.30am while one of them actually closes at 11pm. The breakfast room staff were nice and did seem to know what they were at.	
Jun 6 2009	lost?!	The outside of the hotel and the lobby are well presented, but don't let that fool you. The hotel rooms are cramped, the batroom is dated and the bath had rusty taps, and the drains smelt bad. Try to find the room was not so easy. We arrived on the 4th floor then went down to different corridors, through one door, up the stairs then down another corridor! It was great exercise, especially lugging a couple of 20kg bags up a flight of stairs because there wasn't a lift on that floor!	
Jun 5 2009 	never stay again ever	very unfriendly staff dirty beds very expensive rates not worth going never again	
Jun 3 2009 	Thistle Hotel - Only at the last resort!	We arrived at the hotel early at around 11.30am and asked if we could check in. The receptionist took our details (name and booking info) and said the room would be available at 2pm onwards and said we could leave our belongings with the concierge and come back later when we were ready. We did this because we had a thames cruise booked with family at lunch time. After the cruise finished we made our way back to the hotel at around 4.30pm only to be told our room had been double booked. This didn't seem to bother the receptionist too much as she told us to speak to the duty manager. Arrangements were made for us to be moved to the Bloomsbury Park Hotel. A Cab was called but the driver didn't know where to go even though it was just around the corner - it took 30 mins to eventually find the hotel. Our room was at the top of the hotel and was far below the standard of our original booking (Deluxe 4*) - the room was sandwiched between two other rooms with only a door to separate them. Wallpaper was peeling away from the walls and in general was poorly kept. We got the distinct impression this was used in emergencies or used to house staff. Definitely 4* not a deluxe room. Thistle Hotels have definitely performed well below their brand values and well below what I expected. I honestly feel sorry for them and especially anyone else who is thinking about staying at a Thistle hotel. Be warned, a cardboard box would be more comforting! The actual week end was brilliant but the hotel was totally unacceptable especially the manner in which we were dealt with. I definitely will never use a thistle hotel again.	
Jun 2 2009 	COmfortable but overpriced!	We stayed here for one night before picking up a tour that left from the hotel next morning. It looks very posh in reception so expected great things, but the room was disappointing. It needs a few maintenance jobs - e,g. doors off hinges and a good clean. It was quiet though. It is not too far from St Pancras station, which we walked from to the hotel with our backpacks and bags. Beds were comfortable and rooms a good size. Breakfasts were good too with lots to choose from. As we had an early start next morning, we didn't get the chance to explore around the hotel and find out what else was close by. But otherwise, everything okay. We dined in the restaurant - great food and service. generally though, it is overpriced considering our room needed a few minor repairs and as we arrived late, couldn't be bothered asking for another room.	
