	Love the thistle!	I recently visited the Thistle Westminster as part of a group which was organised through my work. It was very cheap due to the amount of people we were travelling with and only cost £150 bed and breakfast and coach travel for myself and my boyfriend. So for me the hotel was very good for it's price.However regardless of the amount I spent, I still feel this hotel is a lovely place to stay. It is the second time I have stayed here and found it just as pleasant as last year. Upon arrival I checked in where I was told all the relevant information (breakfast times etc) and then took my luggage to a room with two double beds in!! (for just me and my boyfriend!) There was also a sofa and facilities to make a tea or coffee which was well needed after a hard days shopping! I do admit the hotel room was very warm however as it was extremely cold outside it wasn't a problem when we stayed there.The bathrooms do seem a bit old and tired however were very clean which is the most important thing when you are only there for a short time.We then walked to the nearest tube station (Victoria) which was approx 5 minutes from the hotel. Victoria is a very central station and any of the key places you would want to visit are minutes on the tube (It was fantastic!).After having a lovely evening at the Tiffany ice rink at Somerset House, we went back to the hotel very tired and ready for a good nights sleep. At about 11:45 we were both woken up by an alarm that had gone off. I was very concerned as it half sounded like a car alarm and half sounded like a fire alarm. I rung down to reception and asked if there was a problem, my mind was put at rest by the deputy manager and after about 15 minutes the alarm went off. About 10 minutes after I rung down we had a knock at our door from the deputy manger who had come to check out the situation and see if everything was okay! (Fantastic service and a lovely man who made us feel our concerns were dealt with appropriately!) The breakfast was fine, not much variety but good quality and the staff pleasant.Overall the hotel has a great location, lovely staff and big rooms. I would definitely return again!	
Nov 23 2009 	Most disappointing Thistle Hotel in Central London	I used to work for The Thistle group and have stayed at nearly all of the Thistle/Guoman properties across the UK and I must say that my recent stay at The Thistle Westminster has been disappointing. Here's a diary of my one-night stay.....I chose to stay at The Thistle Westminster primarily because it is conveniently located within a couple minutes walk from Victoria Station. This is excellent for business travellers such as myself. For leisure travellers, it is walking distance from Westminster Abbey and Buckingham Palace. It is not an ideal location for shopping and dining- you should try Thistle Piccadilly, Trafalgar or Marble Arch if you want to be near Oxford Street shopping and Soho. Easy enough to check-in but there were no personal touches....It was like checkin-in for a flight using a self-service machine. The receptionist could have mentioned what time breakfast was; if we needed any newspapers in the morning or offered a wake-up call.I booked a twin room on the second floor, room 253. I thought it was great that it had two queen bed but was not impressed with the layout- I could hardly open the wardrobe door because there was lack of space between this and the foot of the bed. It was nice to have a couch in the room along with tea/coffee making facilities and an iron. I called both reception and the concierge 3 times in the space of 30 minutes to requesta bath robe. No one answered. I went downstairs to have a cigarette and saw three members in reception gossiping to each other. I gave up on my request. Before I went out for the evening, the concierge was helpful enough to help me locate my destination. I realised my two biggest problem with the hotel later in the evening. The first is the state of the bathroom: the tiles were cracking, the paint job around the shower was poor and the ceiling when you step in to the bathtub is too low for anyone over 5ft10. The shower is old and disgusting.....the latch is very loose and I'm sure this goes against their health and safety policy. My second major problem was the temperature of the room. I'm glad it's wasn't my stupidity that I can't work the air conditioning because another traveller has mentioned this. I turned the air conditioning on and no matter what I did, it offset hot air. I opened the window and opened the window and still it was boiling hot in the room. I must say I'm a sort of person who much prefers a heated room but this was a nightmare for my friend who told me in the morning he had no sleep because of it. On both issues I must admit I should have informed the duty manager. In regards to the shower, I only noticed at 2:30am and thought it wasn't worth the hassle. Regarding the temperature in the room, it was only my friend who had the problem and had he woke me up to inform me of the severity of the problem, I would have demanded to change rooms. In the morning we had our full English breakfast. The staff were friendly and attentive. However there was not much selection in the continental option....like they do at other Thistles. Hardly any selection of fresh fruits. I wouldn't be paying for breakfast here again....it just isn't value for money.If you must go with a Thistle then try the Thistle Grosvenor (which is a 5 minute away) or the Thistle Marble Arch or any of the Guoman properties. The standards in terms of quality and service at The Westminster really isn't worth it.	
Nov 22 2009 	Never Again - Simpy not worth it and a real disappointment	We stayed at the Thistle Westminster this November at the start a holiday to the UK. When checking in we could not get the safe to work so we asked and asked and asked and asked everyday for it to be fixed and everyday we were told that it had been - I suspect that noone ever looked at it. The girl at the front desk looked so confused when I asked her to help - like it was strange to want it to actually work....The room was so HOT! You were forced to sleep with the window open so a very disturbed sleep given the noise outside.The iron fell off the wall when we went to use it.The internet did not work the whole time we were there - you shouldn't advertise something you don't provide.I must admit that we would have moved hotels had it not been for the concierge - he is really good. A very pleasant and professional guy who made the stay bearable.I would never recommend this hotel to a friend - there is much better options out there! It needs a revamp, it needs facilities that actually work and it needs reception staff who care (the concierge is excused from this comment).	
Nov 10 2009 	RE : Unbelievable could it get any worse?	I travelled with my wife to London for a short relaxing break at the start of October 2009. We were staying at the Thistle Westminister and attending a private function on Monday 6th October. Before leaving the Hotel (just before 7pm) that night, I needed an iron and the hotel safe open for our valuables. From our hotel room I rang and rang, then rang some more! but there was no answer from both the hotel reception and housekeeping! I even phoned the main hotel number from my mobile!!! Still no answer. Because the safe was locked and after having been frustrated spending 15 mins+ trying to speak to a hotel member of staff, I decided that a safe place for our passports was under the phone, instead of taking them with us that evening. We had a truly wonderful evening at our function, returning later that night to the Thistle.The following day we checked out at 1pm. Did the usually sightseeing and shopping (when in London) and returned to the hotel at 6 pm to pick up our bags and catch the express from Victoria to Gatwick for our flight home to Belfast at 9.20pm that night. Then I remembered the passports! I told the concierge and hotel Manageress who checked the room, they were gone! The hotel had nothing listed in the housekeepers book! A couple had just checked in, they happened to be in the room and asked me if I would like to check myself, I did, but nothing! Panic!!! REAL PANIC. I then explained that the only person that could have them was the hotel housekeeper! The Manageress tried to get in touch with housekeeping but couldn't! And told me that she didn't want to upset her!? I thought I was hearing things! Did she not understand what I was saying? Unbelievable! I then phoned Easyjet to see if we could travel home without passports?, unfortunately under BAA legislation you need photographic identification! I then contacted the Police and reported both passports stolen. After about two hours and while speaking to the Police they mysteriously appeared, although there was no previous record of them anywhere!!!? The Manageress stipulated that anything found in a guests room is always logged, maybe that excludes British passports! Consequently, we grabbed our luggage and the passports and rushed to catch the Gatwick express! On the Express my wife rang the hotel Manageress at the Thistle who then informed her only after that they were found in the head housekeepers drawer! Passports are very important documents, so why was there no record? The Manageress could not answer this question!Because of the complete mess that only concluded when I spoke to the Police. We missed the earlier Express to Gatwick and consequently our flight back home (to Belfast), for both days that we visited London we had arranged a babysitter for our 4 year old son, the babysitter had to stay another night (having work the next day!). Unfortunately there was no other flights from London to Belfast from any of the London Airports. We then had the extra expense of two more flights home and another nights accommodation, plus transfers two and from the hotel to Gatwick, not to mention the unnecessary stress and annoyance. I felt so strongly about the unfortunate situation I asked my solicitor to forward a letter. The reply was that the Thistle Westminister believed they followed all the correct procedures. Unbelievable! And adding insult to injury the Manager from the Thistle Westminister refused to compensate, or even reimbursing our expenses! As you can imagine, I was angry before this and my anger has been elevated to a much higher level! due to customer service that simple does not exist! Quite simply, appalling! If the Thistle had been sympathetic to this unfortunate incident and covered our extra costs I would not feel so hurt. There is a funny side to this highly unfortunate incident, that I now find amusing and simply had to share with everyone! That is on the Thistle headed paper. the strapline reads, 'the way it should be' .The Thistle may need to reconsider their brand! They obviously don't practice what they PRINT! This irony I feel may have been lost on the Hotel Manager. If this is how they treat customers! I would suggest that anyone traveling to London for business or pleasure simply avoid the Thistle if this is 'the way it is!'	
Nov 8 2009 	ok but been to better for less money	We stayed here for 1 night. Checked in with no problems and cheeky enough to ask for free upgrade for girlfriend's 40th. The room they gave us was very spacious with everything you needed also something we've not had before, a round bed (see photos) quite usual. I do think the rooms need revamping as a little dated. Room was quiet and nice and dark with blackout curtains, always good for us. Breakfast was ok but expensive at £14.95 each. Staff were very helpful and concierge seemed very happy to help. Hotel was convenient to Victoria station, 5 minute walk. Overall hotel was ok but we do think it was overpriced for a hotel that needed updating. Stayed in room 228. Room was quite warm as AC didn't seem to work.	
Nov 7 2009 	Just what you would expect	I stayed here as part of a party to deliver an event to colleagues. The facilities for the event were quite good and staff were helpful enough but needed to be prompted through our needs. There was the occasional 'jobsworth' moment and when asked for some milk for our coffee whilst setting up we were told to visit a local shop!Fortunately this was isolated and on the whole everything went well.The rooms are large but bathrooms are small and a bit 'tired'. This was slightly out of character for the rest of the hotel and hopefully the management will address this before too long. The hotel was quiet but there was significant noise through the wall of my room from what was a service area(?). This happened at least twice (once at 06:30 am) and I was hardly in the room except to sleep. (Room 125).. Not too good.Breakfast was good with food freshly reasonably freshly prepared with traditional choices.	
Oct 30 2009 	Great Location	The rooms in this hotel are quite big by London standards and clean. We were at the end of a corridor so there was little or no noise from other guests, however the room was so very hot even in October (airconditioning was blowing out more heat) that we had to sleep with the window open and consequently a lot of noise from the road outside. The bathroom was also quite tired and most certainly not 4* standard. The cold tap did not work in the bath and there were reported sightings of silverfish in the bathroom by youngest duaghter which were subsequently killed by &quot;daddy&quot;, flaking paint, broken ceiling tiles and mould were also in evidence. On the plus side again the staff were great and the location brilliant.	
Oct 26 2009 	Really BAD service	I ran out of dish washing liquid which they provided so i called reception and the guy said buy it yourself so i had a fight with him so we called room service and they gave us a fresh bottle. then we needed the bed to be changed which they do every 3 days but they thought it would be good to change it to every 5 days. EVERY THING WAS BAD, BAD SERVICE, HOUSEKEEPING, RECEPTION AND ROOMS WERE DAFT.	
Oct 25 2009 	Good location what about the breakfast offer?	I stayed at this hotel last week for one night and chose it for the location as it was convenient for my meetings and for the Gatwick Express - on that front, I couldn't fault it. The welcome was warm and my room was clean and reasonably spacious. Late in the evening I found the TV remote control wasn't working and though I had to leave the phone ringing for several minutes before getting an answer, when reception finally picked up, they were charming and someone from housekeeping came up immediately with batteries - and ont he plus side it was a woman, as I had requested, being already in my pyjamas.This hotel makes quite a point - on at least one website - of offering a full English breakfast free for all stays on Thursday (and other) nights, which doesn't show on the booking and is supposed to be offered at the hotel. Well guess what, not a word was said and I had nothing in my booking to confirm the offer, so I went out for breakfast and have to mark them down on value as a result.	
Oct 10 2009 	nice place but watch the bathroom	the hotel was in a great location. the 2 concierges were a great help'.the bedroom was always clean. we had no problem at breakfast. it is just that the bathroom had a molded plastic towel holder which was screwed to the wall. you could see black mold growing on the wall behind the plastic. having some knowledge of mold from my profession i suggest another type of towel holder and a good scrub with bleach all over the walls.	
Sep 28 2009 	Excellent - Had a fantastic time!	Stayed at the Thistle for 1 night stay when visiting London! The concierge was great and nothing was to much trouble, as i did pester him alot as this was my first time in London!You should never judge a book by its cover, the outside of the hotel I'll admit looks abit shabby, but when inside is excellent!!Rooms were lovely, clean and spacious, and the breakfast was great. The hotel is central to pretty much everything &amp; Buckingham palace took about 15minutes to walk to, and there is a bus stop just around the corner. The only 1 thing i can say was the plug hole, was so clogged up with hair, i refused to use it, this can easily be solved!	
