	Pleasantly Suprised !	Stayed here while attending the ATP Tennis Finals at the O2 Arena. I booked the hotel for economy and practical reasons to be near our digs when leaving the o2 late at night.After booking ......I then turned to Trip Advisor (!!! Not the way its supposed to work ...read reviews then book !!) Half the reviews hated the place the other half satisified .We where pleasantly suprised , expecting the worst the hotel was well located and safe , front staff polite and helpfull.Room basic but definately clean ...especially the bathroom.Will use again .	
Nov 22 2009 	Excellent location and buffet friendly and helful staff	Went on the £19 offers travelodge is a very short walk to the docklands railway .Staff very friendly and helpful. The rooms was brilliant but our daughters did smell a bit stale Restaurant was excellent had drinks in bar first night and had a wonderful breakfast in morning, there was a que to get in but it didn't effect the quality and cleaness. I would definitly go back again.	
Nov 12 2009 	Don't bother!	Booked in here for 2 nights by the company we were doing some work for. Not our choice but we thought it would be okay. Until we arrived. The receptionist was rude and unhelpful, hotel dirty and smelly. Needs total refurbishment. Silly things like no TV remote were annoying. Bathroom grubby and shower curtain disgusting. Breakfast was a farce - so awful you had to laugh. They hand you a cold plate as you enter the restaurant so that you can plate up your own sawdust sausages, cold scrambed (we think) egg and goodness what else it was all supposed to be. The bread for your toast was still in its packet and had to be put through the toaster three times to get it a light toasting! Generally awful and we will definitely not stay here again.	
Oct 29 2009 	You get what you pay for a London bargain.	I wouldn't recommend this hotel to holidaymakers, but if you're on a short trip and need to visit the O2 or the Excel centre, it's perfect. Buy the breakfast online with a discount or get it as part of a deal with the room and it's a bargain. I would not pay for the breakfast at reception. There are facilities to make coffee in your room, which doesn't taste too bad. You can pick up breakfast snacks near the DLR or at the service station about a 5 minute walk away.If you do buy the breakfast, it's actually worth the money if you or your friends/partner like a cooked English breakfast. I just ate the croissants and muffins, but it was nice to have the choice, The trick to getting breakfast to yourself is to go relatively late in the morning, around 9:30 am (breakfast runs until 11!) That way you miss the morning rush on tube, anyway.There isn't really anywhere to eat around the hotel - but you are in London, so you could just get the tube and eat in some brilliant restaurants; we went to the Bento Cafe in Camden.The room is very basic and the fabric on our sofa was worn. There was limescale in the toilet bowl, but this is difficult to get rid of in London because Thames Valley Water is very hard. Otherwise, the room, towels and linen were all very clean. The rooms are also quite big for a budget European city hotel. The plumbing and shower strength are better than what I have at home.The staff are quite friendly, though we did get some funny looks when we left the room in fancy dress. The bar was open until late and was reasonably priced by London standards. The selection of drinks wasn't brilliant, but I've seen worse. Annoyingly, when there is a band playing at the O2, they will play music by that band in the bar all day. Green Day were playing when we stayed, and now I don't want to hear any Green Day again for a long time.I am someone who goes to London about 3 or 4 times a year on a tight budget. I have stayed in Association Youth Hostels before to cut costs. Although hostels are value for money, so is this place. If you book early enough in advance, this hotel costs only slightly more than some hostels and you get your own room and bathroom, instead of sharing with 5 strangers. I might not need that YHA card for a while!	
Oct 19 2009 	Not awful but by no means good!	We stayed here for 2 nights as it was close to the o2. It was basic which is the norm with a travelodge but i found the sheets had not been cleaned properly and the carpet cant have been hoovered as there was a broken finger nail on the floor. Parking was paid per day at the reception.Staff were ok. Bar served drinks till late and there were a few vending machines for snacks.Reception very busy and took a while to get checked in even though it was 10pm.	
Oct 11 2009 	A pleasant surprise	We were apprehensive after reading some of the reviews on here, but had a pleasant surprise. The room was adequately clean, the shower was hot and powerful enough and the bed was very comfortable but could have done with more/bigger pillows. It was very convenient for the DLR. Breakfast was busy but still very organised compared to other hotels we have stayed in. We also had an evening meal which was delicious and very reasonably priced. Would highly recommend as an affordable hotel for visiting London.	
Sep 21 2009 	HIDEOUS - Would not stay here again!!!	I have absolutely no idea where these positive reviews came from, they must have been a massive variance of room quality!!!!I stayed in room 28, ground floor.. Walking into reception the usual basic nature of a travelodge is evident with friendly reception staff....Walking to my room, the corridors are extremely old and dirty looking, at one point I could smell urine and this was to be only the start of the experience... Walking into my room the carpets were old and worn, there were stains on the wall that looked as though someone had either thrown food or something at it.... It was all extremely grubby not the usual clean but basic room (I have stayed in a lot of travelodges and other hotels)...The bathroom was horrifying, looked like a public toilet and there was only a shower - no bath with a manky old stained shower curtain... absolutely vile!The bar / cafe looked like a service station but actually the food was cheap and cheerful so all was not lost...Would not recommend this hotel the Holiday Inn Express - Limehouse is another budget alternative....	
Sep 14 2009 	A Pleasant Surprise	This place had come in for some criticism from other reviewers so I was slightly apprehensive about staying there, but I was pleasantly surprised. Yes, it's basic and there are more comfortable places to stay in London, but I'd have to sell an internal organ or two in order to be able to afford such accomodation. It's a Travelodge: you have to expect it to be basic. As long as it's comfortable, clean and the staff are helpful - all such criteria were fulfilled - you can't go wrong.It's easy to find from the DLR station (East India). Just cross the footbridge signposted for the town hall and it's just behind the big office blocks. It's a 2-3 minute walk. On the other side of the station, you have a supermarket that's open til 10pm (8pm on Sundays) where you can pick up some basic provisions. It's only six stops on the DLR to get to central London and the O2 Arena is just across the river, where you can find a number of restaurants and entertainment venues. All very convenient! The hotel has a perfectly adequate restaurant if you don't want to travel any further to eat. Again, it's basic, but reasonably priced.The only criticism I have to make is concerning the toilets in the hotel's restaurant. The Gent's toilet was in a particularly unpleasant state - obviously, I can't comment on the Ladie's loos - and that could really put you off your food! Otherwise, I enjoyed my stay and I'll definitely stay there again in future.	
Sep 10 2009 	Quiet and comfortable	Just a two minute walk from East India DLR station it's perfect for a short break in London. The food in the restaurant/cafe is average but it's handy if you arrive late and don't want to travel far for a meal, as there are no other places to eat in the immediate area. The O2 is a great place to go for something to eat if you want to avoid the busy city centre, with plenty of choice from Thai, Italian, Chinese, Pizza etc, and there's a Japanese sushi bar opening soon. The rooms are spacious and comfortable and the lobby has vending machines with snacks and drinks if you've forgotten to get something at the shop, and also two computer terminals if you need to check anything online. There's an outside seating area for smokers and some shelter from the rain if the weather turns. The staff are pleasant, friendly and willing to help if you have any queries. When i'm planning my next trip to London this is the first place i'll be checking for availability.	
Sep 6 2009 	Pretty Damn Good	Check in was very fast, Clean room ( Beds, Bathroom and Furniture ). Location ok, Shut the window and you can't hear any noice. Staff were good, Food was excellent ( Cheap &amp; cheerfull!!!!!! ). All round good experience.Overall have no complaints.Peace.	
Sep 3 2009 	Passable but only Just	Came down for a 4 day trip at the Docklands Travelodge. The hotel is based on what is really a nice Industrial Estate, if driving you need to be let in, to parkers in the car park try to stay to the right hand side as most of the vandalism is caused to cars on the left hand side (just past the bar). Reception will try to sell you the breakfast for £7.50 per head, dont bother with this as if you walk out of the hotel and bear right , take a right at the first park bench on the right hand side (5 min walk) you will find an Italian restraunt (very average but only £5 a meal), a newsagents (great for cheaper drinks (open till 6pm) and best of all a sandwich shop / cafe (open until about 3pm) -its just past the newsagents that does a superb Bacon sandwich for £2.50 or a full english for £4. There is also a store that does alcohol over the DLR bridge on the other side which is well priced and open until at least 10pm.The Hotel itself is basic, typical Travelodge fair and could do with some TLC, the room (stayed on upper floors) was of adequate size, bed was clean, seat was bloody awful and uncomfortable while the bathroom had some mildew and grot around the toilet and curtain, but just about acceptable.One major issue I found with the staff was that it was nearly impossible to get a replacement loo roll, in the end I gave up and bought a pack from the store, another thing I never understand is why you always only get 3 pillows, credit to the reception I got another when I asked (Although the first offered was dirty)All said and done its a basic but acceptable hotel if all you want is a base, just dont expect any frills or extras, ok for 2-3 days but any longer than that is pushing it unless you are on a very tight budget.Transport links are reasonably good with Canary Wharf being 10 mins away on the DLR and central London being about 20-25 away. I would say eat or bring something back as the bar is reheated stuff and not worth the elevated prices but there is not anything close bar the DLR to Canary Wharf (Heron Quays for the excellent shopping centre which houses Nando's, Tiffinbites, Burgers and the all great Wagamama (ate there 3 times :))	
