	RUDE STAFF REPULSIVE ROOM. NO CUSTOMER SERVICE. AVOID AT ALL COSTS. WORSE THAN A HOSTEL	This hotel has the rudest person in a customer service based job that I have ever had the misfortune to encounter. She lied, she accused me of lying, she was obnoxious and completely incapable of working in a hotel reception. No people skills and quite clearly no ability to deal with a genuine complaint. In our brief time at the hotel I hoverheard 4 seperate people making complaints about the facilities.We had booked 3 double rooms for a family break, as we were travelling seperately the others in the party arrived before my partner and I and had booked in. When we arrived we were told by the 'receptionist' that they did not have any double rooms left and that we would be in a tripple, she said that if we came down before 12pm the follwing day we could change our room to a double, we reluctantly accepted this, and made our way to the tripple room. The room was not what we would have expected from a travelodge (see photos). The bathroom was dirty and had dirty towels that had not been removed, there was a hole in the bathrooms door, the grout around the bath and sink was grubby, there was dry rot in the skirting and a disgusting brown build up of something unidentified around the join between the toilet and tiles, we had no soap, the plastic disposable cups had clearly been used by the guests before us (toothpaste stains etc) The dressing table/desk had no chair, there were what looked like brown liquid stains all over the walls from top to bottom (god knows what happened in that room?!?!) there were what looked like either vomit or hot chocolate stains down the side of the tv unit and finaly there was mould around the window. DISGUSTING. AVOID AT ALL COSTS. THE PHOTOS POSTED BY OTHER REVIEWERS ARE NOT REPRESENTATIVE OF ALL THE ROOMS IN THE HOTEL. ONLY SOME OF THE FLOORS HAVE RENOVATED ROOMS.As suggested the night before we went to reception to ask for our room to be changed, The receptionsist (a different one) said that this was fine and told us to pack our bags in preparation for the move. We were told to come back in the afternoon and our double room would be ready. When we returned the original rude receptionist was back on duty- to cut a very long story short - our double room was not available, she denied that the person we spoke to in the morning even existed, then when countered about it she said the woman didn't work there!!!! She denied that she had told us when we checked in that we could swap rooms, and basically accused me of lying and making it all up. The hotel was overbooked so our option was to stay in the room we had or to find another hotel. It appeared to be ok for the hotel to give someone else the double room we had booked and paid for before arrival but she refised point blank to give us a double room that someone else had not yet booked into even although it meant splitting up a party of 6 . In the end two of us had to move to another hotel. She arranged for us to be picked up by taxi and moved to another travelodge. As it turned out the taxi was unmarked and the driver dropped us off 10mins away from the travelodge. We had no idea where we were going and had to hail a black cab to take us there. When we got to the second hotel they had no record of us being moved! We had to wait an hour before the deputy manager was able to give us a room. He had to sort out the mess. I am not fussy, I expect a room of the standard that is being paid for, we paid £59 per night (room only), cheap by London standards. I was not expecting a palace but I was expecting to get a double room, get a clean room and have staff treat me with a bit of respect and dignity as a paying customer.	
Nov 23 2009	Good choice for those on a tight budget	Staying at this hotel is cheap and allows you to eat breakfast without using money outside, a definite plus for those who want to minimize spending. Breakfast consists of typical English food with the likes of baked beans, scrambled eggs, sausages, bacon, etc. The room was adequately spacious and contains a wardrobe, desk + chair, large mirror and a television; towels are provided in the bathroom and can be changed daily / every 2 days depending on personal choice. My only complaint is that the window (which you slide upwards to open) kept sliding closed on its own due to gravity. In the end I had to slot a bottle underneath to keep the fresh air circulating in - but otherwise, my stay at this hotel was good, not to mention the close proximity to King's Cross St Pancras Station!	
Nov 19 2009 	2 nights without any sleep	The single beds in this place are no wider than 2 and a 1/2 foot, the mattress is made out of, what felt like, 3 blankets layered on top of each other. The staff are pathetic, they didnt have a clue about anything. The noise from outside traffic was unbearable too. They charge £1.00 for 20 minutes of internet. Rip off. The bathroom was built for the Hobbits, come to think about it, so was the bloody bed. Avoid. Avoid. Avoid. Avoid. Avoid. Avoid.	
Nov 17 2009 	Fine with us	Stayed at the Royal Scot between 13 - 15 November and thought it was ok. Only paid £100 for 2 nights accommodation and return train from Aberdeen so was not expecting anything spectacular. The hotel is only a 5 minute walk from Kings Cross station/tube so was ideal. Our room was rather small but was ok for the 2 nights we stayed as we were too busy during the day to be in the hotel. Could have been given more towels but we just took some from the cart in the morning. Hotel has internet access but no printers i'm afraid. Didnt eat in the restaurant as wanted to try out the restaurants in the city but there seemed to be a good choice (whether it was nice was another question). Dont worry about being cold in your room, the windows dont open so we were very cosy!!! Would go back again for cheapness.	
Nov 12 2009 	Not as bad as I expected Clean and warm.	I stayed at this hotel when visiting the city for two nights ((9th-11th November 2009). I was pretty concerned from the reports that I had read about the hotel as I would be travelling alone. But as I wasnt planning on spending too much time in the hotel I thought I would give it a go. I was given room 4 which was actually a disabled room on the ground floor. It was situated right behind the lifts and overlooked the main road. Surprisingly there was no noise from the lift or the road, it was the idiots that were shouting by the lifts that woke me up on several occasions (4am was one delightful wake up call). The room was a little grubby in parts and could do with some updating but no worse that any other travelodge or city hotel that I stayed in. One point I should mention is that I found the room to be incrediably hot and the heating gauge that was in the room was too complicated to work. Towels and linen were very clean and I have no complaints about the staff, who although direct were polite and helpful whenever encountered. The location of the hotel is also good, around 5 minutes walk from Kings Cross station. The area immediately around the hotel may cause you concern as there are some `interest` shops, take away, cafe, etc around. My friend who lived in the area whilst as Uni assured me that the area was safe enough by London's standards. All in all, I thought that hotel had previously recieved some bad feedback that may not be completely warrented. I would be happy enough to stay here again. Like others have said, you get what you pay for.	
Nov 10 2009 	Basic but clean	It was a last minute decision to book 2 nights stay in Travelodge Kings Cross..we preferred the other one that's nearer to the train station but it was full so we settled for this one located slightly further down the street. It's a budget hotel, so nothing much was expected. I don't particularly like the lifts, it's so small and old! Room is fine, clean, with tea/coffee tea amenties, towels and soap. One thing was I was impressed was on our 2nd day back in the afternoon, our room was all clean and made up. I don't really expect that from a budget lodge. It takes a good 10-15mins walk to the train station and I won't advise travelers to take the train if you plan to go out till late at night and have to walk back to the hotel. Take the cab :) which we did after a great night out in town, much safer especially for girls as it's quite a quiet area to walk back from the train station. The view from our room was pathetic, we see the back of the buildings with rubbish piled up high. And it was really noisy due to some work going on that woke us up by 7-8am. Although I'd say if you're on a budget but wants a decent place to sleep and take shower in, this will be it. No frills, but good enough since you'll be out most of the time anyway. Staffs aren't that friendly though, rarely see any of them smiling, they're robotic. No complains, but no huge compliments for this hotel either.	
Nov 2 2009 	cheap and cheerful	My boyfriend and I stayed in this hotel from 30th October-1st November and I was expecting something really terrible, there are some reviews on here which paint this place as being a dump. I was pleasantly surprised; our room was clean and the bed was really comfy. There was also a TV which had a music channel so we could put some tunes on whilst we were getting ready. The best part was being so close to the tube, the hotel is 10mins away from Kings Cross station.The room had air con and a heater, so it was never too cold or too hot. The bathroom was basic- but at least it was clean, that's the main thing! The shower was nice and hot, but I must admit was ABSOLUTELY FREEZING on Saturday morning (get up early before all the guests have used the hot water!) I came out with blue fingernails because I was that cold! Least it woke me up though!We had (mainly) peaceful nights sleep, but you can hear a lot of police sirens and fire engine sirens in the night, but that is expected in a city as big and as busy as London. No traffic noise either, surprisingly the road outside of the hotel is relatively quiet.The shower in the room next to us made an awful noise whilst it was on, sounded like a dying dog- so were woke up early on the mornings when the people next door were showering. The view wasn't very scenic either, looked out onto the yard full of overflowing bins- but that doesn't really matter when you've come to London to go sight-seeing!The staff were helpful enough, but a lot of them don't speak English very well.The only criticism I have of this hotel is that we had to pay £10 to get into our room before 2 oclock when we arrived on the Friday (when we were told the room would be ready). I think this is disgraceful, if the room is ready for use before then why should you have to pay extra?!?We paid £102 each for return train tickets and 2 nights stay in the hotel, and it is absolutely worth it. The hotel (from my experience), is basic, clean, secure and warm- which is all you need if you're only using the room to sleep and shower. Will definately be going back!	
Oct 19 2009 	No so bad as axpected	Stayed at this hotel 15/10-18/10 2009. Reception was OK. The room was large, clean, bathroom OK. Streetnoise was loud, but that you must expect in a big city. No noise from other guests. Not the worst place to stay - but the breakfast was a mess. At some times guest was standing in a long queue just to enter the restaurant. Then another queue for coffee, for toast, for juice. But with a bit of patience you could get something to eat. if you don´t want to spend much time or money on the hotel, this place is OK.	
Oct 17 2009 	Basic but clean	Stayed at the Travel Lodge Royal Scots on the 9th October for 2 nights with my husband, brother and sister-in-law.... Hotel is not the best looking Hotel and looks rather dingy..a bit grubby in the lobby and not very well lit. Check in was quick and after being directed to our rooms we went for the lift ( no stairs) 2 lifts ( 3rd one out of order)that need to be up dated our room was on the 2nd floor but after getting out of the lift and following directions we ended up in what only can be described as the basement.... however even though on street level there was no noise. The bedroom was small, but the bed and bedding were spotless the bathroom was in need of up dating even a bit of grout in the tiles would of made a difference on the whole not a bad place to stay, would stay again..... its not 3* as described for value its o.k ...easy to get to the tube and taxi's are just as cheap to travel by , the tube to the west end would cost 4 of us £16 it only cost us £8 in a taxi....	
Oct 16 2009 	Basic but OK	Styed for one night with a friend who arrived at King's Cross station. Close to the station, so easy enough for getting the tube into town, room was OK if basic but clean. Didn't have breakfast there - can highly recommend the Guzel cafe on Gray'ss Inn Road towards King's Cross station though.	
Oct 15 2009 	OK Budget Hotel - Forget The Breakfast!	I booked this hotel via the Asda Travel web site as it was cheaper than Travelodge's own site &amp; included a 'Full English Breakfast' which Travelodge charge £7.50 extra for. The hotel reception area has more of hostel feel about it than hotel. It is a good 10 minute walk from King Cross Tube &amp; the surrounding area is rather run down. The public areas are well worn &amp; quite scruffy. Filled with doom &amp; convinced I'd made a mistake I was pleasantly surprised with my room. It was clean, comfortable &amp; well presented. Everything worked (TV, Kettle etc...). The bathroom was clean &amp; had a good shower &amp; plenty of towels were provided. The double bed was comfortable, the linen clean &amp; there were extra pillows available. I was very pleased with myself - all for £57.50 (via Asda Travel) including 'Full English Breakfast'. What really let this place down was however the breakfast. There was no coffee in the self serve machines. The buffet style breakfast had no egg or sausage left &amp; the platter of bacon could only be described as a congealed mass of grey fatty meat - no wonder it remained untouched! It is a real shame that Travelodge lets themselves down in this way - a lick of paint &amp; tidy up in the public areas &amp; the so called 'full' breakfast sorted &amp; this would be a great hotel. There is a nice looking Italian restaurant very close as well as Mekong Chinese take away who do dinner boxes for under £4 which is great for solo travelers...	
Oct 13 2009 	Worst hotel ever- avoid at all costs	The hotel is basic in the extreme (primitive actually), rooms are grubby, breakfast room on the first floor has to be seen to be believed - total shambles. The night we stayed the hotel was over run with Spanish students running all over and slamming doors till about 5am. If you value a wink of sleep at all, do yourself a favour and stay somewhere else. Total disgrace.	
Oct 10 2009 	Revolting	Title says it all, do not stay here! Dirty, smelly and staff couldn't care less.	
Oct 9 2009	Wont be back - poor hotel!	Went with a group of friends, shared a room with my husband. The rooms are not cleaned, bathroom was dirty and not cleaned, was given dirty bath towels covered in blood - yeuck!!!! Bedroom window did not open, so had no fresh air and room was very smelly, also mattresses on beds were the worst ive ever slept on. Breakfast was £7.50 EACH and was cold buffett style stuff thats been sitting out for agaes. Toilets at reception were also horrific and covered in sh!t. Only good thing about this hotel was the location, but id rather pay more for a cleaner hotel.	
Oct 8 2009 	Good enough for me.	I was in London with my class from Norway. We were all together 28 people. The location of this hotel suited us well, considering that we were always going somewhere. Having Kings Cross/ St. Pancras so near was also convenient while coming with Eurostar from Paris. The hotel was also close to small supermarkets and pubs. Near Kings Cross we were able to find Starbucks and KFC.The staff at the hotel were a bit mixed. You had the receptionist who wanted to help you, but didn't know much, so you'd end up finding it out on your own. And the breakfast ladies were a bit &quot;sharp edged.&quot; You didn't want to make them angry, then there would be no breakfast for you. We had ordered a continental breakfast. So we were not expecting too much. There was bread and a toaster, jam, coffee, tea. And some cereal if I can remember correctly.The rooms were OK. I could only find two negative things about it. In my friends room the window was open when they came, and they were not able to move it one millimeter. It was stuck, so their room was pretty cold. The second thing was that we could hear this screaming noise every time we opened the water tap. It was a bit annoying, but it made us have quicker showers, so maybe it was a trick from the hotels side:) I could hear what was going on outside my room, in the hallway. But I guess I shouldn't say so much about it, considering it was my classmates that mostly were making the noise. You could always ask for a quiet room, and I am sure the receptionist can put you in a room far away from big groups.All in all I was happy with the hotel. We had to use our card keys to get to the elevators, that led to the room, but that only made me feel a bit safer. I would not mind staying there again if I go to London on a later occasion.	
Oct 8 2009 	Comfortable and clean for a one night stay	We stayed at the Royal Scot for one night before going on holiday. It was only a five minute walk from Kings Cross, the room was very clean and warm and I couldn't fault it for a one night stay. It certainly appealed more than some of the one or two star options that seemed to be available in the area.The down side was it was incredibly expensive (but everywhere is in that area) and there was a bit of noise from people's doors banging shut.	
Oct 6 2009	GOOD	Considering a good price, I think this hotel was very good. The rooms were totally fine. Clean and simple. With a location not far away from Kings Cross, it’s pretty easy to get wherever you want. The hotel offers internet for 20 minutes for only one pound. And the guests could stay in the restaurant, even without buying anything. The service was good, with a pleasant staff. Therefore I would like to recommend this hotel for those who doesn’t need a luxury hotel, but a nice hotel at a decent price.	
