	Avoid Avoid Avoid	Stayed at this travelodge for 1 night 27/11. Tried to chek in at 1pm to be told check in is 3pm and there is nowhere to store your baggage unless you pay £10 early check in charge which i paid as had no alternative. On our return to our room at midnight after seeing a show we were settling down to sleep to find a Mouse on the edge of the sofa bed. We were eventually moved rooms and did have some money refunded the next morning. The hotel is disgusting, please everyone avoid at all costs ! We were told by the manager the mice are an ongoing problem due to building work and pest control have attended and thought the problem was sorted. Obviously not !	
Nov 23 2009	Try somewhere else	I booked this hotel for a large group for a weekend, We arrived to find out that they wouldn't store our luggage, after about 10 minutes of trying to get some help from them, they told us that we should take our bags to the Station (£8 per bag) - we had to do this! More examples......*) In the family rooms they didn't give enough breakfast vouchers and it took a request to speak to the manager to finally get the correct amount.*) In the evening after watching a show I wasn't able to get into my room as the keys didn't work and I didn't have any ID on me.*) Not enough towels in the rooms etc etc etcRooms were ok, the bathrooms were dampThe floors were being washed with the dirtest bucket of water i've seen in a while.It may have been cheap but you can get the Premier Inn etc for the same kind of price and thats where we shall be staying for next years stay	
Nov 21 2009 	Don't let a good location fool you in to thinking this is a good hotel!	woken at 3am management did nothing to stop a crowd of people screaming and drinking in the hall.Accidently pulled the disabled emergency cord in the room adn it took 20 mins for anyone to turn up, lucky it was an accident and not for real!Business friendly hotel with no Iron to loan out, get real!Very strange and disturbing smell in all hallways.Poor breakfast.Shocking for £100+	
Nov 17 2009 	Lift STILL out of action more than a year on!	A pretty typical Travelodge, worth booking if you can get a very cheap deal, but certainly not worth the full rate.For anyone who's been following the broken lift saga, you might want to know that it was out of action yet again for the whole of last weekend - with a notice put up (see photo) apologising, but pointing out that there's been a warning on the website for more than a year. Does it really take that long to fix a lift? No joke if you're having to walk up 6 floors.There's noise from the trains, as others have pointed out, and there's a warning on the website about noise from the building site next door. The room wasn't filthy, but could certainly have been cleaner - I can just about live with someone else's toe nail, but nasal secretions on two of the walls really should have been dealt with!The LCD television works fine, though it's difficult to see why Freeview channels aren't provided - they are free, after all. And why no Radio 4?The bathroom was fine, if a little damaged and mildewy. The fixed shower head is hopeless, though, particularly for women and people with children.As always, the window won't open beyond a few centimetres, and it would make the room unbearably hot in the summer, or even the spring and autumn. I know it's supposed to be a health and safety issue, but how would anyone get out in the event of a fire?In summary, it's a Travelodge. Good value if you can book a cheap room in advance, but you have to be prepared to accept the limitations. I think the non-opening windows are a serious risk to life, though.	
Oct 27 2009 	Another Good Stay	This is my second review for this Travelodge. I booked this room for £19 when they had the sale on in April. This time i took the family so had the family room. Check in was a breeze, the room and sheets were clean. We had a first floor room so can't comment on the lift as we used the stairs. If i had to be negative there were 3 cups in the room for 4 of us, we only had one pillow each and the stairwell smelled as if someone had thrown up in it recently (can't blame them for their guests antics ). Didn't use the cafe on site as we walked to mcdonalds for breakfast at Liv st station (5 mins away). I'd go back again for the right price as it meets all your basic needs.	
Oct 15 2009 	Reasonable budget hotel in good location	You will be pleased to know that the lift has now been fixed! Not bad for a budget hotel in London. Reasonably priced for London at £85 (92 euros, $137 US) for a double room. There was a mild damp smell, but not too all-pervading and the staff seemed to occasionally spray fragrance to get rid of it. The receptionist was friendly and efficient and the room was clean. I was in room 615 on a Thursday night in October 2009. There was no telephone in the room, but there was an electric kettle, coffee, tea, milk (Milk Maid “tastes like fresh milk”). The bathroom had a shower (no bath), no plug in the sink, and a small bar of soap was provided. The television had the 4 main terrestrial channels, BBC1, BBC2, ITV, Channel 4, but no Channel 5. Close to local food shops, cafes, pubs and bars.	
Oct 10 2009 	£40 - Great Value and location	I spent 1 night at this travelodge. All the usual stuff. Very good on reception. Chose a family room which was hugeGreat location for city sightseeing or business very close to Liverpool Street. Plenty of shops and eateries close byQuiet and comfyDef stay again for an overnight Make sure you take all of your own toiletries	
Oct 7 2009 	Grand spot - hotel little run down though	This is very central hotel, very near liverpool street station. Little hard to find and next to some social housing area. The hotel is relatively new but does not appear to have been kept in great condition. Lift was broken and odd smells around. The rooms are very very basic and do the job ok. They are clean but show signs of age and wear. Generally not much specifically wrong but could be better.	
Oct 7 2009 	Cheap But You Get What you Pay For Here!	I have stayed at Travelodges before so I knew what to expect, but this didn't even meet any of them. Arrived earlier than the 3:00pm check-in so wasn't expecting to have a room but was told we couldn't leave our luggage any where unless we paid £10 for early check-in, which we had to do as we weren't likely to return until late at night. When we got to the room it was very bare with no pictures on the walls, the carpets were dirty and the room had a musty smell. The bathroom was no better, the shower was dirty and I didn't need one of those ultra-violet lights to see the dirt on the toilet seat and bowl, as you could see the streaks all over it. We wont be staying here here again!	
Oct 1 2009 	Cheap nice location	It was Cheap and in a good location although the hotel itself smelt quite stale. like it hadnt been cleaned in a while or it was cleaned with dirty equiptment.	
Sep 29 2009 	Excellent Value!	I have just returned from a 2 night stay in Travelodge Liverpool Street in London. After reading some of the reviews on here, I was a bit nervous about my stay. How wrong I was. From the minute we arrived to the time we left, we had a very enjoyable stay.The staff were great, not intrusive, but helpful when you needed them. Check in took less than 2 minutes, and of course the lift was out of order and we got a room on the top floor! But, the advantage of this is it put me off going for a cigarette once i went to my room!The room was very clean, as was the bathroom. There was a flatscreen t.v , with decent channels too! The bed was very comfortable and although the room got a bit warm at night, you just kck off the duvet and hey presto! you cool down! I think that this is a simple hotel for people looking for a cheap comfortable stay in London. It's pretty central, less than a 10 minute walk to London Bridge, and Liverpool Street Station is a 2 minute walk and you can get anywhere from there!Don't let the cheap price put you off!! This is a great hotel!!	
Sep 18 2009 	ONLY AS A LAST RESORT!	We are used to Travelodge and usually know what to expect - basic but clean, with pleasant staff. Hmm....this Travelodge did not live up to expectations. It was very smelly (damp, dirt, cigarettes), it was quite run down and the staff not very bothered. On our arrival the lift was broken so we were moved to a room on a lower floor which was nice but on heading up the stairs were greeted with dirty linen being thrown down the stairwell be cleaning staff!!! Anyway, the room was ok. Again, quite run down. The area is a bit scary. I wouldn't have wanted to be out alone. It was probably only just worth the £19 we paid for the one night and I would only go back if there was no-where else to stay in London!	
Sep 15 2009 	Not as good as some other London Travelodges	I've stayed in a few London Travelodges - Covent Garden, Marylebone and two near Kings Cross - and this is the one I'm least likely to return to. It's easy enough to get to, but situated in dark, quiet streets just off Petticoat Lane - not the best area to wander around at night. The corridor smelt strongly of damp, there was litter in the lift in the morning, the room was a bit worn looking in places and the bathroom smelt of cigarette smoke. Not all of that is the hotel's fault though, and we only paid £19 for a surprisingly quiet double room which was terrific value.	
Sep 10 2009 	Very disappointing!	Have used Travelodge a lot in recent years because you know what to expect - nothing fancy, but clean and comfortable. However, this one failed to live up to expectations. As other reviewers have said, the lift was out of order (and we were on the 5th floor); My husband and I had to share a towel the first night as there had been a problem with the delivery - new towels didn't arrive until the next day; Room very hot - so we had to leave the window open - which meant that we were woken at 5am both mornings by lorries outside the window and the sound of trolleys being loaded/unloaded. I don't think this was from the building works - but maybe it was the towels being delivered! We paid extra for breakfast and evening meal. Whilst there was a good selection (and quantity) of food for breakfast, the 'hot' food was left standing under heat lamps and was lukewarm at best. However, the main problem was with the evening meal. The first evening there was no one around to take our order. My husband went down to reception and eventually someone came up to take the order. We couldn't have what we wanted because the fryer was broken - so we opted for Steak &amp; Ale Pie. Fine - except there were no peas and no alternative veg - so we just had pie &amp; mash. I ordered Banoffee pie for pudding. When it arrived it was frozen solid. I took it back to the kitchen and complained (nicely|) that it had not been defrosted. I was told it was meant to be like that and that was how they were trained to serve it.. and they offered me a knife to cut it with!! The second night the menu was reduced even further to either pizza or curry! I wouldn't have bothered booking the meals had I known - they definitely were not value for money. The final straw was cold water on the last morning of our stay because the boiler had broken.Whilst you could say that the hotel staff can't help it if things break down -and if it was only one thing at a time it would be bearable - it didn't appear that a great deal of effort was going into resolving the issues. As someone else said, maintenance doesn't seem to be high on the list of priorities.	
Sep 1 2009 	You get what you pay for!	When I arrived the first day there was a notice up saying the lift was broken. I didnt mind, I was aware from other reviews that it never worked!Woke up second day to see a notice saying that due to an accident there was a shortage of linen and towels for that day, but more would arrive later - and they did.Third day, yet another notice, this time saying that the hot water was broken and would be fixed shortly, if not we would be moved to another hotel - Thankfully it was fixed!Also, when we decided to try the restaurant, they had no food, except for curries!And the rooms were roasting, the window was kept open all week and the quilt was abandoned, using just a sheet instead!But these things didnt bother me or spoil the trip.. I just thought they were hilarrious!The staff were friendly, rooms were clean and food was good. Also, its really close to Liverpool St Station!And that's what matters... Right?	
Aug 25 2009 	An Underated Location; usual Travelodge (sub) standards	Right - I dislike Travelodge as some of you may know but I really couldn't complain about this one for £29 for the night (Sunday). I chose it because it is only a 20 minute night bus from Vauxhall (I was going clubbing) and it is dead close to Liverpool Street Station - on the Central line and just a couple of stops on the West End. It is literally a two minutes walk away from the station in a quiet street.It is also close to the gateway to the East End - Shoreditch, Brick Lane, Hoxton. Shabby chic personified just a stroll away.The hotel is as unpredictable as all the other Travelodges I've been to. The lift was out of order and there were several panes of smashed glass in public areas. In my rooom there was a huge dent where door had slammed open and there was a bedside cabinet missing with only the drill holes to show for it. None of this really bothered me but I'd expect more if I had paid more. That said the room was clean and quiet and had a flat screen telly and there was an occasional mechanical chugging noise but then I always carry ear plugs with me....as some of you may know already ;-)	
