	Was close to work was the best reason for being there	Room was finished to a terrible looking DIY standard. Shower curtains were marked, windows full of condensation and bottom of loo was brown. I had noisy room at the front onto main road. Wouldn't go back unless it was my last resort (and then I'd pay more to go elsewhere and travel into the office from further away.	
Nov 24 2009 	Depressing. Worth paying a bit extra and going elsewhere.	The room was grim - there were brown burn marks on the shower curtain. It was clean though. For central London the hotel was cheap and the location was great. However, for what you get it wasn't good value for money and I would definitely prefer to pay an extra £20 and stay somewhere less depressing.	
Nov 17 2009 	Good value although not many facilities close to hotel	The hotel is fine, clean and basic but that's all you're paying for with their low prices. There was TV, tea/coffee and towels in the room. You have to provide your own tolietries and hairdryer but they tell you that in advance on their wesbite. The staff were fine and the buffet breakfast was nice enough.Biggest disadvantage is the fact that there are little to no bars/restaurants close by, we arrived late on a Friday night and the only place we could find was at Baker St and at that it was a kebab shop!!Would recommend if you were sure you weren't going to need a meal near the hotel!	
Nov 10 2009 	Depressing!	A long overdue review... Booked the Travelodge due to proximity to LBS (was attending a course) and value - sadly by the time I booked there was no early bird rate and I paid full price. Being a hotelier, wasn't expecting much in terms of service and luxury...but was depressed when I walked in the room! The size of the single room is appalling - like entering a broom closet! The plumbing needed dire repairs - nauseating smells even when bathroom was not in use... and mattress was super-uncomfortable. Missing amenities were not replenished and had to ask to fix the electronic key everyday. Only saving grace was location...but would never stay here again.	
Oct 24 2009 	Great value hotel excellent location.	After reading several of the reviews here I was really worried, however please note that since the majority were written this place has obviously had a real makeover. The staff were all lovely, friendly and helpful, The corridors were spotless and the room was a good size and obviously very clean and newly decorated. This is easily the best Travel Lodge I've ever stayed in. The bathroom had a real bath, not just a tiny shower cubicle and was tiled and newly painted, it was also very clean. The bed was very comfortable (some Travel Lodges have terrible beds that collapse when you lay on them) and the sheets and towels were clean and fresh. There was plenty of tea/coffee/milk provided.The only complaint is that it was late October and the heating still hadn't been switched on in the building. It was a little chilly in the room when I went there to relax for a couple of hours in the early evening but, surprisingly when I returned from my night out the room seemed much warmer so I didn't need the extra blankets the helpful man in reception had offered me when I asked about the heating.Anyone who complains about lack of toiletries and size of the soap bar is really just being petty. This is a Travel Lodge, you get what you pay for and who needs a large bar of soap when you are only sleeping overnight in a room?I would recommend this hotel to anyone who needs a really convenient (right next to Marylebone Station) London hotel at a low price.	
Oct 18 2009 	OK but a bit tatty and not usual Travelodge standard	Stayed here for the location - right near the tube station, near Baker Street with all its restaurants, easy to find, Marks &amp; Spencers near it open till late. Friendly enough man on reception. But although the room was large, it was a bit too plain and empty. Double bed, with clean sheets and one spare pillow. Kettle, two t-bags, coffee sachets, milk. Small TV on wall. Two large clean towels, in a tired old bathroom, which was a bit dirty, very old fittings, badly added sealant around bath and paneling falling apart in places. No hairdryer. Small bar of soap and two plastic cups at the sink. Nothing special. A place to hang up clothes, but no drawers. A desk and chair. I wouldn't go back again - expensive for what you got. Really nothing special. And the fire alarm that went off my mistake on Sunday morning at 8:30, then again at 8:40 didn't help much... and we weren't even sure what to do.. it was only on for a few seconds each time, but enough to wake us up!!	
Oct 15 2009 	Hotel Review	great value for price, given that it is perfectly located in the centre of london, and is few min away from all nice streets, oxford,etc...	
Oct 14 2009 	Convenient location	Pros: Excellent location right off the Marylebone Underground stop. There's a small Marks &amp; Spencer grocery store nearby so we were able to buy food conveniently. The room and bed were large and clean, but pretty bare-bones. The food prices in the restaurant weren't bad, either.Cons: We had to ask for more towels twice and ended up having to take them up ourselves from the front desk. We had to pay 10 pounds for early check-in because there were no left-luggage facilities and we didn't want to sit around in the lobby until 3 PM. As it was, I had to leave our luggage with my fiance and go get us sandwiches from M&amp;S while we waited another hour for our room. And there's no internet in the rooms - just 2 computers in the lobby which charge a pound per minute.And maybe it's just the British version of customer service, but the staff didn't exactly wait on us hand and foot. However, when we got our bottle opener stuck in a bottle of wine, the bartender laughed and opened it for us.Bottom line: handy location, not the best value, plan your arrival time carefully.	
Oct 9 2009 	One of the better Travelodges	Stayed for 4 nights in total either side of a Holiday from Heathrow (cheaper and easier than staying &quot;on airport&quot;) Staff friendly enough for London. Given a largish room overlooking the side of the station.Clean modern and functional.The king size bed was a little of the cheap side( mattress) but slept ok saying that.The best thing about this place is its so handy for the station and more importantly the tube(when you have suitcases!) Its roughly 15-20 meters from the tube to the hotel. There is an M&amp;S in the station so very easy grabbing a couple of croissants for breakfast without forking out £7 ish for the hotels breakfast.Defiantly one of the better Travelodges.	
Oct 5 2009 	Shocking customer service - went from being a great stay to a terrible one!	We stayed in Travelodge Marylebone for 4 nights in September. We had booked a few months previous online, booking their saver rate rooms for a great price. It wasn't the easiest booking system to use - you couldn't just punch in your start date to end date for the cheaper rooms - you had to book each night individually and hope you were given the same room for the entire stay. We thought we had booked four nights, but somehow managed to only book three. Problem was that we weren't aware of this and nobody let us know until 4pm on the day we were supposed to leave! Yes, I realise this was our mistake, but when we checked in the receptionist asked how many nights we were staying, we replied 'four' she then went on to say 'so checking out on Tuesday 8th' which was correct so we had no reason to think that we had booked wrong.Each day we had to go back and get our swipe key reprogrammed which was no problem. On the Monday (the day before we were leaving) we got back at 3pm, got our key reprogrammed and went back to our room. We realised we only had one towel, so my friend went back downstairs - she came back a few minutes later saying we weren't booked in for that night and if we didn't pay £100 for that night straight away we would have to leave and pay a late check out fee. I found this very confusing as just an hour before we had been at reception getting our key reprogrammed and nothing was mentioned!We went downstairs and spoke to the girl on reception who was extremely rude to us, so we asked to speak to the manager. The manager has obviously no idea of customer service as he too was extremely rude, raising his voice several times, all in front of other customers. We admitted that obviously we had made a mistake with our booking, but we couldn't understand how it hadn't been picked up until late that afternoon - if we had been told at check in we could have easily arrange alternative accomodation for the last night. At 4pm though, that was a little trickier. He would accept no responsibility despite us being told at check in that we were there for 4 nights. He told us that the receptionist would have had no way of seeing how long we were booked in for (??) and she would have taken our word for it! In the end we had no choice and had to pay for that night's accommodation. He would not budge on the price, charging us the walk in rate, despite us having stayed there for the previous three nights.As with other people who have reviewed this hotel, I found making a complaint extremely difficult, and all I got in return was an email from the manager saying he did not mean to come across an confrontational. No apology and nothing to try and smooth over the situation.This hotel went from being in our minds a great one - because it does have a lot to offer in terms of location, price etc. to a terrible one. I would never stay here again based on the extremely poor customer service.	
Sep 23 2009 	great staff	stayed here september 21st firstly this was the cleanest travelodge i have ever stayed in and the staff were really helpful and friendly the lady even called &quot;thank you for staying with us&quot;.we check in early and paid £10 extra and it was nice the receptionist gave us a option of floor.After a small mix up with our room we were offered a free breakfast.breakfast would have cost £7.50 each but I must admit the breakfast was not too good.we would not want to pay £7.50 , when theres a wetherspoon pub at baker street 5 minutes away serving breakfast.all in all will good back its a great location right near madame tussauds and only a 10 minute walk to oxford street.	
