	CLEAN GOOD LOCATION CHEAP	Stayed in London travelodges before, but never on the South Bank. This was an excellently located hotel, 100 yards from the tube station of Southwark and a 5 minute walk to the Thames. Great base if you want a bed for the night clsoe to the amenities of London town.Reception staff very helpful.	
Nov 26 2009 	It is what it is 	Stayed one night in late November at a pre-booked rate of £81 inclusive (~$135). Selected the hotel as it was close to the meeting location. It is what it is and does it well - basic room, comfortable bed, working shower/toilet, and clean. The location is good, parking (expensive - but it is London) around the corner, a convenience store next door and two pubs across the road. Small flat screen TV and a desk area with convenient power sockets. Coffee and small kettle in the room. The only point to note is they do not provide shampoo and it's very expensive in the convenience store next door!Didn't use any of the hotel facilities - there is a restaurant and bar area and they provide breakfast. It was just somewhere to sleep for the night and it worked well for that. I think, for London, it was good value and I'd have no problems in staying there again.	
Nov 23 2009 	Bad timing = poor value for money	Our timing was poor as we came off a transatlantic cruise and wanted to visit the UK. Best location we could find but for 85GBP per night it isn't worth that. With our exchange we are talking $150 per night. Everything in London was expensive and no hotel was a bargain. Having said that, the location was excellent for walking over Tower Bridge or west to other bridges. Typical Travelodge only entrance starts with an elavator then up-to-second floor for the lobby. Breakfast was mediocre and too expensive for what you get. Still a great England visit but not a value-for-money vacation.Many booked early and paid 29GBP which is a steal but we paid 85GBP and that is left. would be happy with 30-60GBP with better timing.Cleanliness, 4	
Nov 20 2009 	Excellent Value for the money.	We Stayed here for a long weekend (thurs-mon) &amp; had no complaints whatsoever, we got a double room of a bargain price of £33 per night (breakfast not included). The room was very clean &amp; was cleaned daily, the bathroom was immaculate, there were tea &amp; coffee making facilities &amp; we had a flat screen tv with freeview. The staff were helpful &amp; polite &amp; we had a great stay. We did have a couple of evening meals there which were very nice &amp; good value for money. The only down side was that when we checked out there was no facility to store our luggage but it did clearly state this on the website, also the view we had was of a railway track but this didn't bother us at all &amp; we didn't hear much noise at night as there is very good double glazing, so all in all an excellent stay.	
Oct 29 2009 	Definitely would stay here again	My wife and I stayed here for 6 nights over a period of about 2 weeks in March 09. We got a great deal of only 19 pounds per night,so we ended up paying less than 120 for all 6 nights. Try and beat that anywhere. The first 3 nights we were in a room high up overlooking the railway line to the rear of the building. I had read reviews on this hotel before and some people made out like the trains would keep you awake. Not so,you could hardly hear them,and i am a very light sleeper. On a scale of 1 to 10,it was only about a 1 on the annoyance scale.The rooms are what you expect from Travelodge,especially a newer one like this : basic and clean. Not huge,but plenty of room for 2 people with their 2 big suitcases,and considering we spent most of our time out and about,it does not really matter.Small TV on the wall,kettle for making tea and coffee,the shower was good,plenty of hot water. The location of the hotel itself might seem to be far from the centre of London,but once you get on the Jubilee Line,you're less than 10 minutes away. So you could leave the hotel and be in the city centre 15 mins later. Waterloo station is only a 10 minute walk away too,which was useful, as one of the weekends we stayed,the Jubilee Line was closed on our section of the line for engineering work,so we used Waterloo instead,no big deal.There are also bus stops close by on Blackfriars Road near Southwark station.There is a very handy convenience store right next to the main entrance. You can buy sandwiches, snacks, beer, magazines and a whole bunch of other stuff. I forgot my toothbrush,so picked one up here.There are some bars and restaurants along The Cut between the hotel and Waterloo station,but we didnt go in any as we went into central London mainly for those things.One local restaurant we did visit was a couple minutes walk from the hotel, Mar i Terra,a Spanish bar/restaurant. We went in at lunchtime and feasted on tapas,and came out like stuffed whales (Portions bigger than we thought they would be)The hotel staff were friendly enough,even though you only see them at reception.One thing i dislike though is Travelodge's policy of nickel and diming you on the charge to check in early, when it's obvious they already have a room ready for you when you get there. Most people would just pay up because they dont want to be sitting around at reception for 2 hours waiting for 3 oclock to arrive just to avoid paying it,and I guess thats what they count on. They are pretty firm on this rule too,unless it's quite close to the check in time they may let it slide if the reception staff is in a good mood !Overall though I would stay here again,newer hotel,pretty quiet, good location with good transport links	
Oct 23 2009 	An adequate place only but the breakfast is the worst in the world!	Yes, it is typically Travelodge, it is clean and in a spartan room has air conditioning. Internet access is good but costs £10 per day. The surrounding area is OK but the Lord Nelson over the road is not to be recommended. The Wine Theatre is fine with decent wine and food but strange music. A walk to either Borough Market or to South Bank Centre is well worth it.DO NOT BUY THE BREAKFAST AT £7.50 it is disgusting, cardboard sausages, cold beans, eggs and tomatoes. Clearly they had poured tinned tomatoes into the warming tray and expected them to heat up over a small candle flame. Find a cafe, go to Pret's anything as it will be more rewarding and better value for money.	
Oct 10 2009 	Why don't Travelodge get it?	Perfectly clean and functional room. Air conditioned - great in the summer. But the beds and pillows just aren't comfortable - and surely that ought to be the thing hotels have to get right? It's one thing when it's a £40 a night Travelodge, but this place charges £90 a night. Just not good value.	
Oct 5 2009 	Great value and location for no frills break	We had a good deal on this hotel so it was great value. The location is great literally 2 mins from Southwark tube and bus and less than 10 to Waterloo.The rooms were fine like any travelodge basic, but very clean.It is really near train lines and you can hear them a bit...bit it was no noiser then any hotel in London and the noise did not bother us at all.Service was OK....a few minor annoying things, like use of iron was timed, we never had enough towels or pillows for 2 people, key cards stopped working every day as they only validated them per day for us for some reason!However I would def stay again if we could get a good deal.	
Sep 30 2009 	Great value clean good staff. Location good	Stopped in Travelodges in London before, this was recommended after my son stopped here. Easy to get to Tube very close, Tate Modern 5 minutes walk next to the river. Excellent service, clean functional rooms. I have paid lots more for worse places. Book in advance and get a good deal. Paid £40 per night for the room excellent value, breakfast OK, standard feed your face buffet.	
Sep 30 2009	Excellent for the O2 and Waterloo	Spent a weekend in London with my Mum as we went to a concert at the O2. In the past we have stayed in a docklands hotel, but when Travelodge had an offer for £19 per night who could refuse it? The hotel is just a couple of minutes away from Southwark Underground station which is on the Jubilee line so just a few stops away from Waterloo station and the O2 without the hastle of changing. The room was spacious, clean, tea and coffee facilities, flat screen tv and more importantly quiet - apart from a few people slamming their doors . We didnt eat here, but they had a cafe with cheap food. Definately would stay here again.	
Sep 21 2009 	New Travelodge good location shame about the breakfast!	Stayed at this hotel as part of a hen night group and it seemed that it was popular with other groups but you wouldn't know it as there was very little noise. Other poisitives, this hotel was really easy to find, being really close to Southwark tube station. It seemed to be a relatively new hotel so all of the rooms were basic but clean and tidy, as were the communal areas.On the downside the receptionists were not overly helpful and seemed a little disorganised. By far the biggest negative was the breakfast. The one site cafe was way too small for the size of the hotel and for £7.50 I would expect more choice. There was a very small hot plate area and they kept running out of hot food, resulting in a big wait for food. If I stayed here again I would save my money and get breakfast somewhere else.	
Sep 21 2009 	Pretty poor for the price paid....	Check in fine and friendly, but allocated a room on the 6th floor, the corridor of which was in darkness, making finding the room difficult. Being late and having an early start the next morning, didn't notice straight away that no towels had been provided. No one around at reception early in the morning to advise of the problems. Room otherwise fine and clean, but more attention to detail needed here!	
