	Very nice would certainly revisit	I visited this hotel for 7 nights this November, and I was very pleased with the service that we received relative to the good price that we paid for our stay. The hotel is in a relatively central location, just minutes away from the tube. The room was basic but had whatever was necessary to make our stay a good one, cleaned and having fresh towels provided on a daily basis. Breakfast was a good one, with fresh fruit being really fresh, whilst the hotel environment and staff were extremely helpful. This hotel is ideal for anyone looking for a centrally located budget hotel in london for a very good price, and we'd recommend this hotel to anyone.	
Nov 10 2009 	Poor value hygiene and easily one of the worst hotels I have ever stayed in	Firstly, the location is not really Notting Hill. That would make it somewhat upmarket. No lift to the fifth floor.Walls in bed and bathroom covered in mould. Noisy throughout the night due to firedoors in corridor slamming and paper thin walls. Overall dirty and grimy with linen that looked unchanged. During the night we even had a vistor of the four legged furry kind rummaging through our luggage... NOT something you would expect in a city hotel. Don't be fooled by the photos that they have on their website like I was. Oh did I forget to mention that the staff were reasonably consistent in their abilty to give incorrect directions to basic landmarks. Wifi was also relatively expensive compared to most hotels that now have free wifi as standard. The location is not an easy walk from the tube if you have luggage. Would recommend staying closer to paddington if you are coming to London from an international destination and wanting to avoid cab rides or treacherous battles between luggage and steep escalators and stairs which are characteristic of both bayswater and queensway tube stations.	
Nov 9 2009 	Getting tired; time to spend some money	The UMI needs some urgent renovations; particularly the bathrooms which consistently disappoint on every visit. Last time, it was paint peeling off the side of the bath and lukewarm shower water; this time it was a leaking tap and shower head that dripped all night and wasted litres of water. Nevertheless we like to stay here because it is in a great location in lovely Bayswater, only 5 mins walk from the Bayswater tube station and Queensgate Road Restaurants. The reception area is also nice, and the staff are very friendly at all hours, which is also nice. The breakfast here is great and speedy, but the restaurant downstairs for night dining is to be avoided at all costs - horrible food, shockingly bad service and depressing ambience. How they think anyone can eat with muzic blaring and sports playing on a silent large TV screen is beyond us.	
Nov 6 2009 	Didn't quite live up to its advertising but still a good choice	We stayed for one night only (as planned - we didn't walk out!), wanted somewhere inexpensive, convenient for an appointment the next day, in a nice area and not depressing, and it ticked all these boxes.The decor of the room was a little odd, I think they'd taken over another hotel and not yet redecorated. It didnt fit their young and groovy image, and was a bit tired and old-fashioned, though it was pleasant and inoffensive. I would guess the main new additions would have been the bed (very good, though not big for americans) and the flatscreen digital TV with freeview, a nice touch. We had the executive room, not sure it was worth it, though it wa a good size so maybe the standards are tiny. The bathroom was minute - just a toilet and shower - but was freshly painted.As well as the reasonable price and fairly nice room, the best thng was the great location - on a lovely and very quiet square with a park in the middle. But a block away from Westbourne Grove, with more restaurants and shops than you could shake a stick at. Frankly I can forgive the odd loose floorboard for the beautiful old building we were in - if you want standardisation, go to a Holiday Inn (the hotel does have a lift, though)I wouldn't come here for my honeymoon, but I'd happily stay again.	
Nov 5 2009 	Good value but tired rooms	The hotel recepton was very friendly and helpful and the reception area is very smart and clean. The room was small and the decor of the room and the corridors is very tired and really needs to be upgraded and first impressions on entering the room were disappointing. Once used to it, it was fne and was very clean. The locaton is pretty handy to the underground or the bus to the West End and walking distance to Kensington.	
Oct 11 2009 	Wouldn't recommend to a friend but ok for the money	Stayed here for two nights at the begining of October with my boyfriend for his birthday. I chose the hotel because it was the cheapest yet the best reviews for a 3* hotel i could find. The room was an ok size, (at the end of the day your only sleeping in it) the sink was in the bedroom, and the bathroom was so tiny you litrally couldn't swing a cat in it. The bathroom was full of black mould and absolutly stank of foust, but, it was clean to use both shower and toilet, just didn't look very nice. I'd read reviews before staying at this hotel, and a couple said about creeky floorboards..that didn't stop me booking. BUT, seriously, were talking LOUD creeky floorboards from the room above that kept us up until 1am! And our room was next to the lifts so that was noisey too! So if you are sensitve to noise, do not stay at this hotel, or ask for a room on top floor away from lifts.The breakfast was good. It def filled us up til lunch. You had 4 options to choose from including toast, muffins, cereals, fruit, teas, hot chocolate, orange juice, apple juice etc. Was very nice, no need for a cooked full english.It was about a 6 minute walk to bayswater station, and a 12 minute walk to Queensway station. They are the nearest stations to the hotel. You could obviously get a much closer hotel, but this was ok if you can be bothered to walk.....in the rain.All in all, it was an ok Hotel, wouldn't stay here again or recommend it to a friend really. It was good for the money tho, I piad £150 for 2 nights including breakfast, so in London, that isn't bad. The staff couldn't have been more friendly either.	
Sep 25 2009 	Disappointing room but good location	We upgraded to stay in a Grove Room for a few nights but were very disappointed. The towels were stained and bathroom was small, and the 'quality' coffee and tea were basic. The bathrobes didn't match and overall the room was quite shabby and needed work. The bedhead was attached to the wall by two short screws that didn't hold when leaning on it to watch TV. The location was good - being walking distance to Metro station, restaurants, pubs and other essentials like pharmacy and groceries (but there's no fridge in the room so don't buy anything that needs refridgerating!). The hotel has a cafe and restaurant but we chose to eat out as there were lots of great options like Thai and Indian and fast food options if you're after something quick.	
Sep 24 2009 	Disappointing	We stayed at Uni for 3 nights on our way to Europe after reading reviews on Trip Advisor. The staff on reception were very pleasant, however we were quite disappointed with the hotel overall. As we arrived about 8am in the morning, we had to store our bags until checkin time at 2pm - the luggage room can be accessed by anyone who asks for the key &amp; so is open to theft by anyone who goes in there - I stress that we did not have anything taken but the opportunity is certainly there - luggage security definitely needs to be looked at.For 2 of the 3 nights we had no hot water - the reason given was that in older buildings the pump can have trouble lifting the water to the 3rd &amp; 4th floors. Management did have the problem attended to quite quickly &amp; were very apologetic but when you have to shower in cold water it's no fun. We also ventured down to the &quot;restaurant&quot; one night for dinner but the menu is very limited &amp; they weren't open to preparing anything that wasn't on the menu (even something as simple as a toasted cheese &amp; tomato sandwich). The tables were very basic &amp; there was absolutely no charm about the surroundings so we ended up going elsewhere to eat. On the other hand, the breakfast room is very pleasant &amp; you have a choice of cereals etc with the continental-style breakfast which was included in our room-rate.The hotel is about a 10 minute walk from Bayswater &amp; Queensway tube stations so it is very easy to get around London. There is also an excellent Chinese restaurant near the tube at Bayswater as well as a plethora of other eating establishments &amp; pubs in the area.	
Sep 17 2009 	Excellent experience - better than expected!	The UMI Hotel in Bayswater is great. If you have any experience with a European three star hotel, then you will know exactly what you are getting with UMI - except just a bit better. It is clean, extremely close to 3 underground stops and several major bus lines (I cannot explain why any reviewer would complain about this - but some have), the service is friendly, the breakfast is fine, the televisions in the rooms are wonderful, and the Bayswater part of town is within walking distance of Notting Hill and Kensington Park. Around the front lobby areas the hotel has documented the history of the hotel's space - explaining how the row houses were converted into a hotel and who used to live in each home. I just mention this to explain the thoughtfulness put into some aspects of the hotel. It is an older building - the elevator is slow (but, hey, there IS one) and the carpet is worn in places - but, oh well. It doesn't detract from the value of the hotel or take away from your vacation in London. For three pounds you can purchase a 1 hour internet card - and if you are just using it to send an infrequent email or check theatre times you will be fine with that for your stay. There are four computers available for guests - and I never had a problem getting on any of them. Some have complained about the noise at the hotel - and I cannot explain that either. The hotel is quiet - especially at night. It is a sleepy part of town - very residential and mostly full of similar styled hotels. The doors to each room are fire doors - found frequently throughout London - and they are heavy, so they do slam. But, the noise is not bad - especially when most of the hotel is sleeping. The water pressure in the sinks and showers is awesome - and there were no problems with water temperature either. Each day we received fresh towels and our room was cleaned. The television gets many, many channels. The bed is not great - but it is clean and good enough. The room is small, but it won't be a surprise if you do some research first (like reading this!). The room is good enough for sleeping, showering, dressing, and storing your things - you shouldn't be spending much time in the hotel anyway! We were there in August - so it was hot, but not too bad - we kept our windows open all the time for cooler air (and, I would still say the hotel is quiet!). The morning breakfast is good enough - hot drinks, pastries, cereal, yogurt. There are plenty of daily newspapers and magazine available to take. There is also a place to store your luggage if you arrive too early or fly out late (if you want to store something important behind the front desk instead of in the municipal storage closet, just ask). All in all - it was a great place to stay. You cannot beat the price - and, it is important to mention, even though this is a budget hotel, you are not treated like a budget traveler - nor do you feel like one staying here. The staff is helpful, and the hotel is full of happy travelers from all over the world - families, college students, older people, married couples - I was quite surprised because I guess I was expecting just travelers like me (young). I think the diversity of guests speaks to the comfort of the hotel - this isn't just a hotel for backpackers and study-abroad Americans (though I am sure both types would enjoy their stay at the UMI!).	
Aug 15 2009 	Great location nice for the price	We stayed here for 4 nights at a fabulous rate I found through the UK tourist website. I agree with a lot of what the others have said. The rooms are clean (staff seems very hardworking) but a lot of things are old and a little run down. Rooms are small and bathrooms are tiny but servicible. We did notice noice from upstairs neighbors, but I've had the same problem in lots of hotels this is extremely difficult to fix and in an old building like this one probably next to impossible. The service was very good and we liked the simple breakfast. The neighborhood is beautiful and quiet, while being only a couple of blocks away from the underground, shopping, restaurants, and of course Hyde Park. Our three teens liked their room and the flat screen. Only real complaint was no air conditioning. It was pretty stuffy at night, and we had to leave the windows open all the time. The windows opened very wide but we were on the fourth floor and there were no screens. If I had young children I would have been seriously concerned this is a real safety hazard.	
Jul 31 2009 	Basic Hotel Great Service Fantastic Location	We initially chose to stay at the UMI Hotel for convenience as it was the pickup and drop-off point for our tour group. We were slightly concerned after reading mixed reviews but were pleasantly surprised.We stayed on the 5th floor and both room and bathroom were much larger than we expected. We even had a mini walk-in wardrobe. Nice wallpaper, and an Audrey Hepburn theme which seem to carry throughout the hotel. Both room and bathroom were clean although the some of the bathroom fixtures should be updated. It took us a while to get used to how to turn on hot water for the shower. The hotel provided kettle, hair dryer and there was a flat screen tv with cable. Iron can be provided on request. I would suggest that you also leave your windows open when you're out and about because we occasionally returned to the room and there was a strange smell. We didn't know what it was, but put it down to poor ventilation. Like when you walk into a school demountable that hasn't been aired out. Also, there's no elevator to the 5th floor because its on the roof so you take the elevator to the 4th and then take the stairs. The service however was FANTASTIC! The reception, staff at breakfast as well as the cleaners were very friendly. The staff were very helpful in recommending nearby restaurants, routes to supermarkets, cinemas and sites. When we needed to print tickets out for a tour we booked to Stonehenge they were eager and willing to print it for us. Also, because the room doesn't have a fridge, if you have some food you need to store in the fridge, you can just give it to them with your name and room number and they'll store it for you. Another example is when we returned at 10.30pm and wanted cake but the hotel cafe was closed. The staff still went out of their way to get it for us.The hotel also offers a free service if you want to book tours or shows. He also provided us with a walking tour route of London. Breakfast was good, but its not buffet-style. Every morning you choose 4 things off their menu and then they serve it to you. Plenty of newspapers to read! Location was PERFECT! A few blocks away from Basywater Station and a little further down is Queensway Station and Kensington Gardens. There's about 4 supermarkets including Tesco Express, M&amp;S, Sainsbury and a Chinese supermarket about 3-5 minutes walk away. There's also plenty of restaurants from Italian, Chinese, Japanese, Indian as well as Whiteleys shopping centre which has a small cinema. Really great area, lovely character buildings, clean and also very safe. We got back at about 12am on a weekday and it was lively and buzzing.Would probably stay at the hotel again. Really loved the area, and although the room wss basic, it was clean and you need to remember that you're going to be out most of the day anyway and really only want a place to sleep. The service was really high, and the staff need to be commended. Recommended if you're looking for an inexpensive hotel in a great area with lots to do.	
