	a fine establishment for the fashionably drunk	Our stay was spent in a compact cosy room, slightly warmer than desired but providing an excellent base temperature for spending the evening sweating out. More desirable than the average den, a television was provided but not tested as our entertainment was provided - a rich real-time audio/visual experience of atmosphere beyond the window, a fine example of some of King Cross' finest architecture and social investment programmes. The bathroom provided an array of clean surfaces (without being annoyingly greased like you find in so many public houses), and with tiling throughout and a drain in the corner, allowing us to fully relax through into the night - one oversight by the designers is perhaps the lack of barrier preventing fluids escaping into the bedroom.All in all a pleasant night, the polite and motivated staff having no quibble with us engaging with the local red light culture and activities.	
Oct 20 2009 	Good value for money	We've spent there 2 nights. Rooms small but fair. Excellent location for seesighting as well due to St. Pancrass/KingCross well connected to airports.I've got what what I paid for...DW	
Oct 6 2009 	Do not stay here .. you may as well stay in kings cross public loo!	This hotel is not what it says on the tin.... yes it is small which we expected for the price however you would expect a hotel to be cleaner than a public toilet whatever the price you pay. I booked in here for a one night stay with a collegue, our experience was so bad we ended up leaving at 11pm to go to the nearest travel lodge!!!! When we checked in we were not given our keys until the owner had contacted the travel agency that our company had booked with just in case we dedided we wanted to stay the night for free, despite the fact that both the travel company and our company had provided him with payment details many times over the previous week. This meant we had to wait in the tiny small reception whilst he confirmed (for the umteenth time) the payment details with both our company and the travel agents. My collegue then had to change rooms as they had allocated her a room that had clearly been slept in and not cleaned with dirty sheets, rubbish and pill boxes on the floor and dirt all over the bathroom. She was then moved to another room that wasnt much better, this had snails and spiders on the wall and plaster was hanging off the wall. I would like to say that my room was better and that she could share with me, but it wasnt. Not only was there not enough room to swing a london alley cat, as soon as the window was shut in the room it smelt worse than a public toilet. The room smelt strongly of urine so bad that it hit the back of your throat when you breathed. Also the &quot;clean towels&quot; were grey, and the sheets had holes in them.Unfortunately... as we had just dropped off our cases and dashed out it was almost eleven oclock when we realised how bad the rooms were. You can live with a spider but i have never known a hotel to have snails on the wall or to smell worse than a public toilet. we then had to call to find somewhere else to stay and luckily was rescued by good old travellodge... this was only 5 mins down the road and for the extra ten pounds was far superior! When leaving the friendly receptionist told us we would have to pay for the room as there was nothing wrong with it. I would seriously never stop here again, and would advise that you look every possible other place before even considering here. Even a basic hotel should be free from creepy crawlies and should at least be clean. THERE WASNT EVEN A LAMP SO YOU COULD STAY UP ALL NIGHT READING IF YOU DIDNT DARE GO TO SLEEP!	
Sep 25 2009 	probably worth paying extra £15 for a better den...	Location is convenient, the bedding is clean -- but that's really it...Hotel is a grand name for this residential building. Bedding is fresh and clean - but the rest of the place not so much... To get to the room one has to go through a maze of narrow corridors with an overdue carpet (or was it intentional to make the place feel Victorian?)To find the right room look for a Post-it-Note stuck on the door instead of a number plate (they really are on the budget I guess!). Once you get into your room don't expect too much: it's small (just about enough to put your staff around and crash on the bed). Walls are beautified with both holes and some smears of &quot;better not to investigate&quot; origins. The shower cubicle is absolutely tiny (and I'm not a big guy!) and bringing a pair of flip-flops would help you to overcome the fear of stepping barefoot inside (see photos...).On the good side there is enough pressure and temperature in it!It's a cheap place and if was converted into a hotel in the cheapest possible way. You'll get a relatively clean place to stay (if walls and bathroom don't bother you too much). So if you gong for a couple of days for a training or business- you get a decent place to crash for a few hours before getting out again. It's not a place you want to stay in for pleasure. And definitely not for a romantic break!	
Sep 11 2009 	Clean convenient and safe with pleasant staff	Yes, the rooms are very small, but for the location and price, you can't get any better than this. It's very close to several Tube and bus lines, and it's an easy, pleasant walk from many tourist destinations. My chief concerns for a home base were safety and cleanliness, and I was very satisfied on both counts. Rooms are cleaned daily, the shower had good water pressure, and the staff were congenial. Don't go expecting the Ritz and you won't be disappointed.	
Sep 7 2009 	Clean and small	Although you feel like you need a can opener to get out of the bed in the morning, Wardonia offers a clean, convinient, and affordable stay in the busy town of London. Of course, they do advise you of the room size before you book (this is if you book though their webpage). There is nothing much more to say about this hotel other then the staff were extremely helpful.	
Aug 27 2009 	Avoid like the plague	This place was awful. I am a small person, and I could barely move in the room. You could not walk around the bed. The shower was terrible. It flooded the room because there was no basin. There were no screens on the windows and a pigeon came into our room. A homeless man lived in the courtyard below the window, and he kicked cans around all night. We also witnessed a murder from our room window. DO NOT STAY HERE.	
Aug 27 2009 	Great value for money !!!	We just stayed at this hotel for 1 night. The price was about 55 pounds for a double ensuite room which is perfect in London and specially in this area. Just situated near king's cross where you can catch either a bus or the metro to get to Picadilly. We enjoyed our stay there, the hotel is very clean. The room was quite small but for one night we weren't looking for a big room and so on...	
Jul 14 2009 	very basic but clean	My fiend overheard this conversation between a guest checking in and the staff:-Where is the breakfast served? -There are several great places for breakfast close by-Where are the lifts?-We have....stairs....This was our second stay so we knew what we were in for. The best features of this hotel are the price, the cleanliness and the friendly staff. The rooms are very basic, no furniture except the beds and a small table attached to the wall. They have saved in on everything, even hooks or hangers in the bathroom and other lamps than the one in the ceiling. The location is very convenient if you travel by train, being close to both St Pancras and Euston station, and the underground from King's Cross takes you to most tourist attractions in a few minutes.	
Jul 7 2009 	BUDGET hotel no AC or elevator in a great location	Paid GBP60 per night but unfortunately ended up being in London on 2 of their hottest days and the tiny room with windows wide open offered no comfort or sleep. Room was on the 2rd floor accessed via a narrow staircase, lugging our luggage up and down was a little annoying. The back ally was very noisy at night with drunks, music from other buildings, etc. Room was serviced each day. The location provides great access to Kings Cross/St Pancras. This is a budget hotel at best and a private, nice hostel at worst.	
Jul 7 2009 	very small but clean	We stayed here for two nights. It is in a brilliant location for st pancras international only 5 mins walk. I have to say the hotel room and ensuite was the smallest I've ever seen and don't think the bed was quite a double. However the tv worked fine, bedroom and bathroom were both very clean and shower worked fine. The first night was very noisey from the pub next door but the second night was quieter. We just wanted a cheap room for two nights and it served our purpose.	
