	Nice hotel in great location	The Windermere Hotel is in a great location. Conveniently located near Victoria Station, and within walking distance to major sites (Buckingham Palace, Westminster Abbey, Parliament, etc), grocery store and coffee shop. The complimentary breakfast was good and the service overall was wonderful. The room was clean and met our needs. Would definitely stay at this hotel again.	
Nov 21 2009 	Would happily recommend this hotel	Spent two nights in this hotel while on a trip to London. I had no complaints and would recommend it to anyone. Helpful staff, nice breakfast, good location and good sized, clean rooms.	
Nov 18 2009 	A Hidden Gem Near Victoria Station	My husband and I traveled to Europe for the first time this year for anniversary. We stayed in this adorable gem of a hotel in London. Our room was small, but so sweet. It was nicely decorated and clean. We also had a nicely size bathroom and shower. Not the tiny bathroom I was expecting. My only complaint is that the extra blanket at the end of the bed was not clean. I complained to the front desk and they quickly removed it, but did not replace it with another one. I was rainy and cold when we where in London and we could have used a new one.Another perk is the cute restaurant within the hotel. The breakfast was complimentary and really nice. Each morning there was a continental breakfast spread and we were also given the option for hot breakfast items that were made to order. Just lovely.The staff was lovely. They were so helpful. And there is one computer in hotel that you can use for free. Super helpful when checking in online. I highly reccomend this quaint, little, &quot;budget friendly&quot; hotel.	
Nov 15 2009 	Nice comfotable stay	The hotel is minutes away from Victoria station and tucked away in a quiet corner. Rooms were on the small side though.	
Oct 31 2009 	A delightful hotel convenient to everything London has to offer.	We had a nice stay in September 2009. The staff was very accommodating and knowledgeable and got us tickets for several attractions. It was an easy walk to Victoria Station. It is in a quiet neighborhood. The room includes a full English breakfast. We've not stayed in a family-owned and operated hotel before. It was a very pleasant experience. We would stay at the Windermere again and would recommend it to our friends.	
Oct 18 2009 	Stay away.	So not worth it. When we first arrived they could not check us in, which was fine so we toured London when we got back to the hotel we were exhausted and wanted to get to our room to rest. The person at the front desk was very nice and guided us to what was our room in the basement. A very small and damp bedroom with enough space for double bed. A little window where you had a great view of peoples legs as they walked by your room or of the restaurant chef that would have a smoke just out side the window. We could not stand in the shower because the ceiling was too low. The hotel is old, cold and looks like something out of Dynasty circa 1985. No up-keep. I would not recommend to any of my friends.	
Oct 14 2009 	The ONLY place to stay while visiting London	I recently completed a week-long trip to London tagging along with a friend who was there on business. (Not my first visit.) The Windermere Hotel is everything I could have asked for in a city hotel: safe, quiet, convenient location; clean and comfortable room with full bath; full English breakfast included at the downstairs Pimlico Restaurant; staff and family who own the hotel were friendly, gracious, a pleasure, and helpful with any and all my requests. Had dinner one evening at the restaurant also and the food was delicious.Easy walk to Victoria Station, and safe for a single woman to walk back to alone at night. Cabs also readily available.I will definitely return to the Windermere again and again. Thank you Nick &amp; Sylvia for a most enjoyable stay in London!	
Oct 4 2009	Windermere is a gem owners are dear	My daughter and I spent three nights in this Gem. The breakfasts were great, free wifi was appreciated, staff were amazing and made any arrangements at a moments notice. Room G2 is the best with roomy two twin beds and on main floor. The location was brilliant. Our first night we walked for six hours and saw lots of the sites right over to the London Eye and even ran into a Red Fox on the streets. The coach station is five minutes and Victoria train and Tube station is ten minuite walk. The Apollo theatre with Wicked playing was 10 minutes too. This will be my stay whenever I am in London. The owners and staff are truly remarkable. Kudos!	
Aug 29 2009 	Great place to stay in London	Stayed for a week in this hotel in London and was very glad I made the choice to stay here. The staff were so great to us! They were really nice and very accommodating. I could not have asked for better staff. The room was clean, comfortable, and roomy enough. The bathroom was small, but very clean, and was big enough for what we needed to do in there. I had a very nice, very hot shower every night which was so relaxing after a long day's sightseeing. The shower was small, but very clean, so no complaints from me. The bed was comfortable. I have no idea why people have complained about noise? This was not a noisy area; in fact it was quiet. And I could barely hear anyone in other rooms. Very convenient location. I have no complaints. I would stay there again and again.	
Aug 24 2009 	Too expansive for its services	130£ per night per room it's really too much for this hotel, expecially if you are sent to one of the basement rooms which are ridiculously small and equipped with a smelly and tiny bathroom. I've asked to be moved to another room but it wasn't possible. Breakfast and free internet were ok.	
Aug 18 2009 	A great hotel with excellent restaurant	My husband and I stayed at the Windermere Hotel for five nights during the end of June. We found it to be very pleasant ,quaint and extremely clean. The staff were very helpful and accommodating. My only complaint was that we were on the top floor (which we actually requested), but it was quite a climb with heavy luggage. The worst part was it was very hot when we were there and there is no AC. We had to have the windows open at night and the street was very noisy. The other alternative was to run the fan with the windows closed, which we finally did. We loved the Pimilico Room for dinner and would recommend that you try it during your stay. The chef uses only the freshest ingredients and is willing to prepare dishes to suit your individual taste. On the whole, we would recommend this hotel mainly because of its cleanliness, friendly staff and nice restaurant.	
