	Clean and well located	London is an expensive city, especially when it comes to hotels / accomodation. I was looking for something very simple, quiet , clean and affordable where to spend a week in London.That's what Windor House is.For £38 / 40.00 a day I got a very clean room with shower (not en-suite) and a simple breakfast (enough to start a day).Ok, no TV, no telephone, no internet, but if there was a tv set, for example, I would spend my nights seeing tv, &quot;ruinning&quot; the day after !So, it is not a place to stay during the day but a quite and clean place where to keep your things and sleep. Earl's Court tube station is really just around the corner, making it easy to go everywhere.If you want to take food to the hotel, the kitchen is open to guests and there is a Marks &amp; Spencers &quot;Simply Food&quot; shop 50 meters far from the hotel.Two internet shops are really nearby.I recommend Windor House : good value for the price !And friendly people too.But if you are looking for real luxury, go to ... the House of Windsors (call Beth or Phil).André Acker, from Rio de Janeiro, Brasil	
Nov 13 2009 	Unpleasant and misleading	My experience of the Windsor House Hotel was not good. When we arrived we found our 'double room', described as being a double bed was made of two unequal height single beds pushed together. The rooms are tiny, dirty, euipped with minimal and old furniture and well over priced. Although we stayed only 30mins (while trying to find alternative accommodation) we were denied our deposit amount of 70pounds even though what we paid for (a double room) was not provided. This is back packer accommodation and should be charged as such.	
Nov 8 2009 	Very friendly and helpful a comfortable and clean place to stay.	Stayed in the Windsor House B&amp;B for a couple of nights, early November.The staff were very helpful and friendly, the location is excellent being a couple of minutes from Earls Court tube station and to the museums of South Kensington.I stayed in a small room facing the street, it was clean and had a shower and sink in the room, toilet was across the hall. Perfectly adequate for what I needed and the price was very reasonable.	
Oct 15 2009 	This is the best value for a great location.	We have stayed at Windsor House two times now. Set in a quiet back street, it is minutes from the underground, shops, pubs and cafes. Access to the kitchen is a great help in summer as items can be stored in the fridge for salads and sandwiches. There is no microwave though. The rooms are basic but perfectly adequate. We were given a TV but there was nowhere to plug it in - no matter, we don't watch TV anyway. The stairs are very steep and narrow, and this is an issue when carrying heavy cases. Both times we stayed there we were promised a room on the first floor. However, despite booking well in advance, when we arrived we were still given a room up several flights of stairs. I don't quite understand why they can't get this right. But we managed, and didn't let it spoil the holiday. Even with these minor irritations, we would still stay at Windsor House again, and recommend it. You won't find anywhere cheaper or more central, and the staff are friendly.	
Aug 13 2009 	From France - A girly sightseeing weekend stay	The hotel was very well situated, a minute's walk from Earl's court tube station. We stayed in a triple room with three beds and had a laughing fit when we saw the layout. The room was higher than it was wide and the shower was too small for my (very) round friend. We quickly came to the conclusion that we were here to visit London, not to bum in the room.After the first night we concluded that the room was just fine. Quiet. Comfortable beds. No allergies from dust mites which is my own personal hell when I travel.The other nice surprise was that although it was extremely quiet for London (sleeping with window open!) there was a good selection of restaurants and diners in the area.Breakfast was simple but we did get to raid the kitchen for midnight tea which was lovely.I wouldn't suggest this as a romantic place to wow your girlfriend but for a girl's weekend away it was absolutely fine.	
Jul 31 2009 	Excellent value for money in Central London	I stayed in this hotel for a leisure trip with my young children and was satisfied more than I expected.Website of the hotel very honestly describe the basic facilities it provides,atleast it doesn't try to lure the customers with false promises.Excellent location in central London,very near to earl's court subway and many tourist locations at walking distance.Staff is helpful.Standard of cleanliness even with minimum staff is very high.Bathrooms inside the room as well as on the floor are very clean and fully functional with running hotwater.Once inside it lacks present day glamour but attracts you with its English atmosphere especially the dinning room in the basement with its little garden.A definite advantage of this hotel is the facility to utilize the kitchen.After spending a hectic day,rather than eating a quick dinner you can bring some grocery to cook and enjoy your time in the comfortable dinning room.Read some magazine or watch t.v. or review your pics of the day. before going to your room.All types of restaurants including indian and pakistani food ,pharmacies,grocery shops,outlet for buying advance tickets of tourist locations are in the immediate vicinity.Breakfast is a plus point,it is generous and served in a very caring manner.Serving staff is very happy to cater for your small needs of hot tea and coffee plus rest of the things.If you get up late still after 10 a.m the kitchen is open and you can serve yourself.All the guests were very well mannered and there was no noise in the hotel or in the vicinity.The website of the hotel promises basic facilities and provides them.It is not for the snobs with extra requirements of leisure and pleasure in the hotel but for straightforward tourists who want to economize as well as look forward to a comfortable stay and base near central London attractions.There is no elevator so avoid carrying one heavy piece of luggage.	
Jul 29 2009 	nice budget hotel	The hotel is in an excellent location, just a step away from Earls Court Station, with lots of local shops and restaurants around. Rooms are simple, and the main thing when staying in budget places - clean!! :)The rooms were small (but then again- arent most rooms in London the same?? so cant really complain). However, cooked breakfast is small - you only get one boiled egg... but plenty of toast and jam (hence the 3* for service) Then again, you are allowed free access to the kitchen most times to do your own thing, so that makes up for it if you have the time.	
Jul 26 2009 	WHH is undeniably well-located modest but homely plus the staff is really efficient. A must. Real value for your money!	My stay at Windsor House Hotel (WHH) was way beyond what I expected… for the better. I live in Patagonia in Argentina, an idyllic paradise. At the beginning of the year, I travelled to Spain to visit my sister and her family who live there after five years. Quite a long time for not having seen the people you love so dearly. Anyway, during my time there, a friend of my brother-in-law’s got my sister, her newly born Iván and me inexpensive tickets to London. Everything was a bit rush, but, in the end, it turned out great. I found WHH on the web and their friendly tone really attracted me from scratch, especially if you consider this was my first trip to Europe on my own and to London with a baby, as well as my first hotel booking online. For starters, I was a bit unsure about the whole thing but, at WHH, they made it really easy for us to pay for our room, given we don’t have a credit card. I just made a bank deposit and faxed the receipt. As simple as that! It is true that the hotel is well-located. Plus the instructions on the site on how to get from the tube station to the hotel were extremely clear and simple to follow, which came in handy. Really crystal clear indeed! The efficient people at the reception were utterly kind the minute we met them, helping us upstairs with all our luggage (that travelling with a baby was considerable, to say the least). I loved our room as soon as I entered. We had our own shower and the bathroom we had was shared but, in our case, no one else was staying on that section of the hotel at the time so, I can proudly say we had our own bathroom. Everything was clean and tidy at all times. The truth is that there are no luxuries, which is logical for what they charge but it’s undeniable that they are truly homely. At the reception, they had all kinds of brochures and leaflets on excursions and sight-seeing tours you could take for free. The kitchen was fully-equipped and always available. In the dining room, we even had a TV we could use whenever we wished. Then, breakfast was quite conventional but delicious and I wouldn’t have added anything else to it. The good thing was you coud have as much as you needed and the people that waited on us were totally adorable and polite. On the whole, in my opinion, WHH is certainly family-friendly, as they claim on the site, and is unquestionably highly recommended. Next time I’m in London, I’ll definitely pay them a visit!	
Jul 19 2009 	Never got to stay Hurray!	We had credit card confirmation for a room for two nights and when we arrived they had no record of it. Also no rooms availaible, even though I had a confrimation number. They were not helpful at all. I had to go down the street to another hotel and luckily find a room myself. I wouldn't recommend this hotel.	
Jul 14 2009 	good location with good value!	It was very close from Earl's court and there was Marks and Spencer nearby.I arrived very late, however hotel people were very flexible and friendly!	
Jun 25 2009 	excellent hotel to stay in london	I stayed at this hotel with another 6 persons, so we were 7 in all. We had a great room on the ground floor just how we requested. Location is great with circle, district and piccadilly lines coming and going all the time. It is just round the cornere from the station and the bus stops there as well. Shops and restaurants are in the area with great good and cheap food. The hotel&quot;s kitchen is great if u you want to save money on food. Cleanliness everywhere, hot water everyday for a nice warm shower after a long day out in London. Staff very helpful and friendly.Windsor house hotel is ideal for young and old, infact this was my second visit there in 6 months and i will certainly stay there everytime i go to London.	
