	Fantastic Old Port	We stayed at the Auberge for 3 nights in November. It was a great experience from start to finish. Breakfast was included in the room rate and was sufficient enough to get us started for the day.We were in a room on the 5th floor, the room was great. The only comments are that the in room &quot;jacuzzi&quot; was not much more than a small bath (but the shower is fine!).It was a great base for our stay in Montreal. The Old Port can be a bit touristy, but it's easy enough to find good restaurants for dinner.	
Nov 25 2009 	Charmed this jaded traveler	As a frequent business traveler, it's fun to stay in a non-big-chain hotel, when it works out. This time it did, and I'm glad. Montreal is so different from any other North American city I know, so I wanted us to stay somewhere that would remind us we weren't in Kansas. This place does the trick. It has an historic feel throughout, displaying many interesting relics from its past, some with narrative plaques. It's very intimate and cozy. There's one main inn, plus some lofts over a nice bar, where my friends stayed, just a city block away. My room was very spacious and clean, which can also be said of my friends' loft. Their loft could have slept 6 -- it had one bedroom, plus a sleeping area a few feet above a living room with a sofabed (I think). I could easily have crashed with them, except the loft/living room sleeping areas offered little privacy.You can see what the rooms look like from others' photos. I'll just add that mine was very clean, comfortable and quaint, if not ultra luxurious. It was a little too dark at night -- higher wattage bulbs, or at least a proper reading lamp would be a nice place to start, people. But my stay was relaxing, and the staff were ALL very friendly and polite and helpful to me. Hotels with character and charm typically have trade-offs. No A/C in the summer (if true) could be a problem. The front entrance is an awkward 3 stairs above the sidewalk. If Canada's accessibility laws are anything like ours, I assume they can accommodate wheels in the back entrance, which is on the charmingly cobblestoned and slightly touristy Rue St. Paul. By the way, the noise complaints are right. They should rename the above street Rue Bourbon; it is crunking loud, even on a cold November weeknight. The windows of this old hotel can keep out the weather, but not the shouting and singing. Easy solution: Request a room over the front of the building (port view), which will be much quieter. Not an option for me, because there happened to be renovation work on that side, but the ear plugs I remembered in my travel kit were enough to get me back to sleep. Nighttime revelers aside, we enjoyed the location. Chinatown restaurants and The Champ-de-Mars Metro station are just a 5-minute walk, although not in inclement weather. But Montreal is a proper city, with cabs (and rent-a-bikes, it would seem) on practically every corner.	
Nov 14 2009 	Very Disappointing Experience	I usually stay in downtown Montreal, but thought I would try the Old Port area for variety's sake and chose Auberge du Vieux-Port because it seemed like a nice place and good value. I selected a 'deluxe loft' suite which is not located in the main building, it was roughly a five minute walk from the hotel itself. What seemed chic and charming on their website was much less so in reality. The building itself was a beautiful old stone building, which was great looking on the outside. On the inside, access to the suite was only via a staircase - three flights up. There is no elevator, so be forewarned if you have a lot of bags, heavy bags, or have difficulty walking. The hallway to the suite itself also serves other suites that do not house hotel guests. I heard families coming and going and screaming in the halls at odd hours. The suite itself is large, has decent but not great furnishings and the condition was well below expectation. Maintenance was poor, and there was evidence of shoddy construction and upkeep. Walls are also quite thin, and because the sleeping portion of the loft itself hangs over the hallway, it was quite easy to hear everybody coming and going. Another problem is the design of the unit itself. Specifically the bathroom is on the main level and with the sleeping loft upstairs if you have to use the bathroom at night you must navigate a staircase in the dark. Very dangerous, in my opinion. Another problem related to temperature control in the suite. In short, there is no ability to control the temperature. There is a thermostat, but it is turned off and according to the hotel the temperature is regulated at the 'building' level, not the individual suite level. It happened to be quite warm, and because the windows were inoperable there was no way to cool it off. Also problematic is a huge industrial air duct located directly over the bed which is loud, cannot be shut off, blowing warm air 24/7. This is so loud it was literally impossible to sleep. When combined with the warm temperature in the suite itself it created a situation where I walked over to the main building at 2:30am and asked the hotel management if I could change rooms. Management was very accommodating, and at 3am I left the suite with my bags for a regular room in the main building. This regular room was much better, and consistent with what I expected. In summary, I would avoid the high priced suites and stay in the main building. But after this experience I'm not sure I would return. Also the internet connection in the room was unreliable and service was spotty.	
Nov 12 2009 	Loved this place!	This hotel is charming! What a grand way to spend time in Montreal. The room was spacious and comfortable. The staff was warm and hospitable. There was a computer for use in the lobby. The surrounding area was lovely for walks and touring. Rate included breakfast and cheese and wine in the early evening! I am looking forward to staying here again!	
Nov 5 2009 	Excellent place to stay	I visited Montreal for five days for business and stayed in one of the lofts on Rue St Paul. It was a fantastic location, above a nice bar/restaurant on a picturesque street. The hotel staff were friendly and helped in every possible way, including getting my colleague and I tickets to the sold out ice hockey match. The breakfast, while an additional charge, was incredibly reasonably priced ($10) and plentiful (which helps when nothing is open before 11am!!). As part of my stay I used the gym facilities at one of the nearby sister hotels which is one of the great benefits of the lofts; it feels like an apartment but you can use all of the facilities at any of their hotels. I got a great deal; had a great time and would stay there again for business or pleasure.	
Oct 25 2009 	You can't ask for anything better!	We stayed in room 201 for 3 nights for our honeymoon. The auberge is located in the old city, not far from the train station (where we arrived in Montreal). We were greeted very warmly both by the desk attendant and the doorman. We were able to check in easily and the doorman helped us with our luggage to our room.The room is absolutely beautiful. Exposed rock walls and wooden beams, two enormous windows that looked out onto a park and the St.Lawrence river (we were told this is the only hotel to offer such a view). Really, it was everything the pictures promised. There was a large mini-bar available and robes and slippers as well.From 5-7pm they offer free wine and cheese to guests, which we took advantage of each day. The bar/restaurant was outfitted in dark wood and dark walls which set a nice mood. And the breakfast! Guests are led to the basement, again with exposed rock walls, and treated to a continental and hot breakfast. We munched on croissants and chocolate muffins and fruit until our crepes or eggs arrived. We were blown away by the generous meal and the staff were very friendly, being polite when we tried our bad French with them.The auberge is close to museums, restaurants and an art market. I don't think I have anything negative to say about the hotel or our experience. I gave the room 4/5 only because I wished it had a bathtub instead of just a shower. Even the toiletries were great (provided by a spa that the hotel also owns). We definitely plan to go back to Montreal and stay at this hotel again next year.	
Oct 15 2009 	"Old World" Without the Charm	The staff are very helpful, friendly and accommodating. That out of the way, let's be clear that the lofts (ours was #704) are not charming. They are old, dated, and in buildings that lack maintenance and upkeep. A leather couch, hardwood floors, nice potted plants and retro paintings on the walls cannot hide the ceramic tiles falling of the bathroom wall, cracked counters, and a toilet that continuously runs (to mention only a few things). Add to this, hearing a dog bark all day and night, loud footsteps above your head, partying in the streets below to all hours, and constant garbage trucks, street cleaners...and you get the picture that this may not be the place for romantic, charming, quiet night(s) you were looking for. Of course, if you are young at heart and love staying over at a frat house, then you might enjoy the #704 loft. We will not return. Paying what we did for 1 hour of uninterrupted sleep was abit too steep!	
Oct 11 2009 	Wished we could have stayed longer!	We loved this hotel in Old Montreal.Room was excellent,breakfast very good and very good service from all staff. Free Internet access.Valet parking a bit pricey but worth it as no parking is available near the hotel.Near to lots of excellent if touristy restaurants. Pity about the rain which spoiled our stay in Montreal.	
Oct 8 2009 	If found at a discounted price I wouldn't bother staying anywhere else	2 Bedroom apartment- our friends bailed so we had the whole place to ourselves- however layout would have been easy to share. Timeshare like, bathroom was dated, but overall apartment was charming. Comfy beds, lots of windows, 2 tv's and free internet. Seen through an open door, the neighbor's place was decorated even better. Apartment meant no pool, spa etc, but believe if you stay in the main hotel you may get some of these services. Breakfast was available for a price. Great location for walking to everything. Multiple theaters, restaurants, Chinatown and the Port area. The square nearby is touristy so we didn't eat there (seemed pricey and average-think Little Italy, nyc) but maybe shame on us for not trying. Service/Staff was great. Night porter took our car to valet and walked us to apartment when we arrived at 4:30 am. Friendly and courteous.	
Oct 7 2009 	All I hoped for and more!!!	A great get away for my husband and I as a reward for the close of a huge project at work. Beautiful setting, walking distance to all of old town Montreal and Metro for going farther out. The staff was great, they went out of their way to make our stay perfect. Having a great breakfast every morning made it even more relaxing, giving you time to plan the day. Can't wait to go back.	
Sep 19 2009 	Perfect!	My boyfriend and i stayed at the lofts (713 - luxury loft) for 4 nights. It was the best accomdation ever! The room was beautiful and romantic. The best part of the hotel was the breakfast in the morning. It was definately worth getting up in the morning (those that stayed in the lofts will need to pay 10 dollars for breakfast.....included if you stay in the hotel) the 10 dollars was definately worth it! Julie and Michael (conceirge) were excellent! Every morning we would ask them to help us plan our day.....the know where the local hang outs are.......we even asked them to help us call to reserve a table for two at a restaurant that needs days in advance for reservations (au pied du cochon).....they were able to get us a table for two to celebrate our anniversary. excellent service.......just a reminder the hotel lofts do not have elevators so be okay with the fact that after a day of sightseeing you'll have to climb up the stairs. Overall a great experience!!!!	
