	Great location but that's pretty much it	Right in the middle of downtown, next to a metro station, I couldn't ask for a better location. However the room was nothing special. We had a king bed with pull out couch suite (with a small kitchen). There was nothing blatantly wrong, but it was the little things that showed that this hotel is not a luxury one. The appliances were dated but worked fine. The bathroom was tiny and in need of an update. There were a few little holes in our bedsheets. One power outlet was not working. The list goes on, but none of those things really had an impact on our stay. We did not have to deal with the staff much so I can't comment on their helpfulness.It's a convenient place in a great location for a good price. It worked for us, but don't stay there if you expect luxury	
Nov 25 2009 	Great location but rooms were just ok	The hotel is right in the middle of everything, we could walk everywhere. Staff were not too helpful. The rooms were not nice at all. I would rather pay more and stay at Sofitel across the street. No parking for SUVs.	
Nov 16 2009 	Great location. Great value.	We booked on line and had an excellent rate. Room on the 17th floor was very nice, clean and comfortable. Staff was very helpful when I asked them. Location is ideal for metro and McGill. Evening coffee drinks on the mezzanine were very expensive, next time I will skip the drinks. Ice only available on the 27th floor! Quiet off season. Excellent value for the on line rate. I would definitely stay here again.	
Nov 10 2009 	Good Value and Great Location	I stayed at Le Cantlie for 4 days, during a solo visit to Montreal in early November. At check-in, I was given a two-bed room, when my reservation specifically called for one-bed-with-seating-area. The clerk tried to tell me my reservation said otherwise, but she rectified the situation. The studio room was very good for a single person or a couple who share a bed. The seating area is very nice. The kitchenette is built into the wall, like a closet, but it is adequate and has silverware, plates, cups, etc. Staff were a bit stand-offish, but they answered my questions and were helpful when asked. The best part is the location, at the corner of Sherbrooke and Peel, and right near the Peel metro station. The decor is a bit dated, but the place is very clean. My only real complaint was that on the one night I ordered room service, I though the quality of the meal was very poor. You're better off to go around the corner to L'Entrecote St. Jean for steak frites. This is a good value hotel, but not a luxury resort by any means.	
Nov 7 2009 	$22/Day for parking - $5/Day for Wifi	Forget this place!They charge $22 a day for parking (average rate in montreal is $14). Then they charge $5 a day to connect to their Wifi service (average rate in montreal is FREE).	
Nov 3 2009 	Unimpressed	My husband and I stayed at the Cantlie for 1 night. We had read the reviews and thought we'd take a chance. The rooms aren't too bad. However do not stay at the Cantlie for a good night sleep. The hotel is very noisy with traffic noise. Several groups of people coming and going from 2400-0230 in the morning making lots of noise. (These were adult groups). The at 2 am a women starting knocking on our door and for a good 20 minutes before finally going next door and doing the same thing.Parking is valet and very expensive. The staff at the front desk aren't willing to listen if you are reporting negative feedback and become very defensive. Would not stay here again.	
Oct 28 2009 	Decent Hotel Nice Location	I stayed here with a group of friends in August. It was good for a weekend. It is a convenient downtown location. The rooms were pretty big and the beds comfortable. Nothing particularly fancy. They all had a mini kitchen, which was nice to have a fridge, thought the stove looked 50 years old.We didn't use the rooftop pool, but I can tell you it is tiny, though there is a nice view from up there.My one big complaint is the keys are not cards, but are actual keys. I'd rather simply have the standard card swipe. Additionally, they only gave us 2 keys per room and wanted us to pay extra for more keys - yet when I booked the room I paid extra for the 3rd and 4th guest per room. I don't see why this isn't included.All and all, fine for a weekend for friends for a hotel we didn't spend much time in, but nothing particularly special.	
Oct 19 2009 	Great Hotel in Amazing location	The location can't be beat - right across McGill University on the corner of Sherbrooke and Peel. Walking distance from the best shops, restaurants and theaters. I was told that it is a family run Hotel and not ones of those impersonal big chains so lots of time and effort is spent on the little things that make the difference. We are originally from Montreal and come to visit quite regularly. This was the first time that we stayed at this Hotel but this definitely will not be the last - for the $ it can not be beat and easily competes or even beats the Marriots and the Deltas that we usually stayed at. We had many relatives and friends to visit all over the city so we needed to access out car a few times a day. I liked the valet parking which was a very reasonably priced - they only charged us per the day not for the actual valet service which we used a few times a day.. We were six people in all. My sister in-law and her husband stayed in suite 2304 - this was a studio with a small kitchenette, queen bed and living room sitting area overlooking Mont Royal park. This was a very nice room decorated in a french provincial style. My husband and I, and our 2 kids (6 &amp; 10) stayed in apartment 2401 overlooking down town. Our apartment was amazing - decorated in a modern fresh style. Full kitchen, dinning room, living room and separate bedroom with 2 queen beds. The beds were great - soft down pillows, and down duvets with luxury linen. There were two flat screen TVs. The living room had leather couches. The place was extremely spacious. We even got big fluffy bath robes - that was great. We used the pool on the roof top once and it had a great view and was refreshing on a hot summer day. Our breakfast was included - and it was served on the second floor dinning hall overlooking fashionable Sherbrooke. Very elegant - and the coffee was great.  Overall an excellent place to stay - we will be back. LS	
Oct 10 2009	Terrible service decent hotel	The front desk staff were very short with customers, the manager sat in the back room while lines grew in the lobby, and the staff took two days to bring second key to the room though they were asked several times. When approached about this they were abrasive, and took poorly to criticism. Also to note: pool is seasonal.	
Oct 2 2009 	Excellent Accommodations	We recently stayed at this hotel for three days/two nights. We chose this hotel through a Travelzoo promotion - great rate with a full breakfast included. Our room on the 22nd floor was clean, spacious and comfortable. The location was perfect as we didn't have a car and we walked to everything we wanted to see. Our standards are high and Le Cantlie Suites Hotel easily met them!	
Oct 1 2009 	Good experience!	My boyfriend and I booked a room Le Cantlie Suites and then read the reviews here afterwards so we were really unsure what to expect... It turned out to be a good experience despite some of the negative reviews!About the hotel in general…The location of the hotel is great! It is right within walking distance of some awesome restaurants, shopping and nightlife, and it’s a short cab ride away to pretty much anywhere you want to go in Montreal.The hotel itself is clearly a bit older… the décor outside and in is begging for an update throughout (except for the Mezz) but it’s really not a big deal. Everything is presentable, clean and functional and you can’t really complain about that! The room was old fashioned and had mostly very dated furnishings, but again, it was clean and presentable. There are 3 very small elevators in the hotel… my boyfriend and I and our two suitcases were just about all that was going to fit in one of them. If you have a large family, be prepared for two trips or going up in separate elevators!We tried to go to the rooftop pool but the glass door was locked (probably because it was too cold for swimming) so I can’t comment too much on how it was up there. From what I could see, the pool looked dated, but still nice.Parking in the garage and checking in were a breeze and the front desk staff was pleasant and extremely helpful. They gave us good directions, maps and recommendations all during our stay. Again, the staff at this hotel is very good! Our only staff complaint was the bartender at the Mezz bar… he was very young and clearly inexperienced, rude, and charged me double for the one and only drink that I ordered, and gave me an attitude when I tried to calmly explain the mistake to him. Otherwise, the Mezz had a cozy feel about it and was a nice place to chat and relax when we wanted to get out of the room but not go far.About our room…We stayed for 3 nights in a small, standard suite on the 24th floor that had a king bed, flat screen TV, couch, desk and chair, ironing board, a microwave and small kitchenette with a refrigerator. We stayed in a room on the rear facing side of the building… our room overlooked the downtown area and the river… not too pretty by day but when the lights come on at night the view is very nice! The room had a very old looking deck that was inaccessible as the glass doorways to it as well as the windows were locked shut. It looked a bit dangerous and old anyway… The walls are fairly thin so you can hear a lot of dull noise from the hallways and neighboring rooms. It’s weird but there’s also a vent in the bathroom that seems to carry a lot of noise from neighboring rooms too! And we could always clearly hear when our neighbors were running their water/shower. No biggie though, nothing loud enough to really upset us during our stay.The room had excellent climate control that could be easily and quickly adjusted when we wanted it warmer or cooler. The bed was decent but the pillows were squished out and blah, and they only give you two, so be ready to ask for more! We called and asked for extras and the room staff came within 15 minutes.The kitchenette was nice to have in the room! The microwave, refrigerator and stove are very handy to have if you choose to bring food or take home your leftovers to eat later! We didn’t want to use the mismatched dishes on the shelves above the refrigerator though…The bathroom was adequate but probably needed the most repair out of all the other areas. Lots of molding/rotting in the corners, peeling cabinet fronts, etc. Even the towels had some small holes in them. But if you are willing to overlook these things, it was totally functional and just fine to use. The good news is that they give you lots of light over the mirror, shampoo/conditioner, etc, and a decent blowdryer. The water pressure from the shower was very strong too!Overall…We had a good experience at Le Cantlie Suites Hotel! If you are willing to overlook the old fashioned décor and some spots in need of updating/renovations, it is a perfectly good hotel with a great location and helpful staff for a reasonable price!	
