	Great location OK hotel	Location is ideal, right in the Old Town and close to great streets of restuarants, museums and so on. The hotel is old but well kept. Out suite was small and the view was of a brick wall, but we did get a bargain deal. I'd come here again, much more character than the more modern hotels near McGill.	
Oct 9 2009 	Great Location decent hotel.	This hotel is nice, but nothing that special. I used Marriott Points, so it was a great value for me, but if I was paying, the rates are not much higher at other places such as The Nelligan or Saint Sulpice when they are running specials. The breakfast was good, but only served from 6:30-9:30. No sleeping in after a night out if you want breakfast. The service was very good with the desk staff really going out of there way to help and be nice. The location is fantastic, in the heart of Old Montreal and a short walk to The Metro. The &quot;suites&quot; are one room, so not really a suite, but decent sized and fine for the two of us. One issue I had is they said the room had a balcony. It actually had a door opening onto a decked part of the roof. This would have been fine, but the area was very dirty. Full of old cigarette butts and the table and chairs were dirty. The rooms and public areas were very well kept, but if you are going to have guests use this outdoor space, it needs to be cleaned once in a while! Overall, it is a typical Springhill Suites with higher then typical prices based on the location. I would recommend this place, only if you can not get a similar price at Saint Sulpice or The Nelligan.	
Oct 8 2009 	Wonderful Hotel and Location	The hotel is located in the heart of Old Montreal, within walking distance of Notre Dame. There are many great restaurants and shops nearby as well. The hotel itself is quite nice and very clean. The breakfast in the morning was a great way to start the day. The front desk is very helpful in mapping out places to see, etc.	
Oct 8 2009 	Perfect Location Pleasant Room	Being in the heart of Old Montreal made all the difference in the world. Great access to activities and tours, easy walk to Metro, and a pool, made our two young kids very happy. Though the hotel is not premium, it was clean and the staff was attentive. Breakfast at the hotel was not a plus; enough places around town much more preferable. Only downside, a drunk yelling in the alley outside was heard too clearly and not dealt with by the hotel after a call to them was made. Would still come back again to this hotel.	
Oct 6 2009 	A Perfect Pick	My husband and I had never been to Montreal before and were picking hotels out of the AAA book and hoping for the best. This hotel was the Perfect Pick. Tucked away on a quiet street, but close to everything- restaurants, shopping and lots of Montreal site-seeing. We put the car away for 3 days and walked all over Old Montreal, and when we came back to our room it was an oasis for our tired feet. Beautiful room and very helpful staff.	
Oct 3 2009 	Hidden Gem	We choose this hotel from a AAA Travel Guide based only on location and price range and reserved a room on the telephone. Although the hotel is a little difficult to find we were pleasantly surprised from check-in to check-out. Our room was excellent with a large bathroom, small sitting room, built-in desk, and kitchenette ($170 CAD/Night). The hotel is ideally located between Chinatown (West), waterfront (East), nightlife (North), and cathedral (South). Although tripadvisor only rates this hotel as two stars, I believe it is four stars based on our experience with quality and services. For example, the staff opened the business office in the middle of the night so that I could use the computers for internet services (free). At the buffet breakfast (included) a staff member found an extra chocolate croissant for my wife during a very busy time. I made a valet request for my car and it was parked in front of the door before I got off the elevator. This hotel was our best experience while traveling two weeks in Canada!	
Aug 27 2009 	Spring Hill Suites Old Montreal good for families/grps	Good aspects: - quiet Old Town location &amp; VERY convenient to Chinatown for its delicious food &amp; inexpensive prices.Loc is also close to waterfront areas, the Notre Dame Cathedral etc.- Large suite (2 dbl, sofa bed), kitchenette, large workdesk with hardwired Internet connection.Very good space design for the kitchenette &amp; workdesk area.- Separate sink (2 if counting the kitchenette's sink).- Abundant bkft buffet, and very hardworking staff keeping food in supply &amp; areas clean.This is no easy task when the bkft area is packed with people &amp; some young children making quite a mess of their food!- large business ctr: 2 PCs, printer, &amp; fax; 4 comfortable reading chairs (a rarity in most hotels).Areas of improvement:- could not open sofabed w/o pushing it one way, &amp; the TV stand the other way.There seems to be some space design issue here.- window a/c was on the loud side.- during the weekend of our 3-nt stay, there would be late reveler noises after bars close.- Bkft area sometimes ran out of seating (as several previous reviewers noted).- no shelf space at all in the bathroom.	
Aug 21 2009 	Excellent location pleasant staff acceptable rooms good value for location	This was our second stay, so obviously we are satisfied. I've recommended the hotel to others. The rooms are a bit smaller than you might expect from a suite, but they aren't cramped. The beds are quite comfortable. I've rated the location as excellent because most people seem to want to stay in the old town, and it's perfect for that, but I find the Plateau a much more interesting area.	
Aug 20 2009 	Great location good value air conditioners are very loud.	Overall this is a good hotel in a great location within walking distance of everything in Old Montreal. We had 2 rooms for extended families and the air conditioners (window units) in both our rooms were so loud and cycled of and off so frequently we had to turn them off to sleep. Because of this I cannot recommend this hotel during hot summer weather. I do not know if the heat would be as noisy in the winter. The complimentary breakfasts are typical of a Marriott hotel and yes there is not enough seating but they did open a conference room very close to the food. Complimentary coffee and tea are available from this area throughout the day which was very nice. The free internet was easy and fast. The suites sound bigger than they actually are especially if you need to use the sofa bed. Once the sofa bed is pulled out it completely blocks the path from the bed/bathroom to the hallway door. There is a very nice kitchenette area with computer desk, chair, microwave and mini-fridge. Other than the noisy air conditioner the hotel and surroundings were quiet.	
Aug 17 2009 	Spring Hill Suites in Old Montreal offer the Comforts Necessary for a Fine Stay	Subject: Residence Inn by Marriott - Montreal DowntownLocation: Montreal, Quebec, Canada, North AmericaTitle: Great Stay in a Brillant Hide-a-way Spot!ID#: 35191593I was very surprised by the hotel's location, on a deserted side street right in the middle of Old Montreal. The hotel was smaller than I thought it would be, as was our &quot;suite.&quot; There was a large pullout couch, small refrigerator, one television, two double beds, workstation/desk - and certainly was enough for the four of us on our four night stay. Warning: when the pull out couch is out - it's hard to move from one area of the room to the other, without jumping across the bed itself.The hotel front desk got us tix to see a movie, and were quite helpful on what to see in the area. Breakfast was certainly plentiful with eggs, yogurt, breads, juice, waffles and such - the seating was a problem. With so many people trying to have breakfast before 9:30am - there were many people vying for seats. The staff made the conference room available, but those who immediately got off the elevators didn't know that - if either the front desk or if there was a sign it would have been better organized. The workers certainly were hard at work refilling or replacing during the breakfast rush.The pool was adequate, fine for the kids and I was able to work out while watching them in the pool - a very big plus!The internet at the hotel is &quot;modem/dsl based&quot; and I had a problem getting on - that was easily solved by calling the customer service to the company who carries the web capability. They were incredibly helpful and within mins. I was on the computer.This is a small city hotel in an old part of town. The charm of the front desk, accessibility to Old Montreal, the sites certainly do outshine the cramped feeling of the hotel. The hotel is clean, people are nice and while in Montreal, how often are you really in the room?	
Aug 16 2009 	Great Location; Needs Updating	I can't argue with other reviewers that the location is fabulous for the Old Montreal area. It is close to all points of interest in Old Montreal and the Basilique Notre-Dame de Montreal. The hotel itself is probably a good place for families or business travelers who are traveling with their family, since the rooms are fairly large, and the continental brreakfast is included. However, the hotel can use some tender loving care ... the windows are absolutely filthy and really give the place an unseemly character. The carpet in all areas is worn and in need of being replaced, particularly in the room we occupied. This is the first Marriott brand where I was greeted with a towel with holes in it when coming out of the shower. The bedding was on the soft side and the room had nowhere to sit aside from a sofa and a desk chair. An extra chair in the room would have been nice, but would have taken up any extra space. The sink is separate from the bathroom which is nice, but it is a very small and tight area so only one person at a time can use it. The bathroom houses only the tub/shower and toilet which are extremely close together to make room for the door to open. The air conditioning works, however, it is an in-wall style air conditioner/heat system that makes a lot of noise when running. It was not difficult to hear noise from adjoining rooms or when people were out in the hall.Staff is certainly friendly and accommodating. The continental breakfast is adequate, however, the area on the mezzanine where breakfast is served is a bit cramped and gets very crowded during the morning rush. On occasion, it was difficult to find a place to sit.The Metro (subway) and train stations are a bit of a walk and are probably a half mile or so from this hotel. There is a bus, however, the 515 Vieux-Montreal/Vieux-Port that will take you to all the known sites in the area, as well as the Gare-Centrale train station. Buy a Carte autobus/metro or Carte touristique if you will be staying for three days or more.Overall, the hotel is adequate, and the best thing about it, at least in this reviewers opinion, is the location in Old Montreal and free internet access. Regardless, I would not be likely to stay here in the future.	
Aug 11 2009 	Right in the center of Old Montreal	Fabulous location, near everything. Nice rooms, service, lobby. Easy to find, with parking facilities in the hotel. We were around the corner from the main drag and ate at an outdoor, but nondecript place with good food and excellent service. I forget the details about surrounding area, but Notre Dame Cathedral was two blocks away and that street with all the outdoor places, street performers, and action was a 2 minute walk. Great to explore the old city.	
Aug 6 2009 	Pleasantly Surprised	This is by far the best Springhill Suites we have ever stayed in. It's not much to look at from the outside--looks like an old warehouse and it has a very small sign. The location is wonderful. We had our two teenage daughters with us.We really enjoyed staying in old Montreal. Inside, the rooms are quite nice. Our girls enjoyed the free internet. We thought the breakfast was good. (eggs, meat, hash browns, waffle station, pastries, muffins, bagles, cereal, yogurt, fruit, etc... It did get crowded but we always found a seat. I would recommend going later. They say it ends at 9:30, People were still eating at 10. The Auberge St. Germaine, connected to the back of the hotel ,is a very cool restaurant. It is expensive, they have a nice terrace for drinks. Our daughters enjoyed shopping on St. Catherines. Weren't really thrilled with the shopping on St. Denis. We rented bikes at the port and went along the canals. That was fun. Also enjoyed the views from on top of Mont Royal. (recommend driving)	
