	A refuge from the awful weather	We stayed at this hotel for the same reasons a lot of other travellers do - it was conveniently located above the train station. The hotle was very moderately priced, and seemed even more of a bargain after what we paid for in New York.Our room had recently been refurbished and was lovely. The bed was spectacularly comfortable and we had the best sleep of the whole trip. Unlike others, I thought the room was definitely large enough. The view was nice. We had room service which was ok, and drinks in the lounge downstairs that were good quality, reasonably priced and accompanied by great service and snacks. It surprises me that there was no free wifi, but that it had to be paid for, whereas the 2* hotel in New York was able to provide it.The location was ok, and we were able to find some good restaurants and used the metro system with ease. I would definitely recommend.	
Nov 9 2009 	Hotel with Character	My wife and I were in Montreal for 2 nights visiting family. We have stayed at other hotels in the past, but were intrigued by the character of the Queen Elizabeth, so tried it. The hotel is very large, and is located on top of the main train station. (You wouldn't know it, but we met a family member arriving by train.) It seems like one of those older 'destination' hotels where everything happens. We spent most of one day shopping when it poured rain, and there is a huge network of retail shopping accessible underground from the hotel. When we ventured out after the rain, we seemed to be close to everything and had dinner with family only a few blocks from the property. Service was good (not outstanding, but good), and the room was good. Overall, a good experience.	
Nov 7 2009 	Great Hotel	Beautiful hotel with great service. The room was a bit small but very comfortable. Great location especially if your walking.	
Oct 31 2009 	Fairly good hotel	My husband and I stayed at the Fairmont Queen Elizabeth from October 24 - 28, 2009 in a Fairmont Room. King bed, small room, smaller bathroom. The bathrooms are too small to accommodate all of the toiletries that are necessary. We were on the ninth floor and had a fantastic view of the dome of the cathedral across the street. The location of the hotel is very central for walking to Rue St. Catherine for shopping and to Old Montreal for touring. We had dinner at Europea and I would highly recommend the restaurant. We tried to get into the Beaver Club Restaurant at the hotel, but it was booked solid. Rue St. Paul is the main street for shops, galleries and restaurants in Old Montreal. The city is very walkable and cabs are plentiful if needed.	
Oct 24 2009 	Very Comfortable Hotel in A Great Location	I took the train up to Montreal from Albany, New York during foliage season. I booked The Queen Elizabeth because it is located right above the train station and because there are lots of good restaurants nearby on Peel Street. I was not disappointed. My room was clean and comfortable, if a little bit on the small side. It is a very busy hotel with a lot of business traffic. My biggest complaint was checking in a little after 7:00 in the event-- if I hadn't been a member of the Fairmont Presidents' Club I probably would have had to wait about a half an hour, as it was I had to wait five or six minutes. (Hint: It costs nothing to join the Presidents Club.) The hotel is not inexpensive but I was able to get an acceptable rate by paying in advance from an online service. Even though I don't like paying in advance in general, I was able to save over 25% versus Fairmont's own pay in advance rate, so I counted myself lucky.	
Oct 23 2009 	Very poor customer service	Even though our room was pre-booked a month in advance, &quot;Fairmont&quot; felt it was acceptable to give our room away because they said they had a party of people come unexpectedly. This, in my opinon was very unprofessional.	
Oct 19 2009 	An ordinary 4 star hotel in downtown Montreal	As part of a long weekend trip to Canada (stops in Montreal &amp; Quebec City), my wife and I stayed at the Fairmont Queen Elizabeth hotel for two nights in early October, 2009. In general, we tend to stay in traditionally decorated 4 &amp; 5 star hotels with reputations for quality and convenience (i.e., traditionally decorated &amp; clean hotels that have a bar, a restaurant, and are located within walking distance to local attractions &amp; the historic city centers). Except for the modern décor, the Queen Elizabeth fit all of our typical needs and requirements (i.e., it was a clean 4 star hotel with a bar, restaurant, located within the city center, and within walking distance to the local attractions/historic city center). Our overall impression of the hotel, though, was that the Queen Elizabeth was non-descript and average. For us, the hotel did not have the character and charm that normally distinguishes a Fairmont property from any average 4 or 5 star hotel in North American (for example, if we didn’t know that we were in the Queen Elizabeth in Montreal we would have thought that we were in any Hyatt, Marriott, or Sheraton high rise hotel). While we enjoyed our stay at the Queen Elizabeth (the room was quiet and the king size bed was very comfortable), our recommendation would be to research other hotel options in Montreal before choosing the Queen Elizabeth. Prior to booking our room at the Queen Elizabeth, we did all of our typical research by reading reviews on TripAdvisor, gathering hotel details from the hotel website, searching the internet for information regarding the hotel, etc. Based upon the results of our research (i.e., mixed reviews of the Queen Elizabeth), we had some concerns about staying in this hotel. After researching rates and comparing our options, we decided to reserve a room at the Queen Elizabeth in one of their ‘Gold’ rooms (located on the 18th and 19th floors of the hotel). In our opinion, if you choose to stay at the Queen Elizabeth try to get a good deal on a ‘Gold’ room as these appear to be the best rooms that the hotel has to offer. In addition, as part of our ‘Gold’ room package we received several convenient amenities such as complimentary snacks/non-alcoholic drinks during happy hour &amp; a daily complimentary breakfast (a light buffet with coffee/juice).We flew into Montreal from the US so we arrived via the airport (YUL). At the airport, we were presented with several different options to travel to the hotel (i.e., bus, taxi, or town car). We originally chose the taxi but at the last minute switched to the town car option (the taxi and town car options have fixed rates into the city center and the town car was only $10 CAN more than the taxi). I am not sure if this was the best overall choice, but for us it worked out well (our flight arrived late at night and we did not clear customers/immigration until after 11:30 PM - so we wanted to take the most convenient transportation to the hotel). The town car was not fancy, but it was clean, comfortable, and did get us to the hotel by midnight. The town car dropped us off at the side entrance of the hotel (which seems to be typical for this hotel) and we checked in with relative ease (the front desk staff was very pleasant and assigned us room 1961). Just a note - when staying in a ‘Gold’ room you can check in with the concierge on the 19th floor as long as you arrive prior to 11:00 PM (a very convenient option during peak times).We left Montreal for Quebec City via the train. The location of the Queen Elizabeth (right above the central train station) made the trip to Quebec City even more convenient (simply take the elevator from the hotel lobby down two flights to the train station). The train was perfect. We reserved Business Class tickets (they were only slightly more expensive than the coach option) and we received a complimentary lunch and drinks during the three and a half hour journey (a three course meal with a hot main course and complimentary wine/beer).	
Oct 17 2009 	Great Character Hotel	Good Location. Nicely appointed rooms ( most have been recently updated). Good for those without car, hotel is right on top of central train station, and for those with car as their valet service is very efficient. The only complaint I have with his hotel is the attitude from some ( not all) of the service staff. unfortunately more than once I have seen staff give off a very snobby attitude towards guest.other than that good choice.	
Oct 10 2009 	Amazing one bedroom suites stay @ Queen for its location	I have stayed at the Queen E a couple of times in the past, so I came to know the different room styles. In my last stay, I picked a one bedroom suite that was totally worth the price. The other suites or mini suites have no views, i.e., view of the parking lot and loading area, and are somehow smallish and not very well designed. Anyways, my stay in the suite at the end of the 13rd floor hallway was memorable. It was nicely furnished and distributed, the view on the city and the mountain was gorgeous. The foie gras from the room service was delicious, I had it twice. Got wrongly charged two nights of parking after checking-out, but staff at the accounting dept. refunded my credit card quickly. Careful with the parking charges, it is the second time I have problem with that.	
Oct 9 2009 	convenient and luxurious	great Montreal location (at train station and metro); within walking distance to downtown Montreal (and McGill campus); lots of shopping and restaurants nearby. Great service, renovated rooms	
Oct 8 2009 	Perfect location and just so...convenient!	I usually shy away from staying at conference hotels when I'm in town for a conference somewhere, but in this case, I couldn't find a better deal and figured I'd give it a try.The location is perfect, connected to the &quot;underground city&quot; and the train station. It's steps from shopping, dining, vieux-port, everything. The hotel has great services. Rooms are quaint, if a bit small, but I was happy. Just really glad I stayed here.	
Oct 6 2009 	Bring uppers	There's something about the name of this place that makes you feel important. The location is great. The room was a bit of a disappointment - described as recently renovated, it had chips in the tiles in the bathroom floor and burn marks in the carpet - despite being a non-smoking room. And everything except the sheets and towels is BROWN. The carpet is BROWN. The drapes are BROWN. The chairs are upholstered in BROWN. The shower curtain is BROWN. The wallpaper is BROWN. The bathroom tiles are BROWN. The frame around the bathroom mirror is BROWN. The facial tissues are in a BROWN holder. The doors are painted BROWN. All the furniture is BROWN. The bedspread is BROWN. The lampshades are BROWN. It's unbelievable! If you're a naturally cheerful person and have a sense of the absurd, come and enjoy the BROWN. Otherwise, find somewhere else.	
Oct 4 2009 	Great Time	Room was pricey but well worth it. Couldn't ask for a better location.	
Oct 3 2009 	As nice as any Fairmont.	Furnishings and service were at Fairmont's usual standard. Breakfast buffet was great for international travelers - a lot of options to cater to the preferences of diverse cultures.However, I would say that the service in the Montrealais restaurant was inconsistant. One server went above and beyond, and one seemed to forget about me entirely.Room service was also inconsistent. Fast, but not the quality I would expect from a place with such well-respected restaurants. (e.g. an overcooked, bland burger; perfectly poached eggs that were ruined by setting them undrained on top of an English muffin that absorbed all the water like a sponge.) Sometimes there was butter, sometimes a glass of water, but sometimes not. I found the pour on a glass of room service wine kind of stingy, too.I did however, love the Les Voyageurs Bar. I don't mind paying $12 for a cocktail when it's strong an handmade. They also served great complimentary snacks (olives, chips, nuts etc.) with our beverages, and they kept refilling the dishes.An additional note - many cab drivers will drop you off on the side entrance - which is not convenient. (It has steps and no doorman - so not ideal if you've got luggage.) Ask them to pull around to the main entrance.	
Oct 1 2009 	Excellent Location	Well placed to visit Mont Royal, Old Town and built over main rail station so well connected to Olympic Park site. Close to shops and restaurants. Strongly recommend visitors to join the Fairmont Presidents Club if they want free internet access - we did this with the hotel concierge and gained immediate access. Spacious room with good view. Would definitely stay here again.	
Sep 28 2009 	The location made it perfect	We stayed there for one night because we were taking a train the next morning and the hotel is right over the train station. So for us, the location was perfect! Very nice, comfortable room, if a bit on the small side. Room had recently been renovated. The woman at the desk even offered us the renovated room or an unrenovated room on a higher floor that we had originally booked. The price was very reasonable for a luxury hotel. We went to the concierge desk for dinner recommendations but it was very crowded, A doorman had seen us head for the desk and offered recommendations instead ,which was very helpful.	
Sep 19 2009 	5 star rating for a very good reason!	First and foremost... the service was the best I have ever had. I travel very often and know exceptional service when I see or receive it. The Beaver Club restaurant is a 5 diamond restaurant.... there are only a handful of restaurants with that rating in Canada. Veeery pricey but the service and food are unparalleled. An experience you will keep with you forever.My rooms rating is a little lower because we found our room had very limited space. With a room that size they should use smaller furniture. I am confident that they have some pretty beautiful suites.Also take note that you can rent the same suite as John Lennon and Yoko Ono used for their famous &quot;make love not war&quot; campaign against the war.It's suite #1742... you can also take a picture in front of it instead.Great location, close to the Bell Centre and, well, everything in downtown Montreal.	
Sep 14 2009 	Very good stay - especially good service.	Just returned from 2 nights at the QE, part business, part leisure. Good points:-Very comfortable bed.Well appointed and stylish room, not huge but perfectly acceptable.Nice Miller Harris toiletries.Gold floor lounge served good continental breakfast and floor concierge was helpful and charming. Less good points:-The airconditioning was really quite noisy even on the low setting, and the fan stayed on even when it was turned off.Not enough surfaces in the bathroom for stuff. Hotel bar area lacked charm and natural light, (but made good cocktails).Turndown service was too early, we were getting ready to go out to dinner when they called. However we find this is a general problem in North America - perhaps because Europeans go out/eat out later?? There are lots of choices of hotel of this standard in central Montreal but I would choose to stay here again, as the location was excellent and the staff were friendly and welcoming.	
Sep 10 2009 	Great Value for Money	Excellent value for money. Rooms not big but adequate. Location is perfect. The coffee shop serves great snacks with your drinks &amp; kids drink (&amp; eat) free.	
Sep 8 2009 	Not Fairmont quality at all needs a refresh badly!	Stayed two nights, bit on the Presidents club email at a good rate. Location is very good, you can park anywhere downtown and walk in. I paid $30 total for 3 days very close by. Subway and train are right there, no need to go out even. Check in area average at best. Pleasant service but not Fairmont service. Room was very basic. Bathroom adequate, no fan. Older tub and toilet with a very institutional style flush handle. Strange. One small chair (with a broken armrest) and desk. Wired internet, with a broken ethernet cable. Old style CRT TV about a 22 inch. Bed was supposedly a queen but felt like a full at best. Firm mattress that was very springy and felt old. Old style thermostat with a basic radiator/air conditioner. Overall this is 2 star quality at a 4 star price. I would not stay here again as there are many MODERN hotels downtown for the same price. Very disappointing.	
Sep 4 2009 	Valet Parking Only! Give me a break!	This is one of those traditional and centrally located landmark hotels, where I stayed due to favorable rates to my Company. Average room and comfortable bed, but the lack of alternative to valet parking was enough for me to not ever stay there again! They take your car and give you a tiny blue paper, which you cannot lose, otherwise they cannot find your car when you need it back. This is particularly annoying if you like to get in and out of the hotel multiple times a day, and need to go through this every single time they need to park or retrieve their car. As if this were not enough, the hotel will charge you an additional $26 CAN per day for parking! If staying in downtown Montreal, try something less fancy near Crescent Street, or in Old Town Montreal.	
