	Much more than I expected	Traveled by train from QC with my daughter, 7 and 5. Walked across the street from the station. Check-in easy. Room 2139. Average. But it's not the room here.Great location. The pool is great. When you go to swim, there is an inside entry and you swim under a deck to enter the Great White North. [It was cold.] Pony-tailed lifeguard has zero personality, but he is efficient. Girls loved the swim. I froze. Concierge staff is remarkable. 45 minutes before face-off, Roberto got me tickets ($220) 7 rows off the ice from a scalper. I paid him and picked up the tickets in a nearby gas station.Thanksgiving? American? Concierge booked us at Globe. Incredible.The restaurant. Had breakfast one day. Expensive. But friendly. Good. Waiter made a recommendation for the girls for that day.Problems?Returned one day -- door ajar. Maid had not shut it. Nothing taken. Reasonably secure.Bar is good too for a drink. Arrived. Wife out of sorts and sent her for a cocktail. She was much better.A great location. Very non-Hilton. Very personable. Unique.I used points so I only paid for what I spent, but it was good. Very good. Better than expected for a Hilton. And if you have kids and its the winter, the pool is a gem. A class of French-speaking children watched one afternoon as we swam. They all wanted to jump into the steamy outdoor pool.And I'm a runner. Old Montreal is a short run. A long walk.	
Nov 13 2009 	First Class Luxury	This hotel is recently remodled with lovely high class touches. The room is comfortable with large beds and a nice flat screen. It is a tri level floor plan without elevators so if you have a lot of luggage arrival can be tricky. The heated outdoor pool is very nice and the location of the hotel is excellent- just a short walk to either Old Montreal or shopping on Catherine.	
Nov 10 2009 	Good location good service odd layout	Friendly and professional service at check in and check out. Rooms were clean and well serviced, but public areas were not always clean (what looked like an Aleve tablet lay on stairs outside my bedroom for 2 days and was clearly visible on the dark carpet; dirty plates left outside a room down the corridor from early morning till midnight; lint on many stairs and hallways). Idiosyncratic layout of hotel with many stairs to go up and down before reaching a room made me wonder how guests who have difficulty in walking cope.On my last evening a loud mechanical noise started close to my room. A hotel staff member came to my room, could not locate the noise but promised to call back minutes later and to move me to another room. He never returned and reception did not know who the staff member in question was.Was there for a business meeting and can commend staff in charge of meeting rooms, audiovisual equipment, etc. for being efficient, knowledgeable, polite and very professional. Lunch and drinks catering also went effortlessly and right on time.Overall okay. Beds very comfy (for me the most important aspect of any hotel) and bed linen impeccably clean. Would be nice to have wi-fi in the room (free wi-fi in lobby painfully slow). Given the price I would advise going to the Delta one block away if the room is used only for sleeping and save C$60-70 per night in the process.	
Nov 9 2009 	A little austere in public areas but some nice features	I stayed at the Hilton Bonaventure the last week of October. Unfortunately, my room had no heat. They gave me some space heaters as the hotel was sold out which made the room warm enough although they once flipped the circuit breaker. I think that they could have done more to compensate, though in that I stayed 5 days and they gave me 20% off of 2 days, which I think was a bit cheap of them. It has a nice gym and the executive lounge breakfast was well stocked as well as the attendant was extremely helpful making me a latte every morning. Good selection of appetizers in the evening, but unlike many executive lounges, the alcoholic beverages were not free.Although I would have liked to try it, it has a year round outdoor heated swimming pool and I think that is a big draw for this hotel. It also is built as the penthouse in a large office building and the rooftop is done as a nice garden with paths plants and trees. It makes for a nice oasis even though you are in the middle of the city.	
Nov 9 2009 	Enjoyed the rooftop but layout of rooms odd	Stayed at the hotel during a conference. Found it a bit far away from main shopping area. We did walk to Mont Royal from the hotel, however, as well as old town. Connection to subway and rail are right across the street. All of the employees of the hotel were friendly and helpful. We did think the meals in the restaurant a bit on the expensive side. We enjoyed the rooftop pool.The room was average and the light from the smoke detector annoying, the beds were comfortable. if I were physically challenged, I would find this a difficult hotel to get around in due to the stairs to and from your room to the lobby.	
Oct 29 2009 	Love this hotel and location	You cannot beat staying at this hotel for its location and roof top oasis. The rooms have been updated (been coming here since 2000). Perfect location for Montreal. Great for both site seeing during the day and night life. Everything is walkable.The rooms are large and clean. The rooftop pool is amazing (lots of fun in the winter when it is snowing on you while swimming in a 80 degree pool). Only downside is the outrageous drink prices at the poo bar. Besides that, we loved this hotel	
Oct 20 2009 	Great renovations	Wow! The Hilton Montreal has made great renovations since my last stay in 2007!!!!!The spectacular rooftop garden is always the main attraction of this architectural Icon from the sixties.I liked the new rooms and Lobby,	
Oct 13 2009 	A hidden gem in the heart of Montreal	We like to stay in boutique hotels and this one had that feel without the high price tag. This unique hotel set on the roof of Place Bonaventure is quite a deal. We paid US$100 through Priceline and would have paid more. The room and bathroom were comfy, roomy, clean and well appointed. We had a view into the unique rooftop garden. Where else can you find a rooftop koi pond with ducks?! We also took a dip in the heated rooftop pool. Plus, the concierge was always helpful. You can take the elevator down to the Bonaventure Station to access stores, restaurants and the metro station. It's also a quick walk to Old Montreal and St. Catherine Street.Can't think of any complaints. Sure, the pool was sometimes crowded and there were occasionally kids running through the halls, but it was early July in Montreal.	
Oct 12 2009 	Average Hilton	The room was spacious, furniture and bathroom a bit dated. A pity that the hotel restaurant isn't open in the evening. The bar is nice but very crowded. The overall feel in the hotel is that it 's dated, you don't get a luxurious feel. Although staff is extremely friendly and helpful.	
Oct 9 2009 	Nice	Nice hotel, clean, elegant, beautiful roof top garden, and kids love the roof top pool!The only problem for us is find the entrance	
Oct 8 2009 	A mixed bag	Spent a week at the Bonaventure because colleagues had chosen it for a conference.The rooms were fine, clean, adequately appointed. Neither the shaving mirror nor the bathroom audio worked. First $12 condoms I've ever seen in the minibar.The layout is bizarre, and since I had supplemental oxygen, toting the tank up and down the twelve steps to my room was laborious, and mine was one of the &quot;handicapped accessible&quot; rooms. Ha! My colleague in a wheelchair was taken to her room by service elevator every time she came from her room for a meeting, shopping or a meal. The underground shopping area was generous, but again, took literally scores of steps up and down to access some of the areas. What would it take to put a wheel ramp in?The lunches catered in-house were dreadful. Spaghetti and frozen meatballs with pumpkin soup on Monday, Pumpkin soup with spaghetti and curry on Tuesday, cold spaghetti with Thai dressing on Thursday... you get the picture.The service was magnificent. The staff was professional, helpful, cheerful and made up for many of the facilities' shortcomings.Depending upon what your goals are, this could be a great stay or a great disappointment.	
