	Better than expected	I stayed here on a Priceline rate and had good experience. First off, they put me on the 32nd floor with one of the best views of Montreal I've had. (Those of us who are Priceline regulars usually expect something on a low floor with a view of the parking lot.)Second, the bed was fantastic.Third, you are right on top of the Metro.Yes, the room was dated and the lobby seems a bit fuddy-duddy if you're under 40. But overall, I would not mind staying here again.	
Nov 19 2009 	Old-fashioned out-dated comfortable.	I stayed here two nights with my boyfriend. If we hadn't gotten a deal I would have felt ripped off, although the location was convenient. The lobby area is set up nicely, but the rooms are small and the TVs are old. For what people pay, you'd think it'd be more up-to-date. Pros: Location! Connected to the metro and underground city...although many hotels are. The staff was very friendly and quite helpful. The towels and linens appeared to be almost new (although one might argue that towels and such in decent shape would be REQUIRED in a 4 star hotel...). The view was nice, and the elevators were fast. Cons: There was what appeared to be a water stain on our ceiling, perhaps from the bathroom above? The stain was in the bedroom. The tub AND sink did not drain properly, and no one likes to stand in a pool of (cooling) water as they shower. The maid service was good, I've worked as a housekeeper at a 3-star hotel and typically know what to look for. For fun, I usually check the tops of picture frames to see what kind of dust was there. We were always told to do this where I worked. There was SO much dust it fell in clumps all over the bed! I was surprised. I recommend...IF you get a deal and aren't looking for anything too fancy.	
Nov 15 2009 	Bland for a 4 star	Stayed two nights, nothing wrong with the hotel at all, just that is is outdated and therefore feels overpriced. Good location.	
Oct 10 2009 	A Tired Lady :-(	As you step into the Marriott Chateau Champlain you can feel the history of this once Gem of the Canadian Pacific Hotel. About 13 years ago Ocean Properties of Portsmouth NH purchased this property and added it to the Marriott International Chain. As a typical Marriott customer I was excited to see that Marriott was finally adding quality hotels in Canada to their portfolio.We 13 years have passed and this hotel has become old and tired. This &quot;Lady&quot; needs a facelift. Unfortunately it does not make the list of my top hotels. The wall paper is peeling in rooms, the rugs in the hall are fading, the wood in the elevator is chipped and the staff is not too happy about it. According to one of the employees, the ownership has recently opened up a brand new Westin in Montreal and is paying all their attention to that property.How sad that after so many years as a CP hotel and then one of the first Marriotts in Canada this property is being left to become run down and tired. Even the Sheraton across the way went thru a major renovation last year... I think it is time for this property to become competitive like it used to be.	
Oct 9 2009 	Not up to date in presentation but good service	Hotel entrance was very grand but smelled like cleaning products consistently; the rooms were very old and out of date; rooms didnt have a dvd player and had a very old school tv; bathroom looked very homey, nothing elegant or beautfiul; it was clean; fair service; located in a central area in montreal; nothing really great or bad about the hotel; average compared to the other 4 to 5 star hotels ive stayed at. rooms really need to be renovated.	
Oct 8 2009 	Staff was excellent	Staff was great. Hotel was centrally located, clean and reasonable priced.	
Sep 26 2009 	Platinum member recommends	Clean, quick check in, great location, standard business services, access to underground tunnels to shops and metro – bay windows in room helped with great views.	
Sep 7 2009 	Finally... our dream hotel.	We visit Montreal quite regularly and a stay at the Chateau Champlain has been our dream for many years. We received an excellent rate from Travelzoo and stayed at this hotel for a night on our way back from Quebec City. The hotel, built during the late 1960s is architecturally special. It is a tall. slender, graceful building with unique semi-circular windows. Inside it retains vestiges of the 'old' grand hotel fittings (high, vaulted ceilings, woods, brass) but is warm and inviting. The rooms are beautiful and beds very comfortable. We especially liked the separate anteroom which contained dressers and closet space. Beds were comfortable but we wish the double bed was a larger queen bed. Very well located, polite friendly staff. Be careful about parking: if you want in and out privileges, take the valet option.	
Sep 5 2009 	Great Hotel !	I stayed at this hotel last month and I cannot say how well the staff was good at this hotel. I would highly recommend this hotel. It is very close to Train station, Bell Center and off course shopping.	
Sep 2 2009 	GREAT GREAT Hotel	I'll keep this very brief....I have NO idea what the complainers are talking about. There is nothing wrong with this hotel at all. It is a beautiful hotel in a great location. It sits on a Metro stop which is so convenient. The hotel offers great views of the city, is close to everything and in the middle of downtown. The service is amazing from check in, room service, concereige....everything! We loved this place and will definately go back.The ONLY thing I can fault the hotel on is the somewhat dated rooms and that's really pushing it. The rest of the hotel is beautiful, but the rooms could use a bit of a makeover, but are still very nice. Do NOT hesitate in booking this hotel.	
Aug 30 2009 	Great location with very friendly helpful staff!	I picked this hotel based on the reviews that I read on this site. The location is great! The best way to see Montreal is through its' metro system and this hotel served as a great location for doing just that. It is just 2 stops from Old Montreal and walking distance to some very hip restaurants. The staff were extremely helpful and friendly. I was pleasantly surprised by the gift I received when we checked in. Yes it was a grab by local shops to spend money at their stores but the thought was very nice. The concierge and door man were very helpful with suggestions of restaurants and how to get to sites. We did not eat at the hotel but the rooms were clean and the beds were comfortable. The pool was a great size for our family and it was a nice touch to have an actual guard/attendant on duty. I will agree it is in need of a face lift as it is a bit out dated and the carpet is getting worn. But for us the price, location and friendly staff made our stay in Montreal very emjoyable.	
