	Excellent Marriott Residence Inn Experience	Fantastic location in downtown Montreal with quick access to all points of interest...culture, shopping, and restaurants. We recommend it highly for anyone interested in visiting Montreal.	
Nov 25 2009 	great location; easy parking; nice staff; clean; and full-size frig	The Marriott Residence Hotel is located on Peel in downtown Montreal; the location is terrific (as good a location as you can ask for in Downtown) and the parking is unusually easy and convenient (I have stayed at almost every Downtown hotelin Montreal and parking at most of them can be a real hassle). The staff is pleasantand the rooms and public areas are quite clean. The rooms are on the big size (many Downtown hotels have very small rooms and bathrooms) and have a full sizerefrigerator and a stove, microwave, counterspace and free internet (again, free internet is not that common in the Montreal Downtown area). As a rule now, when I stay in Montreal the Marriott on Peel is usually where I end up staying because when I do calculate the pros andcons with other comperable hotels, Marriott on Peel is the morerationale and convenient choice. Lastly, it's rates are also probably somewhat lower than the competition.My name is Greg and I am an attorney in New York State.	
Nov 13 2009 	Best Place to Stay in Montreal	I always stay at the Residence Inn on Peel when I'm in Montreal. It is a great hotel, staff is friendly, rooms are clean, close to major amenities and the Metro and they even serve breakfast.	
Nov 13 2009 	perfect location and friendly staff!	We stayed here over Halloween weekend and was extremely pleased with our vacation. The staff was always friendly and patient, during one of the rainy days they proved to be very knowledgeable of the area and recommended different indoor activities that might interest us. The rooms were very clean upon arrival and very accommodating when we requested anything, ex towels, new room keys. We walked everywhere we wanted to go and only took the metro once to the Biodome, which was incredible and reccommended by the staff. it is in the perfect location for whatever you are looking to do, nice restaurants, shopping, bars and the Bell Centre. Looking forward to our next stay!	
Nov 13 2009 	Excellent Location and Complimentary Breakfast.	This was a great hotel. The staff was helpful and able to provide us with a room at a very early morning check in, which was great after a long trip. The complimentary breakfast was excellent and way more than I expected. And the location is perfect, we were able to walk everywhere in the downtown area. The bed was the most comfortable bed I have ever slept on!	
Nov 11 2009	Excellent Stay at Residence Inn Marriott Montreal Downtown.	My Mom and I had a lovely time in downtown Montreal and our stay at the Residence Inn was enjoyable. The staff greeted us with warmth, smiles and sincere friendly assistance. They answered all my tourist questions and supplied us with metro, restaurant and tourist attraction info. Our primarily visit was to the St. Joseph Oratory, a must for Christians and everyone with a true heart.seeking peace and love. A place of peace and serenity. My Mom and I felt true peace and joy there. Our hotel stay was extra special due to the complimentary breakfast, you will enjoy it and make a point of not missing it each morning. Also, afternoon fresh cookies at the front desk. Breakfast and and suite staff did an excellent job keeping everything clean and welcoming! The hotel is in the best location: walking distance to metro, McGill Univ., movie theatre, underground shops, etc... High Five to Everyone! We'll be back! For Asian gifts I highly recommend the L' Art Mandarin 99 Viger O Shop # G4, (--) in Chinatown.	
Nov 3 2009 	Excellent location and value	Nothing fancy but the location is perfect for St. Catherine Street Shopping, Crescent Street resturants and clubs and short distance from Historic Old Montreal.	
Nov 3 2009 	comfortable	the residence inn offers all the comforts of your own home and the location is perfect	
Nov 2 2009 	Great Hotel Great Location	What can I say, we always like to stay within the Marriott chain &amp; this was as we expected. Being a Residence Inn you feel no different than if it was a full blown Marriott. Rooms are very clean (very important to us) &amp; service is outstanding by everyone, from the front desk to houskeeping. Free breakfast is a great plus &amp; this isn't you crappy free breakfast. We always had eggs (real, not powdered, like some other hotel I stayed at during this trip, check my other reviews), bacon or sausage, pancakes, a waffle maker &amp; a variety of fresh fruits, cereals &amp; yogurt.The location is also outstanding. Dead smack in the middle of downtown Montreal where all the action is happening, less than half a block from the Peel metro station. We took a taxi from the airport &amp; that ran us $38 (fixed fare from the airport to downtown). From the hotel we were able to access all of Montreal via the Metro. The Underground City is about a block from the hotel. We stayed here first, we then rented a car &amp; drove to Quebec for a few days &amp; then came back for one night to fly back home the next. I tell you I was really glad we were back at this place.Price was very reasonable, but you have to pay for parking (which we didn't since we didn't have or need a car. Public transportation is very good in Montreal) If you are looking for a very good, clean hotel with great service, which is close to everything this is the place for you.	
Nov 1 2009 	surprisingly great !!!	Location is great..it is near everything you need. The hotel itself is clean with very friendly and helpful staff. We did not expect this kind of service and where very happy. Thank you for a nice stay at your hotel.	
Oct 25 2009 	This was a most comfortable stay with all the amenities great customer service plus a delicious breakfast !	We checked in a bit early and were pleasantly greeted by a very pleasant young lady who was very attentive to our questions and needs. She also gave us a great map of the city and since the hotel is downtown we were able to get around quite easily. We enjoyed the shopping in the underground and found two great restaurants in our day excursion. The hotel was very comfortable and we had a great nights sleep. Since this was the last evening of an 11 day stay through out northeast Canada we relaxed in the room. That morning we had an exception breakfast and then took a 15 minute walk to the Amtrak for our ride back to New York. It was the perfect hotel for our needs and we would certainly return. The staff made us feel very welcome.	
