	Pricy Busy and Well Located	We forgot how many times we’ve been to that hotel. The location is very convenient for us.This is not the most peaceful hotel; it’s big and busy, however very well located restaurants, bars, disco, shopping etc. Like most Sheraton Hotel the rooms have been refurbish, and are clean and cozy. The overall service and staff is decent, but not great, and this is not due to a language barrier because we’re fully bilingual. Some of the staff members would require a refresher course on customer relationship.Overnight interior self-serve parking is $20.00, you can park in a nearby exterior parking lot for less than $10.00. For food quality and price venture to local restaurants in the vicinity, the choice and variety is remarkable.M &amp; L D, Ottawa	
Nov 25 2009 	Great hotel and location!	As a Starwood Preferred Guest Gold Member, no upgrade was available at check-in. However, I was provided with complimentary access to the Club Lounge. Upon entering the lounge, when I gave my hotel room number, the attendant called the front desk and was advised I was not eligible. This was rather embarrassing!	
Nov 23 2009 	Great location - sloppy maintenance 	This hotel is in a great location, very central to everything. My room had an amazing view of the mountain, and the bed was very comfortable. However, the room, despite apparently being recently updated, looked tired. Weird decor &amp; color combinations, and the carpet felt nasty (rough) underfoot, as well as being ugly. If this is a renovation, they should get their money back. No mini-fridge in the room. Housekeeping was sloppy and erratic - one day, wet towels were left on the side of the tub. Another day, a towel and a dust rag were left in the room. My ice bucket (full of melted ice in the morning) was not emptied out on two days. Sometimes I got new tea bags, other days I didn't get new tea bags. Someone else's room service cart with leftover food was left sitting outside my room for most of a day. The pop machine on my floor was out of order the day I arrived, and it had not been fixed when I left, 7 days later..... The front desk folks were very helpful and friendly, but I was not impressed with the overall maintenance and housekeeping. Food at this hotel was generally good, but one day they served Montreal bagels for our conference - they were yesterday's bagels and they were stale/hard. The local Montreal folks were mortified. Considering how much everything cost at this hotel, you would think they could get fresh bagels that morning. The meeting rooms were nice - it was a good hotel for this conference, but I would not likely stay here if it wasn't the conference hotel.	
Nov 20 2009 	Decent weekend at the Sheraton	My husband and I stayed here with our 9 month old for a weekend. We used Starwood points for our stay and booked a room on the club floor. A few days before our stay, we got an email offering an upgrade to a suite for just $20.00/night, so of course we took advantage of this. When traveling with a baby, the more space the better. We got a really nice suite on the club floor. It was basically 2 rooms with an open door between them. One of the rooms was set up as a bedroom and the other was a living room. The club lounge had amazing views of the city and was a nice place to start off the day for breakfast or unwind for a drink and some snacks after a long day of sightseeing. The breakfast was fine - the typical things you'd find in a continental breakfast buffet. At night, though, it was not the best selection of food - mozzarella sticks that had stayed out too long, or were stale, and some other odd choices. But it was free, so who can complain?! The alcoholic drinks, however, were not free, and you can expect to pay typical hotel prices for these. The location was good, right in the middle of everything in the Downtown area. We ordered room service, and it was exactly what you'd expect from room service, but was not disappointing.All in all, it was a good stay with no complaints, and we would definitely stay here again.	
Nov 10 2009 	great renovations	Living just south of the Canadian border in Upstate New York, my wife and I from time to time go to Montreal for a nice getaway. Years ago, when the Expos were there, I started staying at the Sheraton because all the visiting baseball teams stayed there. As the years passed, it just so happend that I stayed at other hotels, sometimes because they were the sites of conferences I was attending. I kind of forgot about the Sheraton. I had noticed in driving by the hotel that the lobby had been redone but had not gone inside to take a look. Last week, we went to dinner in Montreal and stayed the night. We decided to stay at the Sheraton and we were very glad we did. They have done a wonderful job on renovating the hotel, particularly the lobby. The front of the hotel on Rue Rene Levesque is glass sided for the first two stories. Under the previous arrangement, guests did not get to experience how spectacular this could be. The bar was tucked off on the side in a windowless area. It has now been moved to the front of the lobby. Anyone sitting at the bar or at tables or sofas throughout this area is in for a treat. My wife and I had a drink and finger foods while sitting on a sofa and just people watched pedestrians going by. The tables have wing-backed chairs and are also very pleasant (We had a nightcap there after dinner.) Lest I concentrate too much on the lobby bar, the entire hotel has been spiffed up. Our room was a good size and since we are members of the Starwood Preferre Guest program, we were placed on a separate floor. I don't precisely how this affected our room amenities, but the room was nice. The Sheraton has always had a great location, close by everything downtown yet just out of the way of the hub bub of St. Catherine Street. The Bonaventure (Hilton) and Chateau Champlain (Marriott) are lovely hotels but they are just slightly out of the way and down a short incline from most of downtown. If you have not been to the Sheraton in a while, I think it would be worth it to check out the changes, particularly if you can get a good rate.	
Nov 8 2009 	Excellent weekend getaway	Over Thanksgiving weekend, I decided last minute to head to Montreal, and thought I'd try out the Centre Sheraton. Now I've been in it before, though I had heard that the whole hotel had been recently renovated and so I looked forward to seeing what it had to (newly) offer. Not only was I surprised, but my expectations were surpassed. Here's a breakdown of the stay:Parking and Check in: Check in was quick, efficient, and the front desk worker was very efficient and friendly. I've stayed at many hotels in Montreal, and I can say that this one had the best value (under 20$) for parking costs, and with it being at a central location, I was impressed. The room:I had booked a Deluxe room and was put on one of the top SPG floors. The Deluxe room was probably about 10$ more than the standard room, but had a full sized couch (also a pull-out) so I thought it was worth it. The website still has some pictures from before the entire hotel being renovated, but the room was larger than most, comfortable bed, LCD television, and what was interesting was that it was wired and set up that you could connect media from your laptop directly to the TV, as well as a USB connector (I was able to charge my iPod with its cord without needing an adapter to plug it into the wall)I was pretty sure that each room would come with an MP3 dock, but apparently that's only on the Club rooms (for now). The bathroom was also nicely updated!I saw the pool and gym briefly, though didn't use them. They looked decent, though. I definitely would recommend staying at the Centre Sheraton for a GREAT value, it's RIGHT NEXT to the Bell Centre if there's a game or concert you want to check out. You'll be glad you did!	
Nov 7 2009 	Great location service and value	As someone who spent five years living in Montreal, I knew what I needed for this trip. Looked online and found this hotel for a great deal! $120 CAD a night, including all taxes. Can't go wrong. The hotel is centrally located, an easy walk from the train station. We were heading to the hockey game, and this hotel is ACROSS THE STREET. Great hotel, really really quiet. Can't say that we used any of the amenities of the hotel, or even the service per se, but it was a great stay all around. HIGHLY RECOMMENDED.	
Nov 7 2009 	Perfect place for a nice weekend in town	Very nice staff, they where very helpfull in planing our weekend ( museum and activity for the little one). Food a bit pricy but so many good restaurant around. The room was perfect. And the pool-sauna area is really nice and quiet.	
Oct 30 2009 	Amazing hotel with amazing customer service...	Arrived in the morning and was able to check in without any trouble. Excellent customer service as I was attended to almost instantly after walking through the turn-about entrance.We received a corner room with facing west, with views of Mont-Royal. The room was clean and comfortable with a large LCD TV. This hotel is within walking distance to the metro station and within walking distance to great nightlife and shopping.	
Oct 26 2009 	Great Stay But....	Good location, good staff, nice room but no restaurant in the hotel for evening meals if you have children. If you have children you are directed to the &quot;family&quot; area which is three small tables, basically in the lobby. I would not have stayed there if I had known this. Of course, room service was available.	
Oct 26 2009 	Great hotel great location.	Very nice hotel in the heart of downtown Montreal. I've stayed at pretty much all the four star properties in the downtown area (Fairmont, Marriott Chateau Champlain, etc) and I think this one is the nicest. While it's not connected directly to the metro like the Fairmont, Hilton and Marriott it does have a great location convenient to nightlife, restaurants, St. Catherine's, etc. The rooms though can't be beat. They've been very recently updated, great furnishings, huge LCD TV, giant granite and slate bathroom and some of the most comfortable bedding you'll sleep on in a hotel. Rooms are very clean, staff was friendly and helpful. Parking was conveniently in the hotel and was average price ($20 CAD). Didn't try the restaurant but the bar did look VERY nice. I think this may be my new go-to place in Montreal.	
Oct 16 2009 	How wonderful the hotel and its staff!!!	Hi, My name is Tsering and I would like to share this wonderful experience of me and my siblings who stayed at your hotel for three nights.When we first arrived the gentlemen at the front desk took great care of us and we had no problems checking in.The check-in was fast and professional.The moment we enter our room it gives us feel at home, we requested for a fridge prior to our arrival and it was there. The room was spotlessly clean and smells fresh.What we like the most is the swimming pool which is so well maintained and also the design and deepness of the pool is perfect for all guest, no matter it is for kid as the level of deepness is not that deep so we really enjoyed swimming in your pool.The location was the prime reason we choose your hotel because we came to attend His Holiness The Dalai Lama's public talk which held at the Bell Centre and it was just a walking distance. Overall our experiences in your hotel is so memorable and whenever we drop in Montreal in near future we will definitely stay at your hotel.	
