	Is asking for a fish at a Kimpton that difficult a request???	First off the positive...a very short walk from Grand Central Station. Upon entering 70 Park Avenue I didn't get that &quot;Kimpton&quot; scent that all Kimptons have (sorry but I think Kimpton properties have a distinct fresh scent). The lobby and check-in area were very cramped and I felt claustophobic. Being a dog lover and purposesly staying at Kimptons because they are pet friendly, I found it odd that when I asked the front desk person if there were any dogs there that he didn't know and had to ask the front door man? As we were checking in I requested that a fish be brought to our room. Six hours later, still no fish, I placed phone call and was transferred to a manager's voicemail, where I politely left a message that we had requested a fish and would like one brought to our room which was on Wednesday. Upon check-out on Friday we never saw any fin friends in Room 709, which by the way I would never stay in again. This room was located right near the elevator and by a door that was used constantly by housekeeping staff and when opened or closed made it sound as if someone was knocking on our door. Apparently this hotel does not have housekeeping closets for storage. The whole three days we were there lined up in the hall right outside our room were various carts of towels, etc. The television in our room had serious malfunctions. We set the temperature in our room to 65, but it was a consistent 75?? We never used room service because I do not think any breakfast averaging $24 is worth it. The Silverleaf lounge did offer the customary Kimpton Happy Hour $5 drinks from 5-7 p.m. nightly. We were told there was live music in the lounge, but didn't hear it as it didn't start at the time it was advertized to. I do love Kimpton hotels, but will definitely stay at one of the other ones in NYC next time we are there.	
Nov 8 2009 	Great New York Boutique Hotel in quiet Neighbourhood	70 Park Avenue is a lovely hotel in a great area of Manhattan. We were able to walk everywhere and we did just that. Grand Central is only mins away as are various bars restaurants etc... Thoroughly recommend Moonstruck 244 Madison avenue for good value burgers and the like.... The room size is good the bed is absolutely fabulously comfy and it was a lovely surprise for my husband to receive a bottle of bubbly and a small birthday cake shortly after checking in. Thank you very much !! The rooms were kept lovely and clean and we had a glass of wine each evening &quot;on the house&quot; between 5 and 6 another lovely touch. Would thoroughly recommend this hotel and next time we visit New York it will definitely be to this hotel.	
Oct 19 2009 	Great location overall a nice experience with minor caveats	Overall, a nicely-appointed good mid-price hotel in Midtown.Before you book, ask for a room on a higher floor to avoid street noise. We were on 3 and had a sleepless first night. Staff moved us the next day. Also be aware that the heat isn't turned on unless it drops below 45 degrees (friendly staff shared this with us.) When we asked for heat, they brought a space heater. Cozt rest of stay - so both problems corrected.Would stay again if I had business in Midtown nearby. Wouldn't be my first choice.	
Oct 19 2009 	Good choice for Murray Hill/Grand Central area	Hotel was well located and close to Grand Central -- the room was on a &quot;non-view&quot; side but was decent sized (as everyone else has said) for NYC, about 3 feet around the bed, which is okay. The mini-bar was well stocked and we did not hear any noise from the other rooms. Nice desk and fixtures in the room itself. The bathroom was not the greatest and the shower had low pressure, but the bed was extremely comfortable. Staffing was strange - it seemed like there were only 2 people who worked there - the bell captain and the reception desk person, and they had a hard time handling the 4 people in the lobby when we got there - not sure if this was because it was a Sunday.	
Oct 15 2009 	Don't go there	The first room we were given was dark,very small and extremely noisy. The staff leave the radio on in the room in a vain attempt to drown it out ! We were told that we couldn't move as the hotel was full that night. The receptionist seemed to be expecting our complaint and moved us the next day. The source of the noise is a huge air conditioning unit belonging to another hotel. We were moved to a room ten floors directly above and the noise was still annoying. Do not stay here if you like sleeping at night !I would be surprised if the rooms we stayed in would meet UK standards due to the noise levels.	
Oct 14 2009 	Excellent Location Comfortable and Friendly Hotel	A perfect hotel for a girls shopping trip to the Big Apple. Located a short walk from Lord &amp; Taylor and Macys and a few blocks from the subway at Grand Central Station with the express trains to Uptown and Downtown Manhattan. The rooms were a good size (by New York standards) with comfortable beds. The staff were friendly and helpful and check-in/check-out was quick and straightforward. The rate was excellent and included a more than adequate buffet style breakfast. I would happily stay at this hotel again.	
Oct 13 2009 	extremely comfortable	We liked 70 Park Avenue, our room was spacious and comfortable, for B&amp;B the rate (through travelzoo) was reasonable and above all the situation so close to Grand Central was great. The breakfast was most enjoyable. The position of the hotel was quiet and although we could hear the air conditioning unit it didn't stop us sleeping. Loads of useful touches we think, eg availability of an umbrella. The staff were very helpful, and we did need their help! The wine reception was most welcome...So, we wish there was a hotel in London to compare.	
Oct 12 2009 	Very nice space and spot right on Park Ave	I will return to the 70 Park Avenue Hotel now that I have found it. it's a terrific hotel with small (but NYC typical) rooms that are well laid out and comfortable. With its Kimpton touches, it makes one feel at home quickly. Plus it is away from the tumult of Times Square and only about a ten minute walk across town from Penn Station. It's about four bocks from Grand Central.	
Oct 8 2009 	good but not up to Kimpton standards	I've stayed in a number of Kimpton hotels and generally like them. The service at Kimpton hotels is generally very good, and 70 Park is consistent with this. The hotel has a small footprint and, for example, the elevators are small and somewhat slow, the lobby is smallish etc. Where 70 Park gets lower grades is on its overall appearance. As noted in several reviews, the place has a bit of a rundown feeling, the carpets and fixtures are worn, the rooms seem in need of sprucing up. Room rate was pretty good on promotion ($280/night), and the location is great, so not at all bad (I would give it sort of a 3.5 out of 5). I might be inclined to try a newer Kimpton property in NYC if I could get roughly the same rate.	
Oct 5 2009 	Excellent location decent hotel	Spent 1 night at 70 Park Avenue in October - overall stay was great, especially for the price paid (&lt;$200).We were arriving and departing from Grand Central - so the location was perfect (literally 2-3 blocks away). Lobby was relatively small - and included a small seating area, and tables with laptops to use (free wifi was also available throughout the hotel). We missed the afternoon wine reception, but seemed like a nice touch. Check-in was quick and easy, desk staff was friendly and helpful. Our room was on the 2nd floor facing the street, at the end of the hallway. Street noise was not an issue at all. I'm assuming this wasn't one of the better rooms (2nd floor), but it was completely acceptable.Room was decent size for NYC - certainly not cramped. Bathroom was very large and clean. Bed was comfortable. Huge plasma screen TV and ipod dock were nice. Overall I wasn't blown away by the room, but for the amount of time we spent there it did the job - no complaints.When checking out we were asked if we wanted to store our bags at the hotel, which was great since we did not catch our train until that afternoon and weren't looking forward to carrying our bags around NYC for the day.Overall - highly recommended, especially if you're arriving/departing from Grand Central and want to stay in midtown.	
Sep 24 2009 	Never again...	This was my second visit to Manhattan.70 Park avenue Hotel I had checked in and they confirmed my reservation for a king deluxe room. They gave me my keys and sent me to a room on the 7th floor. I found it odd that the room was a step and a half right in front of the elevator doors. My first thought was this was going to be a noisy stay. I walked in to what was supposed to be a king deluxe room to find a tiny bed there. The room was terribly small. I knew this couldn't be right so I went back downstairs to ask the girl at reception what type of room that was. After playing on the computer for a minute she admitted that I had been &quot;downgraded&quot;. However, the price of the room was to remain the same rate as a king deluxe. She offered me a free continental breakfast to make up for it. I was quite angry. Not only was I downgraded but they tried to pass off the same rate as a king deluxe. I could get breakfast from starbucks down the street. I demanded a king room just as was reserved and confirmed. She told me there were no rooms left. I demanded that she find something upgraded in that case. Going back to her computer she miraculously found a king deluxe room. Off I went to the new room. Nobody helped me move my stuff I had to go up and down bringing keys and moving my bags. What service. When I brought the keys to the old room back, upon my arrival back to the new room there was a man in there, saying he was &quot;checking on the mini bar technical difficulties&quot;I did not like that. I didn't trust him not to poke around in my stuff. The mini bar was locked anyhow. So he never did &quot;fix&quot; it. Well I should have stayed in the previous one as this was the size of a shoebox with a bigger bed. I came to realize soon after that she placed me right beside the maintenance room that had a heavy door that would slam at least every 20 minutes throughout the entire night for the entire duration of my stay. Needless to say I did not sleep much after being jolted every 20 minutes. I was considering going back to reception to change rooms but was afraid of what they would come up with next, and wondered what other strange people would pop up in my room unexpectedly. The room is very dark, not many lights. The bathroom is miniscule. The blinds had brown stains all over them. The bedding had holes in it, as well as the sheets. Housekeeping changed the towels but did not clean the sink nor the bathtub. I have stayed in Manhattan before at the Hilton Garden Inn, and their rooms were immaculate and huge, that was luxury. I did not partake in the wine reception. I was too tired from lack of sleep and really didn't want much to do with anything else at this hotel.Instead I took a cab to the lounge at the Time hotel...now that was lovely.	
