	Not recommended	This Hotel really sucks... from outside it looks nice and is close to Times Square, however, the hotel does not deserve 4 Stars.Its an old Hotel and the Hotel Lobby is nice, but the rooms are really bad and small.... I was there with my Mother and we had to split a Queen size bed, they said that they dont have double beds and not even King beds and that i received a complimentary upgrade to Queen Size Bed anyways....usually they give out full size... even for 2 people...I found out then that they had Kingsize Beds and did not gives us those...Anyways, rooms are really small and very dark...some rooms doesnt have a window etc...If you get a nice room, it might be ok... but the standard for this Hotel is not 4 Stars !!	
Nov 21 2009 	The Algonquin Hotel just oozes charm and elegance.	It was our first trip to NY....the hotel was so central,it made life very easy for us.The Staff were very helpful and courteous.We will be back!	
Nov 21 2009 	Algonquin lived up to my expectations	I have long wanted to stay at the Algonquin due to its history. We stayed just one night on a weekend trip to the city for a couple of Broadway shows. The hotel was just as I had imagined. They are quite proud of the literary history of its Round Table group, and this shows from the detail in their gorgeous lobby/restaurant to the New Yorker cartoon wallpaper in the corridors to your room. Though our reservation booked via a deeply discounted website was for their smallest room type, we were upgraded to a larger room with bay window and two beds. The bellman who showed us to our room was very pleasant and obviously proud of the hotel. The room decor was absolutely lovely and the place was spotlessly clean. The location is absolutely perfect and I will definitely make this my hotel of choice when a reasonable rate is available - so hard to find in NYC.	
Nov 11 2009 	Fabulous New York Hotel	We stayed from 5th November to 9th November for shopping/site seeing and Bruce Springsteen concert at MSG. We had been to NY before - this stay was truely memorable. Such an amazingly comfortable and friendly hotel. Beds - so comfortable - bliss - as mentioned in other reviews. Lovely hot showers. Relaxing room space. NYC is noisey, you expect it - so what - we always travel with ear plugs, but hey, it did not spoil our sleep time and did not always need them. Would readily book the Algonquin for another visit to NYC.	
Nov 9 2009 	The Algonquin Hotel is FANTASTIC!	After reading some of the reviews before my trip; I must say I was a little nervous. Well, the hotel exceeded my expectations! The historic elegance and charm is absolutely wonderful. Matida (the resident cat) greeted us upon arrival (she is so cute, fluffy and has a little attitude - which is just fine. We arrived before regular check-in time (12:00 noon), so our suite was not ready. I was a little disappointed as I wanted to get settled in before we started our day. The conceriage checked our luggage so we left for awhile until the room was ready. The front desk staff were very accommodating and courteous. Our suite was actually better than I anticipated (given the photos and comments on the size of the rooms). The suite has a living room with pull our Queen size bed and adjoining bedroom with a King size bed and a nice size washroom, walk in closet, bathrobes, etc. etc. The other adjoining room was a twin room which was small, but more than adequate. The decor is a combination of old and retro, very chic and has various books for your reading pleasure and funky prints on the wall (and yes, there may be a spec of wall paper peeling or grout discolouration but it is cleaniness that really matters - The maid service was excellent, and rooms were very kept and well equipped. The room rate was fairly good, given the location; and yes the drinks and food was little pricey (but excellent!). Let me remind you....you are in New York City.The Bartenders were amazing and I highly recommend the Lemondrop Martini (made with fresh lemon juice - simply divine). 10++ I will definitely return to the Algonquin.	
Nov 9 2009 	I would recommend this place to anyone	My teenage daughter and I went for a long weekend trip to NYC and stayed at the Algonquin. I had heard that it was very historic and quaint. The room/bathroom was spotlessly clean, while it was small, however we were not in the room all that much , The concierge, Daniel, was very helpful in recommending a nice restaurant for dinner, (not too pricey) and giving directions to shopping spots. Matilda the cat was ever present, making this place even more special. We stayed on the top floor facing the back, so it was very quiet in the evening. All around, a wonderful hotel.	
Nov 5 2009 	Great Hotel -- Great Find	I stayed at the Algonquin for 4 days in October 2009. I thought the hotel was very charming, reasonably priced for NYC, and we received excellent customer service. The beds, bedding and pillows were perfect! I slept like a baby. I thought the room was quiet and while small, not unusually small for NYC. It was perfectly acceptable. The location was perfect. There was a doorman that was very polite and helpful in getting us a taxi. The person who carried up our bags was extremely charming and recommended their signature martini in the bar. I am naive and didn't realize how expensive it would be -- $17! So unless you are a martini connoisseur or something, be warned! I wasn't sure if that was a normal price for NYC -- I did see a price of $14 elsewhere. We did not eat there, but instead at at a place directly next door that is always packed but reasonably priced and good food. We did have a problem with the air conditioner when we checked in, but within minutes after calling, a man came to repair it and we had no more troubles. I would definitely stay there again. It is so hard to find the perfect place and let's face it, hotels in NYC are so expensive. So this is a keeper. The location was perfect, the service was perfect, the beds were perfect, they had an iron, they had a blowdriver, they had Bath &amp; Bodyworks bath products, great towels, quiet room, great staff.......and a cat, this is my kind of place.	
Nov 2 2009 	Great service great location and some unexpected extras!	We just got back from another stay at The Algonquin in NYC, our favorite hotel. I never thought of it as haunted but treasure its’ storied history. However on our ride up the elevator during this stay a woman (a bit freaky but not a ghost) asked us “are you feeling anything on your side of the hotel?” My first thought was earthquake? I laughingly said “no the round table wouldn’t haunt the place. They weren’t exactly a happy bunch here– why would they hang around?” Then I remembered in a previous stay I was on the elevator and I heard the song in my head “I’m In The Mood For Love” and I jokingly asked aloud who was singing it? To my husband and a fellow passenger ‘thinking about it?’ They responded negatively as if I were nuts but I secretly enjoyed the communication from somewhere?? Back to the most recent stay. We are in the lobby again waiting for the elevator, the doors open to a woman who has luggage and is exasperated. I ask “are you getting off?” She responds with a little whimper in her voice “no I’m trying to get to my floor, the 9th floor but it won’t stop there!” I laughed and confidently entered the elevator, making a joke about it really being haunted but since we are regulars here we’ll ride to her floor and see her off safely! Meanwhile, it stops at every other floor – opens to no one and closes– very creepy, we finally got her to the 9th floor and return to our 5th floor safely.That night while sleeping in the comfy hotel bed I am awakened as I hear a noise similar to moving furniture (a dragging as if on a wooden floor only the hotel rooms are carpeted). It is coming from above our suite which is 506. Dorothy lived and as someone wrote attempted to die many times in 1106. Now awake and alert I ponder the ghost hunter on the elevator with a sort of respect – not fear – I’m so fond of Dorothy and her gang, I know she’s not evil – I wasn’t afraid. Again the next day in the lobby we wait for the elevator, we get on but it’s tiny and 7 other people squeeze in and I start singing in my husband’s ear unconsciously “I’m feeling claustrophobic simply because you’re near me” to the tune of “I’m in the mood for love.” Later in the lobby over a very dry martini I Google the song on my I-phone – convinced the writer might have stayed here – to find out it was written by a very successful female lyricist named Dorothy Fields! It’s funny that we assume it’s the most famous haunting us. It could very well be anyone. The song was a hit as was the hotel for many years. I know I’m not famous but when I die if I could choose where I would hang out The Algonquin and New York City would be my first choice.	
Nov 1 2009 	Eh it'll be fine.	I wouldn't pay full price for this hotel, but it was all we needed for a weekend trip to the city: great location, good service, clean rooms. The hotel had a old New York feel and caters to older people. The rooms are small but tidy and well maintained. You could do worse, just don't expect a hip scene.	
Nov 1 2009 	Classic boutique style hotel with grace over luxury.	First impressions of the hotel are of a bygone elegance with a feeling of a private members club. The lobby has art deco character with big-apple charm and was invariably lively, with all-comers revelling in the history and ambience of the hotel.Staff are friendly and attentive, but their availability was rather erratic with sometimes as many as 5 or more staff around the reception/concierge, down to occasionally just one (very busy) clerk! If you need to ask anything, catch them while you can - don't leave it until another time as their may be no-one free to help you then! Don't read too much into 'small/slow lifts' comments. There are 2 available, each holding 8 people. They'll get you to your floor smoothly and more quietly than most, so those opinions are relative. Same goes for the bathrooms. Plenty of photos have been posted which show the rooms with a bath, a shower, etc... and easily enough floor space for more than 1 person. I guess some people need more 'space' than others. When it comes to the rooms themselves though, comments universally confirm that they are definitely small. The hotel's own site photos show only the larger rooms and suites, which don't form the majority of accomodation. Having said that, we had a large suitcase each, which were adequately stowed and their contents stored in the wardrobe and chest of drawers. There was still space and hangers to spare and with 2 armchairs, a desk and bedside tables too, there's a lot of furniture. So if you plan to spend time strolling in your room and want lots of floorspace, you'll probably need a suite here. Otherwise, if like the majority of us, you want a haven that is very comfortable, clean and provides superbly located accomodation that is just perfect for a respite from the day's strolling around New York sights, then you should find it here. Want a quiet room? Ask for one at the back of the hotel AND away from the lifts. (In New York, a 12 storey hotel is not going to offer you 'views' of anything worth seeing and all rooms that front onto the street will be noisy 24/7.) To help you explore the sights and get around in general, consider buying a Metrocard - a top up card for travel on New York buses and subways. Being so central though, there are many places to eat and drink nearby but I would suggest avoiding any of the restaurants alongside the hotel (although they are, perhaps inevitably, recommended by hotel staff) particularly the Greek restaurant, which is overrated, pretty expensive and the service slow PLUS there's not a Greek person in site, which whiffs of pretention. The exception is the coffee shop/diner almost next door (called the Red Flame I think?) which is always frequented by New Yorkers and it's easy to understand why. Highly recommended. Take note too that although hotel's own bar and restaurant are fine, their drinks are so expensive, it's hard to really enjoy more than 1 (eg. $17 for a glass of wine)If they're important to you, you may also want to take the following into consideration too:Pros: Housekeeping left a daily complementary bottle of water and the safe in the room was free of charge. Cons: There are no tea/coffee making facilities and housekeeping never did a turn down service in our room. Minibar was available on request only.Top Tip: Shop around for prices to this hotel. According to what some reviewers on various sites are quoting for travelling at the same time, we got an excellent deal. This has inevitably affected our viewpoint.	
Oct 26 2009 	I would MAYBE stay here again.	I got an amazing deal($100) with Priceline for this hotel, I got lucky! I stayed here for one night and it was a good experience. The only downside of it was that my bath tub got clogged while I was showering. The weird thing is that it must have been for a while because my hair doesn't really fal out. I didn't tell them because I wasn't staying there another night, but the tub was still clogged when I checked out the next morning. The beds were beyond amazing, I always thought Marriott had the best beds but this hotel beat them. It was very vintage looking but it was really nice. The staff was very friendly, the area is perfect for people who like to be near everything. You have Times Square a block down and 5th Avenue two blocks up. Good location!	
