	value/location/clean	This hotel is for those looking for location,price,and cleanliness, not 5 star. This hotel was on central park west, 2 blocks from a subway, basic but clean, helpful staff, fuzzy tv reception, private bath, requested room with a balcony and overlooking central park, got both. Paid with tax $134 in nyc november. I saw hostels with shared bathrooms for that price.	
Nov 24 2009	GREAT HOTEL	I went to NY together with my sister in end of June and beginning of July 2009. We came to the hotel in the evening and was met by a door man and he took our luggage in. We got the key to our room and we took the elevator up.Found our room and was surprised how BIG it was.Everyone of the emploies in the hotel was great.Got good service.We got good contact with some of the doormans chatted with them when we were outside to smoke.One of the doormans could loads of languages.We even thought him some Norwegian.He told us where we should go and what we should see.He even recommended Top of the rock insted of Empire state building because in Empire state building we had to wait in a long line and we didnt see so good there the wiev.Top of the rock was jsut great to be on.The destination from the hotel to Time Square wasnt to bad. We even walk down there and back up the same day.The subway wasnt to fare from the hotel and the trip wasnt to bad...So people I hope you willstay here.,,,,,,,,,,,,,, GREAT HOTEL	
Nov 24 2009 	Nice clean hotel with very friendly helpful staff	stayed at this hotel for a long weekend of shopping and sightseeing. The location is great, the room wasn't the biggest but it was very clean and maids came in everyday.All the staff were extremely helpful and friendly, especially Sam the doorman, lovely guy!The subway is a five minute walk from the hotel. Basically, the hotel is clean, cheap and cheerful and i would definately stay there again.	
Nov 23 2009 	Brilliant stay at this hotel	This hotel is opposite central park and subway into the centre only 3 blocks away. Me and my friend stayed here. Clean, own bathroom, room small but we didn't spend much time there, just somewhere to sleep and wash. Hotel staff very helpful, we booked our sightseeing bus tour at hotel. Great little diner about 2 blocks away recommended by hotel and they even booked our cab back to airport, which was the same price as yellow cab but a licoln car, looked liked a limo. Price was good and couldn't fault this place. Definately recommend to others.	
Nov 10 2009 	Excellent locations and even better price!	After searching for weeks for a hotel I could afford for my first trip to the city, I had all but given up when I came across the Astor for only $55 dollars a night! I was weary of the quality or location of the hotel because it was so cheap, but it was perfect. The room was small, but perfect for me and my boyfriend. We even had a veiw of the park (which was directly across the street) and of the city, though it was far away. It was a nice quit snowy couple of nights. There are some good places to eat right arounfd the corner too. Im going back this december and we've booked this hotel again!	
Oct 16 2009 	Great Choice for the Money	We stayed three nights on our trip to NYC and found the hotel to be clean, the staff extremely helpful. The hotel is similar to many European hotels at which we stayed in the past. The location was good when you can't afford the $300 plus a night per person to stay in Manhattan, or don't wish to spend that kind of money. Although there is no breakfast at the hotel there are restaurants within easy walking distance from the hotel and the neighborhood is clean and safe. We did not use the subway, which is only a few blocks away, because it was down for maintenance but we found the cab fares to downtown and Manhattan to be reasonable. We definitely would stay there again if we visited New York.	
Oct 12 2009 	Great deal for the price...	A bit out of the way from downtown but certainly not an issue. Near subway station which made getting around easy. Not very touristy...more authentic New Yorker feel. Hotel is a great home base and right across from Central Park West. Don't stress the negative reviews, this is great.	
Sep 30 2009 	Minimalist accomodations	I booked a one-night stay at this hotel on a whim through lastminutetravel.com at an obscenely low rate. Check-in was painless at about 2:30 p.m. on a weekday afternoon; I was offered smoking or non-smoking room at that time. I was not given a room with a view of the park as I requested upon booking, but I did not make an issue of it because I did not intend to spend much time in the room (other than for sleeping). I checked out at about 7 a.m., and waited only a few minutes for a clerk (shift change). All the staff I encountered were very pleasant and friendly.Room: I was given a room with two beds, and there was more than enough room for my stuff (solo traveler). Storage space was limited to a wall unit that doubles as a TV stand. The bathroom looked modern, and was immaculate just like the rest of the room. As with many older buildings, the hot water took several minutes to become available. I did not wait longer than one minute for the elevator, although the car does move quite slow. Then again, I only saw one other guest during my stay, so the hotel was probably far from booked.Location: Just opposite several entrances to the north end of Central Park (between 106th and 107th on Central Park West), which is beautiful and relaxing with its ponds and wooded trails. The area is quite populated even during off-hours of the evening, and with the seemingly posh doorman buildings along most of the drag, it does not seem to attact many troublemakers. The B and C subways stops are located on the same block at 103rd and 110th Streets...very convienient. The 103rd Street station actually has a live person in the ticket booth (for tourists that need help, etc.); I did not use the 110th Street station. It is about a 15 minute ride to midtown on either line. I walked around the area to survey the restaurants and, quite honestly, I did not find any places I would have went into if I needed a meal.Bottom line: If you can snag this hotel for $50-$100 per night, I do not think you will be disappointed. Other than internet access in the lobby, the hotel offers no ammenities. So if you need all the creature comforts (like more than 10 TV channels), I recommend that you book a room at a chain hotel.	
Sep 22 2009 	Clean and Efficient Hotel	We got a good deal to this hotel through lastminutetravel.com and was happy to get a room with a private bath for the price of a hostel in NYC! The hotel is located on 106th and Central Park West, it is convenient to 110th and 103rd subway stations as well as plenty of buses that run near by. We arrived really early in NYC since we caught a red eye plane and we showed up at the hotel around 9am to drop off our bags. We were initially told we couldn't check in until 1pm at the earliest. My husband had to do some last minute stuff for work so we sat downstairs in their small computer station area. The manager saw that we were waiting for a room and was able to give us a room around 11:30 am.The room was small, a bit claustrophobic after the two of us were in the room with our luggage but it served its purpose as just a place to sleep for us. The private bathroom was small but clean. The shower glass was only half way so it made taking a shower a bit harder since I was trying to make sure I was splashing all over the place.The staff was friendly and we saw mostly European tourists around. It is an old building converted into a hotel so you can hear people walking above you and the water pipes going.It's a bit further from all the action but the subway and buses are just right outside and it was really nice to stroll to Central Park across the street. We didn't spend much time in our room so it sufficed our need for a place to crash at night.	
Sep 13 2009 	Ok for it's money but it just isn't a 3 star hotel	While LastMinuteTravel claims this to be a 3 star hotel, it just isn't. If you're looking a 2-ish-star hotel with private facilities, this is fine for the money. Near a subway station that will bring you fast into mid- and downtown Manhattan, affordable, and clean enough.	
Sep 13 2009 	Astor on the Park represents good value for money and forms the ideal base for sightseeing in New York	First let's get the negative points out of the way. Yes, the lift is slow and sometimes it is easier to use the stairs. Some of the rooms are small, but all are clean and each bathroom is decorated to a high standard, the hotel having been refurbished in 2005. The individual air conditioning units fitted in each room are effective but a little noisy. There are no other facilities at the hotel apart from the bedrooms, a reception area and a drinks machine and Internet station (expensive) in the basement. Now the positive points about this friendly small hotel. It is well placed on Central Park West and is very reasonably priced. The staff all tended to be friendly and helpful and were happy to engage in conversation and offer advice on places to go and things to see. The hotel is frequented mainly by European guests making it feel comfortable for other visitors from the UK/Europe. Being able to walk out of the hotel and straight into the park is a real bonus. Even at the north end, the park is really well used, with many joggers and people exercising during daylight hours. It is a relatively short walk across the park to the Guggenheim Museum (at 90th Street on the east side). The hotel is very well placed for the subway (B and C lines) being located between the stops at 103rd and 110th Street (110th Street is slightly closer). A trip to downtown takes around 10-15 minutes, and with a weekly ticket for the subway and buses ($27) makes getting around NewYork cheap and easy. There is a very modern and well-stocked Supermarket on 110th Street (Cathedral View) and a small American dinner one block back on 107th Street (La Exquisite) that is convenient for breakfast with a typical meal of omelettes and coffee costing around $10/head. A short walk away from Central Park down Louis Armstrong Avenue (and across Manhattan, Columbus, and Amsterdam Avenues) brings you to Broadway which has a good range of reasonable restaurants at sensible prices. The area between Central Park West and Broadway is a little rundown, although it seemed safe enough to us. Two other places worth mentioning that are within easy reach of the hotel are The Hungarian Pastry Shop (near the junction of 110th and Amsterdam Avenue) for cakes and coffee and Miss Mimmis Café (on the corner of 110th and Columbus Avenue) for a really good taste of a Southern kitchen.Overall, we had a really good stay at the Astor on the Park Hotel and would certainly stay there again in future.	
Sep 12 2009 	excellent value for money	me and my husband stayed here for 3 nights last december, i had read the reviews and was really worried about some of them and even concidered changing hotel, but once we arrived at the hotel i thought it was fab, pretty basic really but excellent value if u are on a budget.i was worried about the location but dont be the subway is a few minutes walk away and its so cheap to use and once you get used to it its fab and will save u loads on taxis.i would def stay at this hotel again!!!	
Sep 3 2009 	Great Value hotel	After booking this hotel and then looking at the reciews, I was a bit nervous about arriving. We arrived after a long flight and nearly as long journey from the airport (don't book a shared cab as we were the last stop after battling rush hour traffic!). The staff were friendly and welcoming. While the room we had was at the back of the hotel, so no view, the room was clean and we were surprised at how quiet it was! As we were tired after the trip the receptionist ordered us a pizza which was delivered straight to our room.Although you are a bit out of the centre, being able to cross the road straight into central park for a jog or walk was wonderful. There is a small cafe just on the corner of where the hotel is for breakfast pancakes or bagles. As there are 2 subway stations on 103rd and 110th streets (less than 5 mins walk away) it is quick to get to the action downtown. A taxi back from Times Sq is approx $11, so not too bad for getting back at the end of a night. I would certainly recommend this hotel for those people on a budget who aren't bothered about travelling on the subway to get to the hub of the city.	
Sep 2 2009 	WYSIWYG - Value for Money	The Hotel is pretty simple, but very clean. It was cleaned everyday, new linnen and towels also every day. Air conditionning was a bit stressed, but worked (Pretty loud). Very friendly staff. The location is very nice, directly opposite Central Park, and within 5 walking minutes to subway and bus. So ideal for sightseeing in Manhattan. Cheap Shops and Restaurants in walking distance. We were absolutely satisfied. If you do not mix Astor with Astoria and expect the low price for the latter, you will be happy.	
Aug 26 2009 	Great Location	My husband, 15 yr old daughter and I recently spent 7 nights at the Astor and were very satisfied with the accommodation, which was basic but very clean and fitted our needs for somewhere to sleep after very long hectic days. The staff were friendly and helpful.I loved the location of the hotel which is opposite the park, and in walking distance of the Mornington Heights area which is very Hispanic and has the most amazing restaurants.After the noise of the city the Hotel was a great place to retire to, with very little outside noise from our room at the back, so a perfect nights sleep.The Hotel is located between two subway stations 103 and 109th Street which were great for getting in to the hub of the city .I would deffinately, recommend this hotel is you want good value for money and somewhere just to lay your head.	
Aug 19 2009 	Enjoy a quiet respite close to the hustle and bustle of NYC!	Stayed at the Astor on the Park for three nights and thoroughly enjoyed our time there. We booked a king room at a very inexpensive rate and had a nice room with a view of Central Park directly across the street. For those who wish to take in the Bright Lights, Big City, you can easily take the subway 3 blocks away and be in Times Square within 15 minutes. This is a great hotel for those who do not wish to duplicate the &quot;big box&quot; experience of the large chain hotels and instead want a more low-key, European-style hotel. The neighborhood around Astor on the Park on the Upper West Side of NYC is one of the selling features of this hotel. Walk or jog around the Central Park Reservoir, rent a row boat or sit by the lake at the Boat House Restaurant bar and enjoy a drink or snack. Within walking distance or a short subway ride uptown are the Metropolitan Museum of Art, the Cathedral of St. John Divine (the largest cathedral in the world), Grant's tomb, Columbia University and Tom's Restaurant---the diner which inspired the setting for the Seinfeld TV series.The room was not grandiose, but it was clean, quiet and comfortably cozy. The multilingual staff was extremely helpful and courteous and gave us their utmost personal attention. The Astor on the Park serves as a great base for exploring New York City and we would definitely stay there again.	
Aug 7 2009 	A true "good value" hotel	it up there - 106th and W. Central Parkway - but its 3 blocks from a subway stop that goes straight into midtown and in a good neighborhood. Its really basic, clean and basic. But if you are going to NYC and you aren't planning on doing anything but napping in your room, its perfect. Lots a europeans seemed to stay here.	
Jul 28 2009 	Pay a little more and stay some where else.	Many of the reviews about this hotel rave about its location. Well the location aint great. The Hotel is situated around about 105th street. So thats atleast a 1 hour walk from Times Sq (60 blocks away). The subway station might not be far, but there are no bars/restaurants around this hotel, so you will spend every morning and every evening on the metro.That said, when i got to this hotel, i did not even stay here.I booked a twin room (travelling with my father) and on arrival was given a small double room. The bed was not even a double bed. The woman at reception had the cheek to send us up to the room, knowing it was not a twin room. The room was dark, and looked pretty unclean. My father did say the bathroom was ok, but i never looked at it. I was straight down to complain. I showed the woman on reception my printed hotel booking showing i had paid for a twin room, capable of sleeping up to 4 people. Did she care? No. She said, on our booking form it shows a double room. Great customer relations. I asked if they could move us into a twin. She said they were fully booked.So i was forced to move to a different hotel, and i did not get a refund. I am claiming for a refund through my credit card.Many have mentioned this is a budget hotel. Well it's not that cheap. We moved to a hotel opposite madisson Sq garden on 34th street, right in the middle of the action. Yes we had to pay around £125 more for 4 nights, but it was worth it. Just because this is NY dont think, this hotel is good value. The hotel is in a bad location. Its only close to the park. You will have to get on the subway morning and night, and the room i got looked awful. There are plenty of cheaper and better located hotels in NY.Dont be fooled by these positive reviews. This hotel is rubbish. I was fooled by these reviews, &quot;great location&quot;. I guess these people have never been to NY before, or simply dont know much about big cities. The location sucked. The hotel sucked. The girl on reception sucked.	
Jul 21 2009 	GREAT RATES AND VERY CLEAN	Stayed for 3 nights loved it the rates were great and very clean just a couple blocks to the subway and right across form Central Park. Only suggestion is to take a cab to the hotel when u have luggage as the subway that was close didn't have an elevator but the cab to the port authourity was only $12.00. Would definitely stay there again.	
Jul 9 2009 	excellent budget hotel	Myself and 3 friends stayed for a week at astor on the park and considering we payed a very low price for the stay we were absolutely delighted with the hotel. the service was excellent and the really nice porter helped us with our bags to our rooms straight out of the taxi. i had a fairly small room but with 2 very comfortable double beds and myself and my friend were never on top of each other and the bathroom was roomy, modern and very clean. rooms were cleaned and beds changed every day. my other friends had 2 double beds also in a nice large room with view on the park. there was never a problem with noise, not even with the air conditioning. there are vending machines and internet facilities as well as an atm and the staff was excellent and always ready to help (24h/7). we felt like we had to leave a good review as we thought the hotel deserved it. never mind the bad reviews, but if you want luxury then you have to pay for it. the location was nice as it was by central park and in a quiet neighbourhood but within 5min from subway and with bars and restaurants. all we can say is that we will definitely stay there again! (we are 30yr old and have travelled a lot and stayed in a lot of budget places but this one beat them all )	
Jul 8 2009 	I recommend it	Small, clean, nice. I've been to hotel all over the world and this fits perfectly in its category. The location is much better than what I had expected. Walking distance to everywhere. No Restaraunt, but there are plenty of cafés and dinners that did not fail to please. I would not only recommend it, I'd go back to it. Exactly what I was expecting. A place to stay in NYC.	
Jul 6 2009 	Terrific value: Very comfortable for a budget hotel	I've just returned from a 5 night stay at this hotel and after reading the reviews I was pleasantly surprised.First of all the location. Some might say that it's a bit out of the way as it's situated overlooking the top left hand corner of Central Park. However it's a 3 min walk to the subway and buses regularly stop directly outside. We went to see a couple of shows off Times Square and it took us about 25mins from leaving the theatre to entering our room.There are several delis close by and as I already said the park is directly opposite - great for relaxing walks! (should you want to do even more walking in New York!)The room was quite small but the bed, bedding and pillows were very comfortable. Also, the bathroom was relatively small but the shower was hot and powerful. There was a lovely selection of toileteries in the bathroom and these were topped up each day.The staff in the reception were helpful and friendly. Check-in is after 3pm but we arrived at 2pm. This wasn't a problem and we were given our room straight away.The only drawback was the heat in the room. There's a fan in the room but this was quite noisy. We kept the window open but then heard the noise from the road outside during the night. Despite that I think that this hotel offers terrific value and is very comfortable for a budget hotel.	
Jun 28 2009 	Is it me !	Why do people expect so much when they know they only paid peanuts!I travelled to New York with my son back in April , and like a lot of people I had a budget . Eventually I found the Astor. (readers remember its a budget hotel you get exactly what you pay for !)We arrived about 11.00am , after a cab ride from the airport JFK (expensive!) the driver knew exactly the hotel location.The hotel is on a main road but this doesnt effect you're stay, the reception is light and airey for a smaller hotel , we were greeted by a very helpful manager and even though we were early for checkin he found the room was ready so straight in ! we were on the fourth floor the room itself was functional quiet and clean , and a maid daily, we didnt have much of a view but who needs that in New York ! and the location is excellant right across the road from central park with subway stations a couple of blocks away , which get you to the heart of Times Square in about 15/20 mins. As in all US hotels it was room only so the Astor is perfect for people on a budget like me , I don't quite know what a lot of people expect when the arrive , I read things like 'DISASTOR ON THE PARK' whats the matter with you why dont you stay in downtown Manhatten and pay hundreds of dollars a night .Locally there are cafes and shops and you feel like you are in a local area as aposed to a tourist trap ! Hope this helps most wont be dissapointed , just remember how much you paid ! and it in NYC	
Jun 4 2009 	Some of these reviewers must have stayed somewhere else	This place is fine. Not really near any amenities but only 3 blks. from subway. Modern, functional and clean. Absolutely OK!	
