	Okay to stay at this hotel.	Liked this hotel eventhough it is in a funny area. 24 hr auto shop across the street, stables for the Central Park Horse just up the street and high rise building construction on one side. It looks like it's in the middle of nowhere but it is in fact close to everything. Felt safe enough to go out for a smoke at night. Not the biggest rooms but clean and the staff was friendly and recommanded an excellent restaurant for dinner.	
Nov 10 2009 	space-heater-heated cold smokey room with a alarm repeatedly sounding	The Best Western Convention Center Hotel has confirmed that they rented out not only my room but other rooms as well without working heating systems with overnight low temperatures of 42 degrees in New York City. The management said, &quot;We told them that it was simply unacceptable for our guests to stay in our hotel without heat.&quot; Unbelievably, the management then rented out these rooms with small space-heaters without any respect for their customers or their brand.I paid for a king-sized-bed room. Without any warning, I slept a twin-sized bed in the cold with a smokey space-heater that caused the smoke alarm to repeatedly wake me. My important trip was adversely impacted. The management says twin beds with space heaters with 42 degree outside temperatures are in keeping with Best Western's brand. Only a smokey room is slightly inconvenient. They offered a 10% discount.I have stayed in no-name extremely inexpensive hotels in the wintertime in mainland China who have a standard of quality that vastly exceeds Best Western's. In Manhattan there is no reason to ever willingly accept this situation.If you are forced to stay here check for two twin beds (each with their own set of sheets) deceptively hidden under a single king-sized bedspread. When I complained, the management called this their idea of a &quot;California King.&quot; This seems like a simply illegal bait and switch to me. Immediately check to make sure the heating and cooling system works. Immediately verify that your smoke alarm will not repeatedly sound during the night. Wait, I believe this is impossible, I advise staying in any of the plethora of other hotels that have heat and at least a modicum of concern for their guests and their reputation.	
Nov 6 2009 	Central Convenient Location - Lovely Hotel	First time in NY and found this hotel. Very reasonably priced for the centre of NY. Everything really convenient - a couple of blocks from Times Square, Subway Station and bus centre. Rooms really clean and quite good size for me and my friend. Very reasonable breakfast included in the price (choices of cereals, toast, pastries etc). Not the most appealing outlook with a garage and building site beside, but no complaints on the noise. Very quiet location. Hotel service very good as staff sorted out everything we requested.	
Oct 15 2009 	nice location	nice location at one block of Times Square, the hotel was ok, good just a week end... nice room but no curtains so hard to sleep with the BIG sign of the hotel in front of my window...	
Oct 14 2009 	If you need to be close to the Javits this place is just fine.	Completely adequate hotel. Rooms small but clean, Wifi works okay, TV doesn't have a zillion channels, but it has CNN and Weather. Continental breakfast is fine if you don't need sausage and eggs and pancakes. The location is what it is: if you need to be close to the Javits center, you can't get any closer. The street is totally industrial, but in fact is never empty since there's a 24-hour auto body shop across the street (catering to taxicabs). Didn't feel unsafe. Plenty of cabs on 10th Avenue any time. Also a 24-hour Dunkin Donuts (in a gas station) and a great little bar/restaurant, Hudson Yards, on 10th and 35th. Amazingly quiet hotel--but the street can be a bit noisy, so make sure you get a room in the back. In a couple of years, this area will be filled with high rises and will be very different, but for now, the hotel is definitely recommended if you need to be in that spot.	
Oct 9 2009 	Not what I expected	The hotel is in a weird area, 2 or 3 blocks up it is ok to walk at night, in the hotel block is not at all! The room was small, even though the bed was big. The matress was old, so it would hurt my back everynight.. there wasnt lots of space to walk in the room. My room smells like cigarettes even if the hotel is 100% non-smoking. The breakfast is thw weirdest thing! All comes in plastic! And is not very tasty... There aren't many channels to choose from on TV, but there is wireless inet in the rooms. Bathroom was quite ok. Reception also.	
Oct 8 2009 	Pros and Cons	I recently spent 3 nights at this hotel while attending a conference at the Javits Convention Center in midtown Manhattan. My experience:It's in a weird-but not scary-neighborhood. There's a big 24 hour taxi repair place right across the street, a building under construction on the right and a horse barn of some kind ('m not kidding!) on the left. But I walked around til 11 pm by myself every night I was there and didn't feel unsafe at all.It can be noisy. The noise isn't from the other rooms or from the hallways, but from the outside. But I'm a mountain girl, so maybe I'm a bit sensitive on this point. Anyway, I always travel with earplugs, so it wasn't a big deal.There's nothing fancy about it, but it's clean and has everything you need, plus a little more, like a pc and printer in the lobby for guest use.The staff was really nice and helpful, which is always a big plus in my book.They feed you a continental breakfast -nothing fancy, but you'll find something to hold you over - cereal, toast, muffins, jiuce, etc.The absolutely best thing was the location. Truly just a half a block from the 11th Avenue entrance of the Convention Center! It's also just 7-8 blocks to Times Square - maybe a 20 minute trek by foot.The in-room wifi was free and better than I've experienced in most hotels. The clientelle is average folks on a budget from all over the world and they all seemed happy to be there. It was half the price of other hotels in the area and I was not disappointed.	
Oct 5 2009 	NYC: Expensive	One assumes that if there is a convention nearby, this is a great place to stay. For the casual visitor to New York City...not so much. The location is not great for transportation by train, but there are plenty of taxi's. It is across the street from what must be a 24 hour auto shop, which seems to like drilling in the night. There is also a train track next door and once a day the place shudders with the train going by. We were treated to on our first day no to no elevator and the second day, no hot water between 12-3 pm. Once inside, it not the largest room, but for the money you can surely find smaller. We actually had a great view. It did feel a little lonely out there on 10th Avenue and that may be its biggest drawback.	
Sep 26 2009 	Good value for money 15 minuse walk form subway	I booked this hotel using the betting option at priceline.com. We got a room at the high season of September for 120$/night – good value for money for a hotel in Manhattan. Hotel is clean. Rooms are small, but good enough after walking all day. It is including continental breakfast. One disadvantage is the location. It is located at west 38th street. 15 minutes walking form a subway station. But it is safe to walk around at night.There is a train that passes near the hotel. Sometimes too noisy.	
Aug 3 2009 	Clean and Comfortable....Great Bargain!	Having never been to NYC before, I wasn't expecting alot from this hotel for the price. I was pleasantly surprised! The location looked a little funky, but once inside, the front desk staff was courteous and friendly and the lobby was clean and cheerful. Once in our room, it was small, but clean with a comfortable bed. We felt very safe there and had a excellent experience! I would stay there again for sure!	
Jul 30 2009 	You Pay for Location	On 38th a block from Javits Ctr., able to park the company van between Javits and Hotel after unloading to exhibit. Was able to access it during my multiday stay w/o extra charge.Great to walk to Javits in the morning without finding a car or show shuttle. My associates were able to go back to the room during the show to take a break and make confidential phone calls. Walked to nearbly restaurants and got gifts in times square. Overall good, new foam style mattress, internet and cell coverage dependable. Had some difficulties with rates as we added and dropped reservations in weeks and days prior to the show. One $ 200 dollar room went up to approx. $ 500, ouch! Continental Breakfast ok.	
