	Fantastic Hotel Great Location	We stayed at the Blue Moon Hotel during November and had a great time.The hotel is lovely with little bits of history all over the place.Our room was lovely and with plenty of room, it also had a small balcony over looking the Williamsburg Bridge. The bed was firm ensuring a great nights sleep. The bathroom was well appointed, but you had to flush the toilet a few times for it to clear. The shower was powerful, but the towels for drying yourself were on the small side.The front of house guy who we met on our first day, Paul, was fantastic. So friendly and full of information. He really made a difference to our stay.We would definitely stay there again. The hotel is in a great location for getting around New York and the neighbour hood has some lovely restaurants in strolling distance.	
Nov 17 2009	Excellent service in a cosy hotel	From the moment we walked in we were greeted by a warm and friendly atmosphere. Fresh coffee was available 24/7. Staff, Andy, Anotella and Kathleen in particular couldn't have been more helpful and welcoming, their presence improved our stay. The rooms were spacious and comfortable, the bathrooms had fresh towels everyday if wanted, free WiFi available in all rooms. A good choice of bagels and pastry's for breakfast even though they were served on plastic plates. Little things like being able to order a takeaway to be eaten in our room, after checking out, still offered us a place to leave our luggage whilst we did last minute shopping, and coffee while we waited for our taxi. The hotel is located right by many places to eat and drink, the subway is round the corner and Broadway and SoHo can be reached by foot/ All in all this hotel is an excellent place to stay for a great trip to New York.	
Nov 11 2009 	Authentic NY on Orchard Street	The Blue Moon Hotel is located in the Lower East Side on historic Orchard Street which is in the heart of the bargain shopping district. I can’t say enough about the staff which were some of the most friendly, accommodating people I’ve ever met at a hotel. You really do feel like you’re coming home each time you enter. A special thanks to Paul for patiently describing the rooms that were available the weekend we would be in NY; thanks to Brandon for all his help, wearing green in honor of the Irish (ha!), and his great stories told from a real New Yorker; and Cathleen with the big smile for making sure everything was going well during our stay and offering to reserve a car for our various departures. The staff is there 24 hours a day and will store your luggage after you check-out if you have a late train/plane departure that day. GENERAL INFO:The hotel is a renovated eight story historic tenement house with 22 rooms. The woodworking outside &amp; inside the hotel is beautiful. Walking into the lobby is a feast for the eyes with artsy paintings, decorative floor tiles and cozy seating areas with tables. Each person receives a complimentary glass of wine upon arrival and a free continental breakfast each morning from 7am to 10am. There is one small elevator and two stairwells to get to your room. Check out is 11am, but you have the option of paying an additional $25 to check out at 12 Noon if you notify the staff in advance. ROOM DETAILS:Each room is named after a 1930’s or 1940’s celebrity including Al Jolson, Benny Goodman, etc. The rooms are not decorated in this time period, but you’ll see framed memorabilia pertaining to your room’s celebrity. The rooms are very large by NY standards, the very smallest being over 320 sq ft.The best kept secret about this place is the beautiful views you have from the higher floors. People pay big bucks in Midtown Manhattan for a view of the Empire State building. Where else can you stay in a 750 sq ft Penthouse (8th Floor) with sweeping views of New York City for $500–$600? All the beds in each room are queen size-- probably because the building is old and they simply can’t get a king mattress up the stairwell. We stayed in the Mickey Katz Room which is on the 7th Floor down the hall from the much larger Molly Picon Room. We had a fantastic view of the Empire State Building out of one window. There were two sets of French doors opening up to an outdoor Terrace with views of the Williamsburg Bridge and East River toward Brooklyn. The window above the kitchenette had a view of the Wall Street area. We had a fridge, but no microwave. Wolfgang Puck coffee is provided. The bathrooms are immaculate, black and white vintage looking tiles with pedestal sinks and Kohler fixtures. The room temperature controls work great. The only two recommendations we both had for this hotel would be 1) upgrade the mattresses and 2) add a microwave. PLACES NEARBY:The hotel is located south of DeLancey Street. The main shopping area, is on Orchard Street north of DeLancey, just a block or two away from the hotel. If you’re looking for a nice leather jacket or coat, you’ll find it here for less than $100. Also, you will see Ted’s Formal Wear which houses suit jackets in the back and vintage rock-n-roll t-shirts in the front. They sell drink coasters made from actual old vinyl record labels. Only in New York. Directly next door to the hotel is the Tenement Museum and Gift Shop. You’ll find very good quality New York souvenirs here....not the junkie stuff you find everywhere else. One more block up is Houston St. where you will find Katz’s Deli and Yonah Schimmel Knishes. Both establishments have people lined up outside the door to get in. Yes, it’s that good. Near the hotel on Orchard St. are three recommended places to eat: 1) Orchard 88, a popular neighborhood cafe serving breakfast and lunch with coffee, various teas, bagels, sandwiches and salads, 2) Little Giant at 85 Orchard St. serving upscale fresh food and 3) Cafe Katja, a small cozy Austrian Restaurant at 79 Orchard St. You will see many walking tours in this historical neighborhood. To me, the Lower East Side is a much more authentic New York City experience. You will be close to Little Italy, SoHo, the West Village, Chinatown and a short cab ride to Brooklyn Heights across the Brooklyn Bridge. Best of all you’ll be welcomed by a very warm staff.	
Nov 11 2009	Great New York Experience	This is the place to stay if you are looking for an authentic New York experience. The hotel is unlike any place I have ever stayed. The archetecture is authentic and it works to make itself a part of the neighborhood. The staff is unbelievably helpful. Paul, the night manager, was always available with anything we needed. Be sure to look at the art in the lobby. The owner painted it himself.	
Nov 5 2009 	Perfect Location!	My boyfriend and I recently stayed at Blue Moon Hotel. We were pleased. The rooms were spacious, bathroom, shower/tub spacious, and VERY clean. We left for brunch in the morning, came back shortly, our room was cleaned, fresh towels and bed made every morning. The people are so friendly and helpful, I have to especially thank Paul for his restaurant recommendations. Great location to Little Italy, Soho, one block away from train. I recommend this very cute, quaint boutique hotel.	
Oct 19 2009 	Awesome stay!!!	The key to the BM is the staff that are friendly, personable and just plain great. Also, the renovation was meticulously done with absolute taste and fine details and respect for the building and its &quot;era&quot;.	
Oct 13 2009 	The Blue Moon Hotel; a Lower East Side gem in New York city	The Hague, NetherlandsOctober 2009My wife and I had a wonderful stay in Manhattan, from October 8 to October 12 2009, during a weekend in the Blue Moon Hotel, 100 Orchard Street, New York, NY. This Hotel is a beautifully and lovingly restored old tenement building as part of an art restoration project which has made the hotel very cosy and romantic. The hotel is conveniently located within the up and coming area of the Lower East side, just North of downtown Manhattan in walking distance from hip and trendy areas like Little Italy, Soho, Tribeca, West and Greenwhich village and the Meatpacking district. We liked it that the hotel is located away from all the tourists traps and madness of the downtown and midtown areas.The hotel is very well maintained, full of character with a lot of attention to detail and radiates the ambiance, history and atmosphere of this originally Yiddish neighborhood (Lower East Side) and New york in general. We stayed in the Louis Armstrong room, overlooking Orchard Street, which was overly comfortable, clean and spacious with lots of tasteful and stylish decorations in line with the history of the building.Visitors are welcomed with a complementary glass of wine, morning breakfasts are very good in New York style with juice, fruit, bagels, pastries, tea and coffee. The hotel staff was very friendly, provided excellent service and we especially thank Paul Sheesley for all his cheerful chats, assistance, knowledge and wonderful recommendations for our daily excursions and places to wine and dine. Paul, you made our New York trip a unique experience and one never to forget!!On returning to New York we look forward to our next stay in the Blue Moon Hotel and we recommend the hotel to anybody visiting New York and likes to experience a unique, boutique style hotel in the Lower East Side, New York.	
Sep 27 2009 	Great Hotel in Colourful Area	We spent 4 days in New York and wanted to stay in an area with character- Blue Moon in Lower Eastside is perfect. The hotel is friendly and staff are very helpful (a particular thanks to Paul!) and the rooms are full of character. NIce breakfast with fresh bagels from round the corner. You're only blocks away from Chinese, Vietnamese residential and market/ restaurant areas and Little Italy's only a couple of blocks further away. 5min walk to train to take you to Times Square or wherever....half hour walk to Finance/World Trade areas or Greenwich Village/Soho. You really are in an exciting area but still close to cosmopolitan stuff.If you're interested in the history of successive waves of immigration, check out the Tenement Museum which is literally next door. Guides will take to round tenement flats just as they would have been in 1880, 1930, etc.Give up those chain hotels and try as slice of life in real New York.	
Sep 20 2009 	definitely worth it!	I just stayed there for two nights. The cheapest available hotel in NY during fashion week. The owner is very friendly, the room was spacious, clean and quiet. There is an artsy element that is fun and not fancy. It does not have 5 star linens but then again I did not pay for a 5 star hotel. Safe area, a bit funky though. I would highly recommend it!	
Sep 9 2009 	Fabulous hotel on lower east side - clean friendly fun	This hotel was one of our favorites ever! Away from the hustle and bustle of times square and mid-town, the Blue Moon is fun and low-key. You are greeted with wine and a smile when you walk into the lobby and always feel welcome. It is only a few blocks from Little Italy and Chinatown and the hip/trendy hangouts on Ludlow. The rooms are nice and clean, good sized (we stayed in a comfort room - the Abbott and Costello) and comfortable. We recommend the nearby restaurants Tre (Ludlow St), Il Cortile (Mulberry St in Little Italy) and The Nolita House on Houston (near Mulberry) for Bluegrass Brunch. We look forward to going back!	
Aug 10 2009 	artistic blue moon hotel hidden gem	stayed four-day weekend at blue moon hotel ny ny.renovated artistic former tenement building, artist/developer living on site with family. a warm very friendly staff. check-in starts with a glass of wine, mornings with coffee and begels. rooms - clean, very pretty, bathrooms new and bright. very homelike feeling.would stay again!mark o	
Jul 29 2009 	Excellent hotel!	This hotel sounded quaint and charming and I wasn't disappointed. The current manager, Larry, went out of his way to make sure I was comfortable while staying at the hotel. He was one of the nicest hotel managers I've ever encountered. All of the employees were quite pleasant, too. My hotel room was large, elegant and had a flat screen tv, dvd player, queen bed and a trundle bed. The bathroom was large and there were amenities including shampoo, conditioner, lotion, toothbrush and toothpaste.The lobby was straight out of Paris and beautiful. A delightful continental breakfast of fresh pastries, bagels, juice and coffee were served every morning.There was also a convenient subway station only 2 blocks away at Delancy and Essex.It was also a very quiet hotel in a very quiet neighborhood. The free in-room wifi was fast. I would highly, highly recommend this hotel.	
Jul 26 2009 	Unique Hotel with Friendly Staff	Blue Moon Hotel is a hidden gem, particularly in comparison to other no frills basic cookie-cutter hotels or highly overpriced hotels in the area. We were just looking for a comfortable place to stay for the night, had only booked a room a few days prior and were extremely pleased with our stay here. Besides the hotel being aesthetically beautiful and interesting, its staff is friendly and welcoming. Blue Moons staff makes guests feel like guests as opposed to just customers. Highly recommend this hotel, especially for those who are looking for a more comfortable and welcoming establishment. Plus, it's located in a great area.	
Jul 14 2009 	Amazing Home Away from Home	My mother, sister and I feel incredibly fortunate to have stumbled upon the Blue Moon Hotel on the lower east side. I found the hotel online and was attracted by its historical flavor, positive reviews and location. It couldn't have been more perfect! The rooms were immaculate and large with a charming balcony, all for $250 a night! Our concierge, Larry, was super patient, helpful and friendly and so was the rest of the staff whose suggestions for where to go and what to do really enriched our stay. The staff and owner were so welcoming that it really felt like a home away from home. Why stay at a generic hotel, when you can enjoy personalized service and a warm, friendly and historicall significant atmosphere instead? Another bonus was the chance to bond with other guests over the free coffee, bagels and rugala breakfast each morning. It was an outstanding experience. A final word about the location of the hotel: the Lower East Side is really the city's best kept secret. It's away from the crowds and in the center of a vibrant area within walking distance of SOHO, East Village, NOHO, Chinatown and Little Italy. If you are interested at all in Jewish history or immigrant history, you can walk next door to the Lower East Side Tenement Museum and tour a preserved tenement building located across the street; tour one of the city's oldest synagog's at http://www.eldridgestreet.org/; and walk the streets of the East Village where my ancestors grew up. Don't miss the chance to eat at Katz's Deli http://www.katzdeli.com/ and check out the $10 lunch at Il-Carollo Trattoria in SOHO (172-176 Prince Street where you can get delicious homemade pasta, soup or large salad and bread for $10!Do not miss the opportunity to visit this extraodinary place. It will truly make your visit.	
Jul 6 2009 	Blue Moon in The Heavens from a Musician on the Road	Amazing hotel, Perfect location for artist, musicians, families. If your a fan of Jeff Buckley the hotel is just a few blocks for a Jeff Pilgrimage. If your a fan of Chinatown/Little Italy your just a couple of blocks away. Katz's Deli, St. Marks Place.Clean, Historic, Charm, Mystic, Value, what else more could you say? We stayed in the &quot;George Raft&quot; room perfect. The images on there site say it all.We stayed in the Pied-A-Terre and it is perfect for a couple.Will be back time and time again,Special Note: Larry was the best of the best we never had such a kind, thoughtful, person to make our New York visit simple and problem free.	
Jul 1 2009 	The Blue Moon is an EXCELLENT value and a slice of LES history!	Three of us couples stayed in the cheapest rooms, and we were very pleased. They rooms were clean, bathroom spotless, (i took 2 baths in the deep gorgeous tub). It's quite clear the owner did not skimp on the refurbishing of this hotel. Everything is of good quality. The beds werent the greatest, and my aunt said her's felt like it was going to bite the dust. That's the only thing negative to say, although for the price, location, etc.. it shouldnt deter you from this little gem. Have stayed in the city for three times the price and this was better. The area is great area to exlplore, dont miss the Tenament Museum and adorable shop right next door with lots of little things to indulge and buy (although not pricey) The concierge was very friendly and helpful and the owner a very interesting person with a beautiful family. I would definitely stay here again and recommed to others.	
Jul 1 2009 	What a great find	I loved this hotel. It was in a great location and it was like a home away from home. I loved using the laptop in the lobby and watching the world go by. I stayed in the Marx Brothers room which was perfect for me. 500 sq ft with a huge balcony. Besides the queen size bed, it had a pull out sofa. I love having comfortable seating in a hotel room instead of being restricted to a hard chair or a bed. The concierge/manager Larry was so down to earth and welcoming to all the guests...he is a great asset to the ambiance. If you are looking for a stuffy and self important hotel, this is not the place for you. If you want an interesting and comfortable room in a great location, try out the Blue Moon.	
Jun 26 2009 	disappointing...	The location and price of this hotel are quite good, but I was disappointed by the quality of the room, the cleanliness, and most of all, the service. Perhaps I caught them on an off day, but I found the previous occupant's dirty socks in the closet and the concierge was glum and unhelpful. I am not sure how this hotel got so many positive reviews on TripAdvisor, but I would definitely not recommend it.	
Jun 15 2009 	An atmosphere to remember	I had such a nice time here.....the staff were friendly, rooms gorgeous and the location is the best!!!	
Jun 14 2009 	a delightful surprise	Prior plans fell through and i checked into this quaint. welcoming boutique hotel at 12:30 AM.. Larry checked me in and he and the other staff provided outstanding,caring service The room was lovely and the decor most unusual.The owner and restorer is a very interesting young man. I will stay there again	
Jun 7 2009 	Bryan was the best!!!	Stayed at Blue Moon over Thanksgiving weekend 2008. This Boutique style hotel is close to 2 subways and lots of trendy bars and restaurants. This lovingly restored tenement building has unique rooms named after old movie stars. The staff were helpful and special mention must go to Bryan who was always willing to go the extra mile day and night. Would recommend this hotel to anyone looking for something dfferent than the range of chain hotels that you ca get in New York.	
Jun 3 2009 	A gem of an experience	It is definitely not the 'same old, same old'. The hotel is uncommonly charming something over which the proprietor is rightfully proud and will stand in the lobby and chat with you about at your leisure. Larry, concierge extraordinaire, is on hand at seemingly all hours to meet every need. Good food is abundant in the neighborhood. It was a delightful experience. One that I wouldn't hesitate to repeat or to recommend.	
May 19 2009 	Great experience in a great hotel.	The hotel was very clean and the decor was excellent. Larry worked the desk for the three days we were there and really added to our experience there. Friendly, helpful and a great person to have around. he really is an asset to the hotel.	
May 19 2009 	Bumps in the road but still a nice trip.	We loved this quaint little historic hotel so much our first visit last year that we decided to splurge on the Penthouse Suite and come back again this year. Unfortunately, the elevator was out the first day of our stay and we had to hike up and down 8 flights of stairs; the room A/C did not function very well on a sunny day in this large room on top floor; and the whirlpool tub ceased working the second day. All in all, we still had a good time and Larry on their staff was very informative and accommodating, as always.	
May 17 2009 	Perfect Weekend	On the train home right now. Blue Moon Hotel will be the only place we stay from now on. The hospitality was one of the best experiences we have had, bar none in the NYC hotels/B&amp;B's and we have stayed hundreds of different places over the last 30 years or so. Larry was on duty the entire weekend and above and beyond helpful and friendly. We had a visit from a friend who was definitely impressed and will be recommending to anyone coming to visit him. The rooms were the largest I have stayed in. The decor thru out the hotel was just gorgeous from the original art work done by the owner to the vintage pieces found onsite during renovation. The LES Tenement Museum is next door, although we didn't partake we will next time. We did make a few book purchases at the Museum Store. Locally there is really everything you need in walking distance. We had to go midtown for a show on Friday but didn't leave the LES the rest of the weekend. Cananis restaurant around on Ludlow and the Barrio Chino for lunch were great. About a 15 minute walk to Little Italy and the shops on Broadway about another 10. This may have been my first &quot;relaxing&quot; weekend in NYC ever. Thanks so much Larry! We really appreciate the effort and kindness. We will be back ASAP and try out another room.	
May 6 2009 	Best NYC experience EVER	Blue Moon hotel was just what we were looking for to celebrate a Californian's 40th bday. The accomodations were perfect. The ambiance was flawless. The staff was amazing! Andy &amp; Francesca were great to us. We had such a great time that we are planning another 40th bday visit September 2010!!!!	
May 5 2009 	It may not be a five star hotel but we sure give it five stars!	My wife and I recently had the “Blue Moon experience” – which was really fantastic. We stayed at this small hotel tucked away in the Lower East Side of New York City. It gives a real taste of the city – not the kind of hotel that could be picked up and placed in any city in the world. It really had everything we wanted, and the staff went above and beyond to accommodate the guests. The facilities were clean, the furnishings comfortable. The ambiance was friendly and warm. The service was truly great. It’s one of those places that when you leave you realize how much you really enjoyed it, and you know you will return. -Meyer and Hana	
May 4 2009	Great Atmosphere	Preservationists will love this place. The owner has assembled an unbelievable collection of real history which is woven into the decor of the building. The WWII era and Yiddish Theatre posters really bring you back to the good old days. Talking to him is a history lesson in and of itself. He has a real passion for what he has accomplished.	
Apr 30 2009 	Integrity and soul	Our stay in the blue moon was a last minute booking. We were coming to NY to get married and had booked in to a very hip and expensive hotel further uptown for 4days of our stay. We were supposed to be staying with a friend the rest of the time but this fell through so the blue moon chosen after a rushed flick through a guide book. And what a brilliantly happy impulsive choice to make! We loved everything about it. The rooms are very spacious and comfortable. The downtown location is great for more bohemian bars, restaurant and retro shops - a great area for wandering around. But more than anything this hotel has soul. Clearly the owners have taken great pride in refurbishing this old tenement block, taking great care to retain as many original features as possible, and displaying old relics from former inhabitants. Sure it might not be for those who like a bit more bling, but you know what? When a proprietor takes this much care with a building and its history then you know you are dealing with deeply respectful people of integrity, and you can be sure that you will be treated well. I was very sad to leave the blue moon, and although our posh hotel was very pretty and glamorous, it had no heart. I would come back to this hotel in a second. My deepest respect and thanks to the owner and staff for creating this little gem in downtown NY.	
Apr 25 2009 	Way Overpriced!	We stayed at Blue Moon because we liked the location. We nearly fainted when we got the bill! With taxes, it was over $600 per night. It just wasn't worth it. New York and the Blue Moon have no clue about what is going on with this economy! If they keep charging these rates, they won't be open for long!	
Apr 24 2009 	Awsome excellent service and very cozy hotel	From the time I walked in I felt it was going to be a good stay and it was. The people are very nice always at your service, hotel is stunning and it is in a great spot in the Lower East Side. You cant ask for more. Very neat, clean annd friendly. I would forsure stay there again. Thanks Blue Moon!	
Apr 21 2009 	Back in time without closing the eyes	As soon as we walked into the lobby we fell in love with the place. Lovely decorations and a feeling of the past surrounds you. We stayed in the Jimmy Durante room, clean, cozy and fresh. The owner and staff were very friendly and they made our stay even more enjoyable.	
Apr 14 2009 	Quirky friendly and utterly charming - a hidden gem in NYC!	This was our second visit to NYC; the first time, we stayed up near the 5th Avenue attractions, but this time we wanted to explore the history of New York and the areas in the lower side of the city. The Blue Moon Hotel is in the best situation to explore the areas of Lower East Side, SoHo, Little Italy and Chinatown, all of which are within an easy walk away (in sensible shoes!). There are also loads of really good restaurants within walking distance - for advice, speak to Larry (see below)! The subway is nearby too, for venturing further afield. A visit to the Tenement Museum - next door - is a must.The hotel itself is a relaxed and comfortable place to be in such a busy city. The rooms are much larger than most NYC hotels, and they are very clean and well-equipped. The bathrooms are spotlessly clean. Breakfast is exactly as advertised: bagels, fresh orange juice and real (Italian) coffee, small pastries, and a fruit bowl. We found this to be more than adequate, and ended up sharing a bagel, as they are so filling! Our host, Randy, was warm and friendly, and Larry, Antoinella and the other staff were exceptionally helpful and great fun to chat to at the beginning and end of each day. We are already recommending this hotel to our friends back home, and we will definitely stay here again on our next visit.	
Mar 19 2009 	Loved it best experience in a NYC hotel we ever had!!!	It was a great experience, would definitely stay here again and again. My family recently stayed at the Blue Moon Hotel in Manhattan’s lower East Side. The experience was lovely in every way, in fact, it was not the first time for us. But this time I even took along my brother and some friends. The rooms are large, luxurious and very comfortable. The bathroom sparkles and while in the oldest district of Manhattan, has all the modern amenities you want. the hotel is green, so you can relax, they use only organic cleaning products. The linens and towels were always fresh and soft. The owner, Mr. Brandisini personally welcomed us, and insisted we take pastries up for the kids. The hotel serves breakfast each morning, and while I didn’t go down myself, my six-year-old daughter did.For me as a NY history lover I felt like I walked back in time and lived it through... the decor the atmosphere were amazing!was the best experience in a NYC hotel we ever had.	
Mar 10 2009 	Fantastic atmosphere and ambience	Booked this trip for a special occasion and what a gem of an experience, the staff and owner were all so friendly, informative and helpful, nothing was too much trouble. The decor of hotel and rooms takes you back in time, interesting New york artifacts,mosaic tiling ,colorful paintings. Location would not be for everyone but we like exploring and every where was easy to get to.	
Mar 4 2009 	We totally loved our stay	The hotel was beautifully restored to a warmth andcharm seldom found in New York. We had one of the smallest rooms and it was huge by NY standards. The best part was the service. Everyone made us feel like we were old friends. Larry helped us find just the right restaurants, shops and &quot;in&quot; nightlife. The lower East Side is a hidden jewel in NYC - great boutiques and restaurants that are easy on the pocketbook. We will definitley return to the Blue Moon.	
Mar 3 2009 	so authentic!	I highly recommend this hotel. we found the place by chance and we were so happy to have stayed there.	
Mar 1 2009 	best hotel in nyc	Wonderful rooms, great service, and reasonable prices. We won't stay anywhere else in NYC. Larry, Steve, and Antoinella make you feel like you're home.	
Feb 25 2009 	Elegant Large Rooms Quiet Hotel Great Service	This is a quaint boutique hotel with large rooms that are quiet. Excellent service by the owners and staff. The hotel is excellently decorated with a lovely lobby, elevator, and halls. The size of the rooms are very large and comfortable compared to anything comparable in New York City. Excellent for a busy business trip, or a lovely romantic getaway.	
Feb 23 2009 	Beautiful Converted Tenement	Blue Moon is a former tenement building in the Lower East Side that's been converted into a luxury inn-type hotel through the work of a dedicated proprietor. The style is esoteric and very non-New York and includes touches from the original turn of the century building. We stayed in the Eddie Cantor room, which is a quintessential on the top floor with a small balcony. The room was more than big enough and comfortably appointed, but the real charm is the addition of artifacts from the original tenement that were put into collages by the proprietor. Bottom line: great, quiet, off the beaten path romantic hotel.	
Feb 22 2009 	Incredible	Beautiful RoomsCharming Ambience-Feels like the old Lower East SideVery helpful staffOnly downside is we did not want to leave the hotel	
Feb 20 2009 	Cozy relaxing and extremely enjoyable stay.	I stayed at the Blue Moon Hotel downtown on Orchard Street with my girlfriend on Valentine's Day this year. We had a fantastic time. The hotel is hidden in a great neighborhood full of awesome places to eat brunch. The hotel is historic but romantic and very cozy as well. The hotel staff, headed by a very affable and informative man named Larry, greeted us and cordially helped us throughout our stay. The room was fantastic with a beautiful balcony, clean bathroom, confortable bed and very spacious. I highly reccommend this hotel for couples and/or anyone who wants to stay in NYC but away from up/mid-town and close to BK. Awesome location!	
