	Great location 	This is a great hotel for location and transport links. The rooms are very large for New York, clean, with large clean bathroom. There is use of an ironing board and a free safe in the room - would definitely return here when next in NYC.	
Nov 24 2009 	Definitively a cheap hotel	the only good thing about this hotel is that the rooms were large -- the decor came out of a hotel 6 but otherwise decent. The one major complaint is that we did not have hot water one late morning and the manager didn't seem to care about it -- go figure you're in NY! I recommend this place only if it's your last resort, otherwise, do yourself a favor and skip it.	
Nov 18 2009 	a little hidden gem	Don't blink or wou'll miss this place. It doesn't have a very big street entrance but well worth the effort to go in. Staff were excellent. Rooms were extremely comfy and roomy too. wish we had stayed there for our entire stay in New Yor, our next hotel wasn't anywhere near the standard of this place. Thank you Broadway Plaza for a great welcome to the big apple.	
Nov 14 2009 	'Great Location'	We stayed here on our honeymoon, The staff were friendly on our arrival, we were shown to our room and the room was large with a large bathroom - this was a nice suprise. The location was great for the Empire State Building and Macy's and other touristy locations. The breakfast was very poor, it was supposed to be a continental buffet, on both occasions we went down in the morning there was muffins and the room was very small where the breakfast was being served. We decided to go out for breakfast to a little cafe oposite the hotel on the right hand side... this was fab we went there everyday and it was very cheap. The only complaint I'd have with the hotel is that in the evenings we could hear some kind of rodent scratching above the ceiling tiles and running above the tiles. I reported this to reception and they sent someone up to look. They wouldn't beleive us that we were hearing anything and they assured us they had poision pellets above the roof tiles. Anyway this went on everynight for our whole stay..... It made me feel a bit uncomfortable by the end of the week.	
Oct 8 2009 	Not Great	Location was okay-- in garment district. My biggest complaints are that the tv, internet (yes, I paid for it), and elevators were did not work well at this hotel. We complained and finally got the internet for free. It's in okay shape, very basic. Beds were small and pretty firm. There's not very much right around the hotel but you can find things in a few blocks. I would give it a 2.5 out of 5 rating.	
Oct 8 2009 	Excellent room excellent service!	I have stayed at the Broadway for two different trips to the city and have had perfect service and accomodations each time. I highly recommend this hotel and will be back.	
Sep 30 2009 	Value for money	We stayed here for one night before we flew out of the city. It was a last minute booking and we got a huge room with two queen beds for $150, including breakfast. The decor is a bit drab and old fashioned, but it was very comfortable and clean. There was no coffee/tea in the room, but coffee and soft drinks 24/7 on the floor above. Wifi was extra. The neighbourhood is a bit dingy in the evening, but that is because it is in the garment district (Broadway and 27th) and all the shops were closed. However, it's only two streets up from Madison Sq Garden with bars and restaurants, so by no means isolatedand what's more, it made for a quiet night. Staff were friendly and very helpful. Breakfast was a bit simple, bagels and machine coffee, but hey, for $150 all in, it was a steal.	
Sep 29 2009 	Excellent Value! Clean! Fresh Towels 	My 27 year old youngest son &amp; I travelled to NYC for 5 days from 26 -31st August 2009 and I pre-booked this hotel from Australia, in March of the same year. At the time of booking (through expedia.com) Broadway Plaza Hotel was offering a special promotion after refurbishment of the premises.We arrived after 10pm, and at first I was disconcerted by the appearance - either side of the hotel's smart entrance - by dingy roller doors lining most of the street, giving the appearance of a down-market, 'low-rent' area.*** (Quite a different vista by day - when roller doors go up &amp; shops window displays give a totally different perspective)However, we were met by a doorman, and our check-in was seamless - the room large &amp; comfortable with a good sized bathroom. AND LOVELY FRESH, WHITE TOWELS.Every day our room was 'made up' - bed made, fresh towels and toiletries; it was quite humid in NYC at the time, so the very effective air conditioning was wonderful.The continental breakfast consisted of piles of bagels, doughnuts and pastries - fresh fruit provided (apples and oranges) juices and tea &amp; coffee on the 4th floor dining area.  ( Reminiscent of hostel style ) - and was quite satisfying.They also had an out sourced room service which was good for breakfasts, but did not supply all items listed for evening meals - but the burgers, chips and salad which were available - were delicious!My son &amp; I thoroughly enjoyed our stay here... centrally located to all attractions and the service was seamless during our stay.The hotel can also arrange hotel to airport transport by car - I highly recommend this - for a set fee - it is a comfortable &amp; affordable option (US $60 approx) - to taxis or a shuttle bus.My own rating over all - (I think it is a 3 star hotel) is excellent - Value for Money!	
Sep 18 2009	Clean hotel 20 minute walk from Times Square	Not a bad hotel. One of very few available in New York that served breakfast and that was included in the price. Free coffee was also available throughout the night. Slightly long walk from Times Square after long days of sight seeing, the walk was also through the whole sale district. But generally clean and friendly staff depending who was on duty.	
Sep 18 2009 	Perfect Hotel for NYC Vacation!	Spent 4 nights at the Broadway Plaza while on a girl's trip to shop and sightsee in NY. The location is ideal, just 1 block from the subway. We had superb service from start to finish, received helpful info via email before we even checked in. The rooms were roomy by NY standards, the 3 of us fit comfortably into a queen superior even after we had shopped for 4 days! The view from our room on the tenth floor was incredible, it was the Empire State Building which changes the color of its lights almost every night. The continental b'fast was also ideal, perfect for grabbing a bagel and coffee before heading out. The doormen were helpful arranging a car service to return us to the airport at the end of our stay. I would absolutely stay there again!	
Sep 16 2009 	Decent hotel OK area. Big rooms	This hotel was OK, only stopped one night. Rooms were very large (was given 1st one by lift machinery and couldn't stop there as was too noisey - don't let them give you one on 8th floor near lift machinery) but they were really good and swapped me to another room straight away on the 3rd floor. Complimentary breakfast choice was basic, but plentiful and was a clean prep area. Staff were really helpful &amp; friendly. Area not great for a single female traveller, OK in day but didn't fancy walking on own there at night - but that's what cabs are for!	
