	Great Value for NY - but SMAAAAAALL.	If you´re not bothererd by the fact that the toilet is outside the room and shared with a few other guests from your floor, it´s not an issue. If you´re on your own in the cuty and have few luggages, it won´t be a problem either. After being to NYC many times, there´s no need to stay in midtown anymore... which makes the hotel location perfect. It´s a very charming place and the owner is a really sweet person, always with a smile on his face. It´s spotless and housekeeping does a really nice work. The room is cozy, but too small, and the tiny window makes it a bit claustrophobic... Anyway - paying $150 with taxes to be that well located in Manhattan is sometimes worth it.	
Nov 19 2009 	Fine and dandy once again!	This was my 4th visit to Chelsea Lodge in 3 year and they have never let me down. Paul and his staff are helpful and the location is great for all the action that NYC has to offer.	
Nov 16 2009 	clean good value nice location quiet - but feel slightly cheated	The Chelsea Lodge Hotel is clean and excellent value. I doubt my brother and I could have got separate rooms at this price anywhere else in the Centre of New York. The location meant easy travelling on the subway, which we managed many times a day without any trouble. There are also excellent restaurants and cafes within easy walking distance and a small convenience store right on the street corner. The HighLine is also only a 5 minute walk away, which I recommend for early morning strollsHowever - we booked our rooms 10 months in advance, when we arrived the receptionist huffed and puffed at the seeming inconvenience of having to book us in. He then stated that one of our rooms had to be a single room since all the other rooms were fully booked. This soured my stay. I am 6 foot and not best suited to a single bed. The bed was also on wheels which meant that if I tried to sit up in bed it would move across the floorTheir website clearly states that all rooms have a double bed - this is obviously untrue. I know I should have said something at the time. I will email them my concerns and let them know of my disappointmentDespite this, I would stay here again and I do recommend it, the price is so good. Just make sure you get what you ask for	
Nov 13 2009 	Great value for money	We stayed here few nights last March and just loved it. Chelsea Lodge is located in a nice, quiet surroundings with good connections to subway. The room was very small, the shower in a &quot;closet&quot; was kind of funny and the heating didn't work very well ie. the nights were pretty cold. Luckily the bed was small as well, so with two people it was easy to keep warm. ;) Anyway this was very adorable place and I could consider staying here again and have already recommended it to my best friend.	
Oct 29 2009 	Perfect for the Price!	We couldn't have asked for a better place! After our hostel &quot;lost&quot; our reservation just 4 days before our departure we were scrambling to find something in our budget in a safe neighborhood. I emailed the Chelsea Lodge and with one room left I booked it. The owners were so incredibly nice and helpful, let me print my boarding passes so I wouldn't have to go to an internet cafe, and were wonderful with directions and suggestions. Yes, the rooms are tiny, but who goes to NYC to hang out in a hotel room? Our room was on the second floor and on Saturday night there was quite a lot of street noise, but the weekday nights were nice and quiet. we shared a bathroom and I never saw another person using it, or in the hallways for that matter. It was like we had the place to ourselves. The neighborhood was fantastic. Within walking distance are restaurants and shops and the subway is at 14th and 23rd.	
Oct 28 2009 	Chelsea Suites -- Garden Apartment Warning	As a former New Yorker, I like staying in apartmentsand the Chelsea Suites, a few doors down from theChelsea Lodge seemed a good option rather thana vacation rental off Criagslist. I wanted the dailyroom service. I was disappointed to find that my&quot;Garden Suite&quot; was not the same Garden Suiteon the website, but actually a smaller apartment,with low ceilingsbeneath the web site room -- which which has high ceilings,large windows and is the same price. When I complained tothe young woman at the front desk she did not apologize forthe &quot;bait and switch&quot; and said the other room wasbooked for the same week I was there. Make sure you getthe upstairs Garden Suite if you decide to stay here. And be niceto the tenant below and walk softly. Those upstairstenants woke me up every morning clomping around on thehard wood floors. The maidsdid make the bed and clean the bathroom, butthey never swept the floor. By the end of the week it waslittered with leaves from the garden and the usual dirt. The halls had old wallpaperwith dirty carpeting and overall it was a little depressing. The bedwas hard and felt like cardboard under the paper thin sheets. The quilt bedspread was worn, faded and looked dirty. But it was lovely to lay in my bed and look out on the verdant, private garden with a nice tree which hadchanged it's leaves to gold. It's hard to find this kindof garden apartment on a pretty chelsea street at this price and for that reason alone, I'd consider going back.But I'm going to look closer at the Craigslist vacationrental apartments first -- which are half the price.	
Oct 11 2009 	great value	fantastic value guesthouse. It's so cheap we were a little anxious but it came highly recommended. We did find our room at the front of the hotel on the ground floor a little noisy and though we were prepared for the shared toilet, we weren't prepared for walking across reception to get to it. I would recommend requesting a room on the upper floors or one at the back.	
Oct 9 2009 	small but nice	We stayed here for a few nights on our honeymoon. The staff we dealt with was pleasant, and they let us keep our luggage in the office the day we were leaving since we were leaving after check out time. I don't know if all of the rooms come with a private bathroom, but we were kind of in the basement and we had a private bathroom. Everything was clean and there was a window AC unit in the room. It was a good price for New York, so we didn't mind the small room and bathroom. We also wanted somewhere 'with character' that wasn't a chain hotel, so this was perfect. The neighborhood seemed safe, and it was quiet at night. I think the area is popular with the gay crowd because we saw lots of gay couples while we were there. The hotel is only a couple short blocks to a subway stop, which was very convenient. Overall, we enjoyed are stay!	
Sep 24 2009 	Lovely little guesthouse great local area	Chelsea Lodge is charming, with its brownstone steps and quirky rooms. The room was bigger than I was expecting for NYC, and the toilet being down the hall was not a problem at all, very clean and always free. The neighbourhood is lovely - we recommend the Cookshop restaurant two blocks away on 10th and 20th, fantastic food.If you are looking for inexpensive accommodation that is safe, charming, clean, and convenient then this is for you.	
Sep 23 2009 	Perfect! Highly recommended!	We are a newly married couple from Germany. We were in NY for the first time.We stayed in Chelsea Lodge for 5 days/ nights and did absolutely enjoy our stay there. Our room was small but very cute and, especially, very clean. Sink and shower were in the room, 2 bathrooms just next door.The restrooms have always been clean and we never had to wait for one as there were enough of them. The stuff was very friendly and helpful; room service was great: fresh towels every day, only could the floor have been vacumed once or twice.Chelsea was very nice to stay; a very nice and especially quite part of NY city. Grocery stores, drugstores, delis, restaurant and metro stations are all just around the corner.All in all: If we wil ever be in NY again, we would definitely stay at Chelsea Lodge again!!!	
Sep 18 2009 	Fulfilled its purpose	Loved its location in Chelsea area of Manhattan. Easy walk to the subway stations, as well as the shops, restaurants, etc. Chelsea market was a bit of a disappointment though,as far as markets go. Just as well it is very close to this hotel, otherwise I would be a little upset if I had made my way all the way there from midtown/ uptown.Stayed in a room on the top floor. The stairs are steep, and creaks a lot! No issues with the shared toilets, which were kept fairly clean. Room was quite small, but not the worst I have seen. The in room shower was a bit awkward to use.Next time, will probably pay more to stay somewhere more comfortable.	
Aug 25 2009 	Very Small Rooms but Great Location in Chelsea	Stayed here for 6 nights total either side of a bus trip out of New York. Great base for exploring the Big Apple. The Lodge is a converted brownstone on 20th St between 8th and 9th Avenue. Rooms and small but quite comfortable. Small shower / wash basin and shared bathroom in hall outside. We had the room downstairs, next to the door first night and a 1st floor room that was much quieter for our other 5 nights. Room was clean and serviced daily. Very helpful staff on hand. Location 50m from numerous restaurants in Chelsea's GBLT district. Very reasonably priced for New York accommodation.	
Aug 20 2009 	Would definitely stay again though it could have been better!	Stayed in one of the basement flats, had requested a garden flat however was given street facing one, this was a bit confusing because it had initially been confirmed but then was unavailable. Guy at reception who was dealing with this was not particularly helpful or apologetic about this. Room was very spacious, air conditioned and had all amenities required. Had a charming kind of feel to it and decor was reasonable. Due to street facing, however was very noisy at all hours of day and night and as below street level was a bit dull even during the day. Daily room service was good and to a high standard. Good shower and excellent wardrobe space. Surprised at low level of security on flat door, only small lock- the push in button kind. Security into the building however was better with at least two doors to get through.Location was amazing, only a couple of blocks to the subway and the neighbourhood felt very safe. Beautiful tree lined street, very friendly area with good selection of restaurants and bars close by.Overall i would recommend a stay here, mainly due to space and location	
Aug 13 2009 	The Best	Chelsea Lodge is hands down my favorite hotel. EVER. The fact that it's situated in NYC helps, but still, it's a great place to stay. Last March it was our second time in NYC and the second time in one of the Chelsea Lodge suites. We felt like we were staying in our own apartment, really a place to come home to after a day of sightseeing, shopping or whatever you want to do in NYC. Chelsea is great neighbourhood; we were there with three girls aged 19-21-22 and never felt unsafe. Our stay at the CL definitely added to our wonderful experience in NYC, and we're all hoping to return soon.	
Jul 28 2009 	Absolutely lovely place in a great location	I can only repeat what other reviewers have said: good value for money, safe area, close to subway and interesting areas - you do feel like a local staying in a place like this! Yes, the rooms are small, but lovingly decorated and have everything you need (maybe bar a bit more wardrobe space) if you are mostly spending your time out and about, which I suppose which you are bound to in NY. Sharing the toilet was no problem whatsoever, hardly saw or heard anyone else, shower worked perfectly, bed was comfy. As someone else said, a light over the sink would be helpful, but otherwise no complaints. Friendly staff who helped carrying luggage upstairs. Would definitely come back to stay here!!!	
Jun 24 2009 	I loved the Chelsea Lodge and want to go back!!	At first I wasn't sure I was in the right place as there was no sign. As soon as I stepped in, I loved it. Lovely little hallway which had a olde worlde feel to it. I loved the pictures on the wall and the green painted bannister. No lift but the lovely guy in the reception room (sorry didn't catch the name) helped us with our bags. We were on the top floor and looked onto 20th Street, which was lovely and leafy. Room quite small but I didn't find it a problem and we had everything we needed and hardly spent any time in it. I was a bit apprehensive at first about sharing a toilet but it was no problem whatsoever. There were 2 very clean toilets on each floor, and I didn't once see or even hear anyone else in them. In a great location between 7th and 8th avenue, and and only a few streets from the subway. I'd recommend this to anyone and will stay there again if i'm lucky enough to visit New York again.	
Jun 20 2009 	I hesitate to Let folks know what a great palce this is	In honor of beat Author, Jack Kerouac, and other adventurers. I would be happy to give this resting place a horrible review in order to save it for myself- but, then, that would not be fair.Rooms are small, we call them “modest” and there is no elevator. But if your purpose is to have a comfortable place to rest between city adventures, whether theatre, literature, music, or just walking around, this is a great resting place. The nearby breakfast bistro is not small reason to stay here as well. Who does not need an excellent café’ in the morning. But, did I say it was nice? Nay- it is horrible- and we will enslave ourselves to it often.	
Jun 1 2009 	Great Location and Good Value	This hotel is in a lovely leafy street just off 8th Avenue, is is close to the 23rd Street Subway which is useful for the E line which connects direct to JFK plus all the other lines.The area feels safe day and night and has some good bars and resutrants nearby although some do close early compared to NYC standards. There is a supermarket on the corner and a couple of Starbucks nearby.The hotel is very nice although I did feel the rooms were a little small once you opened up the large suticase it was all a little tight, a light over the mirror by the sink would also be useful. However we did not spend much time in the hotel and the bed was comfy, a reminder to other guests that closing doors can be done quietly!It is within walking distance of several of the main attractions or areas.	
May 15 2009 	Have the ultimate 'Hello I live here' - experience	I can really recommend the Chelsea Lodge! The location is perfect, you will feel very safe and at home in this area and you will feel like a local in no time. The rooms are cozy and well mentained and you will have your own shower and sink. It was not a problem at all to walk down the hall for the toilet. It was always free and clean.You will get good value for your money!	
