	Trendy modern  not for all tastes	This hotel is best for a romantic getaway type of deal. I'd give this 4 stars were it not for the loud cracking noise from the heating system. The regular rate is $200+ for a petite, which is overpriced unless you can get an upgrade to a queen or larger. If you are into sleek, dark, masculine, and more modern/trendy style it's for you. If you're into classic, warmth, coziness, than you should try something else. It has an excellent location. I got a special deal through hotels.com at the last minute. They upgraded me to a queen room with a terrace, which was awesome, and probably worth the money (~$160). They also let me check in 2 hours early. The look is very dark, masculine, and romantic. Television behind the mirror, nice entertainment system. Nice bath products, and a sexy bathroom set up (dark walls, mirrored walls, etc.) It would not suit all people's tastes, it's very modern and &quot;cold&quot;. The staff is very helpful, but not that friendly. There were loud cracking/drilling noises that I was told was due to the heating generator. I had to turn off the heat to get rid of the noise. I ordered room service for breakfast and it was neither generous nor that tasty. They give you cookies, which is nice. Overall, I'd say good for the younger, trendy set that's looking for a weekend away together. I liked the bathroom. Would not pay more than $200 to stay here - for that price, you could find something nicer.	
Nov 24 2009 	Great location and price... room had some flaws	This is a boutique hotel just a stone's throw from Time's Square. It is on a lovely, somewhat quiet street next to some beautiful historic properties..The Algonquin, The Iroqouis are next door. There is a large Brooks Brothers store a few doors down. If you are looking for an inexpensive place to drop after a night of Time's square or taking in some theater, this could be for you. We got it for 175 a night on Hotwire...the other hotels I mentioned start their room rates at 399 a night. Sofitel is also on the street (600 a night) So..this place is a &quot;bargain&quot;That said..there were some real problems with our room. It was so dark..the lighting in there made it impossible to shave or do make-up...I had to go into the hallway. The bedroom was SOOO tiny that I tripped on the baseboards every time I went to the bathroom. The bathroom is lovely (almost the same size as the bedroom) but again...poor lighting made it impossible to do anything in there.There were some &quot;bells and whistles&quot; which were nice...Frette linen and an ipod docking station. It was VERY clean. Wonderful cookies on our pillow at bedtime.But I don't know if I would stay again. Maybe I would...and just upgrade (another 150) to a bigger room.	
Nov 22 2009 	the staff could not have been less helpful	we forgot our wallet back home in toronto but had plenty of cash and no credit cards on us. When we arrived to the hotel the manager at the front desk told us that we need a credit card and that he could not bend the rules for us. After pleading with him for ten minutes he said he will see what he can do and went to the back to make a call. When he left the other girl working at the front desk said that this happens all the time and she does not think that it will be a problem. Shortly after the manager comes out and says that he could not do anything for us. By than it was getting very late and we were very tired. to make a long story short our family back home had to come to our rescue and the staff were not accomodating at all. I would never stay there again and deff not recommend it to anyone	
Nov 10 2009 	Lovely Hotel great staff and fantastic location	Travelled for a long awaited weekend break to NY with my husband. We flew into Newark Airport and got the express but to Bryant Square which was only very short walk to the Hotel. Staff were very friendly on arrival and stored our bags until we could check in.Room was lovely, very clean and the bed was exceptionally comfy. The wardrobe/mini bar/safe/dvd player were in a small closet in the wall but provided us with ample space for our stuff. We had a lovely sofa/table and some chairs and drawers either side of the bed too. TV hidden behind a picture, plenty of wall lights with handy dimmer and the bathroom had sliding door, lovely large shower, plenty of toiletries/ towels. Huge basin, plenty of mirrors, towels and dressing gowns. Morning newspaper on door before we were up and room cleaned to really high standards once we were out.Staff couldn't do enough to help, free internet passes on request, prompt and efficient room service on the one night we used it. We didn't go to the DB restaurant whilst we were there but it looked lovely.Check in and check out were fast and efficient, all staff members we encountered were very pleasant without being overbearing. The location of the hotel was fabulous for my husbands first time to Manhattan - very short walk to Times Square and Grand Central either way and just off 5th Avenue. We had usual street noise from out 6th floor room but nothing too noisey.We've recommended this hotel to two people already and would definately stay there again if we wanted to be right in midtown.	
Oct 29 2009 	City Gem with 1 drawback	The City Club hotel offers an eclectic style for such an old City. All the buildings have a history about them. Not that the City Club doesn't. They have taken an old holel and given it a different feel. We loved the staff they were GREAT!. I spran my ankle while visiting and they were quick to respond with ice. Our room safe needed a new battery and they quickly fixed that as well. The beds and linens are also top of the line. I have never slept that well out of town. Great location - very close to Times Square, shopping and Theaters.I enjoy smaller hotels as they seem more personable and City Club fits that model. With only 65 rooms it is fairly quiet for the city and not difficult to find your way around.Here the drawback. The rooms are small. We did have a balcony witha decent view which made up for the size. I realize it is NY and a lot of the rooms are small in size. If you are staying for an extended period and have a lot of clothes you will be hard pressed to find someplace to put them. Closet space is shared with your refrigerator and you have a small night stand with 3 small drawers. If I was to make a recommendatation to the hotel, if they could just find some way to create a bit more storage for your belongings they would be top notch.	
Oct 25 2009 	Why stay here - there are so many other 3 star hotels in NYC	This is a 3 star service and sized hotel trying to maintain a 4 star image - it just doesn't hang together. The Frontdesk check-in staff were amazing - but then it slowing but consistantly fell apart from there. There were issues with the plumbing in the room as confirmed by the engineer the first night - but apparently the day manager new more about hot and cold water than I. I was to stay 4 nights - but left after 2 (would have stayed only 1 but was too tired to move on the late evening of the 2nd day)Day Manager (who also seemed to double as the doorman) was rude - and ultimately why I left the hotel. Capitalism is great - and judging by the recent reviews I would say City Club now has a real problem on their hands. I have stayed at Jeff Klein's (the owner) hotel in West Hollywood, the Sunset Tower - it's amazing - but skip City Club, it just not worth it.	
Oct 23 2009 	An awful room in a good location	The hotel advertises a &quot;deluxe king&quot; room. Says its open, airy etc. But ours was tiny with barely enough space to get around the bed. The pocket door to the bathroom was very difficult to open and close. Lighting in both the room and the antiquated elevators is almost impossible to use for reading or getting the correct floor. Don't worry about the air and light, because all the windows faced a brick wall. Otherwise, the location is very good and the employees are helpful but the price and value are the worst we've experienced all over the world. We've had much better values in most cities of Europe and Asia, not to mention the rest of the U.S.	
Oct 23 2009 	Great Location	Very nice hotel, with great location. Good value for money	
Oct 15 2009 	Teeny Tiny Room!	We got placed in this hotel after a priceline search for a four star hotel in midtown/theater district. I know that rooms in NYC are small - I have stayed there before - but this was ridiculous! The room would BARELY hold our double (not queen) bed. There was literally about 3 feet on each side of the bed for suitcases, etc. The bathroom was nice, if a bit outdated with a bidet and black marble. The hotel itself is definitely trying a bit too hard to be &quot;trendy/boutique&quot;. The hallways were all PITCH black with weird accent lighting. The elevators as well. The hotel itself is just very very tiny - the lobby is basically just one room with a tiny desk.Our service was pretty non-existent so can't really comment on that. Basically in the end I would not call this a 4 star hotel. More like 3.	
Oct 5 2009 	After the shocka pleasant stay!	When booking this hotel through a booking agent,we expected two beds in our room. The exceptionally small room contained one double bed,no chairs,no table ... very small... Those were the negatives. The bed was so very comfortable,the room very clean and the shower was amazing ... especially appreciated after a long day of sightseeing and theater-going in NY! The staff was friendly and,clearly do their best to accommodate their customers. The location is perfect and the hotel is so very quiet!We would stay there again!	
Sep 17 2009 	Great price good location excellent hotel	I stayed at the City Club for 2 nights while on a business trip. I initially picked it only because of the location (right across the street from where I needed to go), but I was pleasantly surprised by how nice the hotel was for the price I was paying (~$180 a night with our corporate rate).ROOM:Decoration of the room is very modern. Have a super-comfortable bed, spacious bathroom and nice shower. The room itself is a little small - you open the door and the bed is pretty much right there; and you stepped out of the bed, you are pretty much in the bathroom. But even though it's petite, it contains all the essentials and comfort you need (unless you want a desk to do work on - in which case, there really isn't one).LOCATION:The location is very central. Being on 44th Street, it's only a few blocks from Times Square on one side, and a few blocks from Grand Central on the other. There are a few subway stops within walking distanceMISCELLANEOUS:The reception has a booklet that you can pick out free DVDs from, but I was too tired from work to borrow anything, but it is a nice-to-have. Since there is a DVD player in the room, I guess you can bring your own DVDs to watch too.Every night I come back, there is a plate of two cookies awaiting me - I thought that was a nice gesture. And when I first arrived (I arrive really early) and they allowed me to check right in, so that was nice too. They don't have a gym, but I think you can pay for a pass to use the NY Sports Club nearby. Although I don't think they open very late.	
Sep 9 2009 	What's not to like?	I stayed at City Club in August with some colleagues for a two day meeting. Honestly, I travel alot for work. I'm in hotels more than I am at home. So natrually, I'm not easily impressed. I have to admit I was very impressed with City Club. The staff was great- helpful, upbeat, nice and honest about where to go. The room was a nice size- I was in the front (not where I usually like to stay because of noise). The room was bright and the bed was really comfortable. It wasn't noisy as expected... Great shower.. Housekeeping did a great job, and turndown was a treat- freshly baked chocolate chip cookies! I got free passes to the gym which isn't in the hotel but on the same block. The internet was fast. the location was good, but I prefer to be further downtown. Room service was prompt. Will stay again if my meetings bring me to midtown.	
Sep 2 2009 	Disappointing 	Location - central.Reception - lots of attitude from most of the staff, like we are a BOUTIQUE hotel! Said and did the right things with our issues and concerns, but with just enough willingness to pass for acceptable.Room - well appointed. Dark colors and poor lighting - my wife had difficulty putting on her makeup. The bed was no good. We changed rooms on night 2, but this was no better. We ended up sleeping on the couch!Fitness Center - you have to pay $20 per day to utilize it ...not sure that the site disclosed this at booking time? I was not about to pay for the fitness club after it was listed as an amenity. Another let down!	
Aug 28 2009 	Dark and poky. There are better "boutique" hotels in NY	Good location, but hotel is dark and poky and not worth the money. Air conditioning in rooms too loud and becomes very annoying. More like a glorified youth hostel.	
