	Will not say Good ... just OK types	Travel Time: November 2006Reviewer : Gaurav KumarI happened to Stay at this hotel during a business trip to New York. I stayed here for about a month. It was convenient for me to stay at this hotel as this was very close to my office, which was at 1180 Avenue of the Americas.The location of this hotel is excellent as it is at walking distance from Times Square, plus being in Manhattan has a lot of eating options around it.The was comfortable although the staff wasn't very courteous (at times even rude). After Check in I discovered the phone in my room was not working properly. I was unable to take calls in my room, On complaining I was told that this is a problem which only the IT could handle and the next two days being a holiday, it would be done only on the third day.They could not change my room as no rooms were available in the category in which I had a booking. I had to run down to the reception to take calls. Anyways after two days when the IT guy finally came in, I was told there was some wiring problem which would take another day or two. I finally had to put my foot down and after a lot of arguments I was finally upgraded to higher category room :) Leaving this aside the stay was OK.	
Nov 25 2009 	We'll stay again	We have just spent 3 nights in this hotel after completing the Trans-atlantic crossing on board Queen Mary 2. This was arranged through booking.com.Our first impression was the great location, near to Fifth Avenue, Times Square, etc., all within walking distance. We were given a free upgrade on the 10th floor in the Executive Suite, with good all round facilities and a separate lounge. There was a comfortable public lounge downstairs with free WIFI and computer/printer access, complimentary cookies, hot snack and chilled water. One minor criticism is the unhelpfulness of the Barman in refusing to serve us drinks while we were in the lounge. We had to go up to the bar to get the drinks ourselves! All the Receptionists were friendly and helpful. We would regard the place as good value for money, thereby enabling us to have a great time in NY. We would have no hesitation in recommeding it to others.	
Nov 4 2009 	Ok value for what you pay	Mediocre room. No Bathtub. TV far too small, and only basic cabel. But cheap with intenet deal and good location. Breakfest not bad.	
Oct 27 2009 	Great Location worth No Frills	My wife and I with friends of ours stayed here for a weekend to catch some sights and some footy (the round ball type). I used my company's corporate discount to book the rooms and while my friend's room on the 12th floor had a half decent view our room was on the 3rd floor and right beside the air conditioning unit for the downstairs lobby and 4 feet from the dinging elevator. It was loud and uncomfortable, but since we didn't spend much time in the room it wasn't enough of a bother to move. Another night though and I would've have insisted on changing rooms.The service isn't bad, but it's not great either. You're encouraged to do everything through self service computer, which is fine if it works. Our room keys stopped working on the second day - a little annoying. The elevators are slow and if it's busy you'll wait a while.Otherwise the location is really great. Centrally located to Grand Central, Times Square, Central Park, Empire State Building, 5th Avenue and a very safe neighbourhood.	
Oct 26 2009 	Excellent location for theater average hotel experience	I stayed for a girls' weekend in this hotel with my company's corporate discount, which was about half price. I don't think I'd be happy if I'd paid much more for it, but for what we needed, this was fine. We had a &quot;Diplomat Suite&quot; which I think simply meant two twin beds. The bathroom, as mentioned, is tiny. There isn't enough shelf/counter space for two women to adequately spread out. Plenty of linens though and we had no problem with hot water. We were less than 10 minutes to the theater and the restaurants where we had made reservations, which was helpful on the terribly rainy nights. You can walk to just about anywhere of interest and subways are nearby as well.The room was average size and clean, except for a stain on one of the comforters. One elevator was out of service, and the tiny (barely holds two people with luggage) second elevator was constantly in use, so we waited a lot to get to the 8th floor. There is free WiFi throughout and free use of the computers in the lounge, with printers for printing your boarding passes, etc. I found the front desk staff to be friendly but didn't really go out of their way for anything. When I had trouble hailing a cab to LGA, they offered their car service for $60 but would not call me a cab. I did finally hail a cab which cost $31 total on a Sunday evening.I'd stay here again only to save money, but wouldn't recommend it at full price to either business or leisure travelers. I've stayed in more agreeable hotels in NYC. Visitors would be well-advised to remember this is a no-frills business hotel first and foremost; first-time visitors to the city may be put off by the lack of tourist amenities and personal assistance.	
Oct 21 2009 	Nice hotel great location. Too bad there was NO HOT WATER!!!	Cant beat the location of the Club Quarters-Midtown and the hotel is a good value, Nothing fancy, but clean and modern. Service is minimal, but that's how Club Quarters operates. My room was on the Penthouse level, which was nothing special except it was the top floor. Room was small but quiet and the bed was comfy. I was totally happy with the experience until I went to take a shower. No hot water. Called downstairs and they told me to just run the water for about 5 minutes until it heated up. Well, it never heated up. 15 minutes later, the water was tepid to warm, so I took a quick, uncomfortable shower. Figured it was a one time deal, but no. The next day the same thing happened. Again, I ran the shower for 15 minutes trying to get it hot. The irony is that there are signs all over the room about being &quot;green&quot;, ie: saving water by using your sheets and towels more than once. I could have washed about 10 loads of sheets and towels in the water I wasted trying to get a hot shower. Might just be the 13th &quot;Penthouse&quot; floor that has this problem, but it's a pretty fundemental flaw when you cant even take a hot shower. Hope they fix it, but I'd request a lower floor next time.	
Oct 13 2009 	Can't beat the location and price!	Front desk wasn't anything special. The room was a decent size for NYC, the bathroom was quiet small, but in perfectly fine condition. For the price and location, you can't beat this place.The location was right outside Time Square and couldn't have been more perfect for the attractions and events we were in NYC to see. Cafe Manhattan, across the street, has great coffee and the Perfect Pint is a great place to grab a drink.	
Oct 8 2009 	Great Location - ok room.	This place is sort of small but the location is great and the room clean and comfortable. The bathroom was tiny!! But I don't spend alot of time in the hotel room. It is within walking distance to TimesSquare, Broadway, Rockafeller Center, and transportation. It was a safe, secure hotel without a lot off &quot;extras&quot;.	
Oct 1 2009 	Club Quarters: Great location at a great price	We stayed here for 1 week from 19th to 26th of September.We had booked back in January and had got a great deal for an executive suite. This consisted of 2 rooms, one was a sitting room with a sofa bed, desk, TV, fridge and microwave. The second room was the bedroom with ensuite bathroom. The bathroom was small but perfectly usable. Good shower and decent proper hairdryer. The bedroom had a king size bed which was very comfortable plus a wardrobe, chest of drawers and other spaces to hang clothes. There was also a TV in there. Both rooms had airconditioning.We never ate in the hotel but instead had breakfast at Cafe Manhattan opposite which is very nice indeed. For first timers in New York, the location of this hotel could not be better. 5 minutes from Time Square and all the broadway theatres, close to fifth avenue and Grand Central. It is surprisingly quiet, the only noise I ever heard was the aircon.If you are looking for a hotel with room service, a porter to carry your bags, concierge, shoe shine etc then this is not the place for you and you will hate it. However, if like me you just want somewhere clean and comfortable to sleep and wash then Club Quarters is ideal. I would definitely not hesitate to stay here again.	
Sep 27 2009 	celebrate my birthday	It was a good place for businessmen to stay over. Nice environment. There is Continental Breakfast downstairs at $10.75. It is usually quiet, but when you walk over to Time Square, you can feel the heat of NYC	
Sep 26 2009 	Great location for fun but not so warm service and hospitality.	Rooms are microscopic in size and the service is anything but warm. Staff seem robotic... not sure why they are there. The entire hotel could be automated and the experience would be better. Would I stay there again - yes... the location and rate is good despite the poor service. I guess you get what you pay for. Bottom line: rooms are clearn, adequately appointed, bathrooms immaculate, and the hotel seems very safe. Not enough safetly deposit boxes. Beds very comfortable. I used the hotel as a good location for my wife who was touring and shopping while I worked downtown in the financial district. Easy access to subway stations to get to work.	
