	Great Location	My friend and I stayed at the Comfort Inn in November for a week. We found the reception people most helpful and friendly. The food in Brendan's was very good, don't forget to use your key room card to get money off-we did-and they don't ask!!! The hotel may be a bit dated, but it was very clean. What a fantasic location. The subway, Macy's and the Empire State Building within 5 minutes. On the whole we loved our stay here. A bit of paint would help brighten it up. It was noisy at night with the dustbins being collected and the New Yorkers do like to use their car horns!!!	
Nov 25 2009 	21st Birthday	Great location!! Quite a dated hotel but has what you need as a base. No tea/coffee facilities in room, only in hotel lobby.. But it does have a Mountain Dew vending machine!!! And free internet access if needed.	
Oct 30 2009 	Fab Fab Fab Hotel	We stayed in the Comfort Inn Manhatten for 6 nights from the 10th September, we were on the 12th floor, and the Empire State Building was our view - WOW!!!! Totally amazing.Check in desk &amp; reception staff efficient and friendly, rooms were nice, bed was comfy, the stair wells were in a little need of re-decorating but didn't really care, we were well happy.Breakfast is included in your stay, bagels/pastries/cakes/pancakes/eggs/cereal/waffles etc.Location was perfect 5/10 min walk to Times Square, Empire State literally behind the hotel, Macy's at the end of the road, Subway's close by. Nice little Irish Bar O'Reilley's across the road was brill, went there most evenings.Will definately come back to this hotel..	
Oct 25 2009 	Fantastic location no complaints	We had a wonderful time at the Comfort Inn, room was nicely furnished and very clean, the most comfortable bed I have ever slept in. The breakfast was very nice and plentiful, we were already aware of the plastic cutlery, but it didn't spoil anything. Location was brilliant, our view from the bedroom was the Empire State Building, and Macey's just around the corner. No complaints whatsoever, would definitely recommend this hotel and stay there again. Towels were changed every day.	
Oct 25 2009 	OK but probably wouldn't go back	I stayed at the Comfort Inn for 3 nights at the start of October 09 with my other half and 2 daughters.Firstly, remember that this is not a 5 star hotel, after reading previous reviews I was open minded.The hotel is well situated in the centre of Manhattan, only a stones throw from Broadway and a 5 - 10 minute walk to Times Square.Most of the staff were helpful, however there were some exceptions.We were given room 1011 which was adequate in size but situated at the rear of the hotel with a view of a wall 10 ft away. The room was dark, but the good thing was that it was quiet.We only stayed in the room to sleep, so this was no real problem.The room was well appointed and had been recently decorated, it wasn’t the cleanest room I have stayed in, but the cleaner did come daily.The continental breakfast provided was good with bagels, waffles, toast, cereal, cakes, hot and cold drinks and others all provided. We usually went down about 09.30 in the morning, it was usually quite busy, getting a seat and table wasn't a real problem.We didn't eat in at Brendan's due to the number of other food outlets nearby.Out and about, we used the 48 hour hop on / off Grayline bus tour ticket to get about and see New York. We did the uptown, downtown and night tours which were all good, at worst some guides were mediocre, however some are very good, keeping the topics interesting. We never had a real problem getting on the top level of the bus.Times Square was good, always bustling with people and plenty shops and restaurants to choose from.The Empire States building is just around the corner from the hotel and Macy’s is only a block away.If you are travelling on a budget and planning a busy time in Manhattan for a few nights this hotel would do. If your expectations are high I would give it a miss. There is nothing greatly wrong with this hotel, however it didn’t give me the feeling that I would use it again if returning to New York.	
Oct 23 2009 	Clean room and excellent staff service	I stayed there for two nights, went for a photography workshop in NY. This hotel is very close to Penn railway station and also close to Broadway and many other stores... Room was clean, a bit noisy because of a train...	
Oct 22 2009 	Great Location Nice Hotel	We stayed for six nights and found the Hotel to be very good. The staff were always helpful, the rooms were clean and pleasant ( 10th and 6th floors ) Tea and coffee were available free twenty four hours a day, in the reception area. Brendans served a nice evening meal and complimentary breakfast was adequate for our needs. Location is great with Macys just yards away, and 5th and 6th avenues also close. Ten minutes walk gets you to Times Square, and the Empire State Building is around the block. Nice restaurants can be found opposite the hotel and plenty more just a short walk away. I will definately stay here again.	
Oct 22 2009 	Don't stay here!	On checking in, the staff were unwelcoming and dismissive. On the journey to our room on the fifth floor, it became apparent that this hotel was in major need of redecoration and maintenance. After just 30 mins in our room, water started to pour from the ceiling. We went back down to reception to report this and were offered another room. No apology. The street noise is very noticeable if your room is situated to the front of the building and I would advise taking earplugs just incase. The heater was on for far too long and the air con was noisy.Surprisingly, the breakfast was pretty good, but you have to be there at 7 am in order to find somewhere to sit. On the last day, I flushed the loo and it emptied the contents and quite possibly the contents of some of the other guests toilets into our bathroom. I reported this, again no apology. Although this is a budget hotel and it does have a good location, the financial saving simply is not worth the hassle and disappointment of staying here. My advice, stay somewhere else!	
Oct 21 2009 	shabby and poorly maintained	4 nights stay.in two rooms. , Entering one of the two rooms water was pouring from the ceiling,it was obviously an old leak as the ceiling paper was stained. Given another room with no apology whatsoever. The toilet in this room flooded on the last day. In the second room the key card did not work most of the time which resulted in having to go down to the lobby each time to get a new card, again no apology. The heating packed up in the second room. This was reported but nothing was done about it, again no apology. One of the two lifts broke down for a day. The attitude of the staff left a lot to be desired. The whole hotel was shabby except for the lobby and dining room. Would not recommend this hotel to anyone.	
Oct 8 2009 	wasn't the best	I stayed here while on a tour across the US and i was very disappointed. the rooms were decorated really nicely but they were not clean. The staff were some times abrupt and the concierge could do with some retraining and definition on their role as they really didn't want to help.I really wanted this place to be good and feel that staff make a place and they really let the place down.	
Oct 4 2009 	Great Value and Location	Although this is an older property, dont let this discourage you. The recent remodeling is a nice touch to its great location and even better rack rates. The Empire State Building is literally right around the corner, and is a block to Broadway. We walked just about everywhere around Times Square/Rockafeller Center area. We have stayed there twice, in 2005 and 2008, and I highly recommend it to budget-minded travellers with a desire to be close to the action. Convienient to Subway stations and to jump on the FDR, if driving, as we did also.	
Sep 26 2009 	Ideal location - around the corner from the Empire State Building	I believe this hotel is classed as a bit of a budget choice, but to be honest you don't really need to spend a lot of money on a 5* hotel when staying in New York, because you're out most of the time sightseeing or eating out etc. The rooms were a little small, but clean and comfortable and the food was very nice, though there wasn't much choice. However, there are plenty of lovely places to eat close by - in fact, there are a few restaurants directly opposite the hotel entrance which served excellent food. The location of this hotel is excellent - you're literally around the corner from the Empire State Building, Macys and 5th Avenue, and it's about a 10-minute walk to Times Square. Whether you decide to stay at this hotel or another in Manhattan, it would be well worth your while purchasing a New York Pass (go to www.newyorkpass.com for full details). So long as you use as many of the offers in it as possible, it's money well-spent. It includes free entry to Madame Tussaud's, museums (and MUCH more) and discounts off sightseeing tours, which are unmissable if you haven't been to New York before. It would also be worth your while buying a weekly bus ticket, which can be purchased from the underground/subway self-service machines, as it will save you a lot of money. Try to only use the yellow taxis if you're going to use one at all - there are black ones as well which are more expensive. All the taxis will charge the same for transferring to/from the airport - at the time we travelled it was $45. If you're going to the Statue of Liberty and want to walk up to the top (inside of course!), you have to pre-book this a day in advance. If you just want to visit the island however, you can get your ticket on the day.	
Sep 13 2009 	bumpy start but 2nd room fine- great location for the price	Had a bad start, arriving late, and finding the bathroom to be 'inadequate' (or filthy). Eventually, having made a start on cleaning it (and then suddenly realising it was my honeymoon and I wasn't actually there to do the cleaning), they changed our room for the first night. When we got back on the second day, we'd been given a room on 12th floor which overlooked 35th Street (which was much quieter then the rooms at the back over looking the aircon units).Despite the slight hiccup at the start, I would stay here agin as the price for the location was good.	
Aug 29 2009 	Great location nice hotel	We stayed here for 2 nights 23/24 august. We arrived early having sailed on Queen Mary &amp; the staff were happy to store our luggage until check in at 3.They provided us with a map, &amp; marked the Hotel so we could find it again! The location is great. Empire state building &amp; Macy's both only 1 street away &amp; Times Square a 10 min walk away.There are loads of restaurants &amp; deli's close by.Unusually for New York, this hotel offers complimentary breakfast. On offer is cereal, doughnuts, muffins,boiled eggs, bagels &amp; toast with hot drinks &amp; juices.This is all self service, &amp; yes, as another reviewer mentioned, all paper plates &amp; plastic cutlery - but hey - it's free, &amp; it's all fresh so don't complain.There is also a complimentary coffee machine in reception, &amp; free internet access, although this was always busy.We used wifi in our room easily using our laptop.Our room was on the top floor (12) &amp; was large,clean &amp; comfortable.It had efficient air con - an absolute must in August with 30C &amp; 86% humidity. There are ice dispensers on several floors &amp; vending machines.Next door is a great deli serving cold drinks &amp; great burgers &amp; sandwhiches. We didn't try &quot; Brendans&quot; in house restaurant, the menu was quite pricey, even with 15% guest discount compared to other places we ate.I recommend the 2 Chipotle mexican grill &quot; on 34th street parallel to the Hotel. Mexican fast food - try the Burrito Bowl - yummy &amp; only $8.We had evening flights home &amp; again, they stored our luggage for us.All in all, I would recommend this hotel for sightseeing &amp; shopping.	
Aug 25 2009 	Great location for getting around but average hotel accommodation	The hotel is situated just around the coner from the Empire State building and Macey's with plenty of restaurants near by. Well positioned to get around Manhattan. The hotel itself was a little dated but the room was clean and sizeable for the price paid as was the bathroom. The decor was in need of an update. The room was booked last minute so I ended up in a smoking room (I'm a non-smoker) so the lingering smell of tobacco may cloud my judgment some what (sorry for the pun!).The hotel is OK for the traveller on a budget.	
Aug 20 2009 	A good choice	Our family walked 2 easy blocks from Amtrak Penn Station to this hotel, and checked into a 6th floor room. The hotel is very convenient to Macy's and Empire State Bldg and the subway, and a little further to Times Square. There were no bedbugs and no night construction noise, as some reviewers mentioned. The room was clean and comfy. We tripped a couple times on the raised threshold at our bathroom doorway floor. The wash basin drained a little slowly. We got a few TV channels but couldnt' figure out how to use the remote correctly. The courteous staff helpfully stored our many bags after checkout, and hailed our taxi. They returned my daughter's I-Pod carelessly left in her room. On checking out, however the desk clerk would not refund our $1 per night for not using our room safe, although our sign-in agreement had promised they would. Please note that your room keycard, promises guests a discount eating at the hotel restaurant (&quot;Brendan's&quot;) if they show the waitrees, the key -- we didn't notice that offer written on there until we were checking out.	
Aug 19 2009 	New York Brill!!!!!!!!! Hotel ??????	We booked a dream holiday with Virgin hol's. Boston, New York and Washington for our Silver Wedding Annversary. Couldn't wait to get to new york and our hotel. What a let down! When we arrived at reception we must have had the same receptionist as the other reviewer who were there same time as us. There was no greeting from her just asked us for our credit card, told us our room number and that was it. Where was the big greeting and 'have a nice day'. The other staff were no better and if you go into the bar don't expect a good welcome or chat from the barman it was like pulling teeth talking to him. We were on the 8th floor dark small and uneven floors, and that was the the corridors. Our room was dark, brown and tan couldnt see out of both windows quite depressing really. A/C was old and loud but beds were clean and lovely just what you need after all the walking around new york. Breakfast is quite a surprise never seen anything like it plastic knives, forks and spoons, paper plates and paper cups. God help you if the butter is hard I broke 3 knives trying to spread it on my bagel. The hotel is fine just for washing, showering and sleeping and spend the day out. One warning do not get tickets for the red buses from the hotel, they advertise to get your tickets there but you are only paying their commission ( Our happy receptionist served us again but never told us til we paid up )you still have to get your tickets from the bus company to travel on them, which I do recommend they are brillant and the guides are great fun you also get tickets for empire state and ellis island with the bus tickets saves queuing up. New York is fantastic and I would go again and stay somewhere else	
Aug 7 2009 	Started great ended badly!!!	My overall experience at Comfort Inn was fine,until the last day.I left my luggage in locked up room downstairs for about 8 or so hours, when I returned My I pod,and jewelery was not there. There is no disclaimer saying that you leave luggage at your own risk, and I have left luggage numerous times at other hotels/hostels.The reason that I am so angry is that after contacting the Hotel no one is willing to help me.	
Aug 2 2009 	Great location - hotel just OK	My husband and I spent 4 nights at this hotel. The location is fantastic and the hotel is clean. If this is what you are looking for - then it is the perfect spot. However - be aware that the room pictures you see on the website is not necessarly representative of the room you may get. We stayed in room 409. The deficiencies in the room are uncalled for. They have maintenance issues. The light switch in the entry way is croocked. In the bathroom, the cold water tap is broken and you need to press down and turn to get the water out. (I can't believe that the chambermaid has not reported this.) The shelf placed over the sink is actually in your face when you brush your teeth and there is just no place to put your stuff. There is no curb shower curtain rod. The ceiling in the bathroom is damaged and the paint is peeling. There is some mold surrounding the bathtub. There is only one pole to place your towels. Our room was facing another building - I can understand - however the windows were so dirty that it added to the darkness of the room!Overall the employees are pleasant. I specially find Ms. Gulbye very nice, pleasant and helpful. However - during my stay I dealt with another lady with no name tags (slim, black always working the day shift) which obviously whished to be anywhere else but there! She was polite but this is it. Impatient and not at all friendly. You can tell that we were disturbing her. We have encountered pure strangers on the street more helpful then her. She should not be working in the industry.All this being said - the hotel is fine as long as you need a good clean place to sleep in a great location.	
