	Crowne Plaza Times Square	Amazing hotel. Very posh and pricey but in a wonderful place with brilliant views of times square.	
	A Great short break	This hotel is in a ideal position to visit all of the major shopping centres, and the view you get as soon as you go out of the reception doors is of Times Square.We arrived on a Thursday at 5.45PM and had no trouble booking in and there was no queues, I had booked this break using my points and was upgraded onto a conceige room, a corner room which had a view of central park in the distance and of Times square it also included free breakfast which saved me both time and money and the use of the conceige lounge in the day.The bed was extremely comfortable and the surroundings pleasant. Staff were very efficient and I had parcels delivered to the hotel for when I arrived which they kept safe.I would not hesitate to recommend this hotel and when I visit again then the Crowne Plaza would be my hotel of choice.	
	Great place	Nothing to complain about. Great location, friendly staff. Nice clean modern room. Fantastic	
	Fabulous staff  great hotel and location	This trip was a surprise for my husbands birthday, We came in a mixed group I set of couples, two families with children.We arrived on a soggy Saturday at half term, to be greeted with a large check in queue, this diminshed swiftly with the efficient and friendly staff .Although the room wasn't ready it didn't deter us from experiencing the action our 1st ever visit to NY. We went for a walk and arrived back at 3.00pm The queue for check in was horrific as everybody wanted to collect thier keys etc. Again the queue dissapated, but whilst we were waiting I spoke to a lady named Vicky about my husbands priority points, which I had not been able to use as it was a surprise, as soon as she saw my name she recognised my from a call I had made 2 months earlier !!!! How is that for great service skills, I was very impressed even more so, when she remembered it was his bday treat, then the best thing ever happened she upgraded us to a King size room overlooking Times square.WOWThe hotel was very very comfortable and poeple have already expressed their views on the internet charges, drinks and food, which I do agree with, but when you are in NY.. visit the deli etc or just splash out.All the staff were always courteuous, helpfull and excelled in all areas, we had a few request in the room extra pillows etc, all were met with our expectations.I had a problem when i returned home my card had been used twice for my bill, they were very apoligetic and swiftly refunded it, these things can happen everybody is human.To finalise We all loved the location and the hotel is was simply brilliant , thank you to Leo who was always smiling and nothing was too much trouble, Teresa for sorting out my payment and Vicky THANK YOU.. you are an asset to the crowne plaza.	
Nov 25 2009 	Amazing location!	I have just returned from a short, whistlestop tour of NMYC, staying at the Crowne Plaza.The location of the hotel could not have been better right in the bustling heart of midtown Manhatton. Every amenity required is right on the door step, and a lovely door step it is too.When we arrived, having booked a large room for 4 people, we were told that they did not have any such rooms left. We could not understand this since we had booked the trip some months ago, but after some jiggling around the problem was resolved and we were sent off up to the room. Not a good start, and not one that I expected from such an establishment.The room was lovely and spacious, with modern, fresh furnishings. The bed was the most comfortable I have ever slept in, and the linens and pillows etc heavenly! I ahd heard that the rooms can be quite noisy, but I did not find this at all and we were not disturbed at any point. The downside is that we did not find the room itself terribly well appointed for more than two people. There were 4 of us sharing and every day we had to ask for more towels, the wardrobe space was minimal and had only a few hangers. The view also was disappointing since we were facing brick walls, but to be fair we were barely in the room so that didn't matter a bit. The hotel facilities were very nice. The reception area, bar and restaurant are very chic, and the lifts are plentiful and efficient. We did not make it as far as the gym, pool etc, but I am sure they too would have been very nice! The check out procedure was smooth, friendly and efficient.All in all I think this is a top rate hotel, so long as there are no more than two of you sharing a room!	
Nov 23 2009 	Great Hotel in an Unbeatable Location	First off, the location could not be any better for Times Square. Right in the middle.About the hotel, it is newly redone and is very nice. We were on the 33rd floor overlooking Times Square with the room being clean and modern.The only complaint is internet is 19.50 per 24 hrs.Parking not run by the hotel but in the hotel cost 88 dollars for two days for a minivan but it is NYC.The staff were all out of their way friendly.For seeing New York, you can't get any better for the location.	
Nov 18 2009 	What a location!	We stayed her for 4 nights at the end of October, It was a busy time and everything worked. Staff were helpful and friendly - especially the barmen!We stayed on the 46th floor - concierge level - if you can - do it!The location is spot on, you are close to everything on the main stream entertainment front of NYC.	
Nov 17 2009 	Great hotel in an unbeatable location	I stayed at this hotel with my girlfriend (now fiancé!) as a surprise trip to New York for her 30th birthday (and to propose). After much deliberation and internet research I am pleased to say that I made the right choice by staying at The Crowne Plaza Times Square.I was initially a little put off by the hotel's low trip advisor ranking and previous bad reviews however I noticed the reviews improving after the recent multi million dollar refurbishment. It is very rare for me to say this but I have not got one major complaint about this hotel, in fact the only thing that went wrong was that our room wasn't ready when we arrived (3hr wait!) but this was more than compensated by $100 of vouchers to spend at the nice hotel bar!! (broadway baby is a nice cocktail there). I also requested non-feather pillows when making the booking but these were not present in the room, to the hotels credit a member of staff brought replacement pillows within 5 minutes of me making them aware of the problem.The hotel feels very clean and modern, the lobby is impressive and the staff attentive. It is a very busy hotel with a mixture of business people, couples and families. There was always a large number of staff present and our luggage was safely looked after when we checked out. The location is one of this hotels main assets, it is right slap bang in the middle of all the action making it is very easy to get to and from.The room was of an adequate size, much the same size as any major city. Nice big windows and the decoration was clean and tasteful (there was a few marks and scuffs here and there). The bathroom was an adequate size and very clean, the shower was reasonably powerful but certainly not a power shower. The bath was very shallow which meant romantic baths were a no no. The cleaning/maid staff were very professional and seemingly trustworthy. The TV had some problems with the HD channels but I wasn't overly concerned about that. The safe was excellent and came in very handy. I was suprised there was no mini bar or fridge but there was a coffee/tv maker.We had a room on the 38th floor, the views were pretty good but the window didn't really open properly which meant the room got a little stuffy during the night. I would advise asking for a room away from the elevators as these areas can get a little noisy. I nearly upgraded to the concierge floor but the budget wouldn't quite allow this, I didn't hear anyone raving about the service on these floors so I'm guessing it was a wise choice not to upgrade (I did try and get a free upgrade due to the 3hr check in).The main thing that will stick in our memory about this hotel is how comfy the beds are!! They are simply amazing!! We had our best nights sleep ever in this bed and it really was a shame to leave it behind.I would certainly recommend this hotel to any of my friends and would stay there again.I hope you found my review useful.My words of advice for New York:1) Plan ahead - There is so much choice you simply must decide where you're visiting and where you're eating each day2) Get a limo from the airport, travel in a bit more style and you might get lucky like us and get a real New Yorker as a driver who gives you his own guided tour. Only $60 compared to an aggressive yellow cab for $50!!3) See Mamma Mia - The first show I've ever been to, simply brilliant production4) Eat at 21 Club (upstairs, brilliant waiter) and Gordon Ramsay @ The London5) Be prepared for very high prices for beer and wine (and we didn't think the shopping was all that good unless you've got thousands to spend on 5th avenue6) Do not, under any circumstances, dine at Del Frisco's Double Eagle Steakhouse! Absolutely hideous establishment!	
Nov 17 2009 	This really is all about location	The title says it all - what a great place to stay if you want to be near the centre of things.We were on the first BA flight of the day from Heathrow so checked in early - about 1pm with no delay at all. Great service from receptionist and we were given access to Concierge Lounge on 46th floor for comp. breakfast as I am a Priority Club Platinum member - very welcome.Room on 35th floor with a limited view of Times Square but great city-scape right out to the Hudson river. Bed probably the most comfortable I have ever slept in (which says a lot as I use hotels 2/3 nights per week). Very good sized room for NYC with all usual facilities.Drinks may seem a little expensive but it is a Crowne Plaza right on Times Square - plently of choice around if you want something more reasonable. I can't comment on food, other than breakfast which was great, as we ate elsewhere but the menu looked ok.Would I stay there again - without a doubt.My top tips for your trip - great lunchtime sandwiches at Emmet O' Lunneys Irish Pub and Restaurant on West 51st - two mins away from hotel or at The Playwright (Celtic Pub) Bar and Restaurant on West 50th - only one min away. Sightseeing trip with Citysights NY very good - book the 2 day 'All Loops' trip to get the chance to see Upper Manhattan and Brooklyn as well as the usual downtown sights and they will also give you some discount vouchers and tickets for museums and a harbour cruise.Have a great time.	
Nov 16 2009 	Great hotel great locationgreat staff	I booked Crowne Plaza Times Square for a 3 night stay for my friend and I for a shopping trip. The staff were very friendly and helpful. There wsa no problem checking in early and the room was on floor 22 and there was NO noise from Broadway. The beds were SO comfy and the safe was excellent in the room operated by your credit card with no charge. The room was cleaned each day, sheets / towels were changed once. The location was ideal - on broadway as we went to 2 shows, Mamma Mia and Chicago.Access to the internet was free for 10 mins per day, it was $1 / min after that. I could not close out of google prior to the 10mins but I contacted Leo (Manager) and he was so helful and assissted me in removing the extra $10 charge. Also, they allowed us to check out late (2pm) as our flight was later on in the day. The hotel has a comfy, homely feel and I would not hesitate in staying there again or recommending the hotel to others. We ate lunch there and express breakfast one morning. It was expensive but so is everywhere on Times Square.	
Nov 13 2009 	I wish I didn't have to leave!	We stayed on the 37th floor with a view of the Hudson River. The tall buildings round about took our breaths away at first as we'd never seen anything like it, but we soon got used to looking up at everything in the city and now i'm home I really miss it. The room was lovely, we had the most comfortable twin beds i've ever experienced. After a long day walking round the city it was a joy to lay there watching the local news stations on the rather large LCD Televison. We didn't book breakfast in our deal, instead we just went to one of the many local Deli's and bought in fruit and yogurts, etc and ate before we left in the morning. All the hotel staff we met were really friendly and accommodating; we used the Concierge a few times to help us - including tickets for a show (we were only there a few days so didn't want to queue at TKTS for hours). We also used the Left Luggage facility in the basement to leave our bags on the last day - only a tip required for this service. We found the location of the hotel to be perfect to get everywhere - Theatres are all a short walk; Bus tours all leave within a couple of blocks; 5th Avenue is about 10 minutes max; Central Park about 15 minutes; Macy's and The Empire State Building about 20 minutes. I would recommend the tour buses - one of which is 'hop on hop off' very handy for shopping - Die hard shoppers DON'T MISS Century 21 beside Ground Zero for the best bargains, and ask in Macy's about the store's visitors discount card. We also went on the the Party Shuttle Tour which was very informative and took us to Staten Island and back. I would love to visit New York again and would definitely make the Crowne Plaza my first choice.	
