	For the money you can find a better hotel with better service"	The location is great! But the service was awful! The rooms were large for New York standards.	
	Best Hotel and Best Location	The positive reviews of this hotel are for real. My take on the negative reviews is that there are some folks you can't please no matter what. I have stayed at this hotel twice and after having stayed at numerous other hotels in NYC, I have to say that this one of the best and is by far my favorite. It is really more like a small apartment in the heart of Times Square. I never had to spend the big bucks in a restaurant since we had a small kitchenette and brought in buffet food from a store nearby. As a very satisfied Hilton Hhonors Gold member, we got a free breakfast every morning, making this a terrific deal. This is now the ONLY hotel I will ever consider when visiting NYC.	
Nov 26 2009 	Perfect location-Perfect Hotel	Stayed here from Nov 19-23. Hotel is right in Times square and everything you want and need is right out side the doors. The lobby and check in is on the 3rd floor. Everybody we talked to was very friendly and help full if you had any questions. We stayed in room 3211 which was a suite with a pull out bed. My friend could not believe the size of the room as he was in NY earlier in the year and he said just the living room area was bigger than the room he had in the other hotel. If you are traveling in a party and don't want to be cramped then this is the place to stay. Outside noise was never a problem and never caused me to lose sleep. Elevators were fast and never had to wait that long to get one. Just watch the doors as they close fast. The only thing i found wrong was that the TV programs were not in High definition. My friend used the weight room every day and loved it. I went and looked at it and it had everything you needed for a good work out. This will be the only place i look to stay when i return to NYC.	
Nov 25 2009 	Great Value	Every time I stay here I am amazed at the size of the room you get for the price and location. The Doubletree offers you a two room suite in the heart of Times Square for half the price of most other hotel's single rooms. The Hotel offers very few other amenities, but you are in Times Square, and 10 minute walk in any direction from literally hundreds of restaurants, bars and night clubs, so why do you need any hotel amenities other than a large, clean room? If you are taking the kids to the city, this is definitely the place to stay.	
Nov 24 2009 	Great location clean comfy rooms	We stayed 4 nights at this hotel in November. Rooms were spacious and comfortably held us 3 girls and all our luggage plus what we bought while we were there! Check in was quick, easy and friendly considering we arrived at midnight. The girl gave us a choice of rooms and we went for one with a view of times square. We were only on the 9th floor so the view wasn't great and we also couldn't see the ground due to a ledge/balcony below our window but this didn't affect our stay in any way. The warm welcome cookies were a nice touch on arrival. The sofa bed in our room was not particularly comfortable but all 3 of us fitted easily into the one double bed which was extremely comfy. The room was kept very clean and had a nice sized bathroom, which you could access from the bedroom and living area. We also had 2 tvs, a fridge, microwave and coffee machine. The guys at the bell desk were very helpful and kept our cases for the day once we had checked out so thanks to Miguel and Jordan for their service. The hotel is in a great location so it is easy to reach everything from there. We found the nightlife in the surrounding area to be a bit too touristy - a bit like going out on a Saturday night in Leicester Sq or Picadilly when you live in London. We found the West Village area on our last day and wished we had found it sooner as it looked like a better night out could be had there with less posey people around. We booked the Sex and the City tour with Viator.com which is well worth doing if you are a fan of the show but try to do it early in your stay as the guide pointed out loads of sights and gave us special offer discounts which we were unable to visit or use as it was our last day there. Also, try to go to Carmine's - an italian restaurant which does really great food near to the hotel. They serve everything in big family portions so you just get the one starter and main dish and everyone shares. The 3 of us ate for around $60 and there was so much food left over it could have fed another 3 people. I'm not sure of the exact address but the concierge will be able to tell you at the hotel. Don't let the concierge tell you you won't get a table though. That's what they told us so we just got dressed up and went in. They asked us to wait at the bar for about 20 minutes when a table would be available so it wasn't a problem that we hadn't booked. I would definitely recommend this hotel to anyone looking for a good location at a reasonable price. It's not luxury but it is clean, spacious and comfortable with good service, which is all you really need for a short break.	
Nov 21 2009 	Great Staff Makes a Great Visit	Trip starts at the front door with Marco and Charlie M. When you get to Front Desk Danny , Michael, Carla, Demarris, and Jenny will take great care of you. Great security system in place	
Nov 19 2009 	An Unexpected Gem in Times Square	Walking around in the hustle and bustle of Times Square can be daunting, but as soon as you arrive in the third floor lobby of the Doubletree, it is serenely calm. It is the rooms, however, that really make this an exceptional value in New York. The suites are spacious and have been recently renovated. Mine had two double beds and a flat screen TV in the bedroom. There was a sizable, separate sitting room with sofa, table, chairs and TV. This room also had a wet bar, microwave oven and refrigerator. The sizable bathroom had two sinks and opened into either room. Comfy beds and bedding, too. Another plus -- if you arrive by train or bus to Penn Station, Grand Central Station, or the Port Authority terminal, the Doubletree is a manageable walk if you aren't carrying too much luggage. I would gladly stay here again.	
Nov 18 2009 	SUPERLATIVE	We had booked another hotel for the weekend, but upon checking Hotwire.com the day before our planned New York trip we saw a 4-star Times Square all suite hotel posted for $148. It was obvious without much research that this was The Doubletree Guest Suites. Needless to say, we hastily cancelled our previous reservation and booked this immediately. We were impressed with the entire experience. We were greeted warmly by the front desk staff who put us into a 36th floor suite with spectacular cityscape views. The suite was spacious and beautiful with nice, well maintained furnichings, abundant lamps and warm lighting, elegant window treatments, and a great bed with luxury linens. The suite was pristinely kept with thoughtful touches at every turn. There was a huge, amenity laden bathroom with double vanity and entrances from both the bedroom and the living room. I had forgotten to pack shaving cream and a quick phone call had my request delivered within 5 minutes. There is a spacious wetbar with microwave, small refrigerator and coffee maker. We experienced absolutely no noise from the street or from adjacent hotel neigbors. It's readily apparent that the staff at this hotel is unifomly service and hospitality oriented. All public areas, including elevators, appear to be newly renovated. All in all, an outstanding hotel experience. Highly recommended!	
Nov 16 2009 	Pleasantly Surprised by the Doubletree	We just came back from a one night stay at the Doubletree. What can I say - it was a great stay! As others have reported, the rooms are large, two-roomed suites. We had a king on the 42nd floor with an amazing view of Time's Square all the way up to Central Park. Room was clean, comfortable and I could easily seeing spending a long weekend here. Loved having a mircro and mini fridge as well.My son had dinner at Ginger, the hotel's restaurant, and he enjoyed his steak. It wasn't a NY steakhouse but, the decor was nice and we didn't have to compete with noise, as we did at the other restaurants we dined at.Also really liked the reception/bar area. Found the hotel to have very good security in place.We'll definitely be back.	
Nov 16 2009 	Magic.	Well what can i say that has not already been said, stunning view from the 34th Floor of Timeas Square, and i nice spacious suite that was perfect. The staff were fantastic especially Andrew at the ground reception, he took care of items i had left for friends to collect with great care and attention. Will be back that is for sure, go on treat yourself...stay here, you will not be dissapointed.One tip however IF you are calling home, use your mobile i was £62 in calls, and i can honeslty say did not make too many calls, seems a little overpriced to call international.	
Nov 15 2009 	Absolutely amazing Hotel	Ive just come back from a 6 day break staying at this Hotel - as I went with two friend we chose this Hotel as it had a separate bedroom and a sofa bed in the front room - the rooms were very spacious and the King size bed was extremely comfortable, there were two flat screen tvs in the rooms. THe bathroom was very spacious and included a bath - also, we had a sink, fridge and coffee facilities in the lounge which came in really handy so two peopke could get ready to go out at one and not worry about waiting for the bathroom to use the mirror/bruch teeth etcWe stayed on the 21st floor and the view from our room was amazing, we looked out onto all the neon lights of Times Square - we all couldnt stop looking out and were hypnotised by them!Although it says you can have wireless broadband for a small cost, we had a free connection if you just wanted to check your emailsAll in all I cannot fault this Hotel - the location could not be beat - you walk out of the door and right onto the lights and madness of Broadway!	
Nov 10 2009 	fantastic locationcouldn't have asked for more	Really had a fantastic time in this hotel. It is so close to everything. Perfect for those girly shopping trips. The staff were excellent and so willing to help at any time. Daniel in reception was so good to us and Charlie and his colleague went to great lenghts to get us a hugh taxi to Newark airport in friday eveving rush hour traffic. Any time we called housekeeping they were so obliging. The only thing that was slightly off was the systenm with the channels on the tv. where they show all pay per view channels only but do not advise you that you can get music channels without having to pay for them. Cannot say another bad word about the hotel, Even though it was in times square there was no noise fron outside, the rooms were spacious and it was very reasonably priced cosidering location. I woiuld definitely stay there when I return to the big apple. Thanks to all the staff for the help, couldn't ask for more	
Nov 10 2009 	Beautiful hotel disappointing customer service	We reserved this hotel using Hotwire and requested two rooms that would accommodate 8 adults altogether. Two days before arrival, I called the hotel to confirm that we would have double beds in both rooms and was told that I could make such a request at check in... but not before. Naturally, upon check in we were told that all of the double bed rooms had been spoken for and our party of 8 would need to settle for two rooms that each had a king sized bed and a pull out couch. Not exactly what we were expecting (or paying for)... for 8 adults. To add insult to injury, the pull out beds in this hotel were barely passable as &quot;sleeping accommodations.&quot; The mattress was a mere 4 inches thick and fraught with squeaky springs that jabbed through the linens. Fast forward to our check on on Sunday when we requested to speak with the day manager (Carla Ortiz) who was very much &quot;on script&quot; and repeatedly informed us that we had intentionally selected our accommodations. When we explained the Hotwire reservation system to Ms. Ortiz (which doesn't include the option to select the number of beds, only to indicate the number of people in your party) she stated that we should have called ahead to request double beds. When that argument didn't work in her favor, she looked at her Hilton script and pointed her finger at Hotwire. Evidently, the Hilton hotel chain thinks that it is completely appropriate for their guests to sleep on a pull out bed... and thinks that giving out chocolate chip cookies is a replacement for actual customer service.	
