	A very trendy and cool hotel right in the heart on Manhatten.	The hotel is in excellent location, just a couple of blocks away from Broadway (Time Square)I choose this hotel because of the cool pictures on their website. Altough it was not as cool as on the website, the hotel still is very modern and stylish.As I just used the hotel to sleep, I can only give my opinions regarding my room and my impressions. I did not use any of the their facilities and also did not have the chance to experience either the restaurant and bar.The room I booked was a standard room. It was very clean and stylish, but a little small for my taste.The bathroom is pretty decent and provides branded toiletries from L'Occitaine.As I almost never were in the hotel I cannot express myself to much about the staff. But the guy that brought my bags to my room was very friendly and helpful. The same guy escorted me when I departed. So, my only interaction with the staff was basically just him.As I mentioned earlier the location is just excellent, you can reach anywhere in NY midtown by foot. There is also an undergorund station just outside the hotel's entrance.In my opinion the hotel is most suitable for younger crowd (18-30)Overall I enjoyed my stay at the Dream.	
Nov 20 2009 	Definately not a Dream	We stayed at this hotel as a change from our usual hotel in NY from the website it looked pretty cool......wrong. Our room was not what I would call luxury we were there for one week and were unable to unpack our clothes as the wardrobe space was made fro people less than 4ft, we were unable to even hang up our coats. I am sorry for this price I expect to be able to unpack. The room was not just minimilast but bare, have been in better travel lodges! No offence to Travel Lodge but at this price we could have stayed at the London. We arrived on Halloween and there was a party going on in the bar downstairs that had spilled onto reception that was OK, it was a holiday after all. little did we know this was an omen of the noise we were to expect nightly. We had a small window with a view of a brick wall. The door of the room did not close properly and we had to put something in front of it at night, from the outside it did not look as if it was closed, it had not been hung properly and did not make us feel as though we or our valuables were safe. The lighting in the room was absolutely rubbish it was impossible to put your make up on and there was no full length mirror. It was noisy and the sky bar , I am sorry I live in a city if I want to look into people's living rooms I will go live in a high rise. When we had recovered from our jet lag we checked out early, it was very difficult to get a hotel room and went to the Radisson where the service was much better and the internet was FREE and we saved over $900! The only plus side was the location but this place should be had under the trade descriptions act. I work in partnership with a lot of &quot;boutique&quot; hotels and I am sorry this was not what I was expecting from the description in website or Time Out. If you are young and a clubber and perhaps only use your room to sleep for a few hours and don't want a nice hotel bar and luxury on your holiday then this might suit you. Oh yeah, the ship in the reception, we only spotted it on our last day it is tiny and as far as we could make out the spa was not in the hotel but around the corner. We didn't let it spoil our trip but would never recommend this hotel.	
Nov 19 2009 	Stylish and perfectly located	Very nice hotel, modern, stylish, clean and friendly. The best is the location: from our room we could look down Broadway to Times Square. There is a small wellness area and a cool bar on the top floor with a great view! 	
Nov 10 2009 	Great location cool hotel but overpriced.	Great location close to Central Park. The room was good and big enough. The A/C was noisy but since we stayed there in November it was ok to keep it turned of. We were on the third floor were the noice from the street was a bit disturbing. I'm sure it would have been nicer further up in the building. All in all a nice enough hotel but not a good value.	
Nov 10 2009 	great location great hotel	Spent six nights in Dream hotel with my husband before spending a further 2 nights in New Rochelle. We loved our stay. Our room was perfect, small but was kinda prepared for it to be far smaller so we were pleasently surprised when we COULD swing a cat in it. I'm mean its not like you spend hours and hours there- its meant for sleeping. We had a closet and a few drawers which was great- we got to unpack completely. We used the Spa for a massage- it was slightly expensive but WELL worth it, it was probably the nicest massae I ever got. The location is ideal- its pretty much walking distance from everything but if your tired or lazy (there were times!) the 57th Street Subway is right outside. I would recommed this hotel to anyone and we intend to stay here the next time we're back- loved it.	
Nov 9 2009 	DO NOT STAY HERE	We had booked online excited at the magic the hotel website promised. We arrived a few hours prior to check- in and the two ladies at the front desk were friendly and prompt. Surprisingly, they didn't turn us away but got us into a room right away. Husband and I were happy to see three working elevators. The lobby is very chic with a constant hub of guests or drivers. Our room was on the 10th floor with a wonderful view of 55th street. We didn't mind that the room was small but the bed could have been more inviting! No kidding I'm 5'3&quot; and my husband is 6'....we both had a difficult time sleeping here. Immediately noticed how HOT the room was. It happened to be 65 degrees in the city this weekend and our room was 86 degrees!!!! No Air Conditioning so Hubby had to prop the bathroom window open. Bathroom had only a shower. After checking in and dropping our luggage, we spent some time shopping only to return to a room that had been &quot;fluffed.&quot; They left two bruised rotting apples and a room service menu on our pillows...could they please skip the beat up apples? If you want a place to pass out in after boozing up the club this is your place...for the money we paid we expected better!	
Nov 7 2009 	Total Rip-Off Go Elsewhere	I stayed there for one weekend and the experience was terrible. I couldn't sleep at night because there was so much noise coming from the A/C, the street outside, and the paper thin walls. I woke up on both nights from hearing other guests' fighting in the middle of the night. Says something about the type of people that stay there too.The final blow was check-out time, when they charged me $200 extra on top of my bill for less than 15 min of phone calls i had made to friends in NYC! Apparently they add a $10 connection fee, WHICH IS NOT WRITTEN ANYWHERE. My talk time was only 15 min total: 2 short conversations and then some voicemail messages i left.This is not how to treat customers. Trashy place and poor value for money. I advise you stay elsewhere.	
Nov 1 2009 	The Dream Hotel	I loved the dream hotel but it wasn't a cozy type of hotel, it was more like a modren hi-tech sorta thing.	
Oct 25 2009 	Totally satisfied	I have absolutely no complaints regarding my stay at the Dream Hotel. We had a large room with a decent sized bathroom including large shower area, lovely Loccitane products and an extremely comfortable bed that I can only describe as like sleeping on a marshmallow! Reception staff were friendly, the bar was funky and the location just in between Times Square and Central Park.	
Oct 17 2009 	Nice view of an airshaft	Stayed at the dream over the Columbus day week-end. Traveled with my wife and another couple. We stayed 4 nights. After reading different reviews, it seemed nice but with small rooms. I also signed up to become a I prefer member which offered free upgrades if available.Our rooms were indeed small, and ours (118) was smaller than our friends and the view out of both of our windows was an air shaft. Expressed our displeasure in this otherwise interesting hotel to no avail.So if you want to spend from 300 to 400 dollars for an undersized room with a view of an air shaft this is the place in New York to find it.	
Oct 8 2009 	Location Location	Perfect location to Times Sq, Central Park, etc. Near a NYC Sightseeing bus stop. Clean and well appointed rooms. Helpful staff and a very good Italian restaurant on site.	
