	Decent hotel at a decent price	This hotel is older with large rooms. You get a kitchen in the suite, so if you are a with a family that is a great addition (eat inside). If you need the space and want a low cost hotel, this is a great option.	
Nov 13 2009 	Very user friendly	Just came back from a couple of days of fun in New York. Stayed at Eastgate in room 25B. We were on the last floor. Great view. Very quiet and very clean. Very helpful staff. This was a big, clean appartment with 2 bathrooms. a well equipped kitchen, a dining room and a big living room. Beds and pillows were comfortable. I have back problems so I am almost an expert.... Got it through Priceline. 15 minute walk to Times Square and loads of shops around for groceries or anything you want. I would not recommend Byblos restaurant nearby. Food was so-so and expensive. I will be coming back to this hotel!	
Nov 10 2009 	Huge suites clean sheets and a great location.	Three of us stayed at the Eastgate Tower along with our baby daughter. We needed a one bedroom suite with a kitchen and got a great online deal. The reviews on tripadvisor were generally positive, so we hoped for the best without any great expectations. As it turned out, we were pleasantly surprised. The hotel is in a great spot in midtown Manhattan, close to Grand Central Station and with a Diagostio supermarket, ubiquitous Starbucks and fresh bagels just a few minutes away. On first appearance it's a little tired, but it's clean and the staff are friendly and helpful. Our suite was very spacious, with a dining area, separate kitchen, huge lounge and a very large bedroom with two comfortable double beds, another TV and no sign of bedbugs. The bathroom was clean and the shower pressure was great. It's not the Hudson, but it's great value and if you want to hang out with the hip crowd, the W is just a minute's walk up the road.You will like The Eastgate Tower if you:- want plenty of space- are on a budget- are travelling with children- want to escape from Times Square- like to make your own breakfastYou will not like it if you:- want an hotel that looks like a page out of Wallpaper* magazine	
Nov 9 2009 	Why are standards for hotels different in NY than anywhere else in the world.	Stayed here based on reviews on Tripadvisor and all I can say is this hotel is a dump. Not surprising since hotel standards in NY are different from any other city in the world. A 5 star is actually a 3 star, a 4 star is a 2 etc. So, since this hotel is a 2.5 it is actually a .5 which makes sense because that is exactly what it is. Picture a really bad bachelor pad with mismatched furniture clunky light fixtures a TV that has horrible reception a layer of dust on the vanity light in bathroom. The only good thing about this room was the fact that the shower worked very well, it drained properly and the water pressure was good. That's all that was good.	
Nov 4 2009 	Roomy room and good location for New York	We were referred by someone who had stayed here and we were happy with our choice. We did get the Jr. suite for a little extra room. We were about 10 min. walk from Grand Cental which we did use a lot. The staff was nice and was maybe a 10 min walk to time square or the theaters. There were also restaurants near by also.	
Nov 4 2009 	Ideal for our family of 4	Have recently returned from a 4 night stay with my husband and 2 children (aged 8 &amp; 10) and I have no complaints about this hotel at all!We had a one bedroom apartment on the 14th floor which had two beds, sofa bed and full kitchen. As others have said, it's not exactly stylish but the rooms are huge, the beds are comfy, it is cleaned every day and the staff are friendly. We were able to walk to many places of interest without complaints from the children and when we wanted to go further Grand Central was a short walk away.We had a couple of good breakfasts at the Frontier Diner which was close-by otherwise there are plenty of delis and restaurants to choose from if you are staying local.One thing to note - when we arrived the hotel put us in a one bedroom apartment on the 9th floor by mistake (theirs not ours). We only spent about 5 mins in it before they moved us but it has to be said that room wasn't in as good condition - the carpet was much older with a few dodgy looking stains and the beds weren't as comfortable. The kitchen appliances also looked older. It wasn't bad enough to make us complain but the 2nd room was definately better - maybe they are rennovating from top to bottom? Might be an idea to ask for a higher floor.	
Oct 31 2009 	Friendly staff huge rooms clean and safe.	We stayed 10 days and were very satisfied with the location (short walk to Grand Central station), small kitchen, coin-laundry in the basement, service, and many places close by to eat and get groceries. We had a Junior Suite and the room was huge with 3 small closets, plenty of drawers and room to dance. The TV color and channel selection were poor and the furniture outdated, but we were there to see the sights, so not a problem.	
Oct 24 2009 	Nothing to complain about budget Hotel	I got placed here via Priceline. It was fine and a good value. Room was large, has a kitchenette. Bathroom clean and totally serviceable. Room was a bit cold but not nearly as bad as some 4-5 star places I've been in NYC. Its an old city that was built like crap, most of the buildings are cold, in my exp.For sub-$200 a night prices, it was just fine.	
Oct 23 2009 	Eastgate Fulfilled All Our Needs	We found the Eastgate Tower to be ideal for our group of five. It was so quiet - even from one room to another. We had a two bedroom suite with sofa bed. We bought some breakfast foods from a small grocer nearby and saved ourselves time and money. There were even wine glasses in the kitchen. The furniture was outdated but the beds were wonderful and everything was clean. One word of caution. I had a confirmation showing rate and number of persons. When we arrived not only did they not have a suite with separate beds in each bedroom as requested but they also tried to change our room rate. Lucily I had brought our email confirmation to show them. They changed us to our choice of room configuration the next day when a room was available.	
Oct 20 2009 	An excellent base for a stay in New York!	This hotel was everything we wanted.A very central location,clean and spacious and friendly,helpful staff.The room decor was a bit dated but very clean and maid service with clean towels every day.	
Oct 15 2009 	No luxury but spacious for our group	We reserved a two bedroom, two bath suite on a non-smoking room, which is what we got. Check-in was quick and easy, at most it took 5 minutes. The bellman, Luis, loaded all our luggage to his cart and took there to our room. he also gave us a tour of the room, showed us how to use the AC and we can open the windows if we wanted fresh air. The room was HUGE, our toddler had a blast walking from room to room. We did open the windows every day. Having a full kitchen was nice, though we didn't need it. The maid stopped by every day to make beds, change towels, etc. The hotel did not have a restaurant, but only minutes away is the Frontier Diner, they offer breakfast, lunch &amp; dinner with free delivery. Other stores in the area include: McDonalds, Dunkin Donuts, convient stores, Duane Reade, chinese restaurant, pizza place. We only paid about $299 per night which is an awesome deal in Manhattan for our group of 7.	
Oct 13 2009 	Great location - basic hotel great base great staff.	We stayed for 6 nights. This hotel is basic - room was above average size and very clean, but dimly lit and somewhat dated. However, it was exactly what we needed for the price, and was great value for money. The room we were alloacted was a mini-apartment with ktichenette, and the bathroom was small but functional. Its location was ideal for exploring the city, and it was a perfect base for our holiday. The staff were extremely helpful, and happy to assist with any needs we had. Bars and resturants were nearby (cheap breakfast spot at one end of the street - try the chocolate chip pancakes!) and just a 10 min walk to Grand Central Station. Overall, we would not hesitate to recommend this hotel to others on a budget.	
Oct 11 2009 	Nothing to write home about	Good size room, serviceable as a place to stay, but not a particularly comfortable or inviting room environment. Very hard bed, chairs for working at table were in terrible shape, and TV was old and had pretty poor reception.	
Oct 11 2009 	Perfect place for a perfect price	The Eastgate Tower hotel is located in Midtown and a five minutes walk from Grand Central Terminal. Nearby are deli's, restaurants and shops. It was our groups second trip and we really loved this hotel.We had a two bedroom suite that was huge for a very friendly price. We had breakfast everymorning in the room and even made dinner once in the room. When we came back from dinner we relaxed in the sittingroom, talked, had a drink. Very relaxing!We could see the UN building (24th floor) and a reflection of the Chrysler building. Then you know you really are in New York.The room was better than expected for the price (240 euro's/night) but do not expect a fancy room. Each room had a tv. The kitchen was equipped with the necessary utensils. including a dishwasher.	
Oct 1 2009 	Convenience space	Conveniently located about 6 blocks from the UN Headquarters as well as Grand Central Terminal, the Eastgate is an all suites hotel providing rudimentary, but quite adequate services and facilities. The unit we had was an oversized suite affording us a lot of space for two people. The room was quiet which we really appreciated.The only negative is a lack of on site restaurant or even a snack bar/pop machine. However, a number of restaurants and stores including a grocery store were close by. The staff were very helpful and friendly.	
Sep 30 2009 	Wonderful roomy apartment style suite	Eastgate Towers exceeded all of our expectations for our first family vacation to NYC! Great location a 5 min walk to the subway at Grand Central Station. The two bedroom suite was not luxurious but roomy and comfortable - apartment style, with 2 bedrooms, 2 baths, kitchen, roomy livingrm/dining w sleeper couch.The web special price of $199 was an unbelievable value. With three teenagers, we were nervous about NYC hotel room sizes only to be pleasantly surprised with this most spacious suite, we've ever stayed in all our travels.Definitely stay there again.	
Sep 28 2009 	Great location spacious not lux	We stayed two nights in a 2br apartment. It was very spacious. The beds were ok, rooms were very spacious, there was kitchen which was great, though not the cleanest. The pull out sofa was not comfortable for sleeping (as expected). The hotel has not been renovated in a while, but it was roomy and comfortable. I would stay there again.	
Sep 18 2009 	Run down 	Like many these days, when traveling on business, I need to be budget conscious. It didn't help that my stay overlapped the NY Open. I'd read reviews and seen pictures of the Eastgate here so I wasn't expecting anything terribly new, but this hotel is in FAR worse shape than the reviews I saw would indicate. I wouldn't have minded the fact the it's dated if it was clean. Unfortunately it was not. Not even close. Then there was the bed.... if that's what you want to call it. I've slept in airport waiting areas that were more comfortable. I can't wait to get out of here and give all of my things a disinfectant level cleaning. Bottom line, even in NYC you can do better for the money.	
Sep 16 2009 	Excellent choice for small group	We (5 friends) took advantage of their weekly rates which was great value for the accommodation received. The size of the rooms were very good. Lounge and dining area furniture were abit dated, but bedrooms big and clean. We had the 2 bedroom, 2 bathroom apartment. The lounge was a sofa bed and could be used as sleeping quarters. There was also a fully functional kitchen with microwave in our apartment.The hotel did not have breakfast, but we had no trouble having a quick meal on the go or eating nearby. Also check out the sushi restaurant next door which was really tasty.The hotel had a computer downstairs and a 24hr reception. Couldn’t see any other facilities, but that was all we needed.Location was great, very close to grand central and the Chrysler building. Took us about 5min walk.The only reason this did not get a 5* is that the rooms were overbooked when we stayed (June). We had to be put up for 1night in a 1 bedroom apartment before changing the following day. A nominal amount of compensation was given, but we would have preferred to just get our chosen rooms in the first place. Not sure if this happens often.	
Sep 13 2009 	Good Cheap Hotel Thats Okay!!!	The hotel is located on 39th street which is close to un building and chrysler, its a few blocks away from times square but walkable. We walked it most nights just for the buzz. there are places to eat locally for breakfast, a supermarket on the corner too. the hotel itself is basic so you do get what you pay for, but it was clean, the mains even washed our pots for us too which woz nice (yes we tipped). the room we had was a studio so we could have our own breakfast in the apartment. everything was fine, it is nothing flash, its just dated and needs a spruce up and modern decoration. but it only cost me £320 for 4 nights which is great. i would go back and recommend it, sure its miles from central park and a bit away but you can walk in new york and feel safe anytime and thats whats great.had a smashing 4 nights and did all the touristy stuff. its definately a 24hour lifestyle, you see many people jogging and everyone is talking on mobiles and walking with their starbucks coffee on the streets. we even saw a bloke reading a book whilst walking- mental but all funny.staff were fine in the hotel, same anywhere, some people are more helpful than others but all in all great stuff. wud recomend for anyone on a budget and wanting safe nice accomodation.	
Sep 7 2009 	Good hotel but it could have been better	The Eastgate Tower is conveniently located near Midtown and Grand Central – 42nd St Station and is in walking distance of many attractions. The hotel was fine. The rooms are very spacious, but feature a very noisy air conditioner going on 24/7. I had a great view over Manhattan. The staff was O.K., but could have been a little friendlier.	
Sep 7 2009 	Calm and comfort at a reasonable price	We were very pleased with our stay at the Eastgate Tower. Our &quot;junior suite&quot; was quite spacious and included a kitchenette - a rarity in downtown Manhattan. We found the price quite reasonable compared to other similar hotels.Our only complaint would be the steep cost for a wireless internet connection. Most hotels offer complimentary free wifi nowadays. Fortunately you can find free hotspot connections in the street less than a block away if you aren't willing to pay.	
Sep 6 2009 	Excellent hotel with brilliant location	Me and my boyfriend stayed eight nights in Eastgate Tower Hotel and we definitely liked the hotel. The rooms were spacious and tidy and what's most important the location was brilliant. The service was ok and there was no noice from other rooms etc. Grocery stores and cafe places (such as Starbucks) are situated close to the hotel.There was a guest computer with an Internet connection downstairs. Unfortunately the price of using the Internet was quite pricy. But don't worry. If you need to check your emails you can always go to BurgerKings or net cafe that you may find every where. The location was ecxellent. Just a 15 minutes walk to Empire State Building and also the Grand Central Terminal with nice subway connections is very close. This is also one reason why the hotel is good for people who want to explore the city during their stay in NYC.Eastgate Tower Hotel isn't the newest hotel in the city but it is definitely a great choise for a normal traveller. It is great for couples and families.I am more than happy to recommend this hotel to everybody who are travelling to New York City for leisure. We would choose this hotel again!	
