	Disappointment	I had high expectations for this hotel given its reputation, and was really wowed by the architecture upon entering. Things went mostly downhill from there. The staff lacked the warmth and willingness to assist I would expect from a Four Seasons. This was obvious from the moment we checked in, but got worse when we notified the front desk that we had no hot water. They said they would flip a switch and get the hot water running, but that did not happen. When we called again, they finally sent a repairman (rather than simply send us to a room that had hot water). He still did not get it fixed. After calling one more time and getting blown off, we just shivered for the rest of our visit (it was snowing outside). Smaller issues, but ones that I would not expect at this hotel: dirty dishes stacked up and abandoned on a tray next to us at the restaurant; a 45-minute wait for room service to bring granola and coffee, with no explanation offered. The room is big by NY standards and of course the location is great, but St. Regis and Ritz-Carlton are far superior in terms of the appointment of the rooms and service in this area.	
Oct 5 2009 	Heavenly	Possibly one of my favorite hotels I have ever stayed in. I cannot rave enough about the service, location, rooms, or the physical building itself (designed by a world-famous architect). I would recommend this hotel to anyone in a heartbeat... anyone with the wallet fat enough...	
Oct 5 2009 	Too much "attitude" better nyc hotel choices	I feel compelled to write because this is the first time my husband and I have stayed at The Fours Seasons Hotel in NYC and we found it to be less than what we expected. Our complaints are minor, but when you stay in one of the &quot;best&quot;, you expect that level of service. We had stayed at The Four Seasons in Boston over the summer and found it to be magnificent, unfortunatley we did not find that in NYC. Here is our list of &quot;problems&quot;. We ordered breakfast on Friday A.M. that came with a piece of hair on the cream cheese and hair on the table cloth, Saturday morning breakfast arrived 15 minutes later than the time we were told it would arrive. We wanted to dine at Nobu and the concierge told us that he could not get us a table until after 11PM. My husband called Nobu from his phone and we received a 7:30 PM dinner reservation. On Saturday, we asked to speak with a manager to relay some of our unpleasant experiences. We prefaced our conversation, that we thought the hotel should know the less than stellar moments of our stay, but we did not expect anything from the hotel, except to know that we were &quot;heard&quot;. The manager said he would have someone follow up with us the next day. No one ever did. If you are someone heading to NYC, stay at the St. Regis on 55th and Fifth Avenue. There, you will find excellent service, stunning rooms and suites, incredible food, perfect bell staff, accomodating concierge staff, agreeable front desk and perfect housekeeping. We have always stayed at the St. Regis and we will never venture from there again. The St. Regis lacks the &quot;stuffy attitude&quot; and offers incredible service, where they will always appreciate your business and remember your name. Sometimes you really do need to venture away to truly appreciate what you have. On a side note, if you want incredible cupcakes go to CRUMBS on 53rd and Madison. Our son's favorite is &quot;smores&quot;, we love the &quot;cookie dough&quot;.	
Sep 6 2009 	What a location from which to explore New York	Our eldest has just started college in New York, so we took the little ones out to see where she would be living and also a chance for them to see New York.They saw all the usual attractions, including the Beast Speed boat - crazy!!We stayed in the Four Seasons and it was a lovely hotel - very friendly - great location - good sized roomsThey recommended some great little restaurants for us to eat in and a great dinner for the kids to experience a full on American breakfast !!	
Aug 17 2009 	Lovely but $Ouch	The room is without a doubt lovely, the bathroom is possibly the best in any hotel I've every stayed. The staff were friendly enough, a bit stuck up in the bar. We paid $750 a night just for the room. I'm thinking that overall it's a tad pretentious.	
Jul 25 2009 	Good but not great	This is my tenth FS property and my least favorite. I could not understand how any FS hotel could rate so low on TA, but one stay here and you may know why it is middle-ranked. For the price the service should be flawless and for the most part the staff held true to this. The spa staff, concierge desk and housekeeping department were top notch. The front desk also did a fantastic job. However, the doormen and bellmen failed miserably on nearly every arrival/departure from the hotel. I think living in NYC requires grit, attitude and a gimic; and the FS staff can give you plenty of that. Maybe I am a naive, over-friendly, optimistic country mouse, but it sure would be nice to at least get a greeting from the staff when you're paying $1000 a night.The one shocker is that the spa is located seven floors underground. A sinking thought to be in the bowels of NYC. Ask for the fire escape plan on arrival and try to settle into a relaxing massage with this on your pragmatic mind.Not worth the asking price. Get half the price and twice the service at The New York Palace.	
Jul 6 2009 	The Best in the City	I've never been disappointed by a stay at this hotel. The staff is always perfect. The service is typical Four Seasons, always there when you need them, with no flaws. The bathroom is huge, with one of the fastest filling tubs I've ever seen in a hotel. The walk-in closet/dressing area is HUGE. Lights are on dimmers in every room. The curtains and shades are powered. The views of Central Park and the city were perfect. The front desk staff and concierge addressed me by name every time I passed the desks, and always with a smile. The elevators are incredibly fast. The hotel location could not have been better. The bed is one of the most comfortable I have ever slept on.	
Jun 29 2009 	First Rate but pricey	Very comfortable, luxurious rooms. Not fancy, but extremely well appointed a comfortable. Prices a bit silly, especially for food and beverage, but this is the top of the heap in New York.	
Jun 7 2009 	new york new york	great location. Close to central park. Close to shopping. A quick taxi to time square. Rooms are clean and roomy. staff was very nice. Be prepared for the cost of drinks and food.	
May 30 2009 	Fantastic location fantastic staff fantastic hotel	I arrived at the hotel extreamly early, 6am. Thinking I would have to leave my luggage and see New York before getting into my room. But I was wrong. Upon arrival, I was greeted by a Doorman, who had my luggage taken away and walked me to the Front Desk. Once I gave my name, that was it, nothing else was needed. Due to my time of arrival, my room was still occupied, but they were kind enough to upgrade me to a beautiful room (1006). This room had a balcony, which for New York is rare, huge walk in closet. The bathroom was just splendid. Internet was dead cheap, either $10 or $20 for 24h cant quite remember. But the connection was fast. The cleanliness was 100%.All staff that I came across where nothing but polite and welcoming. To the point where I even had the pleasure of meeting Mr. Sharpe (Founder &amp; CEO of Four Seasons) himself at the front desk.The only down fall, and its just a small thing, during room service I ordered the Lobster Spagetti, which to be honest, the Lobster tasted as if it had been frozen. Very Chewy and hard to get through. But everything else and my whole stay in New York was such a blast this didnt bother me.	
May 27 2009 	PERFECT - just how it should be	We are just back from a 4 night vacation at the Four Seasons in Manhattan. We considered many places (Mandarin Oriental, The Peninsula, The NY Palace), as the rates advertised were substantially lower than the FS, but we are just glad we finally stayed there. Business being what it is in the US currently, and the low season starting in NYC, all hotels did big rebates. This is not FS policy. They do packages instead, which bring the tab from obscenely expensive to something more affordable. Taking advantage of the &quot;Stay Longer&quot; package (stay 3 nights, pay only 2) + one week-end rate, a Premium Deluxe room set us back $850 nightly, plus taxes.CHECK-IN was extremely prompt and smooth. Our request to get the highest available floor, with the best possible view was well taken into account, within the category booked. Room 2901 was on the 29th floor, and boasted a roaring view of Central Park. We were glad we did not book a Tower Parkview Room, which would have cost $300 extra per night. Our luggage was brought up after a couple of minutes. Great bellman, who welcomed me &quot;back&quot;, and did a perfetc tour of the room.The ROOM was extremely large, especially by NYC standards. Typically Four Seasons, meaning that you do not really recongnize the city where you are by just looking to the room. I stayed there 7 years ago, and the room has not aged. It has been updated with flat screens TVs in the room and bathroom (huge channel selection). Spotlessly clean, with plenty of storage, and a great dressing area. The highlight of the bathroom is the fast filling tub, which truly fill up in under a minute. Eventhough I know it and had used it previously, it caught me off-guard. View was awesome : Central Park to the north west only interrupted by The Pierre hotel, and city views to the north east.SERVICE is perfect. They take all expectations into account, and go over the top to please you. I called reception with a standing request of 4 bath towels at any given time, and ample toiletry supply. I could have started a towel and toiletry shop at the end of the stay ! They noticed I had put on the floor a third bath rug. They replaced the 2 small one by a single larger version. Evening turndown would blankly respect the privacy sign, and slip a note under the door instead. They did came up at any notice.Our request of a later check-out time was graciously met : they offered a 4 pm c/o at no charge, which was less than we needed, but more than we expected. They stored our luggage, and we enjoyed the Spa facilities for a shower before heading to JFK, at no charge.Doormen open the doors for you ; they never miss to spot you on your way in or out, and greet you with a smile and kind word. Well, in many NYC high end hotels, they keep themselves busy counting their tips instead.Overall AMBIANCE is that of a very high end hotel. Stepping in the spectacular lobby, all marble and high ceilings, is a welcome relief of the noise, hustle and bustle of the city. It mostly caters to corporate people, and the crowd behaves, does not shout out, and is very well groomed. Even if we were flip-flop types, which we are not, we would not feel comfortable walking around in a too relaxed outfit.FOOD : we tried breakfast once. &quot;57&quot; was fully booked, so they redirected us to &quot;TY&quot; across the lobby. Spectacular settings, great service, corparate crowd &quot;strategizing&quot; and &quot;needing to restrategize&quot;. I was not overly impressed by the food selection. We went for the Park Avenue menu. At $40++ p/p, it featured coffee and juice, 2 pieces of toast, a coupleof eggs any style and 3 strips of bacon. I acknowledge it is the right rate for a FS ; quality was very good ; but it did not deliver the right quantity : it was on the scarce side for us, especially before a day out walking the city.We had all other breakfasts at Norma's @ The Parker Meridien, a short 10-minute walk west on 57th street. For a similar price, we had unexpected menu selection, outstanding quality and quantity, in a somewhat noisier and stepped down dining room.We enjoyed the bar. Good drink selection. We did not love the settings : too many armchairs around tables, too few settees aroung coffee tables. Highly but rightly priced, for that kind of place : $8++ Coke, and $22++cocktails.OVERALL we loved the place. We were sad to leave, and would go back any time. Could it improve ? Hardly. Well perhaps at these rates, some fresh flowers in the room, and a bottle of water at evening turndown (which they do at other locations) would not hurt. And would not go them bankrupt !	
May 6 2009 	Four Seasons New York - Worth it !	I recently stayed at the Four Seasons in NYC and I really enjoyed it !Really good location that brings you close to everything you need in New York.For a excellent dining experience you can also try TAO right next to the hotel.Highly recommended !	
Apr 15 2009 	elegant and worth every dime	was out here for a three day business trip. Took my wife along and ended uo staying three more days after the business convention was done. Took her shopping, had a blast!Highly recommend the benz and bed package, Newyork can be very crowded but overrall we had a great time romancing eachother for the reminder of the days. Fine cuisine, excellent staff.	
Apr 1 2009 	big rooms good food good location...not so great for kids	I took my daughter to NYC for shopping. She is a toddler and I researched hotels looking a family friendly one.This does claim to be family friendly.All was fantanstic...except room service was not great..often they forgot small items for a &quot;child menu order&quot; such a spoon she could actually fit in her mouth, no sippy cups, and the breakfast area in the morning, while lovely, is filled with primarily business professional. We were a real stand out.The crib in the room was large, they did provide a nice kid set of shampoo, baby wash. the diaper genie provided was dirty...yuckOverall, I would stay there again..but maybe try a different hotel for my family experience	
Feb 4 2009 	Great Room Awesome View Good Service	My husband and I stayed here for 2 nights in January. We are in our late twenties. This was our first experience staying at a Four Seasons Property. We will be visiting the one in Bora Bora in May 2009. The front desk was professional and friendly. The bell boy gave us a thorough run through of the hotel and our room. We were on the 45th floor and had a great view of Central Park. There was a nice bottle of Champagne and chocolate covered strawberries in our room when we arrived.We didn't order room service or use the spa. We were out and about in the city most of the time. The room was clean and very functional. We needed an iron and it was brought promptly and so was the replacement hair dryer we requested.We loved the bathroom and the tub that filled up in 60 seconds. In only 2 days my husband took 4 baths! Imagine that!Overall we had a great stay and the Four Seasons, not sure if we would return since there are so many other great hotels in NYC in other neighborhoods that we would love to experience.	
Jan 29 2009 	Typical Wonderful Four Seasons	We stayed at the Four Season New York for three days prior to our trip to Anguilla, and then for another day on the way back. The hotel is typical Four Seasons --- impeccable service, great bar and food, and wonderful rooms. The concierge service is among the best we ever utilized at any Four Seasons. They got us into the best restaurants on very short notice, easily arranged for limo service, and even handle getting a prescription filled. Emmanuel should get a raise!The bar was terrific and made for great people watching. Plus, the martinis were sensational. The workout room and spa more than satisfied our needs.The rooms were as good as ever, and the views from our 49th floor were unmatched. Chris, the bellman, couldn't have done more for us. A special thanks to Liz for all her help in getting our reservations taken care of. I don't think I would ever consider any hotel but the Four Seasons on subsequent trips to New York.	
Jan 12 2009 	Great Hotel...some issues	I have stayed in New York many times and this hotel is by far the best! The room was amazing with lots of space and light pouring in from all directions. I could have lived in the bathroom it was so big! And with a flat screen TV on the counter, I soak in the tub and watched the news every morning! The lobby is grand and impressive and I loved the lights that focused right on the concierge desk. The bellman gave us a great suggestion to go to Carniege Deli for lunch one day..WOW!! We brought him back half our sandwhich.Now the negitives...The front desk was so cold they felt like you could not approach them. I don't know if they were too professional or if that was the New York attitude shining through. The bartenders were also very straightfoward, no chit- chat just make the drink and move on. And if you are paying $20 for a martini you expect a little smile at least. Other than the cold welcome from these particular areas the hotel was great.	
Jan 1 2009 	Fabulous Stay!	Our stay at the FS - NY was absolute perfection. Liz, the executive assistant to the regional VP of FS, came out to greet my husband and I as we checked in - we were personally escorted to our suite - which overlooks central park and many high rise buildings. I shopped at Chanel, Dior, and Jacob &amp; Co...and to my delight, everyone was aware I was coming in to shop and I was greeted at Chanel with champagne and Dior with all the handbags I was looking for awaiting me... My hubby and I came back to the FS in the evening, and since it was his bday, they had his favorite cake and fruit awaiting us... The next morning...It was a late night since it was NYE and the guest manager called asking us if we would like a late checkout which was very much needed after a late night out! The service is spectacular and the rooms are immaculate and cozy especially for NYC. This hotel is def much better and more service oriented than the Beverly Wilshire. We will def be staying here again!!	
Dec 24 2008	One of the Best Hotels in New York	The Four Seasons in New York lives up to the FS standards. We arrived from LaGuardia via limo and were greeted by name with smiling faces to a place that we had never stayed before. We were early therefore naturally our room wasn't ready, so they offered us a complimentary drink in The Bar, which five minutes into they told us our room was ready. We decided first to adjorn to L'Atelier de Joel Robouchon (hotel's signature restaurant) for lunch before going up to our room. The room (actually suite) was spectacular. On a very high floor with views of the city and Central Park. The bathroom was one of the nicest I have ever seen. The Spa was just as gorgeous as the rest of the hotel, at five floors below ground though it is a tad scary going down to it. My masseuse was great and the massage really relaxed me! 57 is another good restaurant in which we had Brunch on Sunday and breakfast once. The hotel has an excellant location (across the street from Turnbull and Asser on 57 btw. Madison and Park) You are so close to all the good restaurants and shopping)I would definatly go back in the future!	
Dec 21 2008	Bare Feet in the Restaurant!	Well, normally eating breakfast in the FSH is a great experience but apparently their dress codes have changed. This morning -- Sunday, December 21, 2008 -- four of us sat right next to a guy with an ugly shirt, wrinkled pants AND BARE FEET. Yes, you read that right. he did not come to the restaurant with shoes and then take them off, he came into the restaurant with no shoes and spread out across the floor so everyone could enjoy his feet. NO ONE AT THE RESTAURANT SAID A THING TO HIM -- NOT THE CUSTOMERS -- IT'S NOT THEIR JOB -- BUT NONE OF THE STAFF OR MANAGEMENT EVEN APPROACHED HIM. As I left, I told one of the staff that I was waiting for shirtless Sundays. Really, really, bad form for a $250 breakfast. Guess The Four Seasons really needs the business.	
