	Nice hotel	I agree with great service and very nice room. We upgraded to a one bedroom suite and it felt like we were in our apartment in NYC. A nice apartment at that. Everyone was very helpful.Now onto the opinion side of things. This is a great hotel if you want to be in a residential part of NYC and not close to the big attraction. If you want to party, stay in the meatpacking district. This is not a party hotel. It does have a nice bar downstairs, but you are not getting in at night just because you stay there. The rooftop was a dissapointment because it was enclosed and stuffy and not much of a view. If you wanna party ,stay at the Standard. If you want a rooftop, check out the Gansevoort. This hotel just seemed dark and stuffy. The W-Union Square, which is close by and closer to hustle and bustle, looked more airy and more people hanging out in lobby.I think I was just looking for a little bit more fun hotel. This hotel is a good place if you want a quiet getaway to NYC and want to stay in your room. Which I don't know who is looking for that? Celebs that don't want paprazzi? It is a &quot;nice hotel&quot; just not what I was looking for this time in NYC.	
Oct 22 2009 	Impeccable.	I stayed at Gramercy Park Hotel in October for 4 nights and the experience was truly amazing. Upon arrival we were upgraded to a suite which was a pleasant surprise and great start to our stay. The front desk staff were very polite and helpful, the concierge was always on hand to assist with any questions we had, which was a big help as we were unfamiliar with the locale. The eclectic design of the hotel is second to none, everything is carefully thought out from the amazing artwork on the walls to the beautiful furniture. As soon as you walk through the front door, the hotel has an ambience which lets you unwind from your busy days cruising around New York City. The Rose Bar is a popular late night bar not only for hotel guests but is also a favourite among New Yorkers, the 'Diamonds and Pearls' cocktail a must. By far the most incredible space is the Private Rooftop Terrace, amazing drinks, chilled out music, an uninterrupted view of New York City and the coolest design to a rooftop garden I have ever seen. In addition to all this the rooms are spot on, egyptian cotton sheets, plasma tv's, stunning furniture and plenty of space which is a rare commodity in most New York hotels. On my next visit to New York, there is only one place I will be staying.. GPH.	
Oct 20 2009 	Beautiful unique hotel experience	Had a wonderful time at the Gramercy Park Hotel. Stayed in a Superior King, with two kids under 4, as did the adult &amp; two teenagers travelling with us. Turned out just great. Lots of storage space in our room, great bathrooms. Quiet! and relaxing! (unlike other NY hotel experiences we've had.) Had an extra fridge requested for our kids' needs as well as a crib. We definitely weren't the typical clientele, but it suited us just fine. Great location - in it's own quiet pocket between all the great destinations. Several parks close by for the kids. (although too many &quot;rules&quot; in the Gramercy Park to make it a great destination for kids - Madison Square Park was better for the wee ones.) Concierge was great help for reservations, etc.We got a really great deal through quikbook - not sure if we would've gone otherwise. Therefore, in-hotel dining was a bit out of our price range, unfortunately. Was also shocked by the wi-fi charge on check-out. But apart from that, a beautiful, unique experience - great to be close to such great art and decor.	
Oct 20 2009 	Incredible!	The Gramercy Park Hotel is the most stunning, sexy hotel I have stayed at in a long time. The lobby is welcoming, serene and hip, and the room we had, a suite (upgrade) was divine. Magnificent furniture, beautiful colors, great products in the huge bathroom, comfortbale bed, lovely lighting. The restaurant on the roof top was not to be beat (as are the prices!) but the views, the mood, the artwork - A1.The staff was pleasant, respectful, knowledgable, and clearly, all about pleasing the customer.Lots of cool vibes in the reservations only bar, and even sawe some celebrities.	
Oct 16 2009 	Definately not 'standard'	Perhaps my experience was colored a tad by the fact that I had such an abysmal time at The Standard, but I could not have been happier with the Gramercy Park Hotel.The area is not as trendy and permeated with designer stores, but I found the location to be preferable for getting around, with great access to/from and plenty of restaurants and nice places for drinks close by. Most importantly, though, the room was so much more comfortable then The Standard, everything worked, the was actual space for clothes and luggage, and the quality all around was far superior - much more so then the actual price difference between the two for the rooms we had. Sure the elevators were a bit slow, and the guests were perhaps more posh then the mix of hipsters/tourists/bridge and tunnel in the Meatpacking District, but the hotel itself really made it a vacation and provided a haven of relaxation (and actual sleep) in between stints of running around NYC.Taking one star off only due to the overall high prices along with the fact that they apparently allow for smoking rooms and the smell made itself rather apparent at night in spite of the ventilation. I would return but be better prepared for that.PS: If you need a laugh while at the GPH check out the $70 tee shirt they have for sale, yowza!	
Oct 12 2009 	Entertaining but bad for work and terrible service	I decided to give the property a try despite a previous bad experience trying to organize an event here. The property was better than I expected but isn't a place that I would repeat.The pluses:- great location- entertaining decor / design- passable rooms (i.e., not a closet but not enough space for 2)- hip bar with good people watching / attractive clientele - free internet / wireless in the room- Mario Badescu amenities - good mobile reception inside the room- reservation made my concierge resulted in complementary dessert at Craftbar (for brunch)The minuses:- service at the rooftop restaurant (at least for brunch) is about as bad as you can get. the food is forgettable and overpriced. it isn't that staff aren't friendly, they are just forgetful, unattentive, inconsistent and don't seem to really know what they are doing- very dark. this was fun 5-8 years ago but it is time to turn the lights back on at these types of properties- hallways can be a bit loud in the middle of the night if you are trying to sleep. guests aren't rowdy but the opening and closing of doors might keep some folks awake- power outlets are few and inconvenient (1 at the desk, 2 in the bathroom). there are others but they aren't easily accessible, i.e., require you to move furniture- understaffed but friendly bell service (seems like they only have 1 guy on duty)- forgot to include Tablet Plus bonus amenitiesEntertaining enough but a stay of more than a few nights would be pretty painful. The staff were friendlier than some other boutique places (not warm but respectful and helpful); however, service levels are poor for the price point likely due to understaffing and poor training.	
Aug 24 2009 	Interesting one-time only experience	Maybe we're just not hip enough. We appreciate the artwork. Understand the Bohemian decor. Do not mind paying for good service and product. But after two days of straining to see the elevator buttons, the moodiness of GPH wore thin.It almost seems as though they're trying too hard to be cool, and calculatingly pricing themselves into the &quot;very exclusive&quot; category. Food and drink prices are over the top, even by New York standards.Having said that, we found the service to be attentive and not snobbish, as other reviewers have said. The room (though dark, of course) had top-drawer appointments: crystal barware, fabulous duvet on a very comfortable bed, opium-den-chic sofa and chairs with artsy lamps and wall decor. The real wood fire in the stunning lobby fireplace was a surprise, as we arrived on the hottest day of the year. The historic neighborhood is wonderful, with a Kensington (London) feel. I channeled Edith Wharton as I meandered through Gramercy Park (after being escorted over by a very pleasant hotel employee). We enjoyed our two-night stay and are glad we experienced this very different, European feeling, hotel. But in the future, we'd opt for more pedestrian - OK, boring - accommodations.	
Aug 18 2009 	Nice But Bring Your Flashlight!	We really enjoyed our stay here. It was a refreshing change from our usual Upper-East-Side, more formal places. The Gramercy is fun and stylish, hip but still comfortable. The location in a beautiful residential neighborhood right by Gramercy Park was the best part -- it was very quiet at all times, so we got to enjoy New York without the street noise. True, it's not in the middle of shopping streets, but the area is great for strolling.As for the flashlight: this was the darkest hotel we've ever stayed in! The decor is dark brown, deep burgundy, forest green -- when we stepped off the elevator onto our floor, the lighting was literally so dim that we could barely make out the large numbers on the wall showing which direction to go. The hotel actually compensates by having the room numbers woven into the hallway carpeting next to the room doors (white numbering against deep burgundy carpet). Pretty funny. We were upgraded to a roomy park-view suite with comfortable furnishings. The mini-bar was gorgeous, with cut crystal glasses and beautiful silver accessories. Again, the decor was in dark colors (burgundy, royal blue), but thanks to four windows overlooking Gramercy Park, the suite had good light and was very homey. The bathroom was rather cramped and, surprise, dark! in the vanity area, despite artistic clusters of light bulbs on each side of the mirror. I realize it's a style thing -- after all, this is Ian Shrager -- but it's nice to be able to see when you're shaving or putting on makeup.The roof terrace (open only to guests of the hotel) was great: sunny and filled with potted plants, and the seating was sufficiently spread out that we had privacy even when all the tables were occupied. The only detraction was the host of aggressive insects (large fruit flies, maybe?) that descended whenever food appeared, and hovered around the buffet breakfast as well. This was the case even when the retractable roof was closed. Service was adequate, not great; our breakfast order was bungled and took nearly an hour, but we weren't in a hurry so no big problem.While all the staff we encountered were friendly and helpful, the strange placement of the concierge desk in the middle of the lobby -- the concierge sits on an angle with his back to the front doors and never looks away from his computer screen -- was vaguely unwelcoming. Otherwise the lobby was great, with a real wood fire burning (in August!) in a huge fireplace at the end of the room, and huge contemporary artworks on display.This hotel is different and fun, and we would return.	
Aug 17 2009 	Posh Yet Funky	Been to NYC a few times, and Heard about The Gramercy Park Hotel.I loved it, very pleased with the Very Friendly StaffLoved The Rose Bar, and The Roof Top Bar	
Aug 11 2009 	Trendy Nice but Overpriced	Check in: Arrived at the hotel around 1:30 p.m. I was told I had been upgraded twice, from a Superior Room ($345) to a Loft. I checked online, and it was actually a Deluxe Loft ($515). Front desk staff was very nice and friendly. Hotel / Room: I've had difficulty explaining the hotel. It's modern, but not W modern. More like weird, artsy modern. And very, VERY dark. The room was big, a corner room, and almost seemed like it was originally two rooms with the wall knocked down. The decor has a bit of a matador theme to it. The bathroom was an okay size, with a shower big enough for two, but again, bad lighting. The bed was firm and comfy, and the italian sheets did not disappoint. The room was the quietest I had ever had in New York.Rooftop Terrace: The rooftop terrace was wonderful, with a glass enclosure that could be opened and closed. The weather was fabulous Friday &amp; Saturday, and it was nice to sit outside. Sunday it was warmer and overcast, and the glass was closed. We had breakfast twice and lunch once. Both the lunch and breakfast menus are limited, and very expensive. For example, $30 for contenental breakfast, $39 for a very limited sunday brunch, etc. At lunch we ordered the 2nd cheapest bottle of wine for $95 that retails for $15. Athough expensive, the food was good and the service was attentive.Overall: I enjoyed my stay at the Gramercy Park Hotel and was glad I had a gift certificate to offset some of the cost. Due to the quiet area, I wouldn’t have picked the hotel, but was glad I was able to check it out. The service was good overall, but not even close to the best I've ever received. I doubt I would stay here again if I had to pay $350+ a night. Just not my style. Pet Peeve: On Saturday night, I returned to the hotel around 1:30 a.m. and wanted to have a nightcap before bed. I went up to the rooftop terrace, but was told it was closed for a private event. I went down to the lobby to ask if I could have a drink in the Jade Bar. I was told I needed a reservation, but could ask the door man if there had been any cancellations. Although I was told at check in I would need a reservation after 9 p.m. (even if I was a hotel guest), I found it pretty ridiculous that it was so difficult to get a drink. Oh, and when I had a drink at the Jade Bar the day before, it was $17 for a stoli and club soda.	
Aug 3 2009 	Gorgeous hotel amazing staff	Comfortable, elegant, stylish rooms, great service - a treat!The bar is incredible - the watermelon mint martini by the Israeli barkeeper was the best ever!	
Jul 31 2009 	Gramercy Park Hotel is in a wonderful location	*Rooftop garden is beautiful and is fun for people watching*Servers at Rooftop garden very friendly*Drinks are very expensive*Room was cleaned daily*Bed was wonderful *Room was very dark*Hotel lobby very dark*A different experience*Area around hotel was wonderful and quiet*Room service not always prompt*Menu prices too expensive*Not sure that I would return*Gramercy Park next door was a real treat*If you want to spend that kind of money go for it	
Jul 27 2009 	Trendy Dark and Different	We stayed for the weekend and were upgraded to a larger room. The bathroom was really really small - when the shower door and bathroom door were open you could not stand in the bathroom. It did not really make sense as the room was very large especially for NYC. The hotel was dark but trendy.	
Jul 13 2009 	A fantastic place to stay in NYC!	I stayed at the Gramercy Park Hotel for one night at the end of a week's stay in New York. I have to say it really is a stylish hotel. The lobby is very impressive with a beautiful chandelier as the focal point. The staff couldn't have been friendlier or more helpful - nothing was too much trouble. Also, the guy who brought my bag to my room was literally male model material - in fact everyone who worked there was model material! My room was tastefully decorated, spacious and had a great view over Gramercy Park. The ensuite was small but perfectly formed with great fixtures and fittings and luxurious products. The location of the hotel is in a lovely area close to the subway and within walking distance of lots of shops and restaurants (a ten minute walk from Macys). All in all I thoroughly enjoyed my stay at the Gramercy and only wish I'd been able to stay longer - one night was definitely not long enough. Incidentally a friend went on to stay at the Waldorf the next night and said it wasn't a patch on the Gramercy. Praise indeed.	
Jun 20 2009 	fantastic six days in new york	what a fantastic place. great location, very helpful staff, lovely atmosphere. we arrived after a long flight to discover they had upgraded our booking to a loft room on the third floor, so were chuffed to bits. we'd looked at previous reviews and knew that we'd need to take earplugs, so the noise outside was no problem at all (don't forget to take them if your room is overlooking lexington). the bed was the comfiest i've ever slept in and the roof terrace was a beautiful (they even gave us free coffee on our last morning). yes, it is expensive for the extras, but frankly that was no problem. don't bother with room service as it's a fortune, but head up the road to the murray hill diner if you want a hearty kick start to the day...	
Jun 14 2009 	comes with the key to the Gramercy Park	I lived in NYC for 6 years and never got to go inside the Gramercy Park ....until now. This IS the best thing about the stay here. It's a cute, well done, great service boutique hip hotel AND a key to the Gramercy Park. Go for it. It's a bragging rights picture on the facebook that you get out it. Hotel itself is cool, adequate luxury place with a comfortable bed, nice accesories, leather desk. Not everyone may like the dark green walls with the red velvet accents....I did. Think &quot; bordello&quot; like decoration, in a good way. Nice. Love the wood decoration and the scent in the entry hall ( is it cedar ? ). I was upgraded to a &quot;loft &quot;- miniature sized room with normal high ceilings....not sure if this was a loft, what is the scale of the standard room. A shoebox ? Well, this is New York afterall.	
