	Fantastic hotel in a perfect location	We stayed here for 4 nights over thanksgiving. The hotel is absolutely fantastic- rooms were super clean and spacious and everything was of high quality- the bed was really comfortable and the bedding was nice and soft. Bathroom was also really nice- it was big and the complimentary toiletries were great- they were neutrogena and got replaced every day. The staff were sensational- they knew the answer to any questions we had on how to get places, where the best deals for shopping were, where to stand for the parade etc. They even had flyers for 3 different price options on where to go for a traditional thanksgiving dinner. The only bugbear was that we had someone knocking on our door and attempt to come into our room at 9am on the day we were leaving to ask when we were checking out- this just seems ridiculous and hopefully they will change this for future guests. Will stay here again though without hesitation we had a fantastic time.	
Nov 23 2009 	A Great Hotel In A Great Location. Will Definately Stay Again	Stayed at the Hilton Garden Inn in Chelsea for 5 nights in November and it was absolutely brilliant. A great central location for all attractions especially Madison Square Garden were my wife and i watched Metallica. It was a five minute walk.As it was located on a street and not an Avenue it was fairly quite during the night. I would have not liked to have stayed at any hotel located on an Avenue. Far to noisy.The hotel itself was only a few years old so everthing was pretty much brand new. We were on the 20th floor and had a King Evolution City View Room with Breakfast. Could not have asked for better. The room was well spaced and had everything we needed. The bed was amazing.Our breakfast was just perfect and there was everything you needed to get you started for the day. We paid £130 per night with breakfast and booked directly with Hilton.There is a subway at the end of the street and you can purchase a metro card there for less than $10 and ride all day.Penn Station is located under Madison Square Garden and the train takes you straight to Newark Airport for $15. Takes about 20 - 30 minutes. Very easy.Make sure you check out 'Real New York Tours' an absolute must for a great sight seeing day in New York. Ask for Luke.Whenever i come bak to visit i will be staying in this hotel and this hotel only.Well done Hilton.	
Nov 23 2009 	Nice but not perfect	Hilton Garden Inn Chelsea has had excellent reviews in Tripadvisor and that was one of the biggest reasons I chose it too. I would describe the hotel to be quite nice but not excellent.+ nice and helpful staff+ clean and new hotel+ nice view from 23rd floor+ microwave and fridge+ close to metro stations+ large bed and large room too for a solo traveller - the location is not ideal, you need to take metro to go to Statue of Liberty or Central Park. I would prefer some other location during my next visit even though the hotel was ok. - daily cleaning done at 4.30PM - the bathroom sink was broken and had been fixed (but did not look very elegant)- during the check out day cleaning personnel came to ask me 3 times when I am about to leave (first one at 9AM)- hotel breakfast is rather expensive and the quality is not as good as it could be- they promised the gym to be open 24/7 but actually it opened at 6AM every morning	
Nov 9 2009 	Great Experience start to finish	From the moment I arrived which was an early flight from Chic getting me to NY by 9:30 AM - the front desk staff was wonderful marking the start of a great experience. They were able to accomodate me way early and checked me into a room so I could unpack, settle in and get ready for a 12:00 appt. Front desk staff assisted me with dinner reservations, special requests and helpful tips on places to go that were within walking distance for me. It is a great location as it is right in the heart of the FLower District with easy access to Madison Square, Penn Station, Meat Packing District, Chelsea - all fun places to explore if this isn't your first trip to NY - Pasti's for dinner was great thanks to Natasha - the car pickup arrgts for me to get back to the airport were prompt and made for the perfect ending to a quick but wonderful trip. Was able to save a few $$$ by shopping at Whole Foods nearby - stored food items in refrig in the room - even have a microwave. Rooms were very clean and comforable - I would definitly stay here again -	
Nov 8 2009 	i love this hotel	small hotel in chelsea area of nyc. little things mean a lot to me. the air conditioner works well. the room is ideally planned with a big picture window of other nyc buldings a nice bathroom with counter and elongated shower curtain. very comfortable room. only 6 or so rooms per floor. very nice staff who seem genuinely interested in your well being. nice small bar and breakfast area. small lobby with mirror fountain and two elevators. i would definitely stay here again. hotel is small enough that the help seems capable of handling all that comes their way. good choice for a trip to nyc.	
Nov 8 2009 	A brilliant hotel in a superb location	A wonderfully situated hotel, very friendly staff, surprisingly large rooms which are tastefully decorated. Within a minute's walk of a subway station and very safe at night.	
Nov 7 2009 	Awesome!!!!!! Best hotel in New York.......	Great location for Macy's, Time Square and the Empire State Building - all a twenty minute walk from the hotel. Would reccommend to anyone and would certainly stay here again. It was quite, great city views (23rd floor), and it was exceptionally clean!	
Nov 1 2009 	Great stay.......Great Location	We stayed here for 3 nights to attend a concert at MSG. Room was small but clean. Noise was not an issue. Front desk was very helpful. Subway located down the block. Perfect location for us, as this was our 1st time in NYC. Would definitely recommend this hotel, and would certainly stay here again without hesitation. Can't wait to go back!!!!	
Oct 29 2009 	Great Hotel!	I loved this hotel. It was located on 28th street which I think is great because its not far from the hustle and bustle of Times Square but far enough away to get away from the noise at night. There is a Subway at the end of the street which is really handy. There is a lovely cafe/deli on 7th Ave which was great for breakfast. Our room was large with a huge bed and nice sized bathroom. It was cleaned daily. The hotel is very clean and I couldn't fault it. If I had one concern it was the elevators. There are only 2 and sometimes there is a long wait to get one. Ok if you are on the 5th floor not so good if you're on the 20th floor. There is also gym and computer facilities as well as a small shop and bar/restaurant.	
Oct 21 2009 	Small but clean	From Sydney Australia, Stayed here for 4 nights in October. Family of 4 in a 2 dbl bed room. Found it very small and cramped after the luxurious big &amp; affordable resort style hotels on offer in Vegas &amp; Anaheim but our budget dictated that we had to keep the price to $200US per night which was pre purchased via internet some weeks earlier. On arrival we walked from Penn St bus station and were checked in 30mins earlier than advertised time. The hotel is located on W 28th St and is in walking distance of Times Square (approx 20mins). We caught the subway to Wall St for Statue of Liberty ferry and found a station close to the hotel. There are good cafes &amp; diners everywhere in NY and the best we found was The Bread Factory cafe located at 470 7th Ave (35th St). Breakfast for 4 was around $35 and you really must try spaghetti for dinner, it was the best I have had. As mentioned earlier the room was small for 4 people but it was very clean. Bedding was crisp &amp; clean and the pillows as in all Hiltons were comfortable. If you have the budget for a further $100US per night then something like the Affinia at Madison Sqr Garden would be an ideal location which is a bit closer to Times Square etc . If you need to work to a budget this hotel meets all the requirements of a clean comfortable &amp; safe night's sleep. Besides the extra walking from 28th St up to Times Sq allows you to see more of fabulous NY.	
Oct 21 2009 	Small Clean Comfortable Room in Great Location	I liked:- the location (walking distance to many attractions, 1/2 block to the subway, 1-2 blocks to restaurants and shops)- the room (typical smallish NYC room with microwave, fridge, hi def TV, coffee maker)- the cleanliness (no concerns)- the bed (very very comfortable)- the attentiveness of the staff and front deskCould be improved:- the cost (but this is NYC after all)- the housekeeping's attention to detail (forgot to replace coffee and tissues, but the front desk fixed these problems quickly)- the wireless internet (free, but a weak connection that occasionally got dropped)It was a bit crowded with two of us in a room with two queen beds and our luggage, but we didn't spend a great deal of time in the room. Overall, we recommend this hotel.	
Oct 20 2009 	Not as good as the Times Square area HGI	I stayed at the HGI on 49th and 8th Avenue a few days before I stayed at this hotel on 28th between 6th and 7th Avenues. The Times Square area HGI is among the nicest in the group, so the comparison might be a bit unfair. That said, the Chelsea HGI is the weaker choice between the two, and feels like a budget hotel in ways the Times Square outpost avoids. (And to fellow reviewers of this hotel—I am really surprised at the positive nature of previous reviews. . .it was those reviews that prompted my stay on 28th St.)For starters, the hotel’s location isn’t really Chelsea, but rather a few blocks north in a neighborhood far more convenient than it is fashionable. A few different lines of the subway are in either direction of the hotel, so getting around is very easy, and Macy’s is a six block walk. The immediate streets around the hotel are mostly wholesale jewelry, clothing, and floral stores with considerable activity along the sidewalk.There is an attractive water feature in the lobby, which is rather small otherwise. Staff, like the one at the Times Square HGI, is cheerful and helpful. The hotel’s restaurant largely exists to serve breakfast—there is a buffet and made to order offerings. After the Pigalle breakfast in Times Square, this breakfast was a disappointment—a fairly standard hotel buffet. And it concludes at 10a during the week. Perhaps the GM here needs to do a field trip to the other hotel twenty blocks away for tips.The building lets this hotel down, in a number of ways. The rooms are notably smaller than the HGI at Times Square, and really feel two star, down to the lack of a real closet. And the hotel’s elevators are downright annoying—there are only two of them for a building of over 20 floors. At peak periods, the elevators are far and few between—and packed. Worse, there appears not to be a service elevator—putting more pressure on the elevators. My first room was right near the ice machines--and those are quite loud.This is not a bad hotel, just a disappointing one. The HGI in Times Square is a real find—this one merely gets the job done. And there are similar pricing issues here--the prevailing rate was over $300 a night during my stay. At those prices, this hotel is just not, NOT a good value.	
Oct 17 2009 	Comfortable clean and well located	We just got back from our first trip to NY, a 5 night stay at the Hilton Garden Inn Chelsea, and were so pleased with our hotel choice. The staff was very pleasant, and there is internet access either by your own laptop in your room (which we didn't bring) or on two computers on the main floor. Our room had a king bed in decent sized room. Everything was clean and the bed was very comfortable. We were on the 23rd floor (it has 24 floors) and never had any problems with the elevator i.e. the elevator was quick and we never had to wait too long for it. The only minor complaint I might have about this hotel is that because it is tall and narrow, each floor only has about 6 rooms which are all clustered around the elevator. Therefore, the first night I could hear each person coming off the elevator, getting into their rooms, etc. We put a towel along the bottom of the door the following nights and that seemed to help. I thought this was an excellent value for New York City (we paid $190 CAD per night, plus tax as a prepaid rate). The area is just south of Times Square, so very convenient but not too close to Times Square. Also, very close to Penn Station so is easy to get to/from Newark Airport on the train. It is a (slightly) quieter street and close to two different subway lines.	
Oct 8 2009 	Very nice hotel room with close by overnight parking at a good price	Our room was stylish, very clean, and very quiet. The beds were super comfortable, and the staff was very helpful recommending a restaurant within walking distance. We parked our rented mini-van in an enclosed garage 2 blocks away. Parking validation from the front desk got us a reduced parking rate. During the day the neighborhood was colorful - flower vendors everywhere. But at night we were a little nervous. The flower vendors are gone and there are no open restaurants or businesses or anything on the hotel's block. It appears things are being rehabbed all around so I imagine the barren block will change over time, which will probably drive up the room price. At just under $200 we were very pleased. Taxicabs were easy to get right in front of the hotel.	
Oct 8 2009 	our girls getaway weekend in chelsea	Myself and 2 friends stayed at the Hilton Chelsea for one night. The accomodations were clean= 2 queen size was ample room for 3 friends, , beds were comfortable, offer smoking and non smoking, breakfast was included and was satisfactory agreed by all of us, however the toaster wasn't working and there was a bit of a wait to use it (not a big deal in my book) staff was very helpful, The neighborhood was cool, and there are many great little restuarant/bar places within walking distance and a conveniently located subway to go up or downtown (thought I did see 2 rats on the subway platform making a break for it... you always know they are there, but never saw them in the daylight! cruising around) We had stayed in Times Square the past two times, and in comparison, the Doubletree is a bit more spacious, if you like the crowded hustle bustle right outside the door of the hotel, it is the better location to stay. We went to this location for easier access to Little Italy.	
