	Good Standard clean and efficient. Very central for shops and sights	Overall a good hotel and we enjoyed our stay. Facilities are good and staff are helpful.We were very annoyed by the 11 dollars charge for using the phone for local calls even if you only connected for seconds. Outrageous price. Don't know what the food was like, we always ate out even for breakfast. There's plenty of choice around. Wifi was expensive and only payable by the day, though there is free internet terminals in the executive lounge.	
Nov 19 2009 	Great Location Concierge Service Useful	If you want to make your visit to NYC easier, stay here. Reasonable by NYC standards, and very centrally located to Rockefeller Center and Radio City Music Hall.Use the concierge service to get transportation and tourist advice, but I wouldn't necessarily go with their restaurant suggestions.Get some free Hilton Points by visiting the promo desk.The negative is that they charge for internet access. Do you hear &quot;Gouge the Guest&quot;?	
Nov 16 2009 	LOVED the Hilton.	This is the 3rd Hilton-owned property I have stayed at within the past year or so and I can honestly say this is my favourite hotel chain. They just are very good at what they do. The service from check-in to maid service to the person who came up to fix our tv converter was excellent. The location couldn't be beat--right across from Radio City Music Hall, one block north of Rockefeller Center, a few blocks South of Central Park, just a few blocks North of Times Square. The hotel was comfortable, quiet, convenient. Just wonderful! Word of warning though, the breakfast buffet is very expensive.at $86 including tip for two people. Yikes!! Broke the budget in one meal!!	
Nov 10 2009 	Disappointing	Am a regular frequenter of Hilton for business trips but this one was a disappointment. Admittedly none of these on their own is enough to be a big deal as no hotel is perfect but the combination made it an overall unpleasant experience and intend to avoid this hotel. Laundry list of issues were:- we had 2 separate reservations (first night was business, second two nights were pleasure) and they were unable to accomodate getting us into the same room, or having a room available when we checked out of the previous room. Despite multiple assurances from staff that it would be smoothly taken care of. On top of this the staff was rude to my girlfriend for even asking the next day (even though it had been promised)- my girlfriend arrived a few hours before I could at the hotel as I was tied up in meetings. Despite having added her name to the reservation and the room being prepaid they made her put a credit card down for some unexplained reason and we had to call the hotel to get the hold removed- elevators were painfully slow and had to wait for at least 3 or 4 to come by that weren't filled to the brim- the morning we left I ran the shower for at least 10 minutes and could not get hot water to appear. As I had a flight to catch had to go without a shower as did not have enough time to call to get it checked- one of the elevators smelled like vomit. When called the front desk I was rerouted to a line that didn't pick up (instead of the receptionist taking action) and nothing was fixed while we were there- halls were a mess - broken glass from room service trays that were left out more than 24 hours- our room had a random unexplained hole in the wall	
Nov 8 2009 	Great Location around the corner from MoMA	Staying here worked out really well for a fun long weekend in NYC. The location was great for all we wanted to do- very close to MoMA, Times Square TKTS, top of the Rock and close to the subway. The room was great- very clean and modern with extremely comfortable beds. The elevators worked great with little or no waiting (unlike the Marriott Marquis where I've stayed previously.) Loved the fact that the Starbucks was downstairs so we could get coffee and muffins in the morning and bring them up to the room. Luggage drop off was very convenient.	
Nov 1 2009 	Nice location - Very Pricey	Location was great. Helpful staff. They now are selling units as timeshares - got VERY sick of the &quot;time share sharks&quot; continually harassing us.Would go back IF I COULD GET A DEAL - for full price, it is not worth it.	
Oct 31 2009 	Great Location But Over Priced	I stayed at this Hilton for one night with my husband due to a conference i needed to attend the following day. During check in we were treated as if we were Honors Members, the staff went out of their way to assist us. I had reserved a room with one king bed and instead was given a double. We were told the room was brand new, and it did appear that it was newly remodeled, however it did seem small. The room was on the 10th floor with a great view. We did not have any problems with elevators as others have reported. Now the down side. The hotel has WiFi but you have to pay extra for it. At almost $400 per night that seems insulting. Upon Check out if you would like to store your bags there is a $3.50 per bag charge for that also. I do realize that this is New York City, however the extra costs and the costs of food inside the hotel are insane. The Hotel is in a great area of the city with easy access to pretty much anywhere. I would reccommend this hotel to a friend only if they were wealthy.	
Oct 28 2009 	Best holiday ever - top hotel - top location	My husband and I travelled here back in December 2006 for NYE taking us into 2007. NY was really busy but the hotel wasn't mad busy like some of the other reviews suggest. Location was spot on - right in-between Central Park &amp; Times Square so ideal for sight seeing. The hotel was pretty plush although we were out too much to use all of the facilities. Would recommend staying here. We got a good price (Expedia) considering it was New Year. Worth checking out before paying for a budget hotel. NY itself fantastic – best place I’ve ever visited. We didn’t do much shopping as on a budget but so much to see and the people are really friendly. We went for 5 nights but could have stayed a month! I could add a million sightseeing photos but only included ones of the hotel.	
Oct 28 2009 	Rooms vary a lot. Not enough elevators!	Like a train station but reliable. Good new gym. Not enough elevators during peak hours. Long waits and full cars. Rooms vary a lot - if yours is unrenovated ask for another. Beds small. They charge too much for business center use and luggage storage. Bit of a long walk from Times Square. Restaurant is bad quality and is often closed. No laundry services on weekends.	
Oct 27 2009	Great hotel albeit too busy!!	We stayed here because we had an afternoon performance of Wicked, and we also had tickets to see the New York Yankees in Game 6 of the American League Championship (The Yankees won the pennant, by the way). We booked this hotel on short notice, and were surprised they had rooms available, given that the city was very busy!! This hotel is HUGE, with almost 2000 rooms. This is very evident in that the lobby is CONSTANTLY busy; with queues for checking in, storing your luggage, and even for taxis. We were upgraded for a small fee to the Executive Level, with access to the Club Lounge on the 44th Floor. The Club Floors occupy the top 12 floors, and have their own set of elevators. Our room was located on the 42nd Floor. It had a great view of Central Park, which was almost ablaze in fall colors. The room was a bit small, but this is New York, and spaciousness is hard to come by. The beds were very comfortable.The Executive Lounge is very nicely appointed. However, it is often busy, given the size of the &quot;club level&quot; of this hotel. They offered an assortment of cheese and finger foods during the evening, as well as a continental breakfast in the morning. The hotel is in a great location; just a few blocks from Central Park, Times Square, and Rockefeller Center. Several subway stations are also within walking distance, and so this hotel can be a great base for exploring all New York has to offer. All in all; I was satisfied with the Hilton New York. The only thing I really did not like too much was how busy the place was. However, this is the largest hotel in New York, and that is not the staff's fault. In fact, the staff was very accomodating.	
Oct 20 2009 	It is a fine too busy hotel	My room was clean, cozy and everything worked. The lobby is so bustling as to be too busy. Parking the car was not all that easy and getting the luggage a trial. But the space is familiar to me, the location very central, and best of all... it is across the street from the best street dining in NY, two halal carts often called 53rd and Chicken (actually at the corner of 6th.) Great food for $6 meal. So how to complain? Fast walk to theatre, dining, and all of midtown. It's the NY Hilton, and that is just fine.	
